spatial_sha,runp2p_cycle,app,pirArgs,dedicated-dag,mdone,retime-exout,runp2p_pass,waveform,DAG_Total,vdot,runp2p_err,scheduled,VPMU-alloc,slink,sr,VMC-split,ag-dce,runhybrid_cycle,tungsten,VAFG,time,link-prop,runhybrid_pass,OPS-Fix,dag-stage,notFit,topo,pcu-stage,freq,runhybrid_err,VDAG-alloc,row,vc,retime-buffer-only,reserve-dag,mergeTime_ms,name,dag,argout,split,VAFG-split,runhybrid_complete,avgActive,project,time-out,stat,save,PCU,runhybrid_wbw,runp2p_complete,proute-seed,genpir,routing-cost,runhybrid_deadlock,maketst_time,pir_sha,VDAG,rundot,vec,runhybrid_rbw,VMC,retime-local,dupra,PCU_Total,vcLimit,fast,backend,runproute_err,mem-tech,VBB-split,runp2p_time,pattern,proute-algo,merge-forward,split-forward,pmu-sram-size,OPS-Prog FU,debug-print,argin,reserve-pmu,proute-q,trace,gentst_err,OPS-FU,dot,memelm,PMU_Total,retime-glob,pracc,verbose,VPCU-alloc,flit-width,routing-algo,OPS-Flt,word,vfifo,vlink,maxActive,runhybrid_time,igraph,psim-q,run-psim,VPCU,OPS-All,runp2p_success,arch,MC_Total,maketst_err,clock,split-thread,reserve-pcu,constprop,open,tokenout,net,OPS-Other,runp2p_deadlock,PMU,VPMU-split,debug,VPMU,runhybrid_success,runp2p_wbw,MC,nn,start-id,DAG,simulate,rtelm-unsafe,runp2p_dram_power,fifo-depth,module,share-adctx,VAFG-alloc,run-proute,col,runhybrid_dram_power,runproute_time,VDAG-split,run-tst,pmu-stage,rtelm,rtanal,VMC-alloc,load,proute-opts,lrange,simfreq,VBB,split-algo,psim,VPCU-split,algo,merge-algo,genpir_err,merge,gentst_time,mapping,succeeded,VBB-alloc,prtime,bcread,runp2p_rbw,codegen
6825a53b,470,DRAMDoubleBuffer2_2,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",False,True,False,True,True,40,True,,False,,4,True,4,True,,True,1,2020-04-05 15:12:53 -0700,db,,,6,,mesh,6,1000000000.0,,0,20,4,False,0,,AccelMain,True,4,True,1,False,7.898936170212766,pirTest,100,True,True,0,,True,0,True,H-hop,False,0:21.89,74000d73,0,True,16,,4,False,False,200,4,True,Tst,,DDR4,,0:00.34,checkerboard,route_min_directed_valient,False,False,65536,,True,6,0,4,False,,,True,False,200,False,True,False,14,512,dor,,32,4,2,27.23404255319149,,False,1,False,14,,True,MyDesign,40,,1000000000,1,0,True,False,5,hybrid,,False,14,,True,,False,2.17872,4,False,0,0,False,False,,16,False,False,1,False,20,,,0,False,6,True,True,4,False,-i100 -p100 -t1 -d100,True,1.38kHz,,dfs,False,14,route_min_directed_valient,bfs,,False,26.459727867,True,True,,,True,2.17872,True
6825a53b,470,DRAMDoubleBuffer2_3,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",False,True,False,True,True,40,True,,False,,4,True,6,True,,True,1,2020-04-05 15:12:53 -0700,db,,,6,,mesh,6,1000000000.0,,0,20,4,False,0,,AccelMain,True,4,True,1,False,8.233117483811286,pirTest,100,True,True,0,,True,0,True,H-hop,False,0:34.11,74000d73,0,True,16,,6,False,False,200,4,True,Tst,,DDR4,,0:00.49,checkerboard,route_min_directed_valient,False,False,65536,,True,6,0,4,False,,,True,False,200,False,True,False,21,512,dor,,32,4,2,27.23404255319149,,False,1,False,21,,True,MyDesign,40,,1000000000,1,0,True,False,5,hybrid,,False,3,,True,,False,2.17872,6,False,0,18,False,False,,16,False,False,1,False,20,,,0,False,6,True,True,6,False,-i100 -p100 -t1 -d100,True,0.96kHz,,dfs,False,21,route_min_directed_valient,bfs,,False,32.141275255,True,True,,,True,2.17872,True
6825a53b,350,DRAMDoubleBuffer2_4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",False,True,False,True,True,40,True,,False,,4,True,6,True,,True,1,2020-04-05 15:12:53 -0700,db,,,6,,mesh,6,1000000000.0,,0,20,4,False,0,,AccelMain,True,4,True,1,False,2.111801242236025,pirTest,100,True,True,0,,True,0,True,H-hop,False,0:41.47,74000d73,0,True,16,,6,False,False,200,4,True,Tst,,DDR4,,0:00.58,checkerboard,route_min_directed_valient,False,False,65536,,True,6,0,4,False,,,True,False,200,False,True,False,21,512,dor,,32,4,2,2.2857142857142856,,False,1,False,21,,True,MyDesign,40,,1000000000,1,0,True,False,5,hybrid,,False,9,,True,,False,2.92571,6,False,0,12,False,False,,16,False,False,1,False,20,,,0,False,6,True,True,6,False,-i100 -p100 -t1 -d100,True,0.6kHz,,dfs,False,21,route_min_directed_valient,bfs,,False,36.104999982,True,True,,,True,2.92571,True
6825a53b,459,DRAMDoubleBuffer_0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",False,True,False,True,True,40,True,,False,,4,True,4,True,,True,1,2020-04-05 15:12:53 -0700,db,,,6,,mesh,6,1000000000.0,,0,20,4,False,0,,AccelMain,True,4,True,1,False,15.831517792302106,pirTest,100,True,True,0,,True,0,True,H-hop,False,0:36.26,74000d73,0,True,16,,4,False,False,200,4,True,Tst,,DDR4,,0:00.64,checkerboard,route_min_directed_valient,False,False,65536,,True,6,0,4,False,,,True,False,200,False,True,False,13,512,dor,,32,4,2,55.773420479302835,,False,1,False,13,,True,MyDesign,40,,1000000000,1,0,True,False,5,hybrid,,False,1,,True,,False,2.23094,4,False,0,12,False,False,,16,False,False,1,False,20,,,0,False,6,True,True,4,False,-i100 -p100 -t1 -d100,True,0.72kHz,,dfs,False,13,route_min_directed_valient,bfs,,False,22.081074999,True,True,,,True,2.23094,True
6825a53b,253,DRAMDoubleBuffer_1,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",False,True,False,True,True,40,True,,False,,4,True,4,True,,True,1,2020-04-05 15:12:53 -0700,db,,,6,,mesh,6,1000000000.0,,0,20,4,False,0,,AccelMain,True,4,True,1,False,3.4660991182730316,pirTest,100,True,True,0,,True,0,True,H-hop,False,0:37.52,74000d73,0,True,16,,4,False,False,200,4,True,Tst,,DDR4,,0:00.61,checkerboard,route_min_directed_valient,False,False,65536,,True,6,0,4,False,,,True,False,200,False,True,False,11,512,dor,,32,4,2,6.324110671936759,,False,1,False,11,,True,MyDesign,40,,1000000000,1,0,True,False,5,hybrid,,False,4,,True,,False,4.04743,4,False,0,7,False,False,,16,False,False,1,False,20,,,0,False,6,True,True,4,False,-i100 -p100 -t1 -d100,True,0.41kHz,,dfs,False,11,route_min_directed_valient,bfs,,False,23.987348841,True,True,,,True,4.04743,True
6825a53b,236,DRAMDoubleBuffer_2,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",False,True,False,True,True,40,True,,False,,4,True,8,True,,True,1,2020-04-05 15:12:53 -0700,db,,,6,,mesh,6,1000000000.0,,0,20,4,False,0,,AccelMain,True,4,True,1,False,2.01271186440678,pirTest,100,True,True,0,,True,0,True,H-hop,False,0:53.38,74000d73,0,True,16,,8,False,False,200,4,True,Tst,,DDR4,,0:00.42,checkerboard,route_min_directed_valient,False,False,65536,,True,6,0,4,False,,,True,False,200,False,True,False,22,512,dor,,32,4,2,3.389830508474576,,False,1,False,22,,True,MyDesign,40,,1000000000,1,0,True,False,5,hybrid,,False,8,,True,,False,4.33898,8,False,0,14,False,False,,16,False,False,1,False,20,,,0,False,6,True,True,8,False,-i100 -p100 -t1 -d100,True,0.56kHz,,dfs,False,22,route_min_directed_valient,bfs,,False,74.029438211,True,True,,,True,4.33898,True
6825a53b,236,DRAMDoubleBuffer_3,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",False,True,False,True,True,40,True,,False,,4,True,12,True,,True,1,2020-04-05 15:12:53 -0700,db,,,6,,mesh,6,1000000000.0,,0,20,4,False,0,,AccelMain,True,4,True,1,False,2.0208604954367666,pirTest,100,True,True,0,,True,0,True,H-hop,False,2:04.30,74000d73,0,True,16,,12,False,False,200,4,True,Tst,,DDR4,,0:00.87,checkerboard,route_min_directed_valient,False,False,65536,,True,6,0,4,False,,,True,False,200,False,True,False,37,512,dor,,32,4,2,3.389830508474576,,False,1,False,37,,True,MyDesign,40,,1000000000,1,0,True,False,5,hybrid,,False,28,,True,,False,4.33898,12,False,0,9,False,False,,16,False,False,1,False,20,,,0,False,6,True,True,12,False,-i100 -p100 -t1 -d100,True,0.27kHz,,dfs,False,37,route_min_directed_valient,bfs,,False,83.914190292,True,True,,,True,4.33898,True
6825a53b,77944,DRAMMergeSort_0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",False,True,False,,True,40,True,,False,,4,True,3,True,,True,1,2020-04-05 15:12:53 -0700,db,,,6,,mesh,6,1000000000.0,,0,20,4,False,0,,AccelMain,True,4,True,1,False,20.626475418249,pirTest,100,True,True,11,,True,0,True,H-hop,False,0:54.52,74000d73,0,True,16,,3,False,False,200,4,True,Tst,,DDR4,,0:09.89,checkerboard,route_min_directed_valient,False,False,65536,,True,6,0,4,False,,,True,False,200,False,True,False,19,512,dor,,32,4,2,68.31571384583803,,False,1,False,19,,True,MyDesign,40,,1000000000,1,0,True,False,5,hybrid,,False,2,,True,,False,43.7221,3,False,0,6,False,False,,16,False,False,1,False,20,,,0,False,6,True,True,3,False,-i100 -p100 -t1 -d100,True,7.88kHz,,dfs,False,19,route_min_directed_valient,bfs,,False,36.779716776,True,True,,,True,43.7221,True
6825a53b,78462,DRAMMergeSort_1,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",False,True,False,,True,40,True,,False,,4,True,3,True,,True,1,2020-04-05 15:12:53 -0700,db,,,6,,mesh,6,1000000000.0,,0,20,4,False,0,,AccelMain,True,4,True,1,False,20.490301037444876,pirTest,100,True,True,11,,True,0,True,H-hop,False,0:49.66,74000d73,0,True,16,,3,False,False,200,4,True,Tst,,DDR4,,0:20.63,checkerboard,route_min_directed_valient,False,False,65536,,True,6,0,4,False,,,True,False,200,False,True,False,19,512,dor,,32,4,2,67.86469883510489,,False,1,False,19,,True,MyDesign,40,,1000000000,1,0,True,False,5,hybrid,,False,2,,True,,False,43.4334,3,False,0,6,False,False,,16,False,False,1,False,20,,,0,False,6,True,True,3,False,-i100 -p100 -t1 -d100,True,3.8kHz,,dfs,False,19,route_min_directed_valient,bfs,,False,31.499610285,True,True,,,True,43.4334,True
6825a53b,67202,DRAMMergeSort_2,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",False,True,False,,True,40,True,,False,,4,True,6,True,,True,1,2020-04-05 15:12:53 -0700,db,,,6,,mesh,6,1000000000.0,,0,20,4,False,0,,AccelMain,True,4,True,1,False,13.755663642571772,pirTest,100,True,True,22,,True,0,True,H-hop,False,1:33.81,74000d73,0,True,16,,6,False,False,200,4,True,Tst,,DDR4,,0:32.55,checkerboard,route_min_directed_valient,False,False,65536,,True,6,0,4,False,,,True,False,200,False,True,False,37,512,dor,,32,4,2,42.6653968631886,,False,1,False,37,,True,MyDesign,40,,1000000000,1,0,True,False,5,hybrid,,False,4,,True,,False,50.7109,6,False,0,11,False,False,,16,False,False,1,False,20,,,0,False,6,True,True,6,False,-i100 -p100 -t1 -d100,True,2.06kHz,,dfs,False,37,route_min_directed_valient,bfs,,False,51.652412199,True,True,,,True,50.7109,True
