codegen,PCU_Total,VBB-split,dupra,freq,pirArgs,dot,net,rtelm,debug-tst,maketst_time,runp2p_success,nn,lrange,debug,topo,runhybrid_wbw,sr,argin,spatial_sha,runp2p_complete,VAFG-split,retime-local,prtime,runhybrid_success,VDAG-alloc,dedicated-dag,runhybrid_dram_power,OPS-Other,tokenout,gentst_time,MC_Total,routing-cost,start-id,routing-algo,VDAG-split,runp2p_cycle,DAG,split,psim,maketst_err,igraph,algo,PMU,PCU,VMC-alloc,mdone,psim-q,retime-exout,pattern,reserve-pcu,save,mergeTime_ms,memelm,runp2p_pass,runhybrid_time,vcLimit,vfifo,VAFG-alloc,VMC-split,word,OPS-Prog FU,VPMU-alloc,tungsten,avgActive,VBB-alloc,runhybrid_complete,runproute_time,VPCU-split,dag-stage,VPCU,mapping,VPMU-split,MC,runhybrid_rbw,pmu-sram-size,VPMU,runhybrid_pass,VBB,split-thread,succeeded,OPS-Fix,OPS-Flt,OPS-FU,split-algo,OPS-All,DAG_Total,app,runhybrid_cycle,runhybrid_deadlock,merge-algo,notFit,runproute_err,fifo-depth,link-prop,VMC,run-proute,proute-algo,backend,argout,gentst_err,genpir,pracc,PMU_Total,merge,runp2p_wbw,merge-forward,proute-opts,time,runp2p_rbw,VDAG,vec,vc,col,verbose,run-psim,row,retime-glob,split-forward,arch,rundot,genpir_err,time-out,runhybrid_err,waveform,load,pcu-stage,runp2p_deadlock,runp2p_err,runp2p_dram_power,simfreq,runp2p_time,clock,constprop,dag,scheduled,reserve-pmu,vlink,ag-dce,fast,pmu-stage,mem-tech,vdot,simulate,slink,maxActive,VAFG,name,pir_sha,module,trace,run-tst,VPCU-alloc,proute-seed,bcread,open,proute-q,project,stat,flit-width,retime-buffer-only
True,200,,False,1000000000.0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,hybrid,True,False,4:37.31,True,False,True,True,mesh,,True,6,f502b36e,True,1,False,,False,0,False,,,5,102.39281299,40,H-hop,0,dor,0,16567,11,True,False,,False,route_min_directed_valient,9,12,2,True,1,False,checkerboard,0,False,,False,True,,4,4,1,2,32,,9,True,19.131607009919318,,False,,23,6,23,True,9,2,,65536,9,,,1,True,,,,dfs,,40,StreamInfNN_3,,False,bfs,,,16,db,2,False,route_min_directed_valient,Tst,4,,True,True,200,False,0.0,False,-i100 -p100 -t1 -d100,2020-01-28 20:48:36 -0800,0.0,0,16,4,20,False,False,20,False,False,MyDesign,True,,100,,True,False,6,False,,,2.13kHz,0:07.76,1000000000,True,True,False,0,2,True,True,6,DDR4,True,False,4,99.19719925152411,1,AccelMain,98195183,False,False,False,14,0,True,False,4,pirTest,True,512,False
True,200,,False,1000000000.0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,hybrid,True,False,3:31.15,True,False,True,True,mesh,,True,6,f502b36e,True,1,False,,False,0,False,,,5,191.531830677,40,H-hop,0,dor,0,8376,22,True,False,,False,route_min_directed_valient,12,24,2,True,1,False,checkerboard,0,False,,False,True,,4,4,1,2,32,,11,True,19.697985026342547,,False,,46,6,46,True,12,2,,65536,12,,,1,True,,,,dfs,,40,StreamInfNN_4,,False,bfs,,,16,db,2,False,route_min_directed_valient,Tst,4,,True,True,200,False,0.0,False,-i100 -p100 -t1 -d100,2020-01-28 20:48:36 -0800,0.0,0,16,4,20,False,False,20,False,False,MyDesign,True,,100,,True,False,6,False,,,2.05kHz,0:04.09,1000000000,True,True,False,0,2,True,True,6,DDR4,True,False,4,98.40019102196753,1,AccelMain,98195183,False,False,False,26,0,True,False,4,pirTest,True,512,False
True,200,,False,1000000000.0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,hybrid,True,False,2:10.56,True,False,True,True,mesh,,True,6,f502b36e,True,1,False,,False,0,False,,,5,120.777682205,40,H-hop,0,dor,0,1163,12,True,False,,False,route_min_directed_valient,12,15,2,True,1,False,checkerboard,0,False,,False,True,,4,4,1,2,32,,11,True,35.46247389755558,,False,,27,6,27,True,12,2,,65536,12,,,1,True,,,,dfs,,40,StreamInfNN_5,,False,bfs,,,16,db,2,False,route_min_directed_valient,Tst,4,,True,True,200,False,0.0,False,-i100 -p100 -t1 -d100,2020-01-28 20:48:36 -0800,0.0,0,16,4,20,False,False,20,False,False,MyDesign,True,,100,,True,False,6,False,,,1.34kHz,0:00.87,1000000000,True,True,False,0,2,True,True,6,DDR4,True,False,4,92.26139294926914,1,AccelMain,98195183,False,False,False,16,0,True,False,4,pirTest,True,512,False
True,200,,False,1000000000.0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,hybrid,True,False,3:30.83,True,False,True,True,mesh,,True,6,f502b36e,True,1,False,,False,0,False,,,5,72.073964102,40,H-hop,0,dor,0,4274,3,True,False,,False,route_min_directed_valient,9,11,2,True,1,False,checkerboard,0,False,,False,True,,4,4,1,2,32,,9,True,35.58992062581118,,False,,14,6,14,True,9,2,,65536,9,,,1,True,,,,dfs,,40,StreamInfNN_6,,False,bfs,,,16,db,2,False,route_min_directed_valient,Tst,4,,True,True,200,False,0.0,False,-i100 -p100 -t1 -d100,2020-01-28 20:48:36 -0800,0.0,0,16,4,20,False,False,20,False,False,MyDesign,True,,100,,True,False,6,False,,,1.23kHz,0:03.48,1000000000,True,True,False,0,2,True,True,6,DDR4,True,False,4,97.00514740290126,1,AccelMain,98195183,False,False,False,10,0,True,False,4,pirTest,True,512,False
True,200,,False,1000000000.0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,hybrid,True,False,2:12.62,True,False,True,True,mesh,,True,6,f502b36e,True,1,False,,False,0,False,,,5,88.57538952,40,H-hop,0,dor,0,4274,3,True,False,,False,route_min_directed_valient,9,11,2,True,1,False,checkerboard,0,False,,False,True,,4,4,1,2,32,,9,True,35.58992062581118,,False,,14,6,14,True,9,2,,65536,9,,,1,True,,,,dfs,,40,StreamInfNN_7,,False,bfs,,,16,db,2,False,route_min_directed_valient,Tst,4,,True,True,200,False,0.0,False,-i100 -p100 -t1 -d100,2020-01-28 20:48:36 -0800,0.0,0,16,4,20,False,False,20,False,False,MyDesign,True,,100,,True,False,6,False,,,3.14kHz,0:01.36,1000000000,True,True,False,0,2,True,True,6,DDR4,True,False,4,97.00514740290126,1,AccelMain,98195183,False,False,False,10,0,True,False,4,pirTest,True,512,False
True,200,,False,1000000000.0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,hybrid,True,False,1:33.26,True,False,True,True,mesh,,True,6,f502b36e,True,1,False,,False,0,False,,,5,68.390723975,40,H-hop,0,dor,0,596,2,True,False,,False,route_min_directed_valient,5,6,2,True,1,False,checkerboard,0,False,,False,True,,4,4,1,2,32,,5,True,50.30850833513747,,False,,8,6,8,True,5,2,,65536,5,,,1,True,,,,dfs,,40,StreamInfSVM_0,,False,bfs,,,16,db,2,False,route_min_directed_valient,Tst,4,,True,True,200,False,0.0,False,-i100 -p100 -t1 -d100,2020-01-28 20:48:36 -0800,0.0,0,16,4,20,False,False,20,False,False,MyDesign,True,,100,,True,False,6,False,,,0.67kHz,0:00.89,1000000000,True,True,False,0,2,True,True,6,DDR4,True,False,4,93.6241610738255,1,AccelMain,98195183,False,False,False,6,0,True,False,4,pirTest,True,512,False
True,200,,False,1000000000.0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,hybrid,True,False,1:44.66,True,False,True,True,mesh,,True,6,f502b36e,True,1,False,,False,0,False,,,5,86.428916484,40,H-hop,0,dor,0,340,4,True,False,,False,route_min_directed_valient,5,12,2,True,1,False,checkerboard,0,False,,False,True,,4,4,1,2,32,,5,True,50.77901430842607,,False,,16,6,16,True,5,2,,65536,5,,,1,True,,,,dfs,,40,StreamInfSVM_1,,False,bfs,,,16,db,2,False,route_min_directed_valient,Tst,4,,True,True,200,False,0.0,False,-i100 -p100 -t1 -d100,2020-01-28 20:48:36 -0800,0.0,0,16,4,20,False,False,20,False,False,MyDesign,True,,100,,True,False,6,False,,,0.4kHz,0:00.86,1000000000,True,True,False,0,2,True,True,6,DDR4,True,False,4,90.0,1,AccelMain,98195183,False,False,False,10,0,True,False,4,pirTest,True,512,False
True,200,,False,1000000000.0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,hybrid,True,False,1:13.50,True,False,True,True,mesh,,True,6,f502b36e,True,1,False,,False,0,False,,,5,56.615326985,40,H-hop,0,dor,0,1108,2,True,False,,False,route_min_directed_valient,5,7,2,True,1,False,checkerboard,0,False,,False,True,,4,4,1,2,32,,5,True,38.15942704087575,,False,,9,6,9,True,5,2,,65536,5,,,1,True,,,,dfs,,40,StreamInfSVM_3,,False,bfs,,,16,db,2,False,route_min_directed_valient,Tst,4,,True,True,200,False,0.0,False,-i100 -p100 -t1 -d100,2020-01-28 20:48:36 -0800,0.0,0,16,4,20,False,False,20,False,False,MyDesign,True,,100,,True,False,6,False,,,0.61kHz,0:01.83,1000000000,True,True,False,0,2,True,True,6,DDR4,True,False,4,96.93140794223827,1,AccelMain,98195183,False,False,False,6,0,True,False,4,pirTest,True,512,False
True,200,,False,1000000000.0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,hybrid,True,False,2:17.85,True,False,True,True,mesh,,True,6,f502b36e,True,1,False,,False,0,False,,,5,104.7420214,40,H-hop,0,dor,0,596,4,True,False,,False,route_min_directed_valient,5,12,2,True,1,False,checkerboard,0,False,,False,True,,4,4,1,2,32,,5,True,39.923816433883545,,False,,16,6,16,True,5,2,,65536,5,,,1,True,,,,dfs,,40,StreamInfSVM_4,,False,bfs,,,16,db,2,False,route_min_directed_valient,Tst,4,,True,True,200,False,0.0,False,-i100 -p100 -t1 -d100,2020-01-28 20:48:36 -0800,0.0,0,16,4,20,False,False,20,False,False,MyDesign,True,,100,,True,False,6,False,,,0.78kHz,0:00.76,1000000000,True,True,False,0,2,True,True,6,DDR4,True,False,4,94.29530201342281,1,AccelMain,98195183,False,False,False,10,0,True,False,4,pirTest,True,512,False
True,200,,False,1000000000.0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,hybrid,True,False,3:50.55,True,False,True,True,mesh,,True,6,f502b36e,True,1,False,,False,0,False,,,5,138.371277405,40,H-hop,0,dor,0,223,11,True,False,,False,route_min_directed_valient,20,8,2,True,1,False,checkerboard,0,False,,False,True,,4,4,1,2,32,,5,True,48.41529223987231,,False,,32,6,32,True,7,2,,65536,7,,,1,True,,,,dfs,,40,StreamInfSVM_5,,False,bfs,,,16,db,2,False,route_min_directed_valient,Tst,4,,True,True,200,False,0.0,False,-i100 -p100 -t1 -d100,2020-01-28 20:48:36 -0800,0.0,0,16,4,20,False,False,20,False,False,MyDesign,True,,100,,True,False,6,False,,,0.15kHz,0:01.47,1000000000,True,True,False,0,2,True,True,6,DDR4,True,False,4,100.0,1,AccelMain,98195183,False,False,False,18,0,True,False,4,pirTest,True,512,False
