spatial_sha,pir_sha,time,app,project,backend,freq,genpir,genpir_err,gentst_err,gentst_time,notFit,row,col,pirArgs,MC,DAG,PMU,PCU,MC_Total,DAG_Total,PMU_Total,PCU_Total,algo,pattern,slink,vlink,prtime,vcLimit,runproute_err,runproute_time,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,maketst_err,maketst_time,runp2p_cycle,runp2p_err,runp2p_pass,runp2p_deadlock,runp2p_complete,runp2p_dram_power,runp2p_rbw,runp2p_wbw,runp2p_time,runhybrid_cycle,runhybrid_err,runhybrid_pass,runhybrid_deadlock,runhybrid_complete,runhybrid_dram_power,runhybrid_rbw,runhybrid_wbw,runhybrid_time,OPS-All,OPS-FU,OPS-Fix,OPS-Flt,OPS-Other,OPS-Prog FU,runp2p_success,runhybrid_success,succeeded,simfreq
cf1bb43,4d85f9b,2019-10-11 20:30:35,StreamInfDotProduct_3,pirTest,Tst,1000000000.0,True,,,18.502256838,,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",2,4,3,8,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:42.67,184,,True,False,True,,0.0,0.0,0:00.51,,,,False,False,,,,,"19583 OP, 106.43 GOPS","4089 OP, 22.22 GOPS","9713 OP, 52.79 GOPS",,"9870 OP, 53.64 GOPS","4089 OP, 22.22 GOPS",True,False,True,0.36kHz
cf1bb43,4d85f9b,2019-10-11 20:30:35,StreamInfDotProduct_4,pirTest,Tst,1000000000.0,True,,,28.329054265,,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",2,12,3,12,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:47.83,192,,True,False,True,,0.0,0.0,0:00.43,,,,False,False,,,,,"20112 OP, 104.75 GOPS","438 OP, 2.28 GOPS","1870 OP, 9.74 GOPS",,"18242 OP, 95.01 GOPS","438 OP, 2.28 GOPS",True,False,True,0.45kHz
cf1bb43,4d85f9b,2019-10-11 20:30:35,StreamInfDotProduct_5,pirTest,Tst,1000000000.0,True,,,11.551327747,,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",2,1,2,2,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:33.34,2063,,True,False,True,,0.0,0.0,0:00.44,,,,False,False,,,,,"3193 OP, 1.55 GOPS","1792 OP, 0.87 GOPS","1280 OP, 0.62 GOPS",,"1913 OP, 0.93 GOPS","1792 OP, 0.87 GOPS",True,False,True,4.69kHz
cf1bb43,4d85f9b,2019-10-11 20:30:35,StreamInfKmeans_0,pirTest,Tst,1000000000.0,True,,,20.125921669,,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",2,4,4,7,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:46.15,1121,,True,False,True,,0.0,0.0,0:00.53,,,,False,False,,,,,"148088 OP, 132.10 GOPS","47803 OP, 42.64 GOPS","65931 OP, 58.81 GOPS",,"82157 OP, 73.29 GOPS","47803 OP, 42.64 GOPS",True,False,True,2.12kHz
cf1bb43,4d85f9b,2019-10-11 20:30:35,StreamInfKmeans_1,pirTest,Tst,1000000000.0,True,,,25.84176975,,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",2,8,5,14,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:48.61,609,,True,False,True,,0.0,0.0,0:00.50,,,,False,False,,,,,"176107 OP, 289.17 GOPS","49205 OP, 80.80 GOPS","60877 OP, 99.96 GOPS",,"115230 OP, 189.21 GOPS","49205 OP, 80.80 GOPS",True,False,True,1.22kHz
cf1bb43,4d85f9b,2019-10-11 20:30:35,StreamInfKmeans_2,pirTest,Tst,1000000000.0,True,,,22.459932104,,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",2,6,4,10,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:44.56,609,,True,False,True,,0.0,0.0,0:00.61,,,,False,False,,,,,"180833 OP, 296.93 GOPS","31473 OP, 51.68 GOPS","59313 OP, 97.39 GOPS",,"121520 OP, 199.54 GOPS","31473 OP, 51.68 GOPS",True,False,True,1.0kHz
cf1bb43,4d85f9b,2019-10-11 20:30:35,StreamInfKmeans_3,pirTest,Tst,1000000000.0,True,,,23.931256866,,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",2,4,4,8,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:45.70,2145,,True,False,True,,0.0,0.0,0:00.48,,,,False,False,,,,,"178477 OP, 83.21 GOPS","55951 OP, 26.08 GOPS","90319 OP, 42.11 GOPS",,"88158 OP, 41.10 GOPS","55951 OP, 26.08 GOPS",True,False,True,4.47kHz
cf1bb43,4d85f9b,2019-10-11 20:30:35,StreamInfKmeans_4,pirTest,Tst,1000000000.0,True,,,22.477483093,,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",2,6,4,11,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:52.17,1121,,True,False,True,,0.0,0.0,0:00.54,,,,False,False,,,,,"193122 OP, 172.28 GOPS","35525 OP, 31.69 GOPS","70653 OP, 63.03 GOPS",,"122469 OP, 109.25 GOPS","35525 OP, 31.69 GOPS",True,False,True,2.08kHz
cf1bb43,4d85f9b,2019-10-11 20:30:35,StreamInfKmeans_6,pirTest,Tst,1000000000.0,True,,,30.997206862,,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",2,12,5,17,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:52.92,412,,True,False,True,,0.0,0.0,0:00.60,,,,False,False,,,,,"196051 OP, 475.85 GOPS","23389 OP, 56.77 GOPS","57693 OP, 140.03 GOPS",,"138358 OP, 335.82 GOPS","23389 OP, 56.77 GOPS",True,False,True,0.69kHz
cf1bb43,4d85f9b,2019-10-11 20:30:35,StreamInfKmeans_7,pirTest,Tst,1000000000.0,True,,,49.108884448,,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",2,24,8,30,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,1:20.09,260,,True,False,True,,0.0,0.0,0:00.43,,,,False,False,,,,,"178841 OP, 687.85 GOPS","23845 OP, 91.71 GOPS","51325 OP, 197.40 GOPS",,"127516 OP, 490.45 GOPS","23845 OP, 91.71 GOPS",True,False,True,0.6kHz
