app,project,backend,freq,spatial_sha,pir_sha,time,genpir,genpir_err,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,runp2p_cycle,runhybrid_cycle,runp2p_err,runhybrid_err,maketst_err,runproute_err,gentst_err,runp2p_pass,runhybrid_pass,runp2p_deadlock,runhybrid_deadlock,runp2p_complete,runhybrid_complete,runp2p_dram_power,runhybrid_dram_power,runp2p_rbw,runhybrid_rbw,runp2p_wbw,runhybrid_wbw,maketst_time,runp2p_time,runhybrid_time,runproute_time,gentst_time,OPS-All,OPS-FU,OPS-Fix,OPS-Flt,OPS-Other,OPS-Prog FU,notFit,MC,DAG,PMU,PCU,MC_Total,DAG_Total,PMU_Total,PCU_Total,VMC,VDAG,VPMU,VPCU,row,col,pirArgs,algo,pattern,slink,vlink,prtime,vcLimit,runp2p_success,runhybrid_success,succeeded,simfreq
StreamInfNN_0,pirTest,Tst,1000000000.0,33c52157,4051f434,2019-11-07 18:35:42 -0800,True,,,,,,,,,,,,,,,4268,,,,,,,True,,False,False,True,False,,,0.0,,0.0,,1:45.31,0:00.80,,,34.018657449,"1484175 OP, 347.74 GOPS","1315159 OP, 308.14 GOPS","672209 OP, 157.50 GOPS",,"811966 OP, 190.25 GOPS","497889 OP, 116.66 GOPS",,2,6,9,8,40,40,200,200,2,0,9,14,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,5.33kHz
StreamInfNN_1,pirTest,Tst,1000000000.0,33c52157,4051f434,2019-11-07 18:35:42 -0800,True,,,,,,,,,,,,,,,2220,,,,,,,True,,False,False,True,False,,,0.0,,0.0,,2:11.88,0:00.96,,,65.190266026,"1642587 OP, 739.90 GOPS","1480279 OP, 666.79 GOPS","734153 OP, 330.70 GOPS",,"908434 OP, 409.20 GOPS","505537 OP, 227.72 GOPS",,2,12,13,20,40,40,200,200,2,0,13,32,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,2.31kHz
StreamInfNN_2,pirTest,Tst,1000000000.0,33c52157,4051f434,2019-11-07 18:35:42 -0800,True,,,,,,,,,,,,,,,16597,,,,,,,True,,False,False,True,False,,,0.0,,0.0,,2:05.26,0:01.64,,,33.672411898,"1576356 OP, 94.98 GOPS","1391280 OP, 83.83 GOPS","801509 OP, 48.29 GOPS",,"774847 OP, 46.69 GOPS","578685 OP, 34.87 GOPS",,2,7,9,9,40,40,200,200,2,0,9,16,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,10.12kHz
StreamInfNN_3,pirTest,Tst,1000000000.0,33c52157,4051f434,2019-11-07 18:35:42 -0800,True,,,,,,,,,,,,,,,16567,,,,,,,True,,False,False,True,False,,,0.0,,0.0,,1:14.43,0:01.50,,,39.984293637,"1532296 OP, 92.49 GOPS","1355304 OP, 81.81 GOPS","732263 OP, 44.20 GOPS",,"800033 OP, 48.29 GOPS","521511 OP, 31.48 GOPS",,2,11,9,12,40,40,200,200,2,0,9,23,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,11.04kHz
StreamInfNN_4,pirTest,Tst,1000000000.0,33c52157,4051f434,2019-11-07 18:35:42 -0800,True,,,,,,,,,,,,,,,8378,,,,,,,True,,False,False,True,False,,,0.0,,0.0,,2:24.09,0:02.03,,,97.576222314,"1414882 OP, 168.88 GOPS","1261146 OP, 150.53 GOPS","635369 OP, 75.84 GOPS",,"779513 OP, 93.04 GOPS","468953 OP, 55.97 GOPS",,2,22,12,25,40,40,200,200,2,0,12,47,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,4.13kHz
StreamInfNN_5,pirTest,Tst,1000000000.0,33c52157,4051f434,2019-11-07 18:35:42 -0800,True,,,,,,,,,,,,,,,1163,,,,,,,True,,False,False,True,False,,,0.0,,0.0,,1:47.19,0:00.74,,,54.499845631,"315723 OP, 271.47 GOPS","278991 OP, 239.89 GOPS","77801 OP, 66.90 GOPS",,"237922 OP, 204.58 GOPS","47089 OP, 40.49 GOPS",,2,12,12,16,40,40,200,200,2,0,12,28,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,1.57kHz
StreamInfNN_6,pirTest,Tst,1000000000.0,33c52157,4051f434,2019-11-07 18:35:42 -0800,True,,,,,,,,,,,,,,,4274,,,,,,,True,,False,False,True,False,,,0.0,,0.0,,1:56.88,0:00.93,,,33.858671646,"1484239 OP, 347.27 GOPS","1315223 OP, 307.73 GOPS","659793 OP, 154.37 GOPS","12480 OP, 2.92 GOPS","811966 OP, 189.98 GOPS","497953 OP, 116.51 GOPS",,2,3,9,11,40,40,200,200,2,0,9,14,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,4.6kHz
StreamInfNN_7,pirTest,Tst,1000000000.0,33c52157,4051f434,2019-11-07 18:35:42 -0800,True,,,,,,,,,,,,,,,4274,,,,,,,True,,False,False,True,False,,,0.0,,0.0,,1:53.77,0:00.93,,,35.413238262,"1484239 OP, 347.27 GOPS","1315223 OP, 307.73 GOPS","659793 OP, 154.37 GOPS","12480 OP, 2.92 GOPS","811966 OP, 189.98 GOPS","497953 OP, 116.51 GOPS",,2,3,9,11,40,40,200,200,2,0,9,14,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,4.6kHz
StreamInfSVM_0,pirTest,Tst,1000000000.0,33c52157,4051f434,2019-11-07 18:35:42 -0800,True,,,,,,,,,,,,,,,596,,,,,,,True,,False,False,True,False,,,0.0,,0.0,,1:12.16,0:00.59,,,22.158605095,"66181 OP, 111.04 GOPS","57773 OP, 96.93 GOPS","28213 OP, 47.34 GOPS","1664 OP, 2.79 GOPS","36304 OP, 60.91 GOPS","20741 OP, 34.80 GOPS",,2,2,5,6,40,40,200,200,2,0,5,8,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,1.01kHz
StreamInfSVM_1,pirTest,Tst,1000000000.0,33c52157,4051f434,2019-11-07 18:35:42 -0800,True,,,,,,,,,,,,,,,340,,,,,,,True,,False,False,True,False,,,0.0,,0.0,,1:34.15,0:00.60,,,28.053161218,"73223 OP, 215.36 GOPS","66243 OP, 194.83 GOPS","26321 OP, 77.41 GOPS","1664 OP, 4.89 GOPS","45238 OP, 133.05 GOPS","21577 OP, 63.46 GOPS",,2,4,5,12,40,40,200,200,2,0,5,16,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.57kHz
