VPCU-alloc,runhybrid_pass,notFit,VMC,MC_Total,OPS-FU,VMC-alloc,prtime,vcLimit,runhybrid_complete,VAFG-split,VPCU,maketst_time,vlink,runhybrid_rbw,pir_sha,pattern,runp2p_success,succeeded,app,genpir_err,OPS-Fix,OPS-Other,PMU,PCU,runhybrid_cycle,VAFG,VDAG,VAFG-alloc,DAG,runhybrid_success,row,VPMU-alloc,simfreq,VBB,runp2p_wbw,OPS-All,VPMU-split,gentst_time,VBB-alloc,VPCU-split,VDAG-alloc,runp2p_cycle,genpir,runp2p_err,runp2p_rbw,runp2p_complete,runp2p_dram_power,runhybrid_wbw,slink,runhybrid_dram_power,VBB-split,maketst_err,MC,PCU_Total,VDAG-split,time,runhybrid_deadlock,VPMU,mergeTime_ms,col,runproute_err,runp2p_time,runproute_time,runhybrid_time,PMU_Total,gentst_err,DAG_Total,VMC-split,pirArgs,maxActive,freq,OPS-Flt,algo,runp2p_pass,OPS-Prog FU,runp2p_deadlock,project,runhybrid_err,avgActive,spatial_sha,backend
14,,,4,40,"688 OP, 1.46 GOPS",4,,,False,1,14,0:48.17,,,d86e20f2,,True,True,DRAMDoubleBuffer2_2,,"720 OP, 1.53 GOPS",,14,0,,1,0,1,0,False,20,,1.0kHz,,2.17872,"720 OP, 1.53 GOPS",,15.605755707,,14,0,470,True,,2.17872,True,,,,,,,4,200,0,2019-12-13 12:52:06 -0800,False,,,20,,0:00.47,,,200,,40,4,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",27.23404255319149,1000000000.0,,,True,"656 OP, 1.40 GOPS",False,pirTest,,7.898936170212766,10f10351,Tst
23,,,6,40,"1032 OP, 2.11 GOPS",6,,,False,1,23,1:13.94,,,d86e20f2,,True,True,DRAMDoubleBuffer2_3,,"1080 OP, 2.20 GOPS",,3,0,,1,0,1,20,False,20,,0.96kHz,,2.0898,"1080 OP, 2.20 GOPS",,21.221560423,,23,0,490,True,,2.0898,True,,,,,,,6,200,0,2019-12-13 12:52:06 -0800,False,,,20,,0:00.51,,,200,,40,6,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",26.122448979591837,1000000000.0,,,True,"984 OP, 2.01 GOPS",False,pirTest,,9.355102040816327,10f10351,Tst
23,,,6,40,"1032 OP, 2.79 GOPS",6,,,False,1,23,1:10.83,,,d86e20f2,,True,True,DRAMDoubleBuffer2_4,,"1080 OP, 2.92 GOPS",,11,0,,1,0,1,12,False,20,,0.86kHz,,2.76757,"1080 OP, 2.92 GOPS",,19.82716337,,23,0,370,True,,2.76757,True,,,,,,,6,200,0,2019-12-13 12:52:06 -0800,False,,,20,,0:00.43,,,200,,40,6,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",2.1621621621621623,1000000000.0,,,True,"984 OP, 2.66 GOPS",False,pirTest,,2.0108108108108107,10f10351,Tst
13,,,4,40,"912 OP, 2.00 GOPS",4,,,False,1,13,0:56.89,,,d86e20f2,,True,True,DRAMDoubleBuffer_0,,"640 OP, 1.40 GOPS","272 OP, 0.60 GOPS",13,0,,1,0,1,0,False,20,,0.99kHz,,2.24561,"912 OP, 2.00 GOPS",,14.726395561,,13,0,456,True,,2.24561,True,,,,,,,4,200,0,2019-12-13 12:52:06 -0800,False,,,20,,0:00.46,,,200,,40,4,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",56.14035087719298,1000000000.0,,,True,"912 OP, 2.00 GOPS",False,pirTest,,15.935672514619883,10f10351,Tst
11,,,4,40,"912 OP, 3.60 GOPS",4,,,False,1,11,0:49.88,,,d86e20f2,,True,True,DRAMDoubleBuffer_1,,"640 OP, 2.53 GOPS","272 OP, 1.08 GOPS",4,0,,1,0,1,7,False,20,,0.52kHz,,4.04743,"912 OP, 3.60 GOPS",,14.46741468,,11,0,253,True,,4.04743,True,,,,,,,4,200,0,2019-12-13 12:52:06 -0800,False,,,20,,0:00.49,,,200,,40,4,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",6.324110671936759,1000000000.0,,,True,"912 OP, 3.60 GOPS",False,pirTest,,3.4660991182730316,10f10351,Tst
22,,,8,40,"912 OP, 3.86 GOPS",8,,,False,1,22,1:04.77,,,d86e20f2,,True,True,DRAMDoubleBuffer_2,,"640 OP, 2.71 GOPS","272 OP, 1.15 GOPS",8,0,,1,0,1,14,False,20,,0.5kHz,,4.33898,"912 OP, 3.86 GOPS",,21.336391396,,22,0,236,True,,4.33898,True,,,,,,,8,200,0,2019-12-13 12:52:06 -0800,False,,,20,,0:00.47,,,200,,40,8,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",3.389830508474576,1000000000.0,,,True,"912 OP, 3.86 GOPS",False,pirTest,,2.01271186440678,10f10351,Tst
37,,,12,40,"1368 OP, 5.80 GOPS",12,,,False,1,37,2:08.06,,,d86e20f2,,True,True,DRAMDoubleBuffer_3,,"960 OP, 4.07 GOPS","408 OP, 1.73 GOPS",28,0,,1,0,1,9,False,20,,0.52kHz,,4.33898,"1368 OP, 5.80 GOPS",,30.891382186,,37,0,236,True,,4.33898,True,,,,,,,12,200,0,2019-12-13 12:52:06 -0800,False,,,20,,0:00.45,,,200,,40,12,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",3.389830508474576,1000000000.0,,,True,"1368 OP, 5.80 GOPS",False,pirTest,,2.0208604954367666,10f10351,Tst
19,,,3,40,"116795 OP, 1.50 GOPS",3,,,False,1,19,2:41.65,,,d86e20f2,,True,True,DRAMMergeSort_0,,"129068 OP, 1.66 GOPS","13 OP, 0.00 GOPS",2,11,,1,0,1,6,False,20,,7.8kHz,,43.7518,"129081 OP, 1.66 GOPS",,19.963152171,,19,0,77891,True,,43.7518,True,,,,,,,3,200,0,2019-12-13 12:52:06 -0800,False,,,20,,0:09.99,,,200,,40,3,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",68.36219845681786,1000000000.0,,,,"116795 OP, 1.50 GOPS",False,pirTest,,20.64051045692057,10f10351,Tst
19,,,3,40,"116795 OP, 1.50 GOPS",3,,,False,1,19,1:42.17,,,d86e20f2,,True,True,DRAMMergeSort_1,,"129068 OP, 1.66 GOPS","13 OP, 0.00 GOPS",2,11,,1,0,1,6,False,20,,7.21kHz,,43.7726,"129081 OP, 1.66 GOPS",,17.396059438,,19,0,77854,True,,43.7726,True,,,,,,,3,200,0,2019-12-13 12:52:06 -0800,False,,,20,,0:10.80,,,200,,40,3,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",68.39468749197215,1000000000.0,,,,"116795 OP, 1.50 GOPS",False,pirTest,,20.65031982942431,10f10351,Tst
37,,,6,40,"116814 OP, 1.73 GOPS",6,,,False,1,37,2:24.17,,,d86e20f2,,True,True,DRAMMergeSort_2,,"129089 OP, 1.91 GOPS","13 OP, 0.00 GOPS",4,22,,1,0,1,11,False,20,,5.73kHz,,50.5064,"129102 OP, 1.91 GOPS",,27.944698132,,37,0,67474,True,,50.5064,True,,,,,,,6,200,0,2019-12-13 12:52:06 -0800,False,,,20,,0:11.77,,,200,,40,6,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",42.4934048670599,1000000000.0,,,,"116814 OP, 1.73 GOPS",False,pirTest,,13.700212053651898,10f10351,Tst
