VPCU-alloc,runhybrid_pass,notFit,VMC,MC_Total,OPS-FU,VMC-alloc,prtime,vcLimit,runhybrid_complete,VAFG-split,VPCU,maketst_time,vlink,runhybrid_rbw,pir_sha,pattern,runp2p_success,succeeded,app,genpir_err,OPS-Fix,OPS-Other,PMU,PCU,runhybrid_cycle,VAFG,VDAG,VAFG-alloc,DAG,runhybrid_success,row,VPMU-alloc,simfreq,VBB,runp2p_wbw,OPS-All,VPMU-split,gentst_time,VBB-alloc,VPCU-split,VDAG-alloc,runp2p_cycle,genpir,runp2p_err,runp2p_rbw,runp2p_complete,runp2p_dram_power,runhybrid_wbw,slink,runhybrid_dram_power,VBB-split,maketst_err,MC,PCU_Total,VDAG-split,time,runhybrid_deadlock,VPMU,mergeTime_ms,col,runproute_err,runp2p_time,runproute_time,runhybrid_time,PMU_Total,gentst_err,DAG_Total,VMC-split,pirArgs,maxActive,freq,OPS-Flt,algo,runp2p_pass,OPS-Prog FU,runp2p_deadlock,project,runhybrid_err,avgActive,spatial_sha,backend
56,,,20,40,"3332608 OP, 1287.72 GOPS",20,,,False,1,84,4:01.83,,,d86e20f2,,True,True,GEMM_18,,"1989440 OP, 768.72 GOPS","1900544 OP, 734.37 GOPS",28,44,,1,0,1,40,False,20,28,1.45kHz,,6.33076,"3889984 OP, 1503.09 GOPS",28,123.692174021,,84,0,2588,True,,12.6615,True,,,,,,,20,200,0,2019-12-13 12:52:06 -0800,False,28,,20,,0:01.78,,,200,,40,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",79.13446676970634,1000000000.0,,,True,"1398976 OP, 540.56 GOPS",False,pirTest,,26.524394413973273,10f10351,Tst
19,,,5,40,"19635536 OP, 424.63 GOPS",5,,,False,1,31,1:59.54,,,d86e20f2,,True,True,GEMM_19,,"7777888 OP, 168.20 GOPS","14923776 OP, 322.73 GOPS",7,16,,1,0,1,15,False,20,7,7.51kHz,,1.41724,"22701664 OP, 490.93 GOPS",7,59.106758928,,31,0,46242,True,,5.66896,True,,,,,,,5,200,0,2019-12-13 12:52:06 -0800,False,7,,20,,0:06.16,,,200,,40,5,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",97.43523204013667,1000000000.0,,,True,"5643328 OP, 122.04 GOPS",False,pirTest,,26.99585710484893,10f10351,Tst
11,,,3,40,"32121088 OP, 481.42 GOPS",3,,,False,1,21,1:50.35,,,d86e20f2,,True,True,GEMM_2,,"21063168 OP, 315.69 GOPS","19660800 OP, 294.67 GOPS",6,12,,1,0,1,9,False,20,5,10.3kHz,,0.982225,"40723968 OP, 610.35 GOPS",6,40.08782937,,21,0,66722,True,,3.9289,True,,,,,,,3,200,0,2019-12-13 12:52:06 -0800,False,6,,20,,0:06.48,,,200,,40,3,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",98.22247534546327,1000000000.0,,,True,"5725184 OP, 85.81 GOPS",False,pirTest,,29.896525883516684,10f10351,Tst
31,,,5,40,"23082832 OP, 1381.46 GOPS",5,,,False,1,65,2:55.82,,,d86e20f2,,True,True,GEMM_20,,"11215648 OP, 671.23 GOPS","16644480 OP, 996.14 GOPS",9,35,,1,0,1,30,False,20,7,2.69kHz,,3.9222,"27860128 OP, 1667.37 GOPS",9,93.234752551,,65,0,16709,True,,15.6888,True,,,,,,,5,200,0,2019-12-13 12:52:06 -0800,False,9,,20,,0:06.20,,,200,,40,5,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",92.69256089532587,1000000000.0,,,True,"6467712 OP, 387.08 GOPS",False,pirTest,,37.99822735964935,10f10351,Tst
95,,,15,40,"35016512 OP, 3789.67 GOPS",15,,,False,1,205,6:19.53,,,d86e20f2,,True,True,GEMM_21,,"16823080 OP, 1820.68 GOPS","25359376 OP, 2744.52 GOPS",27,165,,1,0,1,40,False,20,21,1.08kHz,,7.09264,"42182456 OP, 4565.20 GOPS",27,335.652293286,,205,0,9240,True,,21.2779,True,,,,,,,15,200,0,2019-12-13 12:52:06 -0800,False,27,,20,,0:08.54,,,200,,40,15,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",83.80952380952381,1000000000.0,,,True,"9701176 OP, 1049.91 GOPS",False,pirTest,,34.760751265453464,10f10351,Tst
46,,,15,40,"39584000 OP, 1156.99 GOPS",15,,,False,1,69,3:06.83,,,d86e20f2,,True,True,GEMM_22,,"23037696 OP, 673.36 GOPS","23035904 OP, 673.31 GOPS",21,33,,1,0,1,36,False,20,21,2.49kHz,,1.91553,"46073600 OP, 1346.67 GOPS",21,130.261259258,,69,0,34213,True,,5.74659,True,,,,,,,15,200,0,2019-12-13 12:52:06 -0800,False,21,,20,,0:13.73,,,200,,40,15,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",95.77645924063953,1000000000.0,,,True,"16366336 OP, 478.37 GOPS",False,pirTest,,27.17798000423984,10f10351,Tst
15,,,3,40,"43930880 OP, 294.19 GOPS",3,,,False,1,35,1:44.40,,,d86e20f2,,True,True,GEMM_23,,"23608064 OP, 158.09 GOPS","29326848 OP, 196.39 GOPS",5,24,,1,0,1,11,False,20,5,9.41kHz,,0.438867,"52934912 OP, 354.48 GOPS",5,64.786074652,,35,0,149330,True,,1.75547,True,,,,,,,3,200,0,2019-12-13 12:52:06 -0800,False,5,,20,,0:15.87,,,200,,40,3,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",98.05933168151074,1000000000.0,,,True,"16719872 OP, 111.97 GOPS",False,pirTest,,28.083768103589975,10f10351,Tst
45,,,9,40,"67485312 OP, 886.53 GOPS",9,,,False,1,107,4:19.21,,,d86e20f2,,True,True,GEMM_24,,"35411712 OP, 465.19 GOPS","45579648 OP, 598.76 GOPS",15,74,,1,0,1,33,False,20,15,2.39kHz,,0.860922,"80991360 OP, 1063.95 GOPS",15,171.6575919,,107,0,76123,True,,2.58277,True,,,,,,,9,200,0,2019-12-13 12:52:06 -0800,False,15,,20,,0:31.88,,,200,,40,9,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",96.18118045794307,1000000000.0,,,True,"25079424 OP, 329.46 GOPS",False,pirTest,,28.082961250335106,10f10351,Tst
14,,,5,40,"24925952 OP, 370.14 GOPS",5,,,False,1,21,1:48.82,,,d86e20f2,,True,True,GEMM_3,,"15358720 OP, 228.07 GOPS","13893632 OP, 206.31 GOPS",7,9,,1,0,1,12,False,20,7,11.17kHz,,0.973182,"29252352 OP, 434.38 GOPS",7,38.375679918,,21,0,67342,True,,3.89273,True,,,,,,,5,200,0,2019-12-13 12:52:06 -0800,False,7,,20,,0:06.03,,,200,,40,5,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",97.318166968608,1000000000.0,,,True,"10900224 OP, 161.86 GOPS",False,pirTest,,27.58052309415961,10f10351,Tst
13,,,4,40,"19570944 OP, 293.03 GOPS",4,,,False,1,21,1:56.46,,,d86e20f2,,True,True,GEMM_4,,"9594368 OP, 143.65 GOPS","13303808 OP, 199.19 GOPS",6,10,,1,0,1,11,False,20,6,9.54kHz,,0.981254,"22898176 OP, 342.85 GOPS",6,40.50438132,,21,0,66788,True,,3.92502,True,,,,,,,4,200,0,2019-12-13 12:52:06 -0800,False,6,,20,,0:07.00,,,200,,40,4,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",98.12541175061388,1000000000.0,,,True,"6904832 OP, 103.38 GOPS",False,pirTest,,24.88522811559884,10f10351,Tst
30,,,7,40,"20600576 OP, 1123.01 GOPS",7,,,False,1,57,2:29.39,,,d86e20f2,,True,True,GEMM_6,,"11737856 OP, 639.87 GOPS","14352384 OP, 782.40 GOPS",11,27,,1,0,1,30,False,20,9,3.9kHz,,3.57261,"26090240 OP, 1422.28 GOPS",11,73.715546828,,57,0,18344,True,,14.2904,True,,,,,,,7,200,0,2019-12-13 12:52:06 -0800,False,11,,20,,0:04.70,,,200,,40,7,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",89.31530745747928,1000000000.0,,,True,"3511040 OP, 191.40 GOPS",False,pirTest,,35.72622209887801,10f10351,Tst
11,,,3,40,"354880 OP, 20.43 GOPS",3,,,False,1,18,1:17.35,,,d86e20f2,,True,True,GEMM_7,,"141184 OP, 8.13 GOPS","290816 OP, 16.74 GOPS",5,18,,1,0,1,0,False,20,5,13.16kHz,,0.235822,"432000 OP, 24.87 GOPS",5,32.933363239,,18,0,17369,True,,0.87328,True,,,,,,,3,200,0,2019-12-13 12:52:06 -0800,False,5,,20,,0:01.32,,,200,,40,3,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",94.32897691289078,1000000000.0,,,True,"52480 OP, 3.02 GOPS",False,pirTest,,24.214185645471268,10f10351,Tst
11,,,3,40,"513856 OP, 227.07 GOPS",3,,,False,1,19,1:31.23,,,d86e20f2,,True,True,GEMM_8,,"304256 OP, 134.45 GOPS","319488 OP, 141.18 GOPS",5,10,,1,0,1,9,False,20,5,3.06kHz,,1.80999,"623744 OP, 275.63 GOPS",5,31.355276151,,19,0,2263,True,,6.53292,True,,,,,,,3,200,0,2019-12-13 12:52:06 -0800,False,5,,20,,0:00.74,,,200,,40,3,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",90.49933716305789,1000000000.0,,,True,"143872 OP, 63.58 GOPS",False,pirTest,,30.339854577592096,10f10351,Tst
11,,,3,40,"4345472 OP, 504.88 GOPS",3,,,False,1,21,1:52.16,,,d86e20f2,,True,True,GEMM_9,,"2490624 OP, 289.37 GOPS","2686976 OP, 312.18 GOPS",6,12,,1,0,1,9,False,20,5,6.67kHz,,1.90357,"5177600 OP, 601.56 GOPS",6,35.134179909,,21,0,8607,True,,7.61427,True,,,,,,,3,200,0,2019-12-13 12:52:06 -0800,False,6,,20,,0:01.29,,,200,,40,3,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",95.17834320901592,1000000000.0,,,True,"1031168 OP, 119.81 GOPS",False,pirTest,,33.312884861159525,10f10351,Tst
7,,,2,40,"1500 OP, 17.05 GOPS",2,,,False,1,7,0:49.37,,,d86e20f2,,True,True,IfTest_0,,"216 OP, 2.45 GOPS","1284 OP, 14.59 GOPS",2,7,,1,0,1,0,False,20,2,0.17kHz,,2.90909,"1500 OP, 17.05 GOPS",2,13.39748494,,7,0,88,True,,0.0,True,,,,,,,2,200,0,2019-12-13 12:52:06 -0800,False,2,,20,,0:00.53,,,200,,40,2,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",36.36363636363637,1000000000.0,,,True,"220 OP, 2.50 GOPS",False,pirTest,,15.25974025974026,10f10351,Tst
10,,,1,40,"3872 OP, 6.55 GOPS",1,,,False,1,11,0:51.86,,,d86e20f2,,True,True,InitSort_0,,"2464 OP, 4.17 GOPS","1408 OP, 2.38 GOPS",2,2,,1,0,1,9,False,20,2,1.07kHz,,3.46531,"3872 OP, 6.55 GOPS",2,13.610232159,,11,0,591,True,,3.03215,True,,,,,,,1,200,0,2019-12-13 12:52:06 -0800,False,2,,20,,0:00.55,,,200,,40,1,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",86.63282571912013,1000000000.0,,,True,"3488 OP, 5.90 GOPS",False,pirTest,,14.365482233502538,10f10351,Tst
9,,,1,40,"4550 OP, 36.69 GOPS",1,,,False,1,9,0:43.17,,,d86e20f2,,True,True,InitSort_1,,"326 OP, 2.63 GOPS","4224 OP, 34.06 GOPS",2,4,,1,0,1,5,False,20,2,0.25kHz,,2.06452,"4550 OP, 36.69 GOPS",2,12.055077004,,9,0,124,True,,0.0,True,,,,,,,1,200,0,2019-12-13 12:52:06 -0800,False,2,,20,,0:00.50,,,200,,40,1,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",51.61290322580645,1000000000.0,,,True,"326 OP, 2.63 GOPS",False,pirTest,,19.112903225806452,10f10351,Tst
18,,,2,40,"9100 OP, 77.12 GOPS",2,,,False,1,18,1:01.24,,,d86e20f2,,True,True,InitSort_2,,"652 OP, 5.53 GOPS","8448 OP, 71.59 GOPS",4,8,,1,0,1,10,False,20,4,0.25kHz,,4.33898,"9100 OP, 77.12 GOPS",4,16.243368956,,18,0,118,True,,0.0,True,,,,,,,2,200,0,2019-12-13 12:52:06 -0800,False,4,,20,,0:00.48,,,200,,40,2,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",54.23728813559322,1000000000.0,,,True,"652 OP, 5.53 GOPS",False,pirTest,,21.097234611953613,10f10351,Tst
29,,,3,40,"14034 OP, 118.93 GOPS",3,,,False,1,33,1:21.26,,,d86e20f2,,True,True,InitSort_3,,"978 OP, 8.29 GOPS","13056 OP, 110.64 GOPS",6,14,,1,0,1,19,False,20,6,0.24kHz,,4.33898,"14034 OP, 118.93 GOPS",6,31.19380786,,33,0,118,True,,0.0,True,,,,,,,3,200,0,2019-12-13 12:52:06 -0800,False,6,,20,,0:00.49,,,200,,40,3,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",54.23728813559322,1000000000.0,,,True,"978 OP, 8.29 GOPS",False,pirTest,,19.60087479496993,10f10351,Tst
13,,,1,40,"17798 OP, 91.27 GOPS",1,,,False,1,15,0:57.01,,,d86e20f2,,True,True,InitSort_4,,"1158 OP, 5.94 GOPS","16640 OP, 85.33 GOPS",4,8,,1,0,1,7,False,20,4,0.45kHz,,2.62564,"17798 OP, 91.27 GOPS",4,14.47960415,,15,0,195,True,,0.0,True,,,,,,,1,200,0,2019-12-13 12:52:06 -0800,False,4,,20,,0:00.43,,,200,,40,1,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",65.64102564102564,1000000000.0,,,True,"1158 OP, 5.94 GOPS",False,pirTest,,25.791855203619914,10f10351,Tst
14,,,3,40,"103519616 OP, 547.47 GOPS",3,,,False,1,35,2:50.23,,,d86e20f2,,True,True,Kmeans_0,,"57582464 OP, 304.53 GOPS","60785664 OP, 321.47 GOPS",12,28,,1,0,1,7,False,20,12,5.51kHz,,0.0866475,"118368128 OP, 625.99 GOPS",12,71.480959433,,35,0,189088,True,,0.69318,True,,,,,,,3,200,0,2019-12-13 12:52:06 -0800,False,12,,20,,0:34.29,,,200,,40,3,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",69.31798950753088,1000000000.0,,,True,"32072064 OP, 169.61 GOPS",False,pirTest,,21.747409637567625,10f10351,Tst
14,,,3,40,"104442368 OP, 38.97 GOPS",3,,,False,1,31,2:22.61,,,d86e20f2,,True,True,Kmeans_1,,"44638592 OP, 16.65 GOPS","74635008 OP, 27.85 GOPS",11,31,,1,0,1,0,False,20,11,6.85kHz,,0.00611293,"119273600 OP, 44.50 GOPS",11,69.341692765,,31,0,2680219,True,,0.0489035,True,,,,,,,3,200,0,2019-12-13 12:52:06 -0800,False,11,,20,,6:31.50,,,200,,40,3,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",78.24554635274207,1000000000.0,,,True,"19194624 OP, 7.16 GOPS",False,pirTest,,23.918205523089302,10f10351,Tst
19,,,3,40,"99718528 OP, 790.60 GOPS",3,,,False,1,50,3:50.69,,,d86e20f2,,True,True,Kmeans_2,,"52798336 OP, 418.60 GOPS","58688512 OP, 465.30 GOPS",17,40,,1,0,1,10,False,20,15,3.23kHz,,0.129898,"111486848 OP, 883.90 GOPS",17,97.442815881,,50,0,126130,True,,1.03918,True,,,,,,,3,200,0,2019-12-13 12:52:06 -0800,False,17,,20,,0:39.09,,,200,,40,3,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",51.95908982795528,1000000000.0,,,True,"30433664 OP, 241.29 GOPS",False,pirTest,,19.001847910275725,10f10351,Tst
16,,,3,40,"106776960 OP, 565.42 GOPS",3,,,False,1,48,3:26.86,,,d86e20f2,,True,True,Kmeans_3,,"57223040 OP, 303.02 GOPS","63366144 OP, 335.55 GOPS",15,36,,1,0,1,10,False,20,12,4.16kHz,,0.086759,"120589184 OP, 638.56 GOPS",13,100.34935136,,48,0,188845,True,,0.694072,True,,,,,,,3,200,0,2019-12-13 12:52:06 -0800,False,13,,20,,0:45.35,,,200,,40,3,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",69.40718578728587,1000000000.0,,,True,"31163776 OP, 165.02 GOPS",False,pirTest,,17.80548787889839,10f10351,Tst
15,,,3,40,"112448384 OP, 595.40 GOPS",3,,,False,1,49,3:47.84,,,d86e20f2,,True,True,Kmeans_4,,"64315776 OP, 340.54 GOPS","65106944 OP, 344.73 GOPS",15,42,,1,0,1,7,False,20,12,3.58kHz,,0.0867507,"129422720 OP, 685.27 GOPS",15,97.329246933,,49,0,188863,True,,0.694006,True,,,,,,,3,200,0,2019-12-13 12:52:06 -0800,False,15,,20,,0:52.82,,,200,,40,3,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",69.40057078411336,1000000000.0,,,True,"32427904 OP, 171.70 GOPS",False,pirTest,,19.102717743531453,10f10351,Tst
