fifo-depth,vc,OPS-FU,argin,sr,dot,link-prop,gentst_time,runhybrid_err,VPCU-split,dupra,PCU,trace,verbose,nn,reserve-pmu,runproute_err,runp2p_wbw,stat,pracc,runhybrid_success,pmu-stage,pir_sha,backend,runp2p_complete,run-proute,maketst_time,time,mem-tech,topo,codegen,debug,vdot,run-psim,retime-exout,OPS-Prog FU,merge-forward,runp2p_deadlock,col,VBB,maketst_err,split-algo,vlink,runhybrid_deadlock,mapping,VPMU,VPMU-split,routing-algo,run-tst,runhybrid_time,genpir,dag-stage,slink,VMC-split,load,pcu-stage,OPS-All,runp2p_success,runp2p_dram_power,retime-buffer-only,runproute_time,argout,retime-local,DAG_Total,runp2p_pass,tungsten,debug-print,routing-cost,freq,module,rundot,runhybrid_pass,row,share-adctx,time-out,VMC,rtelm-unsafe,scheduled,runhybrid_dram_power,VAFG,pmu-sram-size,rtelm,mergeTime_ms,VBB-alloc,split,open,succeeded,notFit,VBB-split,VPCU,ag-dce,genpir_err,reserve-pcu,vcLimit,constprop,proute-algo,psim,start-id,VMC-alloc,OPS-Fix,runhybrid_cycle,PCU_Total,arch,split-thread,avgActive,proute-opts,gentst_err,lrange,word,tokenout,igraph,runp2p_rbw,spatial_sha,PMU,simulate,proute-seed,fast,OPS-Flt,VPMU-alloc,vec,runhybrid_complete,runp2p_cycle,pattern,algo,proute-q,runp2p_err,flit-width,vfifo,MC,VAFG-alloc,net,bcread,memelm,maxActive,MC_Total,waveform,project,runhybrid_wbw,runhybrid_rbw,VPCU-alloc,simfreq,psim-q,runp2p_time,dag,merge-algo,OPS-Other,app,split-forward,VDAG,VDAG-alloc,PMU_Total,pirArgs,prtime,VAFG-split,retime-glob,mdone,name,DAG,dedicated-dag,VDAG-split,clock,merge,save
16,4,,6,True,True,db,18.672107253,,4,False,2,False,False,False,0,,1.64103,True,True,False,6,db505543,Tst,True,False,0:22.14,2020-03-27 16:28:18 -0700,DDR4,mesh,True,True,True,False,False,,False,False,20,,,dfs,2,False,True,2,2,dor,False,,True,6,4,1,False,6,,True,,False,,4,False,40,True,True,True,H-hop,1000000000.0,False,True,,20,False,100,1,False,False,,1,65536,True,,,True,False,True,,,4,True,,0,4,True,route_min_directed_valient,False,0,1,,,200,MyDesign,1,14.003944773175544,-i100 -p100 -t1 -d100,,True,32,5,False,0.0,69d35864,2,False,0,True,,2,16,False,78,checkerboard,route_min_directed_valient,4,,512,4,1,1,hybrid,True,False,41.02564102564103,40,True,pirTest,,,4,0.06kHz,1,0:01.41,True,bfs,,BankEnable_0,False,0,0,200,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,1,False,True,AccelMain,3,False,0,1000000000,False,True
16,4,,6,True,True,db,78.336622268,,25,False,15,False,False,False,0,,0.955224,True,True,False,6,db505543,Tst,True,False,2:15.22,2020-03-27 16:28:18 -0700,DDR4,mesh,True,True,True,False,False,,False,False,20,,,dfs,2,False,True,6,6,dor,False,,True,6,4,1,False,6,,True,,False,,4,False,40,,True,True,H-hop,1000000000.0,False,True,,20,False,100,1,False,False,,1,65536,True,,,True,False,True,,,25,True,,0,4,True,route_min_directed_valient,False,0,1,,,200,MyDesign,1,10.058403634003893,-i100 -p100 -t1 -d100,,True,32,5,False,0.0,69d35864,6,False,0,True,,6,16,False,134,checkerboard,route_min_directed_valient,4,,512,4,1,1,hybrid,True,False,11.940298507462687,40,True,pirTest,,,13,0.05kHz,1,0:02.96,True,bfs,,BankRange_0,False,0,0,200,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,1,False,True,AccelMain,10,False,0,1000000000,False,True
16,4,,6,True,True,db,59.307423062,,41,False,32,False,False,False,0,,4.4962,True,True,False,6,db505543,Tst,True,False,2:52.48,2020-03-27 16:28:18 -0700,DDR4,mesh,True,True,True,False,False,,False,False,20,,,bfs,2,False,True,6,6,dor,False,,True,6,4,7,False,6,,True,,False,,4,False,40,True,True,True,H-hop,1000000000.0,False,True,,20,False,100,7,False,False,,1,65536,True,,,True,False,True,,,41,True,,0,4,True,route_min_directed_valient,False,0,7,,,200,MyDesign,1,5.473244356266457,-i100 -p100 -t1 -d100,,True,32,5,False,26.9772,69d35864,7,False,0,True,,6,16,False,116607,checkerboard,route_min_directed_valient,4,,512,4,7,1,hybrid,True,False,7.025307228554032,40,True,pirTest,,,10,0.24kHz,1,8:00.97,True,bfs,,BlackScholes_0,False,0,0,200,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,1,False,True,AccelMain,8,False,0,1000000000,False,True
16,4,,6,True,True,db,14.003563926,,1,False,0,False,False,False,0,,0.0,True,True,False,6,db505543,Tst,True,False,0:16.88,2020-03-27 16:28:18 -0700,DDR4,mesh,True,True,True,False,False,,False,False,20,,,dfs,2,False,True,,,dor,False,,True,6,4,,False,6,,True,,False,,4,False,40,True,True,True,H-hop,1000000000.0,False,True,,20,False,100,,False,False,,1,65536,True,,,True,False,True,,,1,True,,0,4,True,route_min_directed_valient,False,0,,,,200,MyDesign,1,5.363984674329502,-i100 -p100 -t1 -d100,,True,32,5,False,0.0,69d35864,1,False,0,True,,,16,False,87,checkerboard,route_min_directed_valient,4,,512,4,0,1,hybrid,True,False,13.793103448275861,40,True,pirTest,,,1,0.04kHz,1,0:02.33,True,bfs,,BreakTest,False,0,0,200,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,1,False,True,AccelMain,0,False,0,1000000000,False,True
16,4,,6,True,True,db,13.665350205,,2,False,0,False,False,False,0,,0.0,True,True,False,6,db505543,Tst,True,False,0:10.01,2020-03-27 16:28:18 -0700,DDR4,mesh,True,True,True,False,False,,False,False,20,,,dfs,2,False,True,,,dor,False,,True,6,4,,False,6,,True,,False,,4,False,40,True,True,True,H-hop,1000000000.0,False,True,,20,False,100,,False,False,,1,65536,True,,,True,False,True,,,2,True,,0,4,True,route_min_directed_valient,False,0,,,,200,MyDesign,1,23.91304347826087,-i100 -p100 -t1 -d100,,True,32,5,False,0.0,69d35864,2,False,0,True,,,16,False,23,checkerboard,route_min_directed_valient,4,,512,4,0,1,hybrid,True,False,43.47826086956522,40,True,pirTest,,,2,0.01kHz,1,0:01.57,True,bfs,,BreakTest2,False,0,0,200,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,1,False,True,AccelMain,0,False,0,1000000000,False,True
16,4,,6,True,True,db,36.273570586,,12,False,9,False,False,False,0,,15.1144,True,True,False,6,db505543,Tst,True,False,1:02.76,2020-03-27 16:28:18 -0700,DDR4,mesh,True,True,True,False,False,,False,False,20,,,dfs,2,False,True,2,2,dor,False,,True,6,4,2,False,6,,True,,False,,4,False,40,True,True,True,H-hop,1000000000.0,False,True,,20,False,100,2,False,False,,1,65536,True,,,True,False,True,,,12,True,,0,4,True,route_min_directed_valient,False,0,2,,,200,MyDesign,1,20.647433747064742,-i100 -p100 -t1 -d100,,True,32,5,False,0.472325,69d35864,2,False,0,True,,2,16,False,271,checkerboard,route_min_directed_valient,4,,512,4,2,1,hybrid,True,False,47.23247232472325,40,True,pirTest,,,6,0.13kHz,1,0:02.06,True,bfs,,BroadcastTest,False,0,0,200,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,1,False,True,AccelMain,3,False,0,1000000000,False,True
16,4,,6,True,True,db,31.458836383,,5,False,5,False,False,False,0,,1.34266,True,True,False,6,db505543,Tst,True,False,0:41.95,2020-03-27 16:28:18 -0700,DDR4,mesh,True,True,True,False,False,,False,False,20,,,dfs,2,False,True,2,2,dor,False,,True,6,4,1,False,6,,True,,False,,4,False,40,True,True,True,H-hop,1000000000.0,False,True,,20,False,100,1,False,False,,1,65536,True,,,True,False,True,,,5,True,,0,4,True,route_min_directed_valient,False,0,1,,,200,MyDesign,1,21.10616656071202,-i100 -p100 -t1 -d100,,True,32,5,False,0.447552,69d35864,2,False,0,True,,2,16,False,143,checkerboard,route_min_directed_valient,4,,512,4,1,1,hybrid,True,False,33.56643356643357,40,True,pirTest,,,4,0.05kHz,1,0:02.82,True,bfs,,CountZero_0,False,0,0,200,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,1,False,True,AccelMain,0,False,0,1000000000,False,True
16,4,,6,True,True,db,9.217951299,,3,False,1,False,False,False,0,,,True,True,False,6,db505543,Tst,False,False,0:03.88,2020-03-27 16:28:18 -0700,DDR4,mesh,True,True,True,False,False,,False,False,20,,"src//Top.h:71:3: error: ‘DecompressAG’ does not name a type
",dfs,2,False,True,1,1,dor,False,,True,6,4,1,False,6,,False,,False,,4,False,40,,True,True,H-hop,1000000000.0,False,True,,20,False,100,1,False,False,,1,65536,True,,,True,False,False,,,3,True,,0,4,True,route_min_directed_valient,False,0,1,,,200,MyDesign,1,,-i100 -p100 -t1 -d100,,True,32,5,False,,69d35864,1,False,0,True,,1,16,False,,checkerboard,route_min_directed_valient,4,,512,4,1,1,hybrid,True,False,,40,True,pirTest,,,3,,1,,True,bfs,,DRAMCompression,False,0,0,200,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,1,False,True,AccelMain,2,False,0,1000000000,False,True
16,4,,6,True,True,db,29.375017711,,7,False,0,False,False,False,0,,1.10108,True,True,False,6,db505543,Tst,True,False,0:27.67,2020-03-27 16:28:18 -0700,DDR4,mesh,True,True,True,False,False,,False,False,20,,,dfs,2,False,True,,,dor,False,,True,6,4,2,False,6,,True,,False,,4,False,40,True,True,True,H-hop,1000000000.0,False,True,,20,False,100,2,False,False,,1,65536,True,,,True,False,True,,,7,True,,0,4,True,route_min_directed_valient,False,0,2,,,200,MyDesign,1,7.096774193548387,-i100 -p100 -t1 -d100,,True,32,5,False,1.10108,69d35864,7,False,0,True,,,16,False,930,checkerboard,route_min_directed_valient,4,,512,4,2,1,hybrid,True,False,27.526881720430108,40,True,pirTest,,,7,0.49kHz,1,0:01.88,True,bfs,,DRAMDoubleBuffer2_0,False,0,0,200,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,1,False,True,AccelMain,0,False,0,1000000000,False,True
16,4,,6,True,True,db,25.671402904,,7,False,0,False,False,False,0,,1.10108,True,True,False,6,db505543,Tst,True,False,0:28.13,2020-03-27 16:28:18 -0700,DDR4,mesh,True,True,True,False,False,,False,False,20,,,dfs,2,False,True,,,dor,False,,True,6,4,2,False,6,,True,,False,,4,False,40,True,True,True,H-hop,1000000000.0,False,True,,20,False,100,2,False,False,,1,65536,True,,,True,False,True,,,7,True,,0,4,True,route_min_directed_valient,False,0,2,,,200,MyDesign,1,7.096774193548387,-i100 -p100 -t1 -d100,,True,32,5,False,1.10108,69d35864,7,False,0,True,,,16,False,930,checkerboard,route_min_directed_valient,4,,512,4,2,1,hybrid,True,False,27.526881720430108,40,True,pirTest,,,7,0.25kHz,1,0:03.71,True,bfs,,DRAMDoubleBuffer2_1,False,0,0,200,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,1,False,True,AccelMain,0,False,0,1000000000,False,True
16,4,,6,True,True,db,26.639101344,,14,False,0,False,False,False,0,,2.17872,True,True,False,6,db505543,Tst,True,False,0:41.93,2020-03-27 16:28:18 -0700,DDR4,mesh,True,True,True,False,False,,False,False,20,,,dfs,2,False,True,,,dor,False,,True,6,4,4,False,6,,True,,False,,4,False,40,True,True,True,H-hop,1000000000.0,False,True,,20,False,100,4,False,False,,1,65536,True,,,True,False,True,,,14,True,,0,4,True,route_min_directed_valient,False,0,4,,,200,MyDesign,1,7.898936170212766,-i100 -p100 -t1 -d100,,True,32,5,False,2.17872,69d35864,14,False,0,True,,,16,False,470,checkerboard,route_min_directed_valient,4,,512,4,4,1,hybrid,True,False,27.23404255319149,40,True,pirTest,,,14,0.23kHz,1,0:02.03,True,bfs,,DRAMDoubleBuffer2_2,False,0,0,200,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,1,False,True,AccelMain,0,False,0,1000000000,False,True
16,4,,6,True,True,db,47.255818828,,21,False,0,False,False,False,0,,2.17872,True,True,False,6,db505543,Tst,True,False,1:23.08,2020-03-27 16:28:18 -0700,DDR4,mesh,True,True,True,False,False,,False,False,20,,,dfs,2,False,True,,,dor,False,,True,6,4,6,False,6,,True,,False,,4,False,40,True,True,True,H-hop,1000000000.0,False,True,,20,False,100,6,False,False,,1,65536,True,,,True,False,True,,,21,True,,0,4,True,route_min_directed_valient,False,0,6,,,200,MyDesign,1,8.233117483811286,-i100 -p100 -t1 -d100,,True,32,5,False,2.17872,69d35864,3,False,0,True,,,16,False,470,checkerboard,route_min_directed_valient,4,,512,4,6,1,hybrid,True,False,27.23404255319149,40,True,pirTest,,,21,0.16kHz,1,0:02.90,True,bfs,,DRAMDoubleBuffer2_3,False,0,0,200,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,1,False,True,AccelMain,18,False,0,1000000000,False,True
