app,project,backend,freq,spatial_sha,pir_sha,time,genpir,genpir_err,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,runp2p_cycle,runhybrid_cycle,runp2p_err,runhybrid_err,maketst_err,runproute_err,gentst_err,runp2p_pass,runhybrid_pass,runp2p_deadlock,runhybrid_deadlock,runp2p_complete,runhybrid_complete,runp2p_dram_power,runhybrid_dram_power,runp2p_rbw,runhybrid_rbw,runp2p_wbw,runhybrid_wbw,maketst_time,runp2p_time,runhybrid_time,runproute_time,gentst_time,OPS-All,OPS-FU,OPS-Fix,OPS-Flt,OPS-Other,OPS-Prog FU,notFit,MC,DAG,PMU,PCU,MC_Total,DAG_Total,PMU_Total,PCU_Total,VMC,VDAG,VPMU,VPCU,row,col,pirArgs,algo,pattern,slink,vlink,prtime,vcLimit,maxActive,avgActive,runp2p_success,runhybrid_success,succeeded,simfreq
StreamInfSVM_5,pirTest,Tst,1000000000.0,7c12204,2403efe,2019-11-11 01:41:14 -0800,True,,,,,,,,,,,,,,,232,,,,,,,True,,False,False,True,False,,,0.0,,0.0,,1:12.01,0:00.29,,,43.84267244,"77735 OP, 335.06 GOPS","2102 OP, 9.06 GOPS","11438 OP, 49.30 GOPS","1664 OP, 7.17 GOPS","64633 OP, 278.59 GOPS","2102 OP, 9.06 GOPS",,2,10,20,8,40,40,200,200,2,0,7,31,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false, --mdone",,,,,,,100.0,45.05053507728894,True,False,True,0.8kHz
StreamSumFields_0,pirTest,Tst,1000000000.0,7c12204,2403efe,2019-11-11 01:41:14 -0800,True,,,,,,,,,,,,,,,184,,,,,,,True,,False,False,True,False,,,0.0,,0.0,,0:55.11,0:00.37,,,23.204651331,"10366 OP, 56.34 GOPS","5109 OP, 27.77 GOPS","5621 OP, 30.55 GOPS",,"4745 OP, 25.79 GOPS","5109 OP, 27.77 GOPS",,2,2,2,4,40,40,200,200,2,0,2,6,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false, --mdone",,,,,,,100.0,39.45652173913043,True,False,True,0.5kHz
StreamSumFields_1,pirTest,Tst,1000000000.0,7c12204,2403efe,2019-11-11 01:41:14 -0800,True,,,,,,,,,,,,,,,182,,,,,,,True,,False,False,True,False,,,0.0,,0.0,,1:12.14,0:00.39,,,28.842402841,"16413 OP, 90.18 GOPS","5571 OP, 30.61 GOPS","7451 OP, 40.94 GOPS",,"8962 OP, 49.24 GOPS","5571 OP, 30.61 GOPS",,2,4,2,8,40,40,200,200,2,0,2,12,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false, --mdone",,,,,,,100.0,32.21153846153846,True,False,True,0.47kHz
StreamTrainLogReg_0,pirTest,Tst,1000000000.0,7c12204,2403efe,2019-11-11 01:41:14 -0800,True,,,,,,,,,,,,,,,974,,,,,,,True,,False,False,True,False,,,0.0,,0.0,,1:51.35,0:00.56,,,57.411190066,"32913 OP, 33.79 GOPS","10604 OP, 10.89 GOPS","8492 OP, 8.72 GOPS","2112 OP, 2.17 GOPS","22309 OP, 22.90 GOPS","10604 OP, 10.89 GOPS",,2,7,7,13,40,40,200,200,2,0,7,20,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false, --mdone",,,,,,,64.16837782340862,10.582846311799084,True,False,True,1.74kHz
StreamTrainLogReg_1,pirTest,Tst,1000000000.0,7c12204,2403efe,2019-11-11 01:41:14 -0800,True,,,,,,,,,,,,,,,972,,,,,,,True,,False,False,True,False,,,0.0,,0.0,,1:38.02,0:00.55,,,49.057335384,"40032 OP, 41.19 GOPS","37300 OP, 38.37 GOPS","10578 OP, 10.88 GOPS","2112 OP, 2.17 GOPS","27342 OP, 28.13 GOPS","11066 OP, 11.38 GOPS",,2,9,7,17,40,40,200,200,2,0,7,26,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false, --mdone",,,,,,,64.30041152263375,9.403888590684081,True,False,True,1.77kHz
StreamTrainLogReg_2,pirTest,Tst,1000000000.0,7c12204,2403efe,2019-11-11 01:41:14 -0800,True,,,,,,,,,,,,,,,970,,,,,,,True,,False,False,True,False,,,0.0,,0.0,,1:37.08,0:00.55,,,68.785981354,"42454 OP, 43.77 GOPS","39722 OP, 40.95 GOPS","11636 OP, 12.00 GOPS","2112 OP, 2.18 GOPS","28706 OP, 29.59 GOPS","11356 OP, 11.71 GOPS",,2,9,7,17,40,40,200,200,2,0,7,26,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false, --mdone",,,,,,,72.37113402061856,9.487524279097565,True,False,True,1.76kHz
StreamTrainLogReg_3,pirTest,Tst,1000000000.0,7c12204,2403efe,2019-11-11 01:41:14 -0800,True,,,,,,,,,,,,,,,968,,,,,,,True,,False,False,True,False,,,0.0,,0.0,,1:44.33,0:00.57,,,53.233543782,"49573 OP, 51.21 GOPS","11818 OP, 12.21 GOPS","13722 OP, 14.18 GOPS","2112 OP, 2.18 GOPS","33739 OP, 34.85 GOPS","11818 OP, 12.21 GOPS",,2,11,7,21,40,40,200,200,2,0,7,32,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false, --mdone",,,,,,,72.52066115702479,8.430035095663987,True,False,True,1.7kHz
StreamTrainLogReg_4,pirTest,Tst,1000000000.0,7c12204,2403efe,2019-11-11 01:41:14 -0800,True,,,,,,,,,,,,,,,978,,,,,,,True,,False,False,True,False,,,0.0,,0.0,,2:03.17,0:00.55,,,69.056937666,"51430 OP, 52.59 GOPS","4306 OP, 4.40 GOPS","6338 OP, 6.48 GOPS","2112 OP, 2.16 GOPS","42980 OP, 43.95 GOPS","4306 OP, 4.40 GOPS",,2,18,8,24,40,40,200,200,2,0,8,42,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false, --mdone",,,,,,,71.77914110429448,7.268036334236933,True,False,True,1.78kHz
StreamTrainLogReg_5,pirTest,Tst,1000000000.0,7c12204,2403efe,2019-11-11 01:41:14 -0800,True,,,,,,,,,,,,,,,986,,,,,,,True,,False,False,True,False,,,0.0,,0.0,,1:59.70,0:00.62,,,85.446882253,"60349 OP, 61.21 GOPS","12069 OP, 12.24 GOPS","14485 OP, 14.69 GOPS","2112 OP, 2.14 GOPS","43752 OP, 44.37 GOPS","12069 OP, 12.24 GOPS",,2,17,28,7,40,40,200,200,2,0,7,45,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false, --mdone",,,,,,,89.45233265720081,7.6402974983096685,True,False,True,1.59kHz
StreamTrainLogReg_6,pirTest,Tst,1000000000.0,7c12204,2403efe,2019-11-11 01:41:14 -0800,True,,,,,,,,,,,,,,,968,,,,,,,True,,False,False,True,False,,,0.0,,0.0,,1:41.27,0:00.51,,,45.518656027,"20886 OP, 21.58 GOPS","7607 OP, 7.86 GOPS","6071 OP, 6.27 GOPS","1536 OP, 1.59 GOPS","13279 OP, 13.72 GOPS","7607 OP, 7.86 GOPS",,2,7,7,13,40,40,200,200,2,0,7,20,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false, --mdone",,,,,,,81.19834710743801,9.030514939605848,True,False,True,1.9kHz
