gentst_err,VPMU,VAFG,pattern,pir_sha,VPCU,VPMU-alloc,VPCU-split,runhybrid_err,freq,runhybrid_wbw,runhybrid_rbw,algo,OPS-Fix,col,runp2p_dram_power,PCU,mergeTime_ms,spatial_sha,maketst_time,pirArgs,runhybrid_complete,OPS-All,slink,VBB-alloc,OPS-Flt,DAG_Total,VPMU-split,VAFG-split,maketst_err,PMU_Total,runproute_time,OPS-Prog FU,runp2p_wbw,OPS-FU,VPCU-alloc,DAG,runp2p_err,maxActive,runp2p_success,runhybrid_deadlock,runp2p_cycle,MC,PCU_Total,app,runhybrid_dram_power,prtime,genpir_err,runproute_err,genpir,runp2p_pass,succeeded,OPS-Other,project,VAFG-alloc,MC_Total,runhybrid_time,VBB-split,runp2p_deadlock,VMC,vcLimit,avgActive,runhybrid_pass,runp2p_time,runhybrid_success,VMC-split,row,gentst_time,VDAG-split,vlink,runhybrid_cycle,simfreq,runp2p_complete,runp2p_rbw,notFit,VDAG-alloc,backend,PMU,VDAG,time,VMC-alloc
,,1,,170c1505,9,,23,,1000000000.0,,,,,20,,5,52150.572189,7f5b887d,1:34.94,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",False,,,,,40,,1,,200,,,2.0898,,23,0,,26.122448979591837,True,False,490,6,200,DRAMDoubleBuffer2_3,,,,,True,True,True,,pirTest,1,40,,,False,6,,9.355102040816327,,0:00.65,False,6,20,92.555361194,0,,,0.75kHz,True,2.0898,,0,Tst,4,0,2020-01-09 18:14:56 -0800,6
,,1,,170c1505,9,,23,,1000000000.0,,,,,20,,4,23497.736937,7f5b887d,1:01.36,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",False,,,,,40,,1,,200,,,2.76757,,23,0,,2.1621621621621623,True,False,370,6,200,DRAMDoubleBuffer2_4,,,,,True,True,True,,pirTest,1,40,,,False,6,,2.0108108108108107,,0:00.46,False,6,20,49.422351348,0,,,0.8kHz,True,2.76757,,0,Tst,5,0,2020-01-09 18:14:56 -0800,6
,,1,,170c1505,5,,13,,1000000000.0,,,,,20,,0,3404.363189,7f5b887d,0:53.17,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",False,,,,,40,,1,,200,,,2.33257,,13,2,,58.31435079726651,True,False,439,4,200,DRAMDoubleBuffer_0,,,,,True,True,True,,pirTest,1,40,,,False,4,,16.552771450265755,,0:00.45,False,4,20,24.505297391,0,,,0.98kHz,True,2.33257,,0,Tst,3,0,2020-01-09 18:14:56 -0800,4
,,1,,170c1505,4,,11,,1000000000.0,,,,,20,,1,5065.145441,7f5b887d,1:01.70,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",False,,,,,40,,1,,200,,,4.17959,,11,0,,6.530612244897959,True,False,245,4,200,DRAMDoubleBuffer_1,,,,,True,True,True,,pirTest,1,40,,,False,4,,3.579277864992151,,0:00.62,False,4,20,27.677263555,0,,,0.4kHz,True,4.17959,,0,Tst,3,0,2020-01-09 18:14:56 -0800,4
,,1,,170c1505,8,,22,,1000000000.0,,,,,20,,2,19422.150814,7f5b887d,1:22.67,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",False,,,,,40,,1,,200,,,4.28452,,22,1,,3.3472803347280333,True,False,239,8,200,DRAMDoubleBuffer_2,,,,,True,True,True,,pirTest,1,40,,,False,8,,1.9874476987447698,,0:00.56,False,8,20,51.542839192,0,,,0.43kHz,True,4.28452,,0,Tst,5,0,2020-01-09 18:14:56 -0800,8
,,1,,170c1505,14,,37,,1000000000.0,,,,,20,,2,537513.270058,7f5b887d,2:43.94,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",False,,,,,40,,1,,200,,,4.28452,,37,1,,3.3472803347280333,True,False,239,12,200,DRAMDoubleBuffer_3,,,,,True,True,True,,pirTest,1,40,,,False,12,,1.9954940457032506,,0:00.68,False,12,20,593.216074129,0,,,0.35kHz,True,4.28452,,0,Tst,11,0,2020-01-09 18:14:56 -0800,12
,,,,170c1505,,,19,,1000000000.0,,,,,20,,,,7f5b887d,,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",False,,,,,,,1,,,,,,,19,,,,False,False,,,,DRAMMergeSort_0,,,,,True,,False,,pirTest,1,,,,False,,,,,,False,3,20,,0,,,,False,,,0,Tst,,,2020-01-09 18:14:56 -0800,3
,,1,,170c1505,7,,19,,1000000000.0,,,,,20,,1,8753971.587408,7f5b887d,1:37.87,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",False,,,,,40,,1,,200,,,35.5928,,19,1,,55.61381154304096,True,False,95746,3,200,DRAMMergeSort_1,,,,,True,,True,,pirTest,1,40,,,False,3,,16.791406429511415,,0:09.62,False,3,20,8791.247957628,0,,,9.95kHz,True,35.5928,,0,Tst,5,0,2020-01-09 18:14:56 -0800,3
,,1,,170c1505,11,,37,,1000000000.0,,,,,20,,4,1234673.126714,7f5b887d,2:03.53,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",False,,,,,40,,1,,200,,,46.0579,,37,1,,38.75065886391588,True,False,73991,6,200,DRAMMergeSort_2,,,,,True,,True,,pirTest,1,40,,,False,6,,12.493520943197256,,0:11.09,False,6,20,1284.802691125,0,,,6.67kHz,True,46.0579,,0,Tst,6,0,2020-01-09 18:14:56 -0800,6
,,1,,170c1505,18,,55,,1000000000.0,,,,,20,,7,6851425.418361,7f5b887d,4:06.20,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",False,,,,,40,,1,,200,,,52.8131,,55,3,,34.55917677871279,True,False,64527,9,200,DRAMMergeSort_3,,,,,True,,True,,pirTest,1,40,,,False,9,,11.191783628902975,,0:17.03,False,9,20,6945.518044107,0,,,3.79kHz,True,52.8131,,0,Tst,8,0,2020-01-09 18:14:56 -0800,9
