maketst_err,project,VAFG-split,run-psim,OPS-Other,memelm,DAG_Total,PCU,row,load,VBB,OPS-Prog FU,OPS-FU,pcu-stage,run-proute,OPS-All,retime-glob,vfifo,runp2p_complete,vdot,topo,flit-width,succeeded,simfreq,VBB-alloc,argin,igraph,col,psim-q,mapping,VAFG,save,fast,VPMU-alloc,net,word,module,rundot,codegen,retime-buffer-only,tokenout,retime-local,dag,maketst_time,argout,runhybrid_wbw,vc,debug,debug-print,PCU_Total,runp2p_success,algo,dag-stage,VDAG-split,proute-algo,VMC-alloc,open,runhybrid_time,avgActive,time-out,trace,time,VDAG,lrange,VBB-split,runp2p_time,runhybrid_cycle,DAG,tungsten,runhybrid_deadlock,split-forward,runhybrid_pass,OPS-Flt,link-prop,runhybrid_err,runp2p_pass,VPMU,proute-opts,slink,VDAG-alloc,prtime,runp2p_wbw,backend,pmu-sram-size,pmu-stage,stat,runhybrid_dram_power,runhybrid_success,VMC-split,pattern,verbose,dupra,runproute_time,OPS-Fix,split-thread,MC,scheduled,runp2p_deadlock,MC_Total,VPMU-split,mem-tech,run-tst,waveform,routing-algo,clock,merge,merge-algo,reserve-pcu,mdone,app,VAFG-alloc,simulate,spatial_sha,pracc,reserve-pmu,vec,psim,genpir_err,dedicated-dag,arch,constprop,runp2p_err,runp2p_rbw,split-algo,split,proute-q,pirArgs,name,PMU_Total,VPCU-split,start-id,gentst_time,runproute_err,nn,maxActive,VPCU-alloc,VPCU,vlink,bcread,genpir,freq,ag-dce,fifo-depth,VMC,notFit,PMU,sr,dot,rtelm,runp2p_cycle,proute-seed,runp2p_dram_power,mergeTime_ms,runhybrid_complete,routing-cost,vcLimit,pir_sha,merge-forward,gentst_err,retime-exout,runhybrid_rbw
,pirTest,1,False,,False,40,0,20,False,,,,6,False,,False,4,True,True,mesh,512,True,0.37kHz,,6,False,20,1,True,1,True,True,,hybrid,32,False,True,True,False,5,False,True,1:41.13,4,,4,True,True,200,True,route_min_directed_valient,6,0,route_min_directed_valient,6,False,,9.355102040816327,100,False,2020-03-10 22:25:22 -0700,0,True,,0:01.34,,20,True,False,False,,,db,,True,,-i100 -p100 -t1 -d100,4,0,,2.0898,Tst,65536,6,True,,False,6,checkerboard,False,False,,,1,6,False,False,40,,DDR4,False,True,dor,1000000000,False,bfs,0,True,DRAMDoubleBuffer2_3,1,False,d860f9fb,True,0,16,False,,False,MyDesign,True,,2.0898,dfs,True,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",AccelMain,200,23,0,44.701165481,,False,26.122448979591837,23,23,2,True,True,1000000000.0,True,16,6,,3,True,True,True,490,0,,,False,H-hop,4,d0d7caf8,False,,False,
,pirTest,1,False,,False,40,0,20,False,,,,6,False,,False,4,True,True,mesh,512,True,0.19kHz,,6,False,20,1,True,1,True,True,,hybrid,32,False,True,True,False,5,False,True,2:05.97,4,,4,True,True,200,True,route_min_directed_valient,6,0,route_min_directed_valient,6,False,,2.0108108108108107,100,False,2020-03-10 22:25:22 -0700,0,True,,0:01.91,,12,True,False,False,,,db,,True,,-i100 -p100 -t1 -d100,4,0,,2.76757,Tst,65536,6,True,,False,6,checkerboard,False,False,,,1,6,False,False,40,,DDR4,False,True,dor,1000000000,False,bfs,0,True,DRAMDoubleBuffer2_4,1,False,d860f9fb,True,0,16,False,,False,MyDesign,True,,2.76757,dfs,True,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",AccelMain,200,23,0,74.896539334,,False,2.1621621621621623,23,23,2,True,True,1000000000.0,True,16,6,,11,True,True,True,370,0,,,False,H-hop,4,d0d7caf8,False,,False,
,pirTest,1,False,,False,40,0,20,False,,,,6,False,,False,4,True,True,mesh,512,True,0.45kHz,,6,False,20,1,True,1,True,True,,hybrid,32,False,True,True,False,5,False,True,1:21.99,4,,4,True,True,200,True,route_min_directed_valient,6,0,route_min_directed_valient,4,False,,15.935672514619883,100,False,2020-03-10 22:25:22 -0700,0,True,,0:01.01,,0,True,False,False,,,db,,True,,-i100 -p100 -t1 -d100,4,0,,2.24561,Tst,65536,6,True,,False,4,checkerboard,False,False,,,1,4,False,False,40,,DDR4,False,True,dor,1000000000,False,bfs,0,True,DRAMDoubleBuffer_0,1,False,d860f9fb,True,0,16,False,,False,MyDesign,True,,2.24561,dfs,True,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",AccelMain,200,13,0,44.623542276,,False,56.14035087719298,13,13,2,True,True,1000000000.0,True,16,4,,13,True,True,True,456,0,,,False,H-hop,4,d0d7caf8,False,,False,
,pirTest,1,False,,False,40,0,20,False,,,,6,False,,False,4,True,True,mesh,512,True,0.21kHz,,6,False,20,1,True,1,True,True,,hybrid,32,False,True,True,False,5,False,True,1:05.94,4,,4,True,True,200,True,route_min_directed_valient,6,0,route_min_directed_valient,4,False,,3.4660991182730316,100,False,2020-03-10 22:25:22 -0700,0,True,,0:01.19,,7,True,False,False,,,db,,True,,-i100 -p100 -t1 -d100,4,0,,4.04743,Tst,65536,6,True,,False,4,checkerboard,False,False,,,1,4,False,False,40,,DDR4,False,True,dor,1000000000,False,bfs,0,True,DRAMDoubleBuffer_1,1,False,d860f9fb,True,0,16,False,,False,MyDesign,True,,4.04743,dfs,True,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",AccelMain,200,11,0,42.191908891,,False,6.324110671936759,11,11,2,True,True,1000000000.0,True,16,4,,4,True,True,True,253,0,,,False,H-hop,4,d0d7caf8,False,,False,
"lto1: fatal error: bytecode stream in file ‘/tmp/ccm8FFNZ.ltrans2.o’ generated with LTO version 7.1 instead of the expected 7.3
",pirTest,1,False,,False,40,0,20,False,,,,6,False,,False,4,False,True,mesh,512,False,,,6,False,20,1,True,1,True,True,,hybrid,32,False,True,True,False,5,False,True,0:49.35,4,,4,True,True,200,False,route_min_directed_valient,6,0,route_min_directed_valient,8,False,,,100,False,2020-03-10 22:25:22 -0700,0,True,,,,14,True,False,False,,,db,,,,-i100 -p100 -t1 -d100,4,0,,,Tst,65536,6,True,,False,8,checkerboard,False,False,,,1,8,False,False,40,,DDR4,False,True,dor,1000000000,False,bfs,0,True,DRAMDoubleBuffer_2,1,False,d860f9fb,True,0,16,False,,False,MyDesign,True,,,dfs,True,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",AccelMain,200,22,0,85.796375228,,False,,22,22,2,True,True,1000000000.0,True,16,8,,8,True,True,True,,0,,,False,H-hop,4,d0d7caf8,False,,False,
,pirTest,1,False,,False,40,0,20,False,,,,6,False,,False,4,True,True,mesh,512,True,0.28kHz,,6,False,20,1,True,1,True,True,,hybrid,32,False,True,True,False,5,False,True,2:10.82,4,,4,True,True,200,True,route_min_directed_valient,6,0,route_min_directed_valient,12,False,,2.0208604954367666,100,False,2020-03-10 22:25:22 -0700,0,True,,0:00.83,,9,True,False,False,,,db,,True,,-i100 -p100 -t1 -d100,4,0,,4.33898,Tst,65536,6,True,,False,12,checkerboard,False,False,,,1,12,False,False,40,,DDR4,False,True,dor,1000000000,False,bfs,0,True,DRAMDoubleBuffer_3,1,False,d860f9fb,True,0,16,False,,False,MyDesign,True,,4.33898,dfs,True,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",AccelMain,200,37,0,91.126163151,,False,3.389830508474576,37,37,2,True,True,1000000000.0,True,16,12,,28,True,True,True,236,0,,,False,H-hop,4,d0d7caf8,False,,False,
,pirTest,1,False,,False,40,11,20,False,,,,6,False,,False,4,True,True,mesh,512,True,1.17kHz,,6,False,20,1,True,1,True,True,,hybrid,32,False,True,True,False,5,False,True,3:08.69,4,,4,True,True,200,True,route_min_directed_valient,6,0,route_min_directed_valient,3,False,,20.490301037444876,100,False,2020-03-10 22:25:22 -0700,0,True,,1:06.95,,6,True,False,False,,,db,,,,-i100 -p100 -t1 -d100,4,0,,43.4334,Tst,65536,6,True,,False,3,checkerboard,False,False,,,1,3,False,False,40,,DDR4,False,True,dor,1000000000,False,bfs,0,True,DRAMMergeSort_0,1,False,d860f9fb,True,0,16,False,,False,MyDesign,True,,43.4334,dfs,True,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",AccelMain,200,19,0,59.967659502,,False,67.86469883510489,19,19,2,True,True,1000000000.0,True,16,3,,2,True,True,True,78462,0,,,False,H-hop,4,d0d7caf8,False,,False,
,pirTest,1,False,,False,40,11,20,False,,,,6,False,,False,4,True,True,mesh,512,True,1.2kHz,,6,False,20,1,True,1,True,True,,hybrid,32,False,True,True,False,5,False,True,0:51.96,4,,4,True,True,200,True,route_min_directed_valient,6,0,route_min_directed_valient,3,False,,20.71150675048954,100,False,2020-03-10 22:25:22 -0700,0,True,,1:04.50,,6,True,False,False,,,db,,,,-i100 -p100 -t1 -d100,4,0,,43.9023,Tst,65536,6,True,,False,3,checkerboard,False,False,,,1,3,False,False,40,,DDR4,False,True,dor,1000000000,False,bfs,0,True,DRAMMergeSort_1,1,False,d860f9fb,True,0,16,False,,False,MyDesign,True,,43.9023,dfs,True,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",AccelMain,200,19,0,22.275774387,,False,68.59734102854787,19,19,2,True,True,1000000000.0,True,16,3,,2,True,True,True,77624,0,,,False,H-hop,4,d0d7caf8,False,,False,
,pirTest,1,False,,False,40,22,20,False,,,,6,False,,False,4,True,True,mesh,512,True,0.67kHz,,6,False,20,1,True,1,True,True,,hybrid,32,False,True,True,False,5,False,True,3:04.78,4,,4,True,True,200,True,route_min_directed_valient,6,0,route_min_directed_valient,6,False,,13.770006972950428,100,False,2020-03-10 22:25:22 -0700,0,True,,1:40.47,,11,True,False,False,,,db,,,,-i100 -p100 -t1 -d100,4,0,,50.7637,Tst,65536,6,True,,False,6,checkerboard,False,False,,,1,6,False,False,40,,DDR4,False,True,dor,1000000000,False,bfs,0,True,DRAMMergeSort_2,1,False,d860f9fb,True,0,16,False,,False,MyDesign,True,,50.7637,dfs,True,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",AccelMain,200,37,0,75.03483568,,False,42.70988500268128,37,37,2,True,True,1000000000.0,True,16,6,,4,True,True,True,67132,0,,,False,H-hop,4,d0d7caf8,False,,False,
"lto1: fatal error: bytecode stream in file ‘build//Context981.o’ generated with LTO version 7.1 instead of the expected 7.3
",pirTest,1,False,,False,40,33,20,False,,,,6,False,,False,4,False,True,mesh,512,False,,,6,False,20,1,True,1,True,True,,hybrid,32,False,True,True,False,5,False,True,1:02.48,4,,4,True,True,200,False,route_min_directed_valient,6,0,route_min_directed_valient,9,False,,,100,False,2020-03-10 22:25:22 -0700,0,True,,,,16,True,False,False,,,db,,,,-i100 -p100 -t1 -d100,4,0,,,Tst,65536,6,True,,False,9,checkerboard,False,False,,,1,9,False,False,40,,DDR4,False,True,dor,1000000000,False,bfs,0,True,DRAMMergeSort_3,1,False,d860f9fb,True,0,16,False,,False,MyDesign,True,,,dfs,True,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",AccelMain,200,55,0,145.993790128,,False,,55,55,2,True,True,1000000000.0,True,16,9,,6,True,True,True,,0,,,False,H-hop,4,d0d7caf8,False,,False,
