retime-local,run-proute,MC,VPCU,pir_sha,simulate,routing-algo,waveform,runp2p_success,reserve-pmu,dot,vdot,OPS-Other,runp2p_err,retime-glob,spatial_sha,run-psim,PCU,VAFG-split,runp2p_dram_power,VPMU,project,runproute_err,name,stat,VPMU-split,merge-forward,VMC-alloc,module,debug-print,tungsten,VDAG-alloc,mem-tech,proute-q,open,runp2p_cycle,ag-dce,VAFG,runhybrid_deadlock,run-tst,link-prop,DAG,OPS-FU,DAG_Total,runhybrid_complete,gentst_err,bcread,load,vec,pirArgs,vc,constprop,runhybrid_dram_power,VMC-split,vfifo,memelm,flit-width,vcLimit,retime-buffer-only,simfreq,OPS-Fix,start-id,pmu-stage,runproute_time,nn,VPCU-split,maketst_err,fast,pracc,scheduled,mergeTime_ms,VAFG-alloc,merge,runp2p_complete,OPS-Flt,VPMU-alloc,runp2p_deadlock,MC_Total,arch,rundot,maxActive,VDAG,app,dag-stage,net,maketst_time,split-thread,vlink,gentst_time,PCU_Total,runhybrid_rbw,mdone,runp2p_time,col,rtelm,runhybrid_pass,runhybrid_success,save,proute-algo,time,debug,avgActive,pcu-stage,routing-cost,runhybrid_time,proute-opts,sr,word,merge-algo,dupra,dag,row,codegen,VMC,dedicated-dag,algo,time-out,pattern,trace,notFit,backend,freq,split-forward,PMU,VDAG-split,OPS-Prog FU,psim-q,succeeded,split,fifo-depth,topo,genpir,genpir_err,OPS-All,runhybrid_cycle,runp2p_pass,runhybrid_err,runp2p_wbw,clock,lrange,argin,mapping,psim,runp2p_rbw,reserve-pcu,slink,pmu-sram-size,prtime,VPCU-alloc,retime-exout,PMU_Total,verbose,igraph,proute-seed,tokenout,runhybrid_wbw,argout,split-algo
False,False,6,23,c3832f82,False,dor,True,True,0,True,True,,,False,28cdff47,False,0,1,,,pirTest,,AccelMain,True,,False,6,False,True,True,0,DDR4,4,False,490,True,1,False,False,db,20,,40,False,,True,False,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",4,True,,6,4,False,512,4,False,0.35kHz,,0,6,,False,23,,True,True,False,,1,False,True,,,False,40,MyDesign,True,26.122448979591837,0,DRAMDoubleBuffer2_3,6,hybrid,1:33.26,1,2,39.227401605,200,,True,0:01.41,20,True,,False,True,route_min_directed_valient,2020-02-19 00:19:44 -0800,True,9.355102040816327,6,H-hop,,-i100 -p100 -t1 -d100,True,32,bfs,False,True,20,True,6,False,route_min_directed_valient,100,checkerboard,False,,Tst,1000000000.0,False,3,0,,1,True,True,16,mesh,True,,,,True,,2.0898,1000000000,True,6,True,False,2.0898,0,4,65536,,23,False,200,False,False,0,5,,4,dfs
False,False,6,23,c3832f82,False,dor,True,True,0,True,True,,,False,28cdff47,False,0,1,,,pirTest,,AccelMain,True,,False,6,False,True,True,0,DDR4,4,False,370,True,1,False,False,db,12,,40,False,,True,False,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",4,True,,6,4,False,512,4,False,0.56kHz,,0,6,,False,23,,True,True,False,,1,False,True,,,False,40,MyDesign,True,2.1621621621621623,0,DRAMDoubleBuffer2_4,6,hybrid,0:44.94,1,2,27.840194427,200,,True,0:00.66,20,True,,False,True,route_min_directed_valient,2020-02-19 00:19:44 -0800,True,2.0108108108108107,6,H-hop,,-i100 -p100 -t1 -d100,True,32,bfs,False,True,20,True,6,False,route_min_directed_valient,100,checkerboard,False,,Tst,1000000000.0,False,11,0,,1,True,True,16,mesh,True,,,,True,,2.76757,1000000000,True,6,True,False,2.76757,0,4,65536,,23,False,200,False,False,0,5,,4,dfs
False,False,4,13,c3832f82,False,dor,True,True,0,True,True,,,False,28cdff47,False,0,1,,,pirTest,,AccelMain,True,,False,4,False,True,True,0,DDR4,4,False,456,True,1,False,False,db,0,,40,False,,True,False,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",4,True,,4,4,False,512,4,False,0.46kHz,,0,6,,False,13,,True,True,False,,1,False,True,,,False,40,MyDesign,True,56.14035087719298,0,DRAMDoubleBuffer_0,6,hybrid,0:27.75,1,2,15.646929157,200,,True,0:00.99,20,True,,False,True,route_min_directed_valient,2020-02-19 00:19:44 -0800,True,15.935672514619883,6,H-hop,,-i100 -p100 -t1 -d100,True,32,bfs,False,True,20,True,4,False,route_min_directed_valient,100,checkerboard,False,,Tst,1000000000.0,False,13,0,,1,True,True,16,mesh,True,,,,True,,2.24561,1000000000,True,6,True,False,2.24561,0,4,65536,,13,False,200,False,False,0,5,,4,dfs
False,False,4,11,c3832f82,False,dor,True,True,0,True,True,,,False,28cdff47,False,0,1,,,pirTest,,AccelMain,True,,False,4,False,True,True,0,DDR4,4,False,253,True,1,False,False,db,7,,40,False,,True,False,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",4,True,,4,4,False,512,4,False,0.36kHz,,0,6,,False,11,,True,True,False,,1,False,True,,,False,40,MyDesign,True,6.324110671936759,0,DRAMDoubleBuffer_1,6,hybrid,0:25.25,1,2,25.829019891,200,,True,0:00.71,20,True,,False,True,route_min_directed_valient,2020-02-19 00:19:44 -0800,True,3.4660991182730316,6,H-hop,,-i100 -p100 -t1 -d100,True,32,bfs,False,True,20,True,4,False,route_min_directed_valient,100,checkerboard,False,,Tst,1000000000.0,False,4,0,,1,True,True,16,mesh,True,,,,True,,4.04743,1000000000,True,6,True,False,4.04743,0,4,65536,,11,False,200,False,False,0,5,,4,dfs
False,False,8,22,c3832f82,False,dor,True,True,0,True,True,,,False,28cdff47,False,0,1,,,pirTest,,AccelMain,True,,False,8,False,True,True,0,DDR4,4,False,236,True,1,False,False,db,14,,40,False,,True,False,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",4,True,,8,4,False,512,4,False,0.16kHz,,0,6,,False,22,,True,True,False,,1,False,True,,,False,40,MyDesign,True,3.389830508474576,0,DRAMDoubleBuffer_2,6,hybrid,1:29.93,1,2,60.870952934,200,,True,0:01.52,20,True,,False,True,route_min_directed_valient,2020-02-19 00:19:44 -0800,True,2.01271186440678,6,H-hop,,-i100 -p100 -t1 -d100,True,32,bfs,False,True,20,True,8,False,route_min_directed_valient,100,checkerboard,False,,Tst,1000000000.0,False,8,0,,1,True,True,16,mesh,True,,,,True,,4.33898,1000000000,True,6,True,False,4.33898,0,4,65536,,22,False,200,False,False,0,5,,4,dfs
False,False,12,37,c3832f82,False,dor,True,True,0,True,True,,,False,28cdff47,False,0,1,,,pirTest,,AccelMain,True,,False,12,False,True,True,0,DDR4,4,False,236,True,1,False,False,db,9,,40,False,,True,False,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",4,True,,12,4,False,512,4,False,0.13kHz,,0,6,,False,37,,True,True,False,,1,False,True,,,False,40,MyDesign,True,3.389830508474576,0,DRAMDoubleBuffer_3,6,hybrid,1:50.32,1,2,56.230193954,200,,True,0:01.88,20,True,,False,True,route_min_directed_valient,2020-02-19 00:19:44 -0800,True,2.0208604954367666,6,H-hop,,-i100 -p100 -t1 -d100,True,32,bfs,False,True,20,True,12,False,route_min_directed_valient,100,checkerboard,False,,Tst,1000000000.0,False,28,0,,1,True,True,16,mesh,True,,,,True,,4.33898,1000000000,True,6,True,False,4.33898,0,4,65536,,37,False,200,False,False,0,5,,4,dfs
False,False,3,19,c3832f82,False,dor,True,True,0,True,True,,,False,28cdff47,False,11,1,,,pirTest,,AccelMain,True,,False,3,False,True,True,0,DDR4,4,False,77959,True,1,False,False,db,6,,40,False,,True,False,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",4,True,,3,4,False,512,4,False,2.28kHz,,0,6,,False,19,,True,True,False,,1,False,True,,,False,40,MyDesign,True,68.30256929924704,0,DRAMMergeSort_0,6,hybrid,1:02.27,1,2,33.702949123,200,,True,0:34.22,20,True,,False,True,route_min_directed_valient,2020-02-19 00:19:44 -0800,True,20.622506702240923,6,H-hop,,-i100 -p100 -t1 -d100,True,32,bfs,False,True,20,True,3,False,route_min_directed_valient,100,checkerboard,False,,Tst,1000000000.0,False,2,0,,1,True,True,16,mesh,True,,,,,,43.7136,1000000000,True,6,True,False,43.7136,0,4,65536,,19,False,200,False,False,0,5,,4,dfs
False,False,3,19,c3832f82,False,dor,True,True,0,True,True,,,False,28cdff47,False,11,1,,,pirTest,,AccelMain,True,,False,3,False,True,True,0,DDR4,4,False,77795,True,1,False,False,db,6,,40,False,,True,False,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",4,True,,3,4,False,512,4,False,2.74kHz,,0,6,,False,19,,True,True,False,,1,False,True,,,False,40,MyDesign,True,68.4465582620991,0,DRAMMergeSort_1,6,hybrid,0:54.49,1,2,33.482414701,200,,True,0:28.36,20,True,,False,True,route_min_directed_valient,2020-02-19 00:19:44 -0800,True,20.665981104184073,6,H-hop,,-i100 -p100 -t1 -d100,True,32,bfs,False,True,20,True,3,False,route_min_directed_valient,100,checkerboard,False,,Tst,1000000000.0,False,2,0,,1,True,True,16,mesh,True,,,,,,43.8058,1000000000,True,6,True,False,43.8058,0,4,65536,,19,False,200,False,False,0,5,,4,dfs
False,False,6,37,c3832f82,False,dor,True,True,0,True,True,,,False,28cdff47,False,22,1,,,pirTest,,AccelMain,True,,False,6,False,True,True,0,DDR4,4,False,67333,True,1,False,False,db,11,,40,False,,True,False,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",4,True,,6,4,False,512,4,False,1.85kHz,,0,6,,False,37,,True,True,False,,1,False,True,,,False,40,MyDesign,True,42.58238902172783,0,DRAMMergeSort_2,6,hybrid,1:38.39,1,2,57.899493323,200,,True,0:36.33,20,True,,False,True,route_min_directed_valient,2020-02-19 00:19:44 -0800,True,13.728901253591971,6,H-hop,,-i100 -p100 -t1 -d100,True,32,bfs,False,True,20,True,6,False,route_min_directed_valient,100,checkerboard,False,,Tst,1000000000.0,False,4,0,,1,True,True,16,mesh,True,,,,,,50.6122,1000000000,True,6,True,False,50.6122,0,4,65536,,37,False,200,False,False,0,5,,4,dfs
False,False,9,55,c3832f82,False,dor,True,True,0,True,True,,,False,28cdff47,False,33,1,,,pirTest,,AccelMain,True,,False,9,False,True,True,0,DDR4,4,False,61093,True,1,False,False,db,16,,40,False,,True,False,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",4,True,,9,4,False,512,4,False,1.28kHz,,0,6,,False,55,,True,True,False,,1,False,True,,,False,40,MyDesign,True,36.50172687541944,0,DRAMMergeSort_3,6,hybrid,3:26.43,1,2,103.285254119,200,,True,0:47.77,20,True,,False,True,route_min_directed_valient,2020-02-19 00:19:44 -0800,True,11.82086691146649,6,H-hop,,-i100 -p100 -t1 -d100,True,32,bfs,False,True,20,True,9,False,route_min_directed_valient,100,checkerboard,False,,Tst,1000000000.0,False,6,0,,1,True,True,16,mesh,True,,,,,,55.7817,1000000000,True,6,True,False,55.7817,0,4,65536,,55,False,200,False,False,0,5,,4,dfs
