memelm,fast,PCU_Total,col,mergeTime_ms,psim-q,VAFG-split,mem-tech,reserve-dag,debug-print,runp2p_time,VPMU-alloc,start-id,runp2p_rbw,tungsten,load,rtelm,retime-glob,dag-stage,merge-forward,runp2p_err,VBB-alloc,runhybrid_cycle,succeeded,dupra,notFit,argout,pmu-sram-size,runhybrid_success,simfreq,VMC,VMC-split,run-proute,dedicated-dag,VAFG,topo,algo,split,OPS-All,runp2p_wbw,word,routing-cost,maketst_err,runhybrid_time,runhybrid_pass,lrange,slink,pattern,argin,runhybrid_deadlock,pir_sha,routing-algo,gentst_err,OPS-Prog FU,save,OPS-FU,DAG,VBB-split,psim,dot,VPCU-split,stat,igraph,VMC-alloc,fifo-depth,runhybrid_rbw,rtanal,verbose,runp2p_success,dag,OPS-Fix,avgActive,maxActive,share-adctx,app,reserve-pmu,vdot,simulate,retime-exout,PMU_Total,VPMU-split,merge,runhybrid_err,reserve-pcu,OPS-Other,proute-opts,VDAG-split,constprop,vfifo,ag-dce,backend,MC_Total,VDAG-alloc,pracc,retime-local,vec,merge-algo,runp2p_complete,runproute_time,tokenout,DAG_Total,run-psim,runhybrid_wbw,runhybrid_complete,runp2p_cycle,PCU,runproute_err,MC,bcread,clock,name,split-forward,time-out,nn,spatial_sha,freq,runhybrid_dram_power,vc,split-thread,time,scheduled,proute-q,mdone,PMU,codegen,VBB,rtelm-unsafe,waveform,pcu-stage,arch,run-tst,prtime,VAFG-alloc,proute-algo,OPS-Flt,gentst_time,link-prop,retime-buffer-only,rundot,vcLimit,sr,trace,maketst_time,genpir,proute-seed,mapping,VPMU,flit-width,runp2p_deadlock,pmu-stage,VDAG,debug,genpir_err,runp2p_pass,pirArgs,module,project,open,split-algo,VPCU,row,vlink,net,VPCU-alloc,runp2p_dram_power
False,True,200,20,,1,1,DDR4,0,True,0:01.30,2,0,0.0,True,False,True,False,6,False,,,,True,False,,4,65536,False,0.06kHz,1,1,False,False,1,mesh,route_min_directed_valient,True,,1.64103,32,H-hop,,,,True,4,checkerboard,6,False,74000d73,dor,,,True,,3,,False,True,4,True,False,1,16,,True,False,True,True,,14.003944773175544,41.02564102564103,False,BankEnable_0,0,True,False,False,200,2,False,,0,,-i100 -p100 -t1 -d100,0,True,4,True,Tst,40,0,True,False,16,bfs,True,,5,40,False,,False,78,2,,1,True,1000000000,AccelMain,False,100,False,55a8709f,1000000000.0,,4,1,2020-04-05 15:12:53 -0700,False,4,True,2,True,,False,True,6,MyDesign,False,,1,route_min_directed_valient,,21.612281201,db,False,True,4,True,False,0:37.90,True,0,True,2,512,False,6,0,True,,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",False,pirTest,False,dfs,4,20,2,hybrid,4,
False,True,200,20,,1,1,DDR4,0,True,0:00.33,6,0,0.0,True,False,True,False,6,False,,,,True,False,,4,65536,False,0.41kHz,1,1,False,False,1,mesh,route_min_directed_valient,True,,0.955224,32,H-hop,,,,True,4,checkerboard,6,False,74000d73,dor,,,True,,10,,False,True,25,True,False,1,16,,True,False,True,True,,10.058403634003893,11.940298507462687,False,BankRange_0,0,True,False,False,200,6,False,,0,,-i100 -p100 -t1 -d100,0,True,4,True,Tst,40,0,True,False,16,bfs,True,,5,40,False,,False,134,15,,1,True,1000000000,AccelMain,False,100,False,55a8709f,1000000000.0,,4,1,2020-04-05 15:12:53 -0700,False,4,True,6,True,,False,True,6,MyDesign,False,,1,route_min_directed_valient,,61.891730794,db,False,True,4,True,False,1:05.76,True,0,True,6,512,False,6,0,True,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",False,pirTest,False,dfs,25,20,2,hybrid,13,
False,True,200,20,,1,1,DDR4,0,True,0:37.92,6,0,27.9635,True,False,True,False,6,False,,,,True,False,,4,65536,False,2.97kHz,7,7,False,False,1,mesh,route_min_directed_valient,True,,4.66059,32,H-hop,,,,True,4,checkerboard,6,False,74000d73,dor,,,True,,8,,False,True,41,True,False,7,16,,True,False,True,True,,5.673356842597497,7.282166159972976,False,BlackScholes_0,0,True,False,False,200,6,False,,0,,-i100 -p100 -t1 -d100,0,True,4,True,Tst,40,0,True,False,16,bfs,True,,5,40,False,,False,112494,32,,7,True,1000000000,AccelMain,False,100,False,55a8709f,1000000000.0,,4,1,2020-04-05 15:12:53 -0700,False,4,True,7,True,,False,True,6,MyDesign,False,,1,route_min_directed_valient,,56.084023462,db,False,True,4,True,False,1:09.41,True,0,True,6,512,False,6,0,True,,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",False,pirTest,False,bfs,41,20,2,hybrid,10,
False,True,200,20,,1,1,DDR4,0,True,0:00.25,,0,0.0,True,False,True,False,6,False,,,,True,False,,4,65536,False,0.35kHz,,,False,False,1,mesh,route_min_directed_valient,True,,0.0,32,H-hop,,,,True,4,checkerboard,6,False,74000d73,dor,,,True,,0,,False,True,1,True,False,,16,,True,False,True,True,,5.363984674329502,13.793103448275861,False,BreakTest,0,True,False,False,200,,False,,0,,-i100 -p100 -t1 -d100,0,True,4,True,Tst,40,0,True,False,16,bfs,True,,5,40,False,,False,87,0,,0,True,1000000000,AccelMain,False,100,False,55a8709f,1000000000.0,,4,1,2020-04-05 15:12:53 -0700,False,4,True,1,True,,False,True,6,MyDesign,False,,1,route_min_directed_valient,,18.737810551,db,False,True,4,True,False,0:12.40,True,0,True,,512,False,6,0,True,,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",False,pirTest,False,dfs,1,20,2,hybrid,1,
False,True,200,20,,1,1,DDR4,0,True,0:00.52,,0,0.0,True,False,True,False,6,False,,,,True,False,,4,65536,False,0.04kHz,,,False,False,1,mesh,route_min_directed_valient,True,,0.0,32,H-hop,,,,True,4,checkerboard,6,False,74000d73,dor,,,True,,0,,False,True,2,True,False,,16,,True,False,True,True,,23.91304347826087,43.47826086956522,False,BreakTest2,0,True,False,False,200,,False,,0,,-i100 -p100 -t1 -d100,0,True,4,True,Tst,40,0,True,False,16,bfs,True,,5,40,False,,False,23,0,,0,True,1000000000,AccelMain,False,100,False,55a8709f,1000000000.0,,4,1,2020-04-05 15:12:53 -0700,False,4,True,2,True,,False,True,6,MyDesign,False,,1,route_min_directed_valient,,20.955743052,db,False,True,4,True,False,0:19.40,True,0,True,,512,False,6,0,True,,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",False,pirTest,False,dfs,2,20,2,hybrid,2,
False,True,200,20,,1,1,DDR4,0,True,0:00.37,2,0,0.472325,True,False,True,False,6,False,,,,True,False,,4,65536,False,0.73kHz,2,2,False,False,1,mesh,route_min_directed_valient,True,,15.1144,32,H-hop,,,,True,4,checkerboard,6,False,74000d73,dor,,,True,,3,,False,True,12,True,False,2,16,,True,False,True,True,,20.647433747064742,47.23247232472325,False,BroadcastTest,0,True,False,False,200,2,False,,0,,-i100 -p100 -t1 -d100,0,True,4,True,Tst,40,0,True,False,16,bfs,True,,5,40,False,,False,271,9,,2,True,1000000000,AccelMain,False,100,False,55a8709f,1000000000.0,,4,1,2020-04-05 15:12:53 -0700,False,4,True,2,True,,False,True,6,MyDesign,False,,1,route_min_directed_valient,,25.371328438,db,False,True,4,True,False,0:29.37,True,0,True,2,512,False,6,0,True,,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",False,pirTest,False,dfs,12,20,2,hybrid,6,
False,True,200,20,,1,1,DDR4,0,True,0:00.97,2,0,0.447552,True,False,True,False,6,False,,,,True,False,,4,65536,False,0.15kHz,1,1,False,False,1,mesh,route_min_directed_valient,True,,1.34266,32,H-hop,,,,True,4,checkerboard,6,False,74000d73,dor,,,True,,0,,False,True,5,True,False,1,16,,True,False,True,True,,21.10616656071202,33.56643356643357,False,CountZero_0,0,True,False,False,200,2,False,,0,,-i100 -p100 -t1 -d100,0,True,4,True,Tst,40,0,True,False,16,bfs,True,,5,40,False,,False,143,5,,1,True,1000000000,AccelMain,False,100,False,55a8709f,1000000000.0,,4,1,2020-04-05 15:12:53 -0700,False,4,True,2,True,,False,True,6,MyDesign,False,,1,route_min_directed_valient,,45.50600664,db,False,True,4,True,False,0:45.75,True,0,True,2,512,False,6,0,True,,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",False,pirTest,False,dfs,5,20,2,hybrid,4,
False,True,200,20,,1,1,DDR4,0,True,0:00.29,1,0,5.36126,True,False,True,False,6,False,,,,True,False,,4,65536,False,1.32kHz,1,1,False,False,1,mesh,route_min_directed_valient,True,,0.0,32,H-hop,,,,True,4,checkerboard,6,False,74000d73,dor,,,True,,2,,False,True,3,True,False,1,16,,True,False,True,True,,12.232270347453595,16.75392670157068,False,DRAMCompression,0,True,False,False,200,1,False,,0,,-i100 -p100 -t1 -d100,0,True,4,True,Tst,40,0,True,False,16,bfs,True,,5,40,False,,False,382,1,,1,True,1000000000,AccelMain,False,100,False,55a8709f,1000000000.0,,4,1,2020-04-05 15:12:53 -0700,False,4,True,1,True,,False,True,6,MyDesign,False,,1,route_min_directed_valient,,18.980620484,db,False,True,4,True,False,0:13.07,True,0,True,1,512,False,6,0,True,,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",False,pirTest,False,dfs,3,20,2,hybrid,3,
False,True,200,20,,1,1,DDR4,0,True,0:00.34,,0,1.10108,True,False,True,False,6,False,,,,True,False,,4,65536,False,2.74kHz,2,2,False,False,1,mesh,route_min_directed_valient,True,,1.10108,32,H-hop,,,,True,4,checkerboard,6,False,74000d73,dor,,,True,,0,,False,True,7,True,False,2,16,,True,False,True,True,,7.096774193548387,27.526881720430108,False,DRAMDoubleBuffer2_0,0,True,False,False,200,,False,,0,,-i100 -p100 -t1 -d100,0,True,4,True,Tst,40,0,True,False,16,bfs,True,,5,40,False,,False,930,0,,2,True,1000000000,AccelMain,False,100,False,55a8709f,1000000000.0,,4,1,2020-04-05 15:12:53 -0700,False,4,True,7,True,,False,True,6,MyDesign,False,,1,route_min_directed_valient,,27.276420898,db,False,True,4,True,False,0:18.36,True,0,True,,512,False,6,0,True,,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",False,pirTest,False,dfs,7,20,2,hybrid,7,
False,True,200,20,,1,1,DDR4,0,True,0:01.05,,0,1.10108,True,False,True,False,6,False,,,,True,False,,4,65536,False,0.89kHz,2,2,False,False,1,mesh,route_min_directed_valient,True,,1.10108,32,H-hop,,,,True,4,checkerboard,6,False,74000d73,dor,,,True,,0,,False,True,7,True,False,2,16,,True,False,True,True,,7.096774193548387,27.526881720430108,False,DRAMDoubleBuffer2_1,0,True,False,False,200,,False,,0,,-i100 -p100 -t1 -d100,0,True,4,True,Tst,40,0,True,False,16,bfs,True,,5,40,False,,False,930,0,,2,True,1000000000,AccelMain,False,100,False,55a8709f,1000000000.0,,4,1,2020-04-05 15:12:53 -0700,False,4,True,7,True,,False,True,6,MyDesign,False,,1,route_min_directed_valient,,30.365452464,db,False,True,4,True,False,0:27.96,True,0,True,,512,False,6,0,True,,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",False,pirTest,False,dfs,7,20,2,hybrid,7,
