run-psim,spatial_sha,freq,VDAG-alloc,runproute_err,genpir_err,runhybrid_cycle,pmu-sram-size,VPMU-alloc,rtelm-unsafe,debug,split-algo,tungsten,notFit,retime-local,avgActive,proute-q,gentst_time,maketst_time,dag-stage,reserve-dag,MC_Total,VPCU,succeeded,row,runhybrid_complete,runp2p_pass,rundot,load,runhybrid_pass,VMC-split,reserve-pcu,split-thread,runp2p_time,vcLimit,runp2p_rbw,retime-buffer-only,slink,DAG,psim-q,VPMU-split,vdot,col,vfifo,VMC-alloc,mem-tech,dot,codegen,dag,lrange,OPS-All,argout,runhybrid_deadlock,VAFG-split,name,OPS-Fix,runhybrid_err,project,argin,algo,scheduled,proute-algo,link-prop,runp2p_success,vc,runp2p_err,runhybrid_time,split,runhybrid_dram_power,VBB,split-forward,backend,routing-algo,pracc,start-id,constprop,VDAG,dupra,app,runp2p_wbw,PMU,time,simfreq,PCU,mergeTime_ms,VDAG-split,VPCU-split,vlink,igraph,runhybrid_rbw,merge-forward,VAFG,runp2p_deadlock,tokenout,memelm,pirArgs,OPS-FU,merge-algo,VBB-split,proute-opts,save,rtelm,proute-seed,time-out,OPS-Prog FU,retime-exout,word,pattern,dedicated-dag,ag-dce,runhybrid_wbw,psim,fast,VAFG-alloc,runp2p_cycle,run-tst,trace,reserve-pmu,stat,VPCU-alloc,DAG_Total,rtanal,VPMU,share-adctx,net,bcread,runp2p_complete,open,sr,MC,pcu-stage,gentst_err,module,vec,VMC,OPS-Other,runp2p_dram_power,pmu-stage,retime-glob,OPS-Flt,arch,simulate,nn,flit-width,routing-cost,PCU_Total,mdone,merge,PMU_Total,prtime,runproute_time,waveform,mapping,runhybrid_success,run-proute,fifo-depth,verbose,pir_sha,maketst_err,VBB-alloc,debug-print,maxActive,topo,genpir,clock
False,c7547856,1000000000.0,0,,,,65536,,False,True,dfs,True,,False,7.898936170212766,4,47.419960563,0:32.97,6,0,40,14,True,20,False,True,True,False,,4,0,1,0:03.07,4,2.17872,False,4,0,1,,True,20,4,4,DDR4,True,True,True,True,,4,False,1,AccelMain,,,pirTest,6,route_min_directed_valient,False,route_min_directed_valient,db,True,4,,,True,,,False,Tst,dor,True,0,True,0,False,DRAMDoubleBuffer2_2,2.17872,14,2020-03-31 01:13:55 -0700,0.15kHz,0,,0,14,2,False,,False,1,False,5,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,bfs,,-i100 -p100 -t1 -d100,True,True,0,100,,False,32,checkerboard,False,True,,False,True,1,470,False,False,0,True,14,40,True,,False,hybrid,True,True,False,True,4,6,,False,16,4,,,6,False,,MyDesign,False,False,512,H-hop,200,True,False,200,,,True,True,False,False,16,False,22749748,,,True,27.23404255319149,mesh,True,1000000000
False,c7547856,1000000000.0,0,,,,65536,,False,True,dfs,True,,False,9.355102040816327,4,49.234581386,1:15.25,6,0,40,23,True,20,False,True,True,False,,6,0,1,0:08.54,4,2.0898,False,4,20,1,,True,20,4,6,DDR4,True,True,True,True,,4,False,1,AccelMain,,,pirTest,6,route_min_directed_valient,False,route_min_directed_valient,db,True,4,,,True,,,False,Tst,dor,True,0,True,0,False,DRAMDoubleBuffer2_3,2.0898,3,2020-03-31 01:13:55 -0700,0.06kHz,0,,0,23,2,False,,False,1,False,5,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,bfs,,-i100 -p100 -t1 -d100,True,True,0,100,,False,32,checkerboard,False,True,,False,True,1,490,False,False,0,True,23,40,True,,False,hybrid,True,True,False,True,6,6,,False,16,6,,,6,False,,MyDesign,False,False,512,H-hop,200,True,False,200,,,True,True,False,False,16,False,22749748,,,True,26.122448979591837,mesh,True,1000000000
False,c7547856,1000000000.0,0,,,,65536,,False,True,dfs,True,,False,2.0108108108108107,4,41.455026498,0:39.26,6,0,40,23,True,20,False,True,True,False,,6,0,1,0:02.42,4,2.76757,False,4,12,1,,True,20,4,6,DDR4,True,True,True,True,,4,False,1,AccelMain,,,pirTest,6,route_min_directed_valient,False,route_min_directed_valient,db,True,4,,,True,,,False,Tst,dor,True,0,True,0,False,DRAMDoubleBuffer2_4,2.76757,11,2020-03-31 01:13:55 -0700,0.15kHz,0,,0,23,2,False,,False,1,False,5,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,bfs,,-i100 -p100 -t1 -d100,True,True,0,100,,False,32,checkerboard,False,True,,False,True,1,370,False,False,0,True,23,40,True,,False,hybrid,True,True,False,True,6,6,,False,16,6,,,6,False,,MyDesign,False,False,512,H-hop,200,True,False,200,,,True,True,False,False,16,False,22749748,,,True,2.1621621621621623,mesh,True,1000000000
False,c7547856,1000000000.0,0,,,,65536,,False,True,dfs,True,,False,15.762834417932032,4,26.696958105,0:20.01,6,0,40,13,True,20,False,True,True,False,,4,0,1,0:01.52,4,2.22126,False,4,0,1,,True,20,4,4,DDR4,True,True,True,True,,4,False,1,AccelMain,,,pirTest,6,route_min_directed_valient,False,route_min_directed_valient,db,True,4,,,True,,,False,Tst,dor,True,0,True,0,False,DRAMDoubleBuffer_0,2.22126,13,2020-03-31 01:13:55 -0700,0.3kHz,0,,0,13,2,False,,False,1,False,5,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,bfs,,-i100 -p100 -t1 -d100,True,True,0,100,,False,32,checkerboard,False,True,,False,True,1,461,False,False,0,True,13,40,True,,False,hybrid,True,True,False,True,4,6,,False,16,4,,,6,False,,MyDesign,False,False,512,H-hop,200,True,False,200,,,True,True,False,False,16,False,22749748,,,True,55.53145336225597,mesh,True,1000000000
False,c7547856,1000000000.0,0,,,,65536,,False,True,dfs,True,,False,3.4660991182730316,4,27.471084507,0:34.17,6,0,40,11,True,20,False,True,True,False,,4,0,1,0:03.12,4,4.04743,False,4,7,1,,True,20,4,4,DDR4,True,True,True,True,,4,False,1,AccelMain,,,pirTest,6,route_min_directed_valient,False,route_min_directed_valient,db,True,4,,,True,,,False,Tst,dor,True,0,True,0,False,DRAMDoubleBuffer_1,4.04743,4,2020-03-31 01:13:55 -0700,0.08kHz,0,,0,11,2,False,,False,1,False,5,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,bfs,,-i100 -p100 -t1 -d100,True,True,0,100,,False,32,checkerboard,False,True,,False,True,1,253,False,False,0,True,11,40,True,,False,hybrid,True,True,False,True,4,6,,False,16,4,,,6,False,,MyDesign,False,False,512,H-hop,200,True,False,200,,,True,True,False,False,16,False,22749748,,,True,6.324110671936759,mesh,True,1000000000
False,c7547856,1000000000.0,0,,,,65536,,False,True,dfs,True,,False,2.01271186440678,4,38.321536601,0:47.39,6,0,40,22,True,20,False,True,True,False,,8,0,1,0:04.01,4,4.33898,False,4,14,1,,True,20,4,8,DDR4,True,True,True,True,,4,False,1,AccelMain,,,pirTest,6,route_min_directed_valient,False,route_min_directed_valient,db,True,4,,,True,,,False,Tst,dor,True,0,True,0,False,DRAMDoubleBuffer_2,4.33898,8,2020-03-31 01:13:55 -0700,0.06kHz,0,,0,22,2,False,,False,1,False,5,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,bfs,,-i100 -p100 -t1 -d100,True,True,0,100,,False,32,checkerboard,False,True,,False,True,1,236,False,False,0,True,22,40,True,,False,hybrid,True,True,False,True,8,6,,False,16,8,,,6,False,,MyDesign,False,False,512,H-hop,200,True,False,200,,,True,True,False,False,16,False,22749748,,,True,3.389830508474576,mesh,True,1000000000
False,c7547856,1000000000.0,0,,,,65536,,False,True,dfs,True,,False,2.0208604954367666,4,61.184446846,2:29.64,6,0,40,37,True,20,False,True,True,False,,12,0,1,0:01.87,4,4.33898,False,4,9,1,,True,20,4,12,DDR4,True,True,True,True,,4,False,1,AccelMain,,,pirTest,6,route_min_directed_valient,False,route_min_directed_valient,db,True,4,,,True,,,False,Tst,dor,True,0,True,0,False,DRAMDoubleBuffer_3,4.33898,28,2020-03-31 01:13:55 -0700,0.13kHz,0,,0,37,2,False,,False,1,False,5,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,bfs,,-i100 -p100 -t1 -d100,True,True,0,100,,False,32,checkerboard,False,True,,False,True,1,236,False,False,0,True,37,40,True,,False,hybrid,True,True,False,True,12,6,,False,16,12,,,6,False,,MyDesign,False,False,512,H-hop,200,True,False,200,,,True,True,False,False,16,False,22749748,,,True,3.389830508474576,mesh,True,1000000000
False,c7547856,1000000000.0,0,,,,65536,,False,True,dfs,True,,False,20.80154745885519,4,53.386011761,1:53.97,6,0,40,19,True,20,False,,True,False,,3,0,1,2:37.96,4,44.0932,False,4,6,1,,True,20,4,3,DDR4,True,True,True,True,,4,False,1,AccelMain,,,pirTest,6,route_min_directed_valient,False,route_min_directed_valient,db,True,4,,,True,,,False,Tst,dor,True,0,True,0,False,DRAMMergeSort_0,44.0932,2,2020-03-31 01:13:55 -0700,0.49kHz,11,,0,19,2,False,,False,1,False,5,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,bfs,,-i100 -p100 -t1 -d100,True,True,0,100,,False,32,checkerboard,False,True,,False,True,1,77288,False,False,0,True,19,40,True,,False,hybrid,True,True,False,True,3,6,,False,16,3,,,6,False,,MyDesign,False,False,512,H-hop,200,True,False,200,,,True,True,False,False,16,False,22749748,,,True,68.8955594658938,mesh,True,1000000000
False,c7547856,1000000000.0,0,,,,65536,,False,True,dfs,True,,False,20.812588191127162,4,24.563862785,0:36.82,6,0,40,19,True,20,False,,True,False,,3,0,1,2:12.19,4,44.1166,False,4,6,1,,True,20,4,3,DDR4,True,True,True,True,,4,False,1,AccelMain,,,pirTest,6,route_min_directed_valient,False,route_min_directed_valient,db,True,4,,,True,,,False,Tst,dor,True,0,True,0,False,DRAMMergeSort_1,44.1166,2,2020-03-31 01:13:55 -0700,0.58kHz,11,,0,19,2,False,,False,1,False,5,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,bfs,,-i100 -p100 -t1 -d100,True,True,0,100,,False,32,checkerboard,False,True,,False,True,1,77247,False,False,0,True,19,40,True,,False,hybrid,True,True,False,True,3,6,,False,16,3,,,6,False,,MyDesign,False,False,512,H-hop,200,True,False,200,,,True,True,False,False,16,False,22749748,,,True,68.9321268139863,mesh,True,1000000000
False,c7547856,1000000000.0,0,,,,65536,,False,True,dfs,True,,False,13.761807123624548,4,40.684163384,1:02.63,6,0,40,37,True,20,False,,True,False,,6,0,1,2:50.68,4,50.7335,False,4,11,1,,True,20,4,6,DDR4,True,True,True,True,,4,False,1,AccelMain,,,pirTest,6,route_min_directed_valient,False,route_min_directed_valient,db,True,4,,,True,,,False,Tst,dor,True,0,True,0,False,DRAMMergeSort_2,50.7335,4,2020-03-31 01:13:55 -0700,0.39kHz,22,,0,37,2,False,,False,1,False,5,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,bfs,,-i100 -p100 -t1 -d100,True,True,0,100,,False,32,checkerboard,False,True,,False,True,1,67172,False,False,0,True,37,40,True,,False,hybrid,True,True,False,True,6,6,,False,16,6,,,6,False,,MyDesign,False,False,512,H-hop,200,True,False,200,,,True,True,False,False,16,False,22749748,,,True,42.68445185493956,mesh,True,1000000000
