runhybrid_pass,genpir_err,pmu-stage,pirArgs,VPMU-split,OPS-Fix,split,open,proute-seed,VMC,vc,ag-dce,VAFG,freq,mem-tech,split-thread,dedicated-dag,tokenout,split-algo,retime-exout,load,succeeded,VPMU-alloc,clock,argout,runp2p_deadlock,split-forward,PCU,vdot,backend,DAG,VAFG-alloc,igraph,PCU_Total,trace,dupra,run-tst,VDAG-split,PMU,pir_sha,project,name,retime-buffer-only,nn,merge-algo,link-prop,runproute_err,DAG_Total,vlink,reserve-pcu,algo,scheduled,waveform,mdone,gentst_err,pcu-stage,gentst_time,runhybrid_success,reserve-pmu,psim-q,lrange,dot,runhybrid_time,runp2p_time,proute-algo,merge-forward,fifo-depth,tungsten,argin,runhybrid_dram_power,prtime,genpir,slink,verbose,OPS-FU,save,PMU_Total,codegen,pracc,runhybrid_deadlock,time,vfifo,constprop,OPS-All,sr,mergeTime_ms,OPS-Flt,start-id,fast,flit-width,app,simfreq,module,runp2p_complete,runp2p_err,bcread,dag,retime-local,runhybrid_wbw,word,rundot,MC,avgActive,dag-stage,col,OPS-Prog FU,memelm,pattern,runp2p_pass,vec,spatial_sha,stat,proute-opts,topo,net,runhybrid_cycle,vcLimit,maketst_err,proute-q,simulate,time-out,routing-cost,VAFG-split,VMC-split,runp2p_wbw,MC_Total,VPMU,run-proute,VDAG-alloc,runp2p_success,OPS-Other,runp2p_dram_power,pmu-sram-size,row,debug,runp2p_rbw,runp2p_cycle,VDAG,arch,maketst_time,merge,runhybrid_complete,psim,runhybrid_rbw,rtelm,runproute_time,VPCU-split,runhybrid_err,VPCU,retime-glob,maxActive,notFit,VPCU-alloc,routing-algo,debug-print,run-psim,mapping,VMC-alloc
,,6,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",,,True,False,0,6,4,True,1,1000000000.0,DDR4,1,False,5,dfs,False,False,True,,1000000000,4,False,False,0,True,Tst,20,1,False,200,False,False,False,0,3,6fb2abe4,pirTest,AccelMain,False,False,bfs,db,,40,2,0,route_min_directed_valient,False,True,True,,6,39.470766344,False,0,1,True,True,,0:01.60,route_min_directed_valient,False,16,True,6,,,True,4,False,,True,200,True,True,False,2020-02-13 21:18:32 -0800,4,True,,True,,,0,True,512,DRAMDoubleBuffer2_3,0.31kHz,False,True,,True,True,False,,32,True,6,9.355102040816327,6,20,,False,checkerboard,True,16,df69a003,True,-i100 -p100 -t1 -d100,mesh,hybrid,,4,,4,False,100,H-hop,1,6,2.0898,40,,False,0,True,,,65536,20,True,2.0898,490,0,MyDesign,1:11.91,False,False,False,,True,,23,,23,False,26.122448979591837,,23,dor,True,False,True,6
,,6,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",,,True,False,0,6,4,True,1,1000000000.0,DDR4,1,False,5,dfs,False,False,True,,1000000000,4,False,False,0,True,Tst,12,1,False,200,False,False,False,0,11,6fb2abe4,pirTest,AccelMain,False,False,bfs,db,,40,2,0,route_min_directed_valient,False,True,True,,6,49.106837493,False,0,1,True,True,,0:01.55,route_min_directed_valient,False,16,True,6,,,True,4,False,,True,200,True,True,False,2020-02-13 21:18:32 -0800,4,True,,True,,,0,True,512,DRAMDoubleBuffer2_4,0.24kHz,False,True,,True,True,False,,32,True,6,2.0108108108108107,6,20,,False,checkerboard,True,16,df69a003,True,-i100 -p100 -t1 -d100,mesh,hybrid,,4,,4,False,100,H-hop,1,6,2.76757,40,,False,0,True,,,65536,20,True,2.76757,370,0,MyDesign,1:18.48,False,False,False,,True,,23,,23,False,2.1621621621621623,,23,dor,True,False,True,6
,,6,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",,,True,False,0,4,4,True,1,1000000000.0,DDR4,1,False,5,dfs,False,False,True,,1000000000,4,False,False,0,True,Tst,0,1,False,200,False,False,False,0,13,6fb2abe4,pirTest,AccelMain,False,False,bfs,db,,40,2,0,route_min_directed_valient,False,True,True,,6,36.319078632,False,0,1,True,True,,0:02.06,route_min_directed_valient,False,16,True,6,,,True,4,False,,True,200,True,True,False,2020-02-13 21:18:32 -0800,4,True,,True,,,0,True,512,DRAMDoubleBuffer_0,0.22kHz,False,True,,True,True,False,,32,True,4,15.762834417932032,6,20,,False,checkerboard,True,16,df69a003,True,-i100 -p100 -t1 -d100,mesh,hybrid,,4,,4,False,100,H-hop,1,4,2.22126,40,,False,0,True,,,65536,20,True,2.22126,461,0,MyDesign,0:57.28,False,False,False,,True,,13,,13,False,55.53145336225597,,13,dor,True,False,True,4
,,6,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",,,True,False,0,4,4,True,1,1000000000.0,DDR4,1,False,5,dfs,False,False,True,,1000000000,4,False,False,0,True,Tst,7,1,False,200,False,False,False,0,4,6fb2abe4,pirTest,AccelMain,False,False,bfs,db,,40,2,0,route_min_directed_valient,False,True,True,,6,32.795884699,False,0,1,True,True,,0:01.41,route_min_directed_valient,False,16,True,6,,,True,4,False,,True,200,True,True,False,2020-02-13 21:18:32 -0800,4,True,,True,,,0,True,512,DRAMDoubleBuffer_1,0.18kHz,False,True,,True,True,False,,32,True,4,3.4660991182730316,6,20,,False,checkerboard,True,16,df69a003,True,-i100 -p100 -t1 -d100,mesh,hybrid,,4,,4,False,100,H-hop,1,4,4.04743,40,,False,0,True,,,65536,20,True,4.04743,253,0,MyDesign,0:55.81,False,False,False,,True,,11,,11,False,6.324110671936759,,11,dor,True,False,True,4
,,6,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",,,True,False,0,8,4,True,1,1000000000.0,DDR4,1,False,5,dfs,False,False,True,,1000000000,4,False,False,0,True,Tst,14,1,False,200,False,False,False,0,8,6fb2abe4,pirTest,AccelMain,False,False,bfs,db,,40,2,0,route_min_directed_valient,False,True,True,,6,35.865079091,False,0,1,True,True,,0:00.71,route_min_directed_valient,False,16,True,6,,,True,4,False,,True,200,True,True,False,2020-02-13 21:18:32 -0800,4,True,,True,,,0,True,512,DRAMDoubleBuffer_2,0.33kHz,False,True,,True,True,False,,32,True,8,2.01271186440678,6,20,,False,checkerboard,True,16,df69a003,True,-i100 -p100 -t1 -d100,mesh,hybrid,,4,,4,False,100,H-hop,1,8,4.33898,40,,False,0,True,,,65536,20,True,4.33898,236,0,MyDesign,0:48.15,False,False,False,,True,,22,,22,False,3.389830508474576,,22,dor,True,False,True,8
,,6,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",,,True,False,0,12,4,True,1,1000000000.0,DDR4,1,False,5,dfs,False,False,True,,1000000000,4,False,False,0,True,Tst,9,1,False,200,False,False,False,0,28,6fb2abe4,pirTest,AccelMain,False,False,bfs,db,,40,2,0,route_min_directed_valient,False,True,True,,6,60.253775899,False,0,1,True,True,,0:01.41,route_min_directed_valient,False,16,True,6,,,True,4,False,,True,200,True,True,False,2020-02-13 21:18:32 -0800,4,True,,True,,,0,True,512,DRAMDoubleBuffer_3,0.17kHz,False,True,,True,True,False,,32,True,12,2.0208604954367666,6,20,,False,checkerboard,True,16,df69a003,True,-i100 -p100 -t1 -d100,mesh,hybrid,,4,,4,False,100,H-hop,1,12,4.33898,40,,False,0,True,,,65536,20,True,4.33898,236,0,MyDesign,1:26.98,False,False,False,,True,,37,,37,False,3.389830508474576,,37,dor,True,False,True,12
,,6,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",,,True,False,0,3,4,True,1,1000000000.0,DDR4,1,False,5,dfs,False,False,True,,1000000000,4,False,False,11,True,Tst,6,1,False,200,False,False,False,0,2,6fb2abe4,pirTest,AccelMain,False,False,bfs,db,,40,2,0,route_min_directed_valient,False,True,True,,6,21.756893706,False,0,1,True,True,,0:54.60,route_min_directed_valient,False,16,True,6,,,True,4,False,,True,200,True,True,False,2020-02-13 21:18:32 -0800,4,True,,True,,,0,True,512,DRAMMergeSort_0,1.42kHz,False,True,,True,True,False,,32,True,3,20.80154745885519,6,20,,False,checkerboard,,16,df69a003,True,-i100 -p100 -t1 -d100,mesh,hybrid,,4,,4,False,100,H-hop,1,3,44.0932,40,,False,0,True,,,65536,20,True,44.0932,77288,0,MyDesign,1:10.91,False,False,False,,True,,19,,19,False,68.8955594658938,,19,dor,True,False,True,3
,,6,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",,,True,False,0,3,4,True,1,1000000000.0,DDR4,1,False,5,dfs,False,False,True,,1000000000,4,False,False,11,True,Tst,6,1,False,200,False,False,False,0,2,6fb2abe4,pirTest,AccelMain,False,False,bfs,db,,40,2,0,route_min_directed_valient,False,True,True,,6,48.270109069,False,0,1,True,True,,0:40.83,route_min_directed_valient,False,16,True,6,,,True,4,False,,True,200,True,True,False,2020-02-13 21:18:32 -0800,4,True,,True,,,0,True,512,DRAMMergeSort_1,1.92kHz,False,True,,True,True,False,,32,True,3,20.478295205584143,6,20,,False,checkerboard,,16,df69a003,True,-i100 -p100 -t1 -d100,mesh,hybrid,,4,,4,False,100,H-hop,1,3,43.408,40,,False,0,True,,,65536,20,True,43.408,78508,0,MyDesign,1:57.18,False,False,False,,True,,19,,19,False,67.82493503846742,,19,dor,True,False,True,3
,,6,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",,,True,False,0,6,4,True,1,1000000000.0,DDR4,1,False,5,dfs,False,False,True,,1000000000,4,False,False,22,True,Tst,11,1,False,200,False,False,False,0,4,6fb2abe4,pirTest,AccelMain,False,False,bfs,db,,40,2,0,route_min_directed_valient,False,True,True,,6,93.708973638,False,0,1,True,True,,0:48.47,route_min_directed_valient,False,16,True,6,,,True,4,False,,True,200,True,True,False,2020-02-13 21:18:32 -0800,4,True,,True,,,0,True,512,DRAMMergeSort_2,1.39kHz,False,True,,True,True,False,,32,True,6,13.722175995429566,6,20,,False,checkerboard,,16,df69a003,True,-i100 -p100 -t1 -d100,mesh,hybrid,,4,,4,False,100,H-hop,1,6,50.5874,40,,False,0,True,,,65536,20,True,50.5874,67366,0,MyDesign,1:47.46,False,False,False,,True,,37,,37,False,42.56152955496838,,37,dor,True,False,True,6
,,6,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",,,True,False,0,9,4,True,1,1000000000.0,DDR4,1,False,5,dfs,False,False,True,,1000000000,4,False,False,33,True,Tst,16,1,False,200,False,False,False,0,6,6fb2abe4,pirTest,AccelMain,False,False,bfs,db,,40,2,0,route_min_directed_valient,False,True,True,,6,78.223717525,False,0,1,True,True,,0:42.16,route_min_directed_valient,False,16,True,6,,,True,4,False,,True,200,True,True,False,2020-02-13 21:18:32 -0800,4,True,,True,,,0,True,512,DRAMMergeSort_3,1.44kHz,False,True,,True,True,False,,32,True,9,11.866902560507135,6,20,,False,checkerboard,,16,df69a003,True,-i100 -p100 -t1 -d100,mesh,hybrid,,4,,4,False,100,H-hop,1,9,55.9989,40,,False,0,True,,,65536,20,True,55.9989,60856,0,MyDesign,3:42.46,False,False,False,,True,,55,,55,False,36.64388063625608,,55,dor,True,False,True,9
