rtanal,MC_Total,time,pcu-stage,OPS-Other,verbose,VAFG,lrange,rtelm-unsafe,runhybrid_deadlock,retime-glob,reserve-dag,igraph,vcLimit,ag-dce,vdot,dot,share-adctx,start-id,dupra,runproute_err,debug-print,save,pirArgs,VMC-alloc,proute-algo,retime-buffer-only,slink,run-psim,time-out,module,notFit,succeeded,gentst_time,dot-argin,mergeTime_ms,col,runp2p_rbw,runhybrid_wbw,spatial_sha,load,plastiroute_sha,split,OPS-FU,vfifo,dag-stage,runhybrid_success,VMC-split,run-tst,waveform,trace,runp2p_dram_power,fifo-depth,psim-q,arch,simfreq,run-proute,PMU_Total,runproute_time,VDAG,constprop,VMC,dag,codegen,topo,merge,retime-exout,flit-width,pir_sha,maketst_time,runp2p_wbw,MC,VDAG-alloc,proute-q,runhybrid_pass,psim,runp2p_err,tokenout,vlink,proute-seed,VPMU,word,PCU_Total,mem-tech,argin,runhybrid_cycle,tungsten,VBB-alloc,VBB-split,clock,PMU,runp2p_complete,maketst_err,rtelm,vec,VAFG-alloc,PCU,stat,reserve-pmu,runp2p_cycle,gentst_err,OPS-Flt,runhybrid_time,genpir,sr,avgActive,DAG_Total,simulate,name,backend,algo,runhybrid_rbw,bcread,runp2p_pass,reserve-pcu,tungsten_sha,VBB,VPCU,OPS-All,DAG,pracc,routing-algo,merge-algo,open,pmu-stage,genpir_err,add-row,merge-forward,VPMU-alloc,proute-opts,runhybrid_err,reserve-mc,debug,freq,pattern,split-algo,runhybrid_dram_power,vc,mdone,runp2p_success,routing-cost,runhybrid_complete,fast,app,VPMU-split,retime-local,VPCU-alloc,split-forward,VDAG-split,runp2p_deadlock,net,row,memelm,nn,argout,pmu-sram-size,mapping,VPCU-split,prtime,split-thread,rundot,dedicated-dag,link-prop,scheduled,maxActive,VAFG-split,OPS-Fix,OPS-Prog FU,project,runp2p_time
True,0,2020-05-04 21:07:36 -0700,6,,False,1,True,False,False,False,0,False,4,True,True,True,False,0,False,,True,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",4,route_min_directed_valient,False,4,False,100,False,,True,15.789500145,False,,20,1.85507,,266d9c93,False,88a079d,True,,4,6,False,4,False,True,False,,16,1,MyDesign,0.84kHz,False,0,,0,True,4,True,True,mesh,False,False,512,2e0c09eb,0:50.73,1.85507,4,0,4,,False,,5,2,0,,32,0,DDR4,6,,True,,,1000000000,14,True,,True,16,1,0,True,0,552,,,,True,True,6.725543478260869,0,False,AccelMain,Tst,route_min_directed_valient,,True,True,0,9aa45a7,,14,,0,True,dor,bfs,False,6,,0,False,,-i100 -p100 -t1 -d100,,0,True,1000000000.0,checkerboard,dfs,,4,True,True,H-hop,False,True,DRAMDoubleBuffer2_2,,False,14,False,0,False,hybrid,20,False,False,4,65536,True,14,,1,True,False,db,False,23.18840579710145,1,,,pirTest,0:00.66
True,0,2020-05-04 21:07:36 -0700,6,,False,1,True,False,False,False,0,False,4,True,True,True,False,0,False,,True,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,route_min_directed_valient,False,4,False,100,False,,True,29.076649883,False,,20,1.85507,,266d9c93,False,88a079d,True,,4,6,False,6,False,True,False,,16,1,MyDesign,0.34kHz,False,0,,0,True,6,True,True,mesh,False,False,512,2e0c09eb,1:57.90,1.85507,6,0,4,,False,,5,2,0,,32,0,DDR4,6,,True,,,1000000000,3,True,,True,16,1,0,True,0,552,,,,True,True,7.0100819155639575,0,False,AccelMain,Tst,route_min_directed_valient,,True,True,0,9aa45a7,,21,,18,True,dor,bfs,False,6,,0,False,,-i100 -p100 -t1 -d100,,0,True,1000000000.0,checkerboard,dfs,,4,True,True,H-hop,False,True,DRAMDoubleBuffer2_3,,False,21,False,0,False,hybrid,20,False,False,4,65536,True,21,,1,True,False,db,False,23.18840579710145,1,,,pirTest,0:01.64
True,0,2020-05-04 21:07:36 -0700,6,,False,1,True,False,False,False,0,False,4,True,True,True,False,0,False,,True,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,route_min_directed_valient,False,4,False,100,False,,True,30.329456019,False,,20,2.37037,,266d9c93,False,88a079d,True,,4,6,False,6,False,True,False,,16,1,MyDesign,0.18kHz,False,0,,0,True,6,True,True,mesh,False,False,512,2e0c09eb,2:41.00,2.37037,6,0,4,,False,,5,2,0,,32,0,DDR4,6,,True,,,1000000000,9,True,,True,16,1,0,True,0,432,,,,True,True,1.710950080515298,0,False,AccelMain,Tst,route_min_directed_valient,,True,True,0,9aa45a7,,21,,12,True,dor,bfs,False,6,,0,False,,-i100 -p100 -t1 -d100,,0,True,1000000000.0,checkerboard,dfs,,4,True,True,H-hop,False,True,DRAMDoubleBuffer2_4,,False,21,False,0,False,hybrid,20,False,False,4,65536,True,21,,1,True,False,db,False,1.8518518518518519,1,,,pirTest,0:02.45
True,0,2020-05-04 21:07:36 -0700,6,,False,1,True,False,False,False,0,False,4,True,True,True,False,0,False,,True,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",4,route_min_directed_valient,False,4,False,100,False,,True,22.363831977,False,,20,2.06036,,266d9c93,False,88a079d,True,,4,6,False,4,False,True,False,,16,1,MyDesign,0.35kHz,False,0,,0,True,4,True,True,mesh,False,False,512,2e0c09eb,0:54.48,2.06036,4,0,4,,False,,5,2,0,,32,0,DDR4,6,,True,,,1000000000,1,True,,True,16,1,0,True,0,497,,,,True,True,14.621059691482227,0,False,AccelMain,Tst,route_min_directed_valient,,True,True,0,9aa45a7,,13,,12,True,dor,bfs,False,6,,0,False,,-i100 -p100 -t1 -d100,,0,True,1000000000.0,checkerboard,dfs,,4,True,True,H-hop,False,True,DRAMDoubleBuffer_0,,False,13,False,0,False,hybrid,20,False,False,4,65536,True,13,,1,True,False,db,False,51.50905432595574,1,,,pirTest,0:01.43
True,0,2020-05-04 21:07:36 -0700,6,,False,1,True,False,False,False,0,False,4,True,True,True,False,0,False,,True,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",4,route_min_directed_valient,False,4,False,100,False,,True,31.534869034,False,,20,3.63121,,266d9c93,False,88a079d,True,,4,6,False,4,False,True,False,,16,1,MyDesign,0.13kHz,False,0,,0,True,4,True,True,mesh,False,False,512,2e0c09eb,1:13.54,3.63121,4,0,4,,False,,5,2,0,,32,0,DDR4,6,,True,,,1000000000,4,True,,True,16,1,0,True,0,282,,,,True,True,3.1096563011456633,0,False,AccelMain,Tst,route_min_directed_valient,,True,True,0,9aa45a7,,11,,7,True,dor,bfs,False,6,,0,False,,-i100 -p100 -t1 -d100,,0,True,1000000000.0,checkerboard,dfs,,4,True,True,H-hop,False,True,DRAMDoubleBuffer_1,,False,11,False,0,False,hybrid,20,False,False,4,65536,True,11,,1,True,False,db,False,5.673758865248227,1,,,pirTest,0:02.16
True,0,2020-05-04 21:07:36 -0700,6,,False,1,True,False,False,False,0,False,4,True,True,True,False,0,False,,True,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",8,route_min_directed_valient,False,4,False,100,False,,True,49.970790956,False,,20,3.84962,,266d9c93,False,88a079d,True,,4,6,False,8,False,True,False,,16,1,MyDesign,0.16kHz,False,0,,0,True,8,True,True,mesh,False,False,512,2e0c09eb,2:56.32,3.84962,8,0,4,,False,,5,2,0,,32,0,DDR4,6,,True,,,1000000000,8,True,,True,16,1,0,True,0,266,,,,True,True,1.7857142857142858,0,False,AccelMain,Tst,route_min_directed_valient,,True,True,0,9aa45a7,,22,,14,True,dor,bfs,False,6,,0,False,,-i100 -p100 -t1 -d100,,0,True,1000000000.0,checkerboard,dfs,,4,True,True,H-hop,False,True,DRAMDoubleBuffer_2,,False,22,False,0,False,hybrid,20,False,False,4,65536,True,22,,1,True,False,db,False,3.007518796992481,1,,,pirTest,0:01.67
True,0,2020-05-04 21:07:36 -0700,6,,False,1,True,False,False,False,0,False,4,True,True,True,False,0,False,,True,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",12,route_min_directed_valient,False,4,False,100,False,,True,85.564596802,False,,20,3.84962,,266d9c93,False,88a079d,True,,4,6,False,12,False,True,False,,16,1,MyDesign,0.13kHz,False,0,,0,True,12,True,True,mesh,False,False,512,2e0c09eb,4:23.07,3.84962,12,0,4,,False,,5,2,0,,32,0,DDR4,6,,True,,,1000000000,28,True,,True,16,1,0,True,0,266,,,,True,True,1.792943898207056,0,False,AccelMain,Tst,route_min_directed_valient,,True,True,0,9aa45a7,,37,,9,True,dor,bfs,False,6,,0,False,,-i100 -p100 -t1 -d100,,0,True,1000000000.0,checkerboard,dfs,,4,True,True,H-hop,False,True,DRAMDoubleBuffer_3,,False,37,False,0,False,hybrid,20,False,False,4,65536,True,37,,1,True,False,db,False,3.007518796992481,1,,,pirTest,0:01.99
True,0,2020-05-04 21:07:36 -0700,6,,False,1,True,False,False,False,0,False,4,True,True,True,False,0,False,,True,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",3,route_min_directed_valient,False,4,False,100,False,,True,43.70915139,False,,20,30.1606,,266d9c93,False,88a079d,True,,4,6,False,3,False,True,False,,16,1,MyDesign,3.24kHz,False,0,,0,True,3,True,True,mesh,False,False,512,2e0c09eb,2:46.10,30.1606,3,0,4,,False,,5,2,0,,32,0,DDR4,6,,True,,,1000000000,2,True,,True,16,1,11,True,0,112991,,,,True,True,14.228655379632006,0,False,AccelMain,Tst,route_min_directed_valient,,True,,0,9aa45a7,,19,,6,True,dor,bfs,False,6,,0,False,,-i100 -p100 -t1 -d100,,0,True,1000000000.0,checkerboard,dfs,,4,True,True,H-hop,False,True,DRAMMergeSort_0,,False,19,False,0,False,hybrid,20,False,False,4,65536,True,19,,1,True,False,db,False,47.12587728226142,1,,,pirTest,0:34.86
True,0,2020-05-04 21:07:36 -0700,6,,False,1,True,False,False,False,0,False,4,True,True,True,False,0,False,,True,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",3,route_min_directed_valient,False,4,False,100,False,,True,46.548719395,False,,20,30.0831,,266d9c93,False,88a079d,True,,4,6,False,3,False,True,False,,16,1,MyDesign,2.14kHz,False,0,,0,True,3,True,True,mesh,False,False,512,2e0c09eb,3:40.90,30.0831,3,0,4,,False,,5,2,0,,32,0,DDR4,6,,True,,,1000000000,2,True,,True,16,1,11,True,0,113282,,,,True,True,14.192104659169154,0,False,AccelMain,Tst,route_min_directed_valient,,True,,0,9aa45a7,,19,,6,True,dor,bfs,False,6,,0,False,,-i100 -p100 -t1 -d100,,0,True,1000000000.0,checkerboard,dfs,,4,True,True,H-hop,False,True,DRAMMergeSort_1,,False,19,False,0,False,hybrid,20,False,False,4,65536,True,19,,1,True,False,db,False,47.00481983015837,1,,,pirTest,0:52.86
True,0,2020-05-04 21:07:36 -0700,6,,False,1,True,False,False,False,0,False,4,True,True,True,False,0,False,,True,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,route_min_directed_valient,False,4,False,100,False,,True,70.976671412,False,,20,30.7143,,266d9c93,False,88a079d,True,,4,6,False,6,False,True,False,,16,1,MyDesign,1.03kHz,False,0,,0,True,6,True,True,mesh,False,False,512,2e0c09eb,5:30.48,30.7143,6,0,4,,False,,5,2,0,,32,0,DDR4,6,,True,,,1000000000,4,True,,True,16,1,22,True,0,110954,,,,True,True,8.331453648431856,0,False,AccelMain,Tst,route_min_directed_valient,,True,,0,9aa45a7,,37,,11,True,dor,bfs,False,6,,0,False,,-i100 -p100 -t1 -d100,,0,True,1000000000.0,checkerboard,dfs,,4,True,True,H-hop,False,True,DRAMMergeSort_2,,False,37,False,0,False,hybrid,20,False,False,4,65536,True,37,,1,True,False,db,False,25.841339654271138,1,,,pirTest,1:47.50
