spatial_sha,time,app,project,backend,freq,mappirlog,runpirlog,genpsimlog,gentracelog,runpsimlog,psimsh,runproutelog,proutesh,prouteSummary,AccelMain,logpath,gentstlog,maketstlog,runtstlog,genpir,genpir_err,runpir_time,runpir_err,notFit,MC,DAG,PMU,PCU,row,col,p2p,asic,scheduled,fifo_depth,mappir_err,mappir_time,genpsim_err,gentrace_err,psimcycle,lbw,sbw,psim_deadlock,algo,pattern,slink,vlink,prtime,vcLimit,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,gentst_err,gentst_time,maketst_err,maketst_time,tstcycle,runtst_err,runtst_pass,tst_deadlock,tst_complete,tst_dram_power,tst_rbw,tst_wbw,runtst_time,succeeded
d49f9ee,2019-06-27 13:31:37,GDA_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_1/log/mappir.log,../gen/Tst_pirTest/GDA_1/log/runpir.log,../gen/Tst_pirTest/GDA_1/log/genpsim.log,../gen/Tst_pirTest/GDA_1/log/gentrace.log,../gen/Tst_pirTest/GDA_1/log/runpsim.log,../gen/Tst_pirTest/GDA_1/log/runpsim.sh,../gen/Tst_pirTest/GDA_1/log/runproute.log,../gen/Tst_pirTest/GDA_1/log/runproute.sh,../gen/Tst_pirTest/GDA_1/plastisim/summary.csv,../gen/Tst_pirTest/GDA_1/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_1/log/,../gen/Tst_pirTest/GDA_1/log/gentst.log,../gen/Tst_pirTest/GDA_1/log/maketst.log,../gen/Tst_pirTest/GDA_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,"[[31merror[0m] failed bash iroute.sh
",25.602575424,,,,,,False,False,,,,,False
d49f9ee,2019-06-27 13:31:37,GDA_14,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_14/log/mappir.log,../gen/Tst_pirTest/GDA_14/log/runpir.log,../gen/Tst_pirTest/GDA_14/log/genpsim.log,../gen/Tst_pirTest/GDA_14/log/gentrace.log,../gen/Tst_pirTest/GDA_14/log/runpsim.log,../gen/Tst_pirTest/GDA_14/log/runpsim.sh,../gen/Tst_pirTest/GDA_14/log/runproute.log,../gen/Tst_pirTest/GDA_14/log/runproute.sh,../gen/Tst_pirTest/GDA_14/plastisim/summary.csv,../gen/Tst_pirTest/GDA_14/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_14/log/,../gen/Tst_pirTest/GDA_14/log/gentst.log,../gen/Tst_pirTest/GDA_14/log/maketst.log,../gen/Tst_pirTest/GDA_14/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,"[[31merror[0m] failed bash iroute.sh
",32.094902555,,,,,,False,False,,,,,False
d49f9ee,2019-06-27 13:31:37,GDA_2,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_2/log/mappir.log,../gen/Tst_pirTest/GDA_2/log/runpir.log,../gen/Tst_pirTest/GDA_2/log/genpsim.log,../gen/Tst_pirTest/GDA_2/log/gentrace.log,../gen/Tst_pirTest/GDA_2/log/runpsim.log,../gen/Tst_pirTest/GDA_2/log/runpsim.sh,../gen/Tst_pirTest/GDA_2/log/runproute.log,../gen/Tst_pirTest/GDA_2/log/runproute.sh,../gen/Tst_pirTest/GDA_2/plastisim/summary.csv,../gen/Tst_pirTest/GDA_2/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_2/log/,../gen/Tst_pirTest/GDA_2/log/gentst.log,../gen/Tst_pirTest/GDA_2/log/maketst.log,../gen/Tst_pirTest/GDA_2/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,"[[31merror[0m] failed bash iroute.sh
",47.050700428,,,,,,False,False,,,,,False
d49f9ee,2019-06-27 13:31:37,GDA_3,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_3/log/mappir.log,../gen/Tst_pirTest/GDA_3/log/runpir.log,../gen/Tst_pirTest/GDA_3/log/genpsim.log,../gen/Tst_pirTest/GDA_3/log/gentrace.log,../gen/Tst_pirTest/GDA_3/log/runpsim.log,../gen/Tst_pirTest/GDA_3/log/runpsim.sh,../gen/Tst_pirTest/GDA_3/log/runproute.log,../gen/Tst_pirTest/GDA_3/log/runproute.sh,../gen/Tst_pirTest/GDA_3/plastisim/summary.csv,../gen/Tst_pirTest/GDA_3/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_3/log/,../gen/Tst_pirTest/GDA_3/log/gentst.log,../gen/Tst_pirTest/GDA_3/log/maketst.log,../gen/Tst_pirTest/GDA_3/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,"[[31merror[0m] failed bash iroute.sh
",28.42942215,,,,,,False,False,,,,,False
d49f9ee,2019-06-27 13:31:37,GDA_4,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_4/log/mappir.log,../gen/Tst_pirTest/GDA_4/log/runpir.log,../gen/Tst_pirTest/GDA_4/log/genpsim.log,../gen/Tst_pirTest/GDA_4/log/gentrace.log,../gen/Tst_pirTest/GDA_4/log/runpsim.log,../gen/Tst_pirTest/GDA_4/log/runpsim.sh,../gen/Tst_pirTest/GDA_4/log/runproute.log,../gen/Tst_pirTest/GDA_4/log/runproute.sh,../gen/Tst_pirTest/GDA_4/plastisim/summary.csv,../gen/Tst_pirTest/GDA_4/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_4/log/,../gen/Tst_pirTest/GDA_4/log/gentst.log,../gen/Tst_pirTest/GDA_4/log/maketst.log,../gen/Tst_pirTest/GDA_4/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,"[[31merror[0m] failed bash iroute.sh
",57.904908748,,,,,,False,False,,,,,False
d49f9ee,2019-06-27 13:31:37,GDA_5,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_5/log/mappir.log,../gen/Tst_pirTest/GDA_5/log/runpir.log,../gen/Tst_pirTest/GDA_5/log/genpsim.log,../gen/Tst_pirTest/GDA_5/log/gentrace.log,../gen/Tst_pirTest/GDA_5/log/runpsim.log,../gen/Tst_pirTest/GDA_5/log/runpsim.sh,../gen/Tst_pirTest/GDA_5/log/runproute.log,../gen/Tst_pirTest/GDA_5/log/runproute.sh,../gen/Tst_pirTest/GDA_5/plastisim/summary.csv,../gen/Tst_pirTest/GDA_5/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_5/log/,../gen/Tst_pirTest/GDA_5/log/gentst.log,../gen/Tst_pirTest/GDA_5/log/maketst.log,../gen/Tst_pirTest/GDA_5/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,"[[31merror[0m] failed bash iroute.sh
",27.673645279,,,,,,False,False,,,,,False
d49f9ee,2019-06-27 13:31:37,GDA_6,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_6/log/mappir.log,../gen/Tst_pirTest/GDA_6/log/runpir.log,../gen/Tst_pirTest/GDA_6/log/genpsim.log,../gen/Tst_pirTest/GDA_6/log/gentrace.log,../gen/Tst_pirTest/GDA_6/log/runpsim.log,../gen/Tst_pirTest/GDA_6/log/runpsim.sh,../gen/Tst_pirTest/GDA_6/log/runproute.log,../gen/Tst_pirTest/GDA_6/log/runproute.sh,../gen/Tst_pirTest/GDA_6/plastisim/summary.csv,../gen/Tst_pirTest/GDA_6/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_6/log/,../gen/Tst_pirTest/GDA_6/log/gentst.log,../gen/Tst_pirTest/GDA_6/log/maketst.log,../gen/Tst_pirTest/GDA_6/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,"[[31merror[0m] failed bash iroute.sh
",38.562614536,,,,,,False,False,,,,,False
d49f9ee,2019-06-27 13:31:37,GEMM_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GEMM_0/log/mappir.log,../gen/Tst_pirTest/GEMM_0/log/runpir.log,../gen/Tst_pirTest/GEMM_0/log/genpsim.log,../gen/Tst_pirTest/GEMM_0/log/gentrace.log,../gen/Tst_pirTest/GEMM_0/log/runpsim.log,../gen/Tst_pirTest/GEMM_0/log/runpsim.sh,../gen/Tst_pirTest/GEMM_0/log/runproute.log,../gen/Tst_pirTest/GEMM_0/log/runproute.sh,../gen/Tst_pirTest/GEMM_0/plastisim/summary.csv,../gen/Tst_pirTest/GEMM_0/pir/AccelMain.scala,../gen/Tst_pirTest/GEMM_0/log/,../gen/Tst_pirTest/GEMM_0/log/gentst.log,../gen/Tst_pirTest/GEMM_0/log/maketst.log,../gen/Tst_pirTest/GEMM_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,"[[31merror[0m] failed bash iroute.sh
",18.570012743,,,,,,False,False,,,,,False
d49f9ee,2019-06-27 13:31:37,GEMM_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GEMM_1/log/mappir.log,../gen/Tst_pirTest/GEMM_1/log/runpir.log,../gen/Tst_pirTest/GEMM_1/log/genpsim.log,../gen/Tst_pirTest/GEMM_1/log/gentrace.log,../gen/Tst_pirTest/GEMM_1/log/runpsim.log,../gen/Tst_pirTest/GEMM_1/log/runpsim.sh,../gen/Tst_pirTest/GEMM_1/log/runproute.log,../gen/Tst_pirTest/GEMM_1/log/runproute.sh,../gen/Tst_pirTest/GEMM_1/plastisim/summary.csv,../gen/Tst_pirTest/GEMM_1/pir/AccelMain.scala,../gen/Tst_pirTest/GEMM_1/log/,../gen/Tst_pirTest/GEMM_1/log/gentst.log,../gen/Tst_pirTest/GEMM_1/log/maketst.log,../gen/Tst_pirTest/GEMM_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,"[[31merror[0m] failed bash iroute.sh
",21.307572652,,,,,,False,False,,,,,False
d49f9ee,2019-06-27 13:31:37,GEMM_10,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GEMM_10/log/mappir.log,../gen/Tst_pirTest/GEMM_10/log/runpir.log,../gen/Tst_pirTest/GEMM_10/log/genpsim.log,../gen/Tst_pirTest/GEMM_10/log/gentrace.log,../gen/Tst_pirTest/GEMM_10/log/runpsim.log,../gen/Tst_pirTest/GEMM_10/log/runpsim.sh,../gen/Tst_pirTest/GEMM_10/log/runproute.log,../gen/Tst_pirTest/GEMM_10/log/runproute.sh,../gen/Tst_pirTest/GEMM_10/plastisim/summary.csv,../gen/Tst_pirTest/GEMM_10/pir/AccelMain.scala,../gen/Tst_pirTest/GEMM_10/log/,../gen/Tst_pirTest/GEMM_10/log/gentst.log,../gen/Tst_pirTest/GEMM_10/log/maketst.log,../gen/Tst_pirTest/GEMM_10/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,"[[31merror[0m] failed bash iroute.sh
",40.849670544,,,,,,False,False,,,,,False
