debug-print,retime-glob,mem-tech,runp2p_err,runproute_time,routing-cost,simulate,debug,lrange,retime-buffer-only,runp2p_success,merge-forward,rundot,proute-algo,open,igraph,pir_sha,waveform,start-id,proute-opts,scheduled,dot,runhybrid_success,vec,PMU_Total,retime-local,succeeded,maxActive,OPS-All,pmu-sram-size,OPS-Other,VPMU,spatial_sha,fast,genpir,pattern,slink,runhybrid_wbw,runhybrid_dram_power,mapping,VPCU-alloc,runp2p_deadlock,reserve-pcu,dupra,proute-q,runp2p_time,freq,bcread,argin,word,dag-stage,VPMU-split,vcLimit,memelm,runp2p_dram_power,OPS-Fix,split-thread,time,VPMU-alloc,run-psim,maketst_err,routing-algo,MC,VPCU-split,vlink,retime-exout,gentst_err,vdot,merge-algo,runp2p_wbw,rtelm,reserve-pmu,tokenout,split-algo,load,merge,PCU,runp2p_pass,notFit,mdone,VBB-split,VDAG,time-out,clock,VMC,tungsten,dedicated-dag,psim-q,topo,split,PCU_Total,DAG_Total,runhybrid_deadlock,dag,runproute_err,VMC-split,app,project,PMU,VPCU,name,runp2p_rbw,OPS-FU,backend,VBB-alloc,run-proute,verbose,save,VAFG-alloc,runhybrid_cycle,nn,psim,OPS-Flt,constprop,vc,maketst_time,mergeTime_ms,VDAG-alloc,runhybrid_complete,codegen,col,runhybrid_pass,vfifo,runhybrid_err,share-adctx,runhybrid_rbw,VAFG-split,stat,argout,pirArgs,pcu-stage,avgActive,trace,sr,runp2p_complete,pracc,ag-dce,flit-width,OPS-Prog FU,arch,VAFG,simfreq,VBB,proute-seed,MC_Total,split-forward,VDAG-split,pmu-stage,net,DAG,algo,gentst_time,fifo-depth,link-prop,prtime,module,run-tst,genpir_err,runp2p_cycle,runhybrid_time,VMC-alloc,row
True,False,DDR4,,,H-hop,False,True,True,False,True,False,True,route_min_directed_valient,False,False,085453a5,True,0,-i100 -p100 -t1 -d100,False,True,False,16,200,False,True,27.23404255319149,,65536,,,2313fa6e,True,True,checkerboard,4,,,True,14,False,0,False,4,0:02.24,1000000000.0,True,6,32,6,,4,False,,,1,2020-03-26 02:24:44 -0700,,False,,dor,4,14,2,False,,True,bfs,2.17872,True,0,5,dfs,False,False,0,True,,True,,0,100,1000000000,4,True,False,1,mesh,True,200,40,False,True,,4,DRAMDoubleBuffer2_2,pirTest,14,14,AccelMain,2.17872,,Tst,,False,False,True,1,,False,False,,True,4,0:52.65,,0,False,True,20,,4,,False,,1,True,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,7.898936170212766,False,True,True,True,True,512,,MyDesign,1,0.21kHz,,0,40,False,0,6,hybrid,0,route_min_directed_valient,31.087961031,16,db,,False,False,,470,,4,20
True,False,DDR4,,,H-hop,False,True,True,False,True,False,True,route_min_directed_valient,False,False,085453a5,True,0,-i100 -p100 -t1 -d100,False,True,False,16,200,False,True,27.23404255319149,,65536,,,2313fa6e,True,True,checkerboard,4,,,True,21,False,0,False,4,0:02.84,1000000000.0,True,6,32,6,,4,False,,,1,2020-03-26 02:24:44 -0700,,False,,dor,6,21,2,False,,True,bfs,2.17872,True,0,5,dfs,False,False,0,True,,True,,0,100,1000000000,6,True,False,1,mesh,True,200,40,False,True,,6,DRAMDoubleBuffer2_3,pirTest,3,21,AccelMain,2.17872,,Tst,,False,False,True,1,,False,False,,True,4,1:23.98,,0,False,True,20,,4,,False,,1,True,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,8.233117483811286,False,True,True,True,True,512,,MyDesign,1,0.17kHz,,0,40,False,0,6,hybrid,18,route_min_directed_valient,49.463962725,16,db,,False,False,,470,,6,20
True,False,DDR4,,,H-hop,False,True,True,False,True,False,True,route_min_directed_valient,False,False,085453a5,True,0,-i100 -p100 -t1 -d100,False,True,False,16,200,False,True,2.2857142857142856,,65536,,,2313fa6e,True,True,checkerboard,4,,,True,21,False,0,False,4,0:01.87,1000000000.0,True,6,32,6,,4,False,,,1,2020-03-26 02:24:44 -0700,,False,,dor,6,21,2,False,,True,bfs,2.92571,True,0,5,dfs,False,False,0,True,,True,,0,100,1000000000,6,True,False,1,mesh,True,200,40,False,True,,6,DRAMDoubleBuffer2_4,pirTest,9,21,AccelMain,2.92571,,Tst,,False,False,True,1,,False,False,,True,4,1:29.92,,0,False,True,20,,4,,False,,1,True,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,2.111801242236025,False,True,True,True,True,512,,MyDesign,1,0.19kHz,,0,40,False,0,6,hybrid,12,route_min_directed_valient,43.319145888,16,db,,False,False,,350,,6,20
True,False,DDR4,,,H-hop,False,True,True,False,True,False,True,route_min_directed_valient,False,False,085453a5,True,0,-i100 -p100 -t1 -d100,False,True,False,16,200,False,True,56.14035087719298,,65536,,,2313fa6e,True,True,checkerboard,4,,,True,13,False,0,False,4,0:01.80,1000000000.0,True,6,32,6,,4,False,,,1,2020-03-26 02:24:44 -0700,,False,,dor,4,13,2,False,,True,bfs,2.24561,True,0,5,dfs,False,False,0,True,,True,,0,100,1000000000,4,True,False,1,mesh,True,200,40,False,True,,4,DRAMDoubleBuffer_0,pirTest,13,13,AccelMain,2.24561,,Tst,,False,False,True,1,,False,False,,True,4,0:46.74,,0,False,True,20,,4,,False,,1,True,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,15.935672514619883,False,True,True,True,True,512,,MyDesign,1,0.25kHz,,0,40,False,0,6,hybrid,0,route_min_directed_valient,34.914914829,16,db,,False,False,,456,,4,20
True,False,DDR4,,,H-hop,False,True,True,False,True,False,True,route_min_directed_valient,False,False,085453a5,True,0,-i100 -p100 -t1 -d100,False,True,False,16,200,False,True,6.324110671936759,,65536,,,2313fa6e,True,True,checkerboard,4,,,True,11,False,0,False,4,0:02.88,1000000000.0,True,6,32,6,,4,False,,,1,2020-03-26 02:24:44 -0700,,False,,dor,4,11,2,False,,True,bfs,4.04743,True,0,5,dfs,False,False,0,True,,True,,0,100,1000000000,4,True,False,1,mesh,True,200,40,False,True,,4,DRAMDoubleBuffer_1,pirTest,4,11,AccelMain,4.04743,,Tst,,False,False,True,1,,False,False,,True,4,0:41.76,,0,False,True,20,,4,,False,,1,True,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,3.4660991182730316,False,True,True,True,True,512,,MyDesign,1,0.09kHz,,0,40,False,0,6,hybrid,7,route_min_directed_valient,30.796070094,16,db,,False,False,,253,,4,20
True,False,DDR4,,,H-hop,False,True,True,False,True,False,True,route_min_directed_valient,False,False,085453a5,True,0,-i100 -p100 -t1 -d100,False,True,False,16,200,False,True,3.389830508474576,,65536,,,2313fa6e,True,True,checkerboard,4,,,True,22,False,0,False,4,0:01.56,1000000000.0,True,6,32,6,,4,False,,,1,2020-03-26 02:24:44 -0700,,False,,dor,8,22,2,False,,True,bfs,4.33898,True,0,5,dfs,False,False,0,True,,True,,0,100,1000000000,8,True,False,1,mesh,True,200,40,False,True,,8,DRAMDoubleBuffer_2,pirTest,8,22,AccelMain,4.33898,,Tst,,False,False,True,1,,False,False,,True,4,1:17.16,,0,False,True,20,,4,,False,,1,True,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,2.01271186440678,False,True,True,True,True,512,,MyDesign,1,0.15kHz,,0,40,False,0,6,hybrid,14,route_min_directed_valient,61.182306727,16,db,,False,False,,236,,8,20
True,False,DDR4,,,H-hop,False,True,True,False,True,False,True,route_min_directed_valient,False,False,085453a5,True,0,-i100 -p100 -t1 -d100,False,True,False,16,200,False,True,3.389830508474576,,65536,,,2313fa6e,True,True,checkerboard,4,,,True,37,False,0,False,4,0:02.91,1000000000.0,True,6,32,6,,4,False,,,1,2020-03-26 02:24:44 -0700,,False,,dor,12,37,2,False,,True,bfs,4.33898,True,0,5,dfs,False,False,0,True,,True,,0,100,1000000000,12,True,False,1,mesh,True,200,40,False,True,,12,DRAMDoubleBuffer_3,pirTest,28,37,AccelMain,4.33898,,Tst,,False,False,True,1,,False,False,,True,4,2:14.15,,0,False,True,20,,4,,False,,1,True,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,2.0208604954367666,False,True,True,True,True,512,,MyDesign,1,0.08kHz,,0,40,False,0,6,hybrid,9,route_min_directed_valient,111.166390888,16,db,,False,False,,236,,12,20
True,False,DDR4,,,H-hop,False,True,True,False,True,False,True,route_min_directed_valient,False,False,085453a5,True,0,-i100 -p100 -t1 -d100,False,True,False,16,200,False,True,68.35605535443786,,65536,,,2313fa6e,True,True,checkerboard,4,,,True,12,False,0,False,4,3:01.61,1000000000.0,True,6,32,6,,4,False,,,1,2020-03-26 02:24:44 -0700,,False,,dor,3,12,2,False,,True,bfs,43.7479,True,0,5,dfs,False,False,4,,,True,,0,100,1000000000,3,True,False,1,mesh,True,200,40,False,True,,3,DRAMMergeSort_0,pirTest,2,12,AccelMain,43.7479,,Tst,,False,False,True,1,,False,False,,True,4,1:26.42,,0,False,True,20,,4,,False,,1,True,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,10.71914554930807,False,True,True,True,True,512,,MyDesign,1,0.43kHz,,0,40,False,0,6,hybrid,6,route_min_directed_valient,36.131965651,16,db,,False,False,,77898,,3,20
True,False,DDR4,,,H-hop,False,True,True,False,True,False,True,route_min_directed_valient,False,False,085453a5,True,0,-i100 -p100 -t1 -d100,False,True,False,16,200,False,True,68.04856230031949,,65536,,,2313fa6e,True,True,checkerboard,4,,,True,12,False,0,False,4,2:33.24,1000000000.0,True,6,32,6,,4,False,,,1,2020-03-26 02:24:44 -0700,,False,,dor,3,12,2,False,,True,bfs,43.5511,True,0,5,dfs,False,False,4,,,True,,0,100,1000000000,3,True,False,1,mesh,True,200,40,False,True,,3,DRAMMergeSort_1,pirTest,2,12,AccelMain,43.5511,,Tst,,False,False,True,1,,False,False,,True,4,0:51.05,,0,False,True,20,,4,,False,,1,True,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,10.670926517571885,False,True,True,True,True,512,,MyDesign,1,0.51kHz,,0,40,False,0,6,hybrid,6,route_min_directed_valient,20.351940278,16,db,,False,False,,78250,,3,20
True,False,DDR4,,,H-hop,False,True,True,False,True,False,True,route_min_directed_valient,False,False,085453a5,True,0,-i100 -p100 -t1 -d100,False,True,False,16,200,False,True,42.24609173554937,,65536,,,2313fa6e,True,True,checkerboard,4,,,True,23,False,0,False,4,2:55.35,1000000000.0,True,6,32,6,,4,False,,,1,2020-03-26 02:24:44 -0700,,False,,dor,6,23,2,False,,True,bfs,50.2125,True,0,5,dfs,False,False,8,,,True,,0,100,1000000000,6,True,False,1,mesh,True,200,40,False,True,,6,DRAMMergeSort_2,pirTest,4,23,AccelMain,50.2125,,Tst,,False,False,True,1,,False,False,,True,4,2:05.09,,0,False,True,20,,4,,False,,1,True,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,7.216908276622419,False,True,True,True,True,512,,MyDesign,1,0.39kHz,,0,40,False,0,6,hybrid,11,route_min_directed_valient,48.314961832,16,db,,False,False,,67869,,6,20
