runhybrid_success,split-algo,row,runhybrid_rbw,dag-stage,save,runproute_err,igraph,split-forward,argin,runp2p_rbw,trace,mapping,gentst_err,reserve-mc,vdot,retime-buffer-only,OPS-Flt,clock,constprop,fifo-depth,pirArgs,mem-tech,runp2p_pass,proute-seed,project,OPS-Prog FU,link-prop,VPMU-alloc,routing-algo,dag,VBB-alloc,VMC,freq,waveform,mergeTime_ms,retime-local,reserve-pcu,split,rundot,vc,MC,genpir,plastiroute_sha,OPS-All,prtime,runp2p_time,nn,slink,debug-print,maketst_err,OPS-Other,debug,runhybrid_complete,rtelm-unsafe,runhybrid_dram_power,merge-algo,col,ag-dce,lrange,runhybrid_err,spatial_sha,pattern,notFit,pmu-stage,DAG,VBB-split,VPCU,tungsten_sha,VAFG-split,app,simulate,runhybrid_pass,maxActive,runp2p_err,routing-cost,runp2p_complete,PCU,retime-exout,psim,runhybrid_wbw,load,VPMU,codegen,runproute_time,dedicated-dag,start-id,VDAG-split,dot-argin,pcu-stage,proute-opts,add-row,fast,genpir_err,scheduled,time,backend,PMU,gentst_time,vfifo,succeeded,merge-forward,VDAG-alloc,net,vcLimit,MC_Total,retime-glob,runp2p_deadlock,verbose,tokenout,psim-q,VPMU-split,VDAG,reserve-pmu,rtanal,merge,simfreq,sr,maketst_time,pir_sha,OPS-FU,rtelm,run-proute,VAFG,dot,DAG_Total,name,run-tst,open,vlink,proute-algo,reserve-dag,tungsten,VBB,word,avgActive,stat,topo,runp2p_dram_power,VPCU-split,proute-q,PCU_Total,time-out,runp2p_success,run-psim,vec,pracc,pmu-sram-size,runp2p_wbw,module,memelm,share-adctx,VAFG-alloc,runp2p_cycle,runhybrid_cycle,runhybrid_deadlock,OPS-Fix,dupra,VMC-alloc,split-thread,bcread,mdone,algo,arch,argout,VPCU-alloc,VMC-split,flit-width,PMU_Total,runhybrid_time
False,dfs,20,,6,True,,False,False,6,0.0,False,True,,0,True,False,,1000000000,True,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",DDR4,True,0,pirTest,,db,9,dor,True,,2,1000000000.0,True,,False,0,True,True,4,2,True,88a079d,,,0:01.46,False,4,True,,,True,False,False,,bfs,20,True,True,,4e343530,checkerboard,,6,5,,13,8f1782e,1,StreamInfNN_0,False,,97.20984759671747,,H-hop,True,8,False,False,,False,9,True,,False,0,0,False,6,-i100 -p100 -t1 -d100,0,True,,False,2020-05-05 00:01:13 -0700,Tst,9,99.682717878,4,True,False,0,hybrid,4,0,False,False,False,5,1,9,0,0,True,False,2.92kHz,True,1:03.97,d4ea004b,,True,False,1,True,0,AccelMain,False,False,2,route_min_directed_valient,0,True,,32,35.01284577585992,True,mesh,,13,4,0,100,True,False,16,True,65536,0.0,False,False,False,1,4265,,False,,False,2,1,True,True,route_min_directed_valient,MyDesign,4,10,2,512,0,
False,dfs,20,,6,True,,False,False,6,0.0,False,True,,0,True,False,,1000000000,True,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",DDR4,True,0,pirTest,,db,11,dor,True,,2,1000000000.0,True,,False,0,True,True,4,2,True,88a079d,,,0:02.68,False,4,True,,,True,False,False,,bfs,20,True,True,,4e343530,checkerboard,,6,14,,27,8f1782e,1,StreamInfNN_1,False,,94.63238610735227,,H-hop,True,15,False,False,,False,11,True,,False,0,0,False,6,-i100 -p100 -t1 -d100,0,True,,False,2020-05-05 00:01:13 -0700,Tst,13,139.928293317,4,True,False,0,hybrid,4,0,False,False,False,5,1,11,0,0,True,False,0.83kHz,True,1:47.50,d4ea004b,,True,False,1,True,0,AccelMain,False,False,2,route_min_directed_valient,0,True,,32,37.49726142148334,True,mesh,,27,4,0,100,True,False,16,True,65536,0.0,False,False,False,1,2217,,False,,False,2,1,True,True,route_min_directed_valient,MyDesign,4,18,2,512,0,
False,dfs,20,,6,True,,False,False,6,0.0,False,True,,0,True,False,,1000000000,True,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",DDR4,True,0,pirTest,,db,9,dor,True,,2,1000000000.0,True,,False,0,True,True,4,2,True,88a079d,,,0:03.00,False,4,True,,,True,False,False,,bfs,20,True,True,,4e343530,checkerboard,,6,6,,15,8f1782e,1,StreamInfNN_2,False,,99.03579607086898,,H-hop,True,9,False,False,,False,9,True,,False,0,0,False,6,-i100 -p100 -t1 -d100,0,True,,False,2020-05-05 00:01:13 -0700,Tst,9,136.89158655,4,True,False,0,hybrid,4,0,False,False,False,5,1,9,0,0,True,False,5.53kHz,True,1:02.99,d4ea004b,,True,False,1,True,0,AccelMain,False,False,2,route_min_directed_valient,0,True,,32,22.4600508215821,True,mesh,,15,4,0,100,True,False,16,True,65536,0.0,False,False,False,1,16594,,False,,False,2,1,True,True,route_min_directed_valient,MyDesign,4,11,2,512,0,
False,dfs,20,,6,True,,False,False,6,0.0,False,True,,0,True,False,,1000000000,True,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",DDR4,True,0,pirTest,,db,9,dor,True,,2,1000000000.0,True,,False,0,True,True,4,2,True,88a079d,,,0:02.66,False,4,True,,,True,False,False,,bfs,20,True,True,,4e343530,checkerboard,,6,10,,22,8f1782e,1,StreamInfNN_3,False,,99.21516541898092,,H-hop,True,12,False,False,,False,9,True,,False,0,0,False,6,-i100 -p100 -t1 -d100,0,True,,False,2020-05-05 00:01:13 -0700,Tst,9,103.767687559,4,True,False,0,hybrid,4,0,False,False,False,5,1,9,0,0,True,False,6.23kHz,True,0:37.84,d4ea004b,,True,False,1,True,0,AccelMain,False,False,2,route_min_directed_valient,0,True,,32,18.961357517865608,True,mesh,,22,4,0,100,True,False,16,True,65536,0.0,False,False,False,1,16564,,False,,False,2,1,True,True,route_min_directed_valient,MyDesign,4,14,2,512,0,
False,dfs,20,,6,True,,False,False,6,0.0,False,True,,0,True,False,,1000000000,True,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",DDR4,True,0,pirTest,,db,11,dor,True,,2,1000000000.0,True,,False,0,True,True,4,2,True,88a079d,,,0:03.50,False,4,True,,,True,False,False,,bfs,20,True,True,,4e343530,checkerboard,,6,23,,42,8f1782e,1,StreamInfNN_4,False,,98.66220735785953,,H-hop,True,20,False,False,,False,11,True,,False,0,0,False,6,-i100 -p100 -t1 -d100,0,True,,False,2020-05-05 00:01:13 -0700,Tst,12,222.448111104,4,True,False,0,hybrid,4,0,False,False,False,5,1,11,0,0,True,False,2.39kHz,True,1:51.33,d4ea004b,,True,False,1,True,0,AccelMain,False,False,2,route_min_directed_valient,0,True,,32,21.671104611189445,True,mesh,,42,4,0,100,True,False,16,True,65536,0.0,False,False,False,1,8372,,False,,False,2,1,True,True,route_min_directed_valient,MyDesign,4,26,2,512,0,
False,dfs,20,,6,True,,False,False,6,0.0,False,True,,0,True,False,,1000000000,True,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",DDR4,True,0,pirTest,,db,11,dor,True,,2,1000000000.0,True,,False,0,True,True,4,2,True,88a079d,,,0:01.21,False,4,True,,,True,False,False,,bfs,20,True,True,,4e343530,checkerboard,,6,11,,23,8f1782e,1,StreamInfNN_5,False,,94.13793103448276,,H-hop,True,13,False,False,,False,11,True,,False,0,0,False,6,-i100 -p100 -t1 -d100,0,True,,False,2020-05-05 00:01:13 -0700,Tst,12,146.380620473,4,True,False,0,hybrid,4,0,False,False,False,5,1,11,0,0,True,False,0.96kHz,True,1:18.76,d4ea004b,,True,False,1,True,0,AccelMain,False,False,2,route_min_directed_valient,0,True,,32,35.88394235717962,True,mesh,,23,4,0,100,True,False,16,True,65536,0.0,False,False,False,1,1160,,False,,False,2,1,True,True,route_min_directed_valient,MyDesign,4,16,2,512,0,
False,dfs,20,,6,True,,False,False,6,0.0,False,True,,0,True,False,,1000000000,True,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",DDR4,True,0,pirTest,,db,9,dor,True,,2,1000000000.0,True,,False,0,True,True,4,2,True,88a079d,,,0:01.57,False,4,True,,,True,False,False,,bfs,20,True,True,,4e343530,checkerboard,,6,2,,13,8f1782e,1,StreamInfNN_6,False,,97.07328494497776,,H-hop,True,11,False,False,,False,9,True,,False,0,0,False,6,-i100 -p100 -t1 -d100,0,True,,False,2020-05-05 00:01:13 -0700,Tst,9,53.047458805,4,True,False,0,hybrid,4,0,False,False,False,5,1,9,0,0,True,False,2.72kHz,True,0:41.90,d4ea004b,,True,False,1,True,0,AccelMain,False,False,2,route_min_directed_valient,0,True,,32,34.966647902479366,True,mesh,,13,4,0,100,True,False,16,True,65536,0.0,False,False,False,1,4271,,False,,False,2,1,True,True,route_min_directed_valient,MyDesign,4,10,2,512,0,
False,dfs,20,,6,True,,False,False,6,0.0,False,True,,0,True,False,,1000000000,True,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",DDR4,True,0,pirTest,,db,9,dor,True,,2,1000000000.0,True,,False,0,True,True,4,2,True,88a079d,,,0:01.30,False,4,True,,,True,False,False,,bfs,20,True,True,,4e343530,checkerboard,,6,2,,13,8f1782e,1,StreamInfNN_7,False,,97.07328494497776,,H-hop,True,11,False,False,,False,9,True,,False,0,0,False,6,-i100 -p100 -t1 -d100,0,True,,False,2020-05-05 00:01:13 -0700,Tst,9,71.327503512,4,True,False,0,hybrid,4,0,False,False,False,5,1,9,0,0,True,False,3.29kHz,True,0:52.65,d4ea004b,,True,False,1,True,0,AccelMain,False,False,2,route_min_directed_valient,0,True,,32,34.966647902479366,True,mesh,,13,4,0,100,True,False,16,True,65536,0.0,False,False,False,1,4271,,False,,False,2,1,True,True,route_min_directed_valient,MyDesign,4,10,2,512,0,
False,dfs,20,,6,True,,False,False,6,0.0,False,True,,0,True,False,,1000000000,True,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",DDR4,True,0,pirTest,,db,5,dor,True,,2,1000000000.0,True,,False,0,True,True,4,2,True,88a079d,,,0:00.50,False,4,True,,,True,False,False,,bfs,20,True,True,,4e343530,checkerboard,,6,1,,7,8f1782e,1,StreamInfSVM_0,False,,94.09780775716695,,H-hop,True,6,False,False,,False,5,True,,False,0,0,False,6,-i100 -p100 -t1 -d100,0,True,,False,2020-05-05 00:01:13 -0700,Tst,5,60.471328607,4,True,False,0,hybrid,4,0,False,False,False,5,1,5,0,0,True,False,1.19kHz,True,0:30.41,d4ea004b,,True,False,1,True,0,AccelMain,False,False,2,route_min_directed_valient,0,True,,32,48.08569108737743,True,mesh,,7,4,0,100,True,False,16,True,65536,0.0,False,False,False,1,593,,False,,False,2,1,True,True,route_min_directed_valient,MyDesign,4,6,2,512,0,
False,dfs,20,,6,True,,False,False,6,0.0,False,True,,0,True,False,,1000000000,True,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",DDR4,True,0,pirTest,,db,5,dor,True,,2,1000000000.0,True,,False,0,True,True,4,2,True,88a079d,,,0:00.92,False,4,True,,,True,False,False,,bfs,20,True,True,,4e343530,checkerboard,,6,4,,15,8f1782e,1,StreamInfSVM_1,False,,96.14243323442136,,H-hop,True,11,False,False,,False,5,True,,False,0,0,False,6,-i100 -p100 -t1 -d100,0,True,,False,2020-05-05 00:01:13 -0700,Tst,5,68.365758375,4,True,False,0,hybrid,4,0,False,False,False,5,1,5,0,0,True,False,0.37kHz,True,0:36.95,d4ea004b,,True,False,1,True,0,AccelMain,False,False,2,route_min_directed_valient,0,True,,32,51.4749519986036,True,mesh,,15,4,0,100,True,False,16,True,65536,0.0,False,False,False,1,337,,False,,False,2,1,True,True,route_min_directed_valient,MyDesign,4,10,2,512,0,
