run-proute,runhybrid_err,reserve-pmu,argout,vlink,notFit,vfifo,VPCU,mem-tech,VMC-alloc,algo,OPS-Prog FU,VPMU-alloc,merge,merge-algo,load,split-forward,run-tst,ag-dce,runp2p_dram_power,col,runhybrid_dram_power,igraph,psim,split-thread,OPS-Other,reserve-pcu,runp2p_cycle,runproute_time,tungsten,runp2p_err,gentst_time,MC,retime-local,pracc,clock,fast,open,backend,VBB-split,runproute_err,spatial_sha,DAG_Total,fifo-depth,VAFG,VAFG-split,mdone,sr,vdot,verbose,dot,rtelm,pcu-stage,PMU,avgActive,runp2p_deadlock,row,VPCU-alloc,merge-forward,mergeTime_ms,proute-seed,VMC,VBB,OPS-Fix,dag,retime-exout,arch,VAFG-alloc,run-psim,vec,succeeded,split,OPS-Flt,PCU_Total,DAG,module,split-algo,runp2p_wbw,scheduled,pattern,runhybrid_complete,VMC-split,retime-glob,runhybrid_wbw,retime-buffer-only,lrange,VDAG,stat,prtime,OPS-All,pmu-sram-size,nn,VDAG-split,PMU_Total,maketst_time,runhybrid_cycle,simulate,runhybrid_success,runhybrid_rbw,MC_Total,save,VBB-alloc,dupra,runp2p_rbw,time,project,runp2p_complete,dag-stage,debug,runp2p_time,argin,net,maxActive,time-out,vcLimit,constprop,VPMU,flit-width,maketst_err,OPS-FU,vc,routing-algo,routing-cost,freq,slink,dedicated-dag,trace,pirArgs,VDAG-alloc,simfreq,proute-opts,codegen,VPCU-split,VPMU-split,tokenout,PCU,app,psim-q,debug-tst,link-prop,waveform,runp2p_pass,pmu-stage,proute-q,genpir,name,start-id,runhybrid_time,topo,mapping,bcread,proute-algo,pir_sha,runhybrid_deadlock,genpir_err,runp2p_success,runhybrid_pass,gentst_err,word
False,,0,4,2,,4,23,DDR4,6,route_min_directed_valient,,,False,bfs,False,False,False,True,,20,,False,False,1,,0,490,,True,,23.516469991,6,False,True,1000000000,False,False,Tst,,,1e155b96,40,16,1,1,True,True,True,False,False,True,6,3,9.355102040816327,False,20,23,False,,0,6,,,True,False,MyDesign,1,False,16,True,True,,200,20,False,dfs,2.0898,False,checkerboard,False,6,False,,False,True,0,True,,,65536,False,0,200,0:54.33,,False,False,,40,False,,False,2.0898,2020-01-20 17:56:56 -0800,pirTest,True,6,False,0:00.64,6,hybrid,26.122448979591837,100,4,True,,512,,,4,dor,H-hop,1000000000.0,4,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",0,0.77kHz,-i100 -p100 -t1 -d100,True,23,,5,0,DRAMDoubleBuffer2_3,1,False,db,True,True,6,4,True,AccelMain,0,,mesh,True,True,route_min_directed_valient,e546843f,False,,True,,,32
False,,0,4,2,,4,23,DDR4,6,route_min_directed_valient,,,False,bfs,False,False,False,True,,20,,False,False,1,,0,370,,True,,28.851794787,6,False,True,1000000000,False,False,Tst,,,1e155b96,40,16,1,1,True,True,True,False,False,True,6,11,2.0108108108108107,False,20,23,False,,0,6,,,True,False,MyDesign,1,False,16,True,True,,200,12,False,dfs,2.76757,False,checkerboard,False,6,False,,False,True,0,True,,,65536,False,0,200,1:16.28,,False,False,,40,False,,False,2.76757,2020-01-20 17:56:56 -0800,pirTest,True,6,False,0:00.79,6,hybrid,2.1621621621621623,100,4,True,,512,,,4,dor,H-hop,1000000000.0,4,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",0,0.47kHz,-i100 -p100 -t1 -d100,True,23,,5,0,DRAMDoubleBuffer2_4,1,False,db,True,True,6,4,True,AccelMain,0,,mesh,True,True,route_min_directed_valient,e546843f,False,,True,,,32
False,,0,4,2,,4,13,DDR4,4,route_min_directed_valient,,,False,bfs,False,False,False,True,,20,,False,False,1,,0,456,,True,,20.863444974,4,False,True,1000000000,False,False,Tst,,,1e155b96,40,16,1,1,True,True,True,False,False,True,6,13,15.935672514619883,False,20,13,False,,0,4,,,True,False,MyDesign,1,False,16,True,True,,200,0,False,dfs,2.24561,False,checkerboard,False,4,False,,False,True,0,True,,,65536,False,0,200,0:48.38,,False,False,,40,False,,False,2.24561,2020-01-20 17:56:56 -0800,pirTest,True,6,False,0:00.82,6,hybrid,56.14035087719298,100,4,True,,512,,,4,dor,H-hop,1000000000.0,4,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",0,0.56kHz,-i100 -p100 -t1 -d100,True,13,,5,0,DRAMDoubleBuffer_0,1,False,db,True,True,6,4,True,AccelMain,0,,mesh,True,True,route_min_directed_valient,e546843f,False,,True,,,32
False,,0,4,2,,4,11,DDR4,4,route_min_directed_valient,,,False,bfs,False,False,False,True,,20,,False,False,1,,0,253,,True,,20.073554285,4,False,True,1000000000,False,False,Tst,,,1e155b96,40,16,1,1,True,True,True,False,False,True,6,4,3.4660991182730316,False,20,11,False,,0,4,,,True,False,MyDesign,1,False,16,True,True,,200,7,False,dfs,4.04743,False,checkerboard,False,4,False,,False,True,0,True,,,65536,False,0,200,0:39.40,,False,False,,40,False,,False,4.04743,2020-01-20 17:56:56 -0800,pirTest,True,6,False,0:00.54,6,hybrid,6.324110671936759,100,4,True,,512,,,4,dor,H-hop,1000000000.0,4,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",0,0.47kHz,-i100 -p100 -t1 -d100,True,11,,5,0,DRAMDoubleBuffer_1,1,False,db,True,True,6,4,True,AccelMain,0,,mesh,True,True,route_min_directed_valient,e546843f,False,,True,,,32
False,,0,4,2,,4,22,DDR4,8,route_min_directed_valient,,,False,bfs,False,False,False,True,,20,,False,False,1,,0,236,,True,,23.443812629,8,False,True,1000000000,False,False,Tst,,,1e155b96,40,16,1,1,True,True,True,False,False,True,6,8,2.01271186440678,False,20,22,False,,0,8,,,True,False,MyDesign,1,False,16,True,True,,200,14,False,dfs,4.33898,False,checkerboard,False,8,False,,False,True,0,True,,,65536,False,0,200,0:50.07,,False,False,,40,False,,False,4.33898,2020-01-20 17:56:56 -0800,pirTest,True,6,False,0:00.64,6,hybrid,3.389830508474576,100,4,True,,512,,,4,dor,H-hop,1000000000.0,4,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",0,0.37kHz,-i100 -p100 -t1 -d100,True,22,,5,0,DRAMDoubleBuffer_2,1,False,db,True,True,6,4,True,AccelMain,0,,mesh,True,True,route_min_directed_valient,e546843f,False,,True,,,32
False,,0,4,2,,4,37,DDR4,12,route_min_directed_valient,,,False,bfs,False,False,False,True,,20,,False,False,1,,0,236,,True,,43.412272577,12,False,True,1000000000,False,False,Tst,,,1e155b96,40,16,1,1,True,True,True,False,False,True,6,28,2.0208604954367666,False,20,37,False,,0,12,,,True,False,MyDesign,1,False,16,True,True,,200,9,False,dfs,4.33898,False,checkerboard,False,12,False,,False,True,0,True,,,65536,False,0,200,1:33.26,,False,False,,40,False,,False,4.33898,2020-01-20 17:56:56 -0800,pirTest,True,6,False,0:00.61,6,hybrid,3.389830508474576,100,4,True,,512,,,4,dor,H-hop,1000000000.0,4,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",0,0.39kHz,-i100 -p100 -t1 -d100,True,37,,5,0,DRAMDoubleBuffer_3,1,False,db,True,True,6,4,True,AccelMain,0,,mesh,True,True,route_min_directed_valient,e546843f,False,,True,,,32
False,,0,4,2,,4,19,DDR4,3,route_min_directed_valient,,,False,bfs,False,False,False,True,,20,,False,False,1,,0,78462,,True,,24.032302541,3,False,True,1000000000,False,False,Tst,,,1e155b96,40,16,1,1,True,True,True,False,False,True,6,2,20.490301037444876,False,20,19,False,,0,3,,,True,False,MyDesign,1,False,16,True,True,,200,6,False,dfs,43.4334,False,checkerboard,False,3,False,,False,True,0,True,,,65536,False,0,200,1:26.09,,False,False,,40,False,,False,43.4334,2020-01-20 17:56:56 -0800,pirTest,True,6,False,0:17.91,6,hybrid,67.86469883510489,100,4,True,,512,,,4,dor,H-hop,1000000000.0,4,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",0,4.38kHz,-i100 -p100 -t1 -d100,True,19,,5,11,DRAMMergeSort_0,1,False,db,True,,6,4,True,AccelMain,0,,mesh,True,True,route_min_directed_valient,e546843f,False,,True,,,32
False,,0,4,2,,4,19,DDR4,3,route_min_directed_valient,,,False,bfs,False,False,False,True,,20,,False,False,1,,0,78062,,True,,20.536889474,3,False,True,1000000000,False,False,Tst,,,1e155b96,40,16,1,1,True,True,True,False,False,True,6,2,20.595296046732084,False,20,19,False,,0,3,,,True,False,MyDesign,1,False,16,True,True,,200,6,False,dfs,43.656,False,checkerboard,False,3,False,,False,True,0,True,,,65536,False,0,200,1:07.46,,False,False,,40,False,,False,43.656,2020-01-20 17:56:56 -0800,pirTest,True,6,False,0:15.71,6,hybrid,68.21244651687121,100,4,True,,512,,,4,dor,H-hop,1000000000.0,4,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",0,4.97kHz,-i100 -p100 -t1 -d100,True,19,,5,11,DRAMMergeSort_1,1,False,db,True,,6,4,True,AccelMain,0,,mesh,True,True,route_min_directed_valient,e546843f,False,,True,,,32
False,,0,4,2,,4,37,DDR4,6,route_min_directed_valient,,,False,bfs,False,False,False,True,,20,,False,False,1,,0,67172,,True,,40.865620079,6,False,True,1000000000,False,False,Tst,,,1e155b96,40,16,1,1,True,True,True,False,False,True,6,4,13.761807123624548,False,20,37,False,,0,6,,,True,False,MyDesign,1,False,16,True,True,,200,11,False,dfs,50.7335,False,checkerboard,False,6,False,,False,True,0,True,,,65536,False,0,200,2:01.13,,False,False,,40,False,,False,50.7335,2020-01-20 17:56:56 -0800,pirTest,True,6,False,0:25.00,6,hybrid,42.68445185493956,100,4,True,,512,,,4,dor,H-hop,1000000000.0,4,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",0,2.69kHz,-i100 -p100 -t1 -d100,True,37,,5,22,DRAMMergeSort_2,1,False,db,True,,6,4,True,AccelMain,0,,mesh,True,True,route_min_directed_valient,e546843f,False,,True,,,32
False,,0,4,2,,4,55,DDR4,9,route_min_directed_valient,,,False,bfs,False,False,False,True,,20,,False,False,1,,0,60504,,True,,52.930295082,9,False,True,1000000000,False,False,Tst,,,1e155b96,40,16,1,1,True,True,True,False,False,True,6,6,11.935941792645481,False,20,55,False,,0,9,,,True,False,MyDesign,1,False,16,True,True,,200,16,False,dfs,56.3247,False,checkerboard,False,9,False,,False,True,0,True,,,65536,False,0,200,2:55.16,,False,False,,40,False,,False,56.3247,2020-01-20 17:56:56 -0800,pirTest,True,6,False,0:26.55,6,hybrid,36.85706730133545,100,4,True,,512,,,4,dor,H-hop,1000000000.0,4,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",0,2.28kHz,-i100 -p100 -t1 -d100,True,55,,5,33,DRAMMergeSort_3,1,False,db,True,,6,4,True,AccelMain,0,,mesh,True,True,route_min_directed_valient,e546843f,False,,True,,,32
