memelm,run-proute,genpir,runproute_time,name,OPS-Other,freq,VDAG-alloc,retime-local,VBB,avgActive,runhybrid_rbw,lrange,PCU,tokenout,proute-seed,pirArgs,VPMU,maketst_err,ag-dce,MC,psim-q,split,pmu-sram-size,link-prop,PMU_Total,dag-stage,DAG_Total,OPS-All,mem-tech,vdot,VMC-split,runp2p_success,waveform,VDAG,runp2p_deadlock,reserve-pcu,dot,runhybrid_success,start-id,runp2p_wbw,rundot,save,verbose,word,VPMU-split,VAFG,scheduled,argin,pattern,OPS-FU,OPS-Prog FU,VMC,tungsten,stat,pmu-stage,psim,slink,backend,prtime,PCU_Total,proute-q,split-algo,fast,merge-forward,merge-algo,share-adctx,rtelm,dag,constprop,proute-algo,DAG,runhybrid_complete,runhybrid_deadlock,VMC-alloc,routing-algo,maketst_time,run-tst,PMU,retime-buffer-only,routing-cost,VBB-alloc,module,VDAG-split,split-forward,runproute_err,run-psim,MC_Total,pracc,vc,sr,succeeded,igraph,pir_sha,runp2p_pass,VPCU-alloc,VAFG-split,trace,project,runhybrid_pass,notFit,debug,VAFG-alloc,merge,dupra,load,codegen,time-out,vec,proute-opts,runp2p_time,fifo-depth,mergeTime_ms,genpir_err,debug-print,app,VPCU-split,retime-glob,runp2p_err,runp2p_rbw,argout,net,rtanal,flit-width,open,gentst_time,reserve-dag,vfifo,gentst_err,runp2p_dram_power,arch,runhybrid_cycle,nn,clock,vlink,simfreq,simulate,mdone,runhybrid_dram_power,time,runp2p_cycle,runhybrid_err,vcLimit,mapping,split-thread,VBB-split,reserve-pmu,bcread,VPMU-alloc,col,runp2p_complete,OPS-Fix,dedicated-dag,runhybrid_time,row,rtelm-unsafe,OPS-Flt,VPCU,spatial_sha,runhybrid_wbw,maxActive,pcu-stage,topo,algo,retime-exout
False,False,True,,AccelMain,,1000000000.0,0,False,,7.898936170212766,,True,0,5,0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,,True,4,1,True,65536,db,200,6,40,,DDR4,True,4,True,True,0,False,0,True,False,0,2.17872,True,True,False,32,,1,False,6,checkerboard,,,4,True,True,6,False,4,Tst,,200,4,dfs,True,False,bfs,False,True,True,True,route_min_directed_valient,0,False,False,4,dor,0:18.41,False,14,False,H-hop,,False,0,False,,False,40,True,4,True,True,False,381b75e6,True,14,1,False,pirTest,,,True,1,False,False,False,True,100,16,-i100 -p100 -t1 -d100,0:00.32,16,,,True,DRAMDoubleBuffer2_2,14,False,,2.17872,4,hybrid,True,512,False,27.846878608,0,4,,,MyDesign,,False,1000000000,2,1.47kHz,False,True,,2020-04-08 00:16:24 -0700,470,,4,True,1,,0,True,,20,True,,False,,20,False,,14,ea1556b2,,27.23404255319149,6,mesh,route_min_directed_valient,False
False,False,True,,AccelMain,,1000000000.0,0,False,,8.233117483811286,,True,0,5,0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,,True,6,1,True,65536,db,200,6,40,,DDR4,True,6,True,True,0,False,0,True,False,0,2.17872,True,True,False,32,,1,False,6,checkerboard,,,6,True,True,6,False,4,Tst,,200,4,dfs,True,False,bfs,False,True,True,True,route_min_directed_valient,18,False,False,6,dor,0:19.17,False,3,False,H-hop,,False,0,False,,False,40,True,4,True,True,False,381b75e6,True,21,1,False,pirTest,,,True,1,False,False,False,True,100,16,-i100 -p100 -t1 -d100,0:00.49,16,,,True,DRAMDoubleBuffer2_3,21,False,,2.17872,4,hybrid,True,512,False,22.693536972,0,4,,,MyDesign,,False,1000000000,2,0.96kHz,False,True,,2020-04-08 00:16:24 -0700,470,,4,True,1,,0,True,,20,True,,False,,20,False,,21,ea1556b2,,27.23404255319149,6,mesh,route_min_directed_valient,False
False,False,True,,AccelMain,,1000000000.0,0,False,,2.111801242236025,,True,0,5,0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,,True,6,1,True,65536,db,200,6,40,,DDR4,True,6,True,True,0,False,0,True,False,0,2.92571,True,True,False,32,,1,False,6,checkerboard,,,6,True,True,6,False,4,Tst,,200,4,dfs,True,False,bfs,False,True,True,True,route_min_directed_valient,12,False,False,6,dor,0:50.23,False,9,False,H-hop,,False,0,False,,False,40,True,4,True,True,False,381b75e6,True,21,1,False,pirTest,,,True,1,False,False,False,True,100,16,-i100 -p100 -t1 -d100,0:00.34,16,,,True,DRAMDoubleBuffer2_4,21,False,,2.92571,4,hybrid,True,512,False,22.888829186,0,4,,,MyDesign,,False,1000000000,2,1.03kHz,False,True,,2020-04-08 00:16:24 -0700,350,,4,True,1,,0,True,,20,True,,False,,20,False,,21,ea1556b2,,2.2857142857142856,6,mesh,route_min_directed_valient,False
False,False,True,,AccelMain,,1000000000.0,0,False,,15.831517792302106,,True,0,5,0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,,True,4,1,True,65536,db,200,6,40,,DDR4,True,4,True,True,0,False,0,True,False,0,2.23094,True,True,False,32,,1,False,6,checkerboard,,,4,True,True,6,False,4,Tst,,200,4,dfs,True,False,bfs,False,True,True,True,route_min_directed_valient,12,False,False,4,dor,0:43.19,False,1,False,H-hop,,False,0,False,,False,40,True,4,True,True,False,381b75e6,True,13,1,False,pirTest,,,True,1,False,False,False,True,100,16,-i100 -p100 -t1 -d100,0:00.37,16,,,True,DRAMDoubleBuffer_0,13,False,,2.23094,4,hybrid,True,512,False,35.351405979,0,4,,,MyDesign,,False,1000000000,2,1.24kHz,False,True,,2020-04-08 00:16:24 -0700,459,,4,True,1,,0,True,,20,True,,False,,20,False,,13,ea1556b2,,55.773420479302835,6,mesh,route_min_directed_valient,False
False,False,True,,AccelMain,,1000000000.0,0,False,,3.359858532272326,,True,0,5,0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,,True,4,1,True,65536,db,200,6,40,,DDR4,True,4,True,True,0,False,0,True,False,0,3.92337,True,True,False,32,,1,False,6,checkerboard,,,4,True,True,6,False,4,Tst,,200,4,dfs,True,False,bfs,False,True,True,True,route_min_directed_valient,7,False,False,4,dor,0:45.24,False,4,False,H-hop,,False,0,False,,False,40,True,4,True,True,False,381b75e6,True,11,1,False,pirTest,,,True,1,False,False,False,True,100,16,-i100 -p100 -t1 -d100,0:00.50,16,,,True,DRAMDoubleBuffer_1,11,False,,3.92337,4,hybrid,True,512,False,37.994139508,0,4,,,MyDesign,,False,1000000000,2,0.52kHz,False,True,,2020-04-08 00:16:24 -0700,261,,4,True,1,,0,True,,20,True,,False,,20,False,,11,ea1556b2,,6.130268199233717,6,mesh,route_min_directed_valient,False
False,False,True,,AccelMain,,1000000000.0,0,False,,2.01271186440678,,True,0,5,0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,,True,8,1,True,65536,db,200,6,40,,DDR4,True,8,True,True,0,False,0,True,False,0,4.33898,True,True,False,32,,1,False,6,checkerboard,,,8,True,True,6,False,4,Tst,,200,4,dfs,True,False,bfs,False,True,True,True,route_min_directed_valient,14,False,False,8,dor,0:42.91,False,8,False,H-hop,,False,0,False,,False,40,True,4,True,True,False,381b75e6,True,22,1,False,pirTest,,,True,1,False,False,False,True,100,16,-i100 -p100 -t1 -d100,0:00.44,16,,,True,DRAMDoubleBuffer_2,22,False,,4.33898,4,hybrid,True,512,False,35.017601857,0,4,,,MyDesign,,False,1000000000,2,0.54kHz,False,True,,2020-04-08 00:16:24 -0700,236,,4,True,1,,0,True,,20,True,,False,,20,False,,22,ea1556b2,,3.389830508474576,6,mesh,route_min_directed_valient,False
False,False,True,,AccelMain,,1000000000.0,0,False,,1.9546027742749053,,True,0,5,0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,,True,12,1,True,65536,db,200,6,40,,DDR4,True,12,True,True,0,False,0,True,False,0,4.19672,True,True,False,32,,1,False,6,checkerboard,,,12,True,True,6,False,4,Tst,,200,4,dfs,True,False,bfs,False,True,True,True,route_min_directed_valient,9,False,False,12,dor,1:45.63,False,28,False,H-hop,,False,0,False,,False,40,True,4,True,True,False,381b75e6,True,37,1,False,pirTest,,,True,1,False,False,False,True,100,16,-i100 -p100 -t1 -d100,0:00.85,16,,,True,DRAMDoubleBuffer_3,37,False,,4.19672,4,hybrid,True,512,False,53.158289533,0,4,,,MyDesign,,False,1000000000,2,0.29kHz,False,True,,2020-04-08 00:16:24 -0700,244,,4,True,1,,0,True,,20,True,,False,,20,False,,37,ea1556b2,,3.278688524590164,6,mesh,route_min_directed_valient,False
False,False,True,,AccelMain,,1000000000.0,0,False,,20.626475418249,,True,11,5,0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,,True,3,1,True,65536,db,200,6,40,,DDR4,True,3,True,True,0,False,0,True,False,0,43.7221,True,True,False,32,,1,False,6,checkerboard,,,3,True,True,6,False,4,Tst,,200,4,dfs,True,False,bfs,False,True,True,True,route_min_directed_valient,6,False,False,3,dor,1:17.81,False,2,False,H-hop,,False,0,False,,False,40,True,4,True,True,False,381b75e6,,19,1,False,pirTest,,,True,1,False,False,False,True,100,16,-i100 -p100 -t1 -d100,0:26.57,16,,,True,DRAMMergeSort_0,19,False,,43.7221,4,hybrid,True,512,False,48.505131844,0,4,,,MyDesign,,False,1000000000,2,2.93kHz,False,True,,2020-04-08 00:16:24 -0700,77944,,4,True,1,,0,True,,20,True,,False,,20,False,,19,ea1556b2,,68.31571384583803,6,mesh,route_min_directed_valient,False
False,False,True,,AccelMain,,1000000000.0,0,False,,20.646607078645914,,True,11,5,0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,,True,3,1,True,65536,db,200,6,40,,DDR4,True,3,True,True,0,False,0,True,False,0,43.7647,True,True,False,32,,1,False,6,checkerboard,,,3,True,True,6,False,4,Tst,,200,4,dfs,True,False,bfs,False,True,True,True,route_min_directed_valient,6,False,False,3,dor,1:00.86,False,2,False,H-hop,,False,0,False,,False,40,True,4,True,True,False,381b75e6,,19,1,False,pirTest,,,True,1,False,False,False,True,100,16,-i100 -p100 -t1 -d100,0:19.27,16,,,True,DRAMMergeSort_1,19,False,,43.7647,4,hybrid,True,512,False,29.624975375,0,4,,,MyDesign,,False,1000000000,2,4.04kHz,False,True,,2020-04-08 00:16:24 -0700,77868,,4,True,1,,0,True,,20,True,,False,,20,False,,19,ea1556b2,,68.3823907124878,6,mesh,route_min_directed_valient,False
False,False,True,,AccelMain,,1000000000.0,0,False,,13.69310918704333,,True,22,5,0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,,True,6,1,True,65536,db,200,6,40,,DDR4,True,6,True,True,0,False,0,True,False,0,50.4803,True,True,False,32,,1,False,6,checkerboard,,,6,True,True,6,False,4,Tst,,200,4,dfs,True,False,bfs,False,True,True,True,route_min_directed_valient,11,False,False,6,dor,1:35.04,False,4,False,H-hop,,False,0,False,,False,40,True,4,True,True,False,381b75e6,,37,1,False,pirTest,,,True,1,False,False,False,True,100,16,-i100 -p100 -t1 -d100,0:42.29,16,,,True,DRAMMergeSort_2,37,False,,50.4803,4,hybrid,True,512,False,62.416527672,0,4,,,MyDesign,,False,1000000000,2,1.6kHz,False,True,,2020-04-08 00:16:24 -0700,67509,,4,True,1,,0,True,,20,True,,False,,20,False,,37,ea1556b2,,42.471374187145415,6,mesh,route_min_directed_valient,False
