runproute_err,dupra,row,VMC,VBB,PCU,pattern,runhybrid_wbw,runp2p_rbw,OPS-FU,runhybrid_deadlock,merge,share-adctx,rtanal,retime-buffer-only,pracc,dag-stage,genpir_err,load,algo,psim,runp2p_complete,constprop,time,VAFG,VAFG-split,simfreq,open,pmu-stage,waveform,run-psim,runp2p_err,project,MC,start-id,runhybrid_rbw,dag,split,reserve-pcu,trace,link-prop,run-proute,runhybrid_time,VAFG-alloc,merge-forward,run-tst,retime-local,flit-width,dot,reserve-pmu,proute-seed,split-thread,ag-dce,slink,runp2p_cycle,VPCU,gentst_err,runp2p_deadlock,MC_Total,runp2p_wbw,merge-algo,codegen,runp2p_pass,simulate,freq,mergeTime_ms,pcu-stage,vfifo,retime-exout,PMU,module,OPS-All,VBB-split,VPMU-split,runhybrid_err,maketst_err,clock,backend,word,vec,PMU_Total,retime-glob,proute-opts,nn,tokenout,runhybrid_success,succeeded,VDAG-split,DAG_Total,proute-algo,rtelm-unsafe,split-algo,runhybrid_complete,VMC-alloc,app,pirArgs,prtime,lrange,bcread,fast,split-forward,VBB-alloc,VPCU-split,vdot,runp2p_success,spatial_sha,save,VPMU,vlink,rtelm,VPMU-alloc,maxActive,routing-algo,vc,reserve-dag,runhybrid_pass,OPS-Other,runp2p_time,runhybrid_cycle,PCU_Total,name,debug-print,mdone,runp2p_dram_power,notFit,psim-q,VMC-split,pir_sha,vcLimit,stat,rundot,igraph,maketst_time,runproute_time,col,mem-tech,argout,proute-q,time-out,dedicated-dag,avgActive,tungsten,verbose,runhybrid_dram_power,mapping,VDAG-alloc,sr,OPS-Fix,OPS-Flt,topo,gentst_time,VDAG,routing-cost,scheduled,VPCU-alloc,genpir,OPS-Prog FU,arch,pmu-sram-size,DAG,debug,fifo-depth,memelm,net,argin
,False,20,1,,2,checkerboard,,0.0,,False,False,False,True,False,True,6,,False,route_min_directed_valient,False,True,True,2020-04-06 13:17:39 -0700,1,1,0.13kHz,False,6,True,False,,pirTest,1,0,,True,True,0,False,db,False,,1,False,False,False,512,True,0,0,1,True,4,78,4,,False,40,1.64103,bfs,True,True,False,1000000000.0,,6,4,False,2,False,,,2,,,1000000000,Tst,32,16,200,False,-i100 -p100 -t1 -d100,False,5,False,True,0,40,route_min_directed_valient,False,dfs,False,1,BankEnable_0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,True,True,True,False,,4,True,True,55a8709f,True,2,2,True,2,41.02564102564103,dor,4,0,,,0:00.58,,200,AccelMain,True,True,,,1,1,80092658,4,True,True,False,0:39.95,,20,DDR4,4,4,100,False,14.003944773175544,True,False,,True,0,True,,,mesh,32.562760651,0,H-hop,False,4,True,,MyDesign,65536,3,True,16,False,hybrid,6
,False,20,1,,15,checkerboard,,0.0,,False,False,False,True,False,True,6,,False,route_min_directed_valient,False,True,True,2020-04-06 13:17:39 -0700,1,1,0.2kHz,False,6,True,False,,pirTest,1,0,,True,True,0,False,db,False,,1,False,False,False,512,True,0,0,1,True,4,134,25,,False,40,0.955224,bfs,True,,False,1000000000.0,,6,4,False,6,False,,,6,,,1000000000,Tst,32,16,200,False,-i100 -p100 -t1 -d100,False,5,False,True,0,40,route_min_directed_valient,False,dfs,False,1,BankRange_0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,True,True,True,False,,25,True,True,55a8709f,True,6,2,True,6,11.940298507462687,dor,4,0,,,0:00.68,,200,AccelMain,True,True,,,1,1,80092658,4,True,True,False,0:49.60,,20,DDR4,4,4,100,False,10.058403634003893,True,False,,True,0,True,,,mesh,82.053323832,0,H-hop,False,13,True,,MyDesign,65536,10,True,16,False,hybrid,6
,False,20,7,,33,checkerboard,,26.94,,False,False,False,True,False,True,6,,False,route_min_directed_valient,False,True,True,2020-04-06 13:17:39 -0700,1,1,1.39kHz,False,6,True,False,,pirTest,7,0,,True,True,0,False,db,False,,1,False,False,False,512,True,0,0,1,True,4,116768,42,,False,40,4.49,bfs,True,True,False,1000000000.0,,6,4,False,7,False,,,6,,,1000000000,Tst,32,16,200,False,-i100 -p100 -t1 -d100,False,5,False,True,0,40,route_min_directed_valient,False,bfs,False,7,BlackScholes_0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,True,True,True,False,,42,True,True,55a8709f,True,6,2,True,6,7.015620718004933,dor,4,0,,,1:23.79,,200,AccelMain,True,True,,,1,7,80092658,4,True,True,False,1:58.84,,20,DDR4,4,4,100,False,5.500923353845388,True,False,,True,0,True,,,mesh,61.842818445,0,H-hop,False,10,True,,MyDesign,65536,8,True,16,False,hybrid,6
,False,20,,,0,checkerboard,,0.0,,False,False,False,True,False,True,6,,False,route_min_directed_valient,False,True,True,2020-04-06 13:17:39 -0700,1,1,0.1kHz,False,6,True,False,,pirTest,0,0,,True,True,0,False,db,False,,1,False,False,False,512,True,0,0,1,True,4,87,1,,False,40,0.0,bfs,True,True,False,1000000000.0,,6,4,False,1,False,,,,,,1000000000,Tst,32,16,200,False,-i100 -p100 -t1 -d100,False,5,False,True,0,40,route_min_directed_valient,False,dfs,False,,BreakTest,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,True,True,True,False,,1,True,True,55a8709f,True,,2,True,,13.793103448275861,dor,4,0,,,0:00.84,,200,AccelMain,True,True,,,1,,80092658,4,True,True,False,0:20.05,,20,DDR4,4,4,100,False,5.363984674329502,True,False,,True,0,True,,,mesh,20.179253413,0,H-hop,False,1,True,,MyDesign,65536,0,True,16,False,hybrid,6
,False,20,,,0,checkerboard,,0.0,,False,False,False,True,False,True,6,,False,route_min_directed_valient,False,True,True,2020-04-06 13:17:39 -0700,1,1,0.02kHz,False,6,True,False,,pirTest,0,0,,True,True,0,False,db,False,,1,False,False,False,512,True,0,0,1,True,4,23,2,,False,40,0.0,bfs,True,True,False,1000000000.0,,6,4,False,2,False,,,,,,1000000000,Tst,32,16,200,False,-i100 -p100 -t1 -d100,False,5,False,True,0,40,route_min_directed_valient,False,dfs,False,,BreakTest2,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,True,True,True,False,,2,True,True,55a8709f,True,,2,True,,43.47826086956522,dor,4,0,,,0:01.00,,200,AccelMain,True,True,,,1,,80092658,4,True,True,False,0:15.66,,20,DDR4,4,4,100,False,23.91304347826087,True,False,,True,0,True,,,mesh,12.013026838,0,H-hop,False,2,True,,MyDesign,65536,0,True,16,False,hybrid,6
,False,20,2,,9,checkerboard,,0.472325,,False,False,False,True,False,True,6,,False,route_min_directed_valient,False,True,True,2020-04-06 13:17:39 -0700,1,1,0.87kHz,False,6,True,False,,pirTest,2,0,,True,True,0,False,db,False,,1,False,False,False,512,True,0,0,1,True,4,271,12,,False,40,15.1144,bfs,True,True,False,1000000000.0,,6,4,False,2,False,,,2,,,1000000000,Tst,32,16,200,False,-i100 -p100 -t1 -d100,False,5,False,True,0,40,route_min_directed_valient,False,dfs,False,2,BroadcastTest,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,True,True,True,False,,12,True,True,55a8709f,True,2,2,True,2,47.23247232472325,dor,4,0,,,0:00.31,,200,AccelMain,True,True,,,1,2,80092658,4,True,True,False,0:33.61,,20,DDR4,4,4,100,False,20.647433747064742,True,False,,True,0,True,,,mesh,31.819133813,0,H-hop,False,6,True,,MyDesign,65536,3,True,16,False,hybrid,6
,False,20,1,,5,checkerboard,,0.447552,,False,False,False,True,False,True,6,,False,route_min_directed_valient,False,True,True,2020-04-06 13:17:39 -0700,1,1,0.26kHz,False,6,True,False,,pirTest,1,0,,True,True,0,False,db,False,,1,False,False,False,512,True,0,0,1,True,4,143,5,,False,40,1.34266,bfs,True,True,False,1000000000.0,,6,4,False,2,False,,,2,,,1000000000,Tst,32,16,200,False,-i100 -p100 -t1 -d100,False,5,False,True,0,40,route_min_directed_valient,False,dfs,False,1,CountZero_0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,True,True,True,False,,5,True,True,55a8709f,True,2,2,True,2,33.56643356643357,dor,4,0,,,0:00.56,,200,AccelMain,True,True,,,1,1,80092658,4,True,True,False,0:21.58,,20,DDR4,4,4,100,False,21.10616656071202,True,False,,True,0,True,,,mesh,29.431348309,0,H-hop,False,4,True,,MyDesign,65536,0,True,16,False,hybrid,6
,False,20,1,,1,checkerboard,,,,False,False,False,True,False,True,6,,False,route_min_directed_valient,False,False,True,2020-04-06 13:17:39 -0700,1,1,,False,6,True,False,,pirTest,1,0,,True,True,0,False,db,False,,1,False,False,False,512,True,0,0,1,True,4,,3,,False,40,,bfs,True,,False,1000000000.0,,6,4,False,1,False,,,1,,"src//Top.h:71:3: error: ‘DecompressAG’ does not name a type
",1000000000,Tst,32,16,200,False,-i100 -p100 -t1 -d100,False,5,False,False,0,40,route_min_directed_valient,False,dfs,False,1,DRAMCompression,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,True,True,True,False,,3,True,False,55a8709f,True,1,2,True,1,,dor,4,0,,,,,200,AccelMain,True,True,,,1,1,80092658,4,True,True,False,0:09.21,,20,DDR4,4,4,100,False,,True,False,,True,0,True,,,mesh,23.179082375,0,H-hop,False,3,True,,MyDesign,65536,2,True,16,False,hybrid,6
,False,20,2,,0,checkerboard,,1.10108,,False,False,False,True,False,True,6,,False,route_min_directed_valient,False,True,True,2020-04-06 13:17:39 -0700,1,1,1.16kHz,False,6,True,False,,pirTest,2,0,,True,True,0,False,db,False,,1,False,False,False,512,True,0,0,1,True,4,930,7,,False,40,1.10108,bfs,True,True,False,1000000000.0,,6,4,False,7,False,,,,,,1000000000,Tst,32,16,200,False,-i100 -p100 -t1 -d100,False,5,False,True,0,40,route_min_directed_valient,False,dfs,False,2,DRAMDoubleBuffer2_0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,True,True,True,False,,7,True,True,55a8709f,True,,2,True,,27.526881720430108,dor,4,0,,,0:00.80,,200,AccelMain,True,True,,,1,2,80092658,4,True,True,False,0:21.62,,20,DDR4,4,4,100,False,7.096774193548387,True,False,,True,0,True,,,mesh,20.675693494,0,H-hop,False,7,True,,MyDesign,65536,0,True,16,False,hybrid,6
,False,20,2,,0,checkerboard,,1.10108,,False,False,False,True,False,True,6,,False,route_min_directed_valient,False,True,True,2020-04-06 13:17:39 -0700,1,1,1.75kHz,False,6,True,False,,pirTest,2,0,,True,True,0,False,db,False,,1,False,False,False,512,True,0,0,1,True,4,930,7,,False,40,1.10108,bfs,True,True,False,1000000000.0,,6,4,False,7,False,,,,,,1000000000,Tst,32,16,200,False,-i100 -p100 -t1 -d100,False,5,False,True,0,40,route_min_directed_valient,False,dfs,False,2,DRAMDoubleBuffer2_1,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,True,True,True,False,,7,True,True,55a8709f,True,,2,True,,27.526881720430108,dor,4,0,,,0:00.53,,200,AccelMain,True,True,,,1,2,80092658,4,True,True,False,0:29.73,,20,DDR4,4,4,100,False,7.096774193548387,True,False,,True,0,True,,,mesh,28.710530668,0,H-hop,False,7,True,,MyDesign,65536,0,True,16,False,hybrid,6
