app,project,backend,freq,spatial_sha,pir_sha,time,genpir,genpir_err,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,runp2p_cycle,runhybrid_cycle,runp2p_err,runhybrid_err,maketst_err,runproute_err,gentst_err,runp2p_pass,runhybrid_pass,runp2p_deadlock,runhybrid_deadlock,runp2p_complete,runhybrid_complete,runp2p_dram_power,runhybrid_dram_power,runp2p_rbw,runhybrid_rbw,runp2p_wbw,runhybrid_wbw,maketst_time,runp2p_time,runhybrid_time,runproute_time,gentst_time,OPS-All,OPS-FU,OPS-Fix,OPS-Flt,OPS-Other,OPS-Prog FU,notFit,MC,DAG,PMU,PCU,MC_Total,DAG_Total,PMU_Total,PCU_Total,row,col,pirArgs,algo,pattern,slink,vlink,prtime,vcLimit,runp2p_success,runhybrid_success,succeeded,simfreq
OuterProduct_3,pirTest,Tst,1000000000.0,49c9fbb,bcde448,2019-10-21 22:48:45 -0700,True,,,,,,,,,,,,,,,33033,,,,,,,True,,False,False,True,False,,,0.067811,,7.93582,,1:00.06,0:03.73,,,25.415739522,"1820780 OP, 55.12 GOPS","1687660 OP, 51.09 GOPS","669804 OP, 20.28 GOPS",,"1150976 OP, 34.84 GOPS","403564 OP, 12.22 GOPS",,6,12,6,2,40,40,200,200,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,8.86kHz
OuterProduct_4,pirTest,Tst,1000000000.0,49c9fbb,bcde448,2019-10-21 22:48:45 -0700,True,,,,,,,,,,,,,,,16649,,,,,,,True,,False,False,True,False,,,0.12301,,15.7453,,1:13.30,0:02.92,,,35.532604378,"1818732 OP, 109.24 GOPS","1685612 OP, 101.24 GOPS","669804 OP, 40.23 GOPS",,"1148928 OP, 69.01 GOPS","403564 OP, 24.24 GOPS",,10,22,10,4,40,40,200,200,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,5.7kHz
OuterProduct_5,pirTest,Tst,1000000000.0,49c9fbb,bcde448,2019-10-21 22:48:45 -0700,True,,,,,,,,,,,,,,,2414,,,,,,,True,,False,False,True,False,,,0.848384,,108.593,,0:44.93,0:00.78,,,24.450063343,"734572 OP, 304.30 GOPS","601452 OP, 249.15 GOPS","636268 OP, 263.57 GOPS",,"98304 OP, 40.72 GOPS","370028 OP, 153.28 GOPS",,10,14,10,12,40,40,200,200,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,3.09kHz
OuterProduct_6,pirTest,Tst,1000000000.0,49c9fbb,bcde448,2019-10-21 22:48:45 -0700,True,,,,,,,,,,,,,,,4580,,,,,,,True,,False,False,True,False,,,0.894323,,57.2367,,0:46.88,0:01.05,,,19.14529411,"1979756 OP, 432.26 GOPS","796012 OP, 173.80 GOPS","1455468 OP, 317.79 GOPS",,"524288 OP, 114.47 GOPS","796012 OP, 173.80 GOPS",,3,4,3,4,40,40,200,200,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,4.36kHz
OuterProduct_7,pirTest,Tst,1000000000.0,49c9fbb,bcde448,2019-10-21 22:48:45 -0700,True,,,,,,,,,,,,,,,2976,,,,,,,True,,False,False,True,False,,,0.967742,,88.086,,0:56.14,0:01.33,,,25.209454402,"1848684 OP, 621.20 GOPS","697708 OP, 234.44 GOPS","1357164 OP, 456.04 GOPS",,"491520 OP, 165.16 GOPS","697708 OP, 234.44 GOPS",,5,7,5,8,40,40,200,200,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,2.24kHz
OuterProduct_8,pirTest,Tst,1000000000.0,49c9fbb,bcde448,2019-10-21 22:48:45 -0700,True,,,,,,,,,,,,,,,3015,,,,,,,True,,False,False,True,False,,,0.955224,,86.9466,,1:00.09,0:01.29,,,26.316023311,"1848684 OP, 613.16 GOPS","1518956 OP, 503.80 GOPS","1357164 OP, 450.14 GOPS",,"491520 OP, 163.02 GOPS","697708 OP, 231.41 GOPS",,5,7,5,8,40,40,200,200,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,2.34kHz
OuterProduct_9,pirTest,Tst,1000000000.0,49c9fbb,bcde448,2019-10-21 22:48:45 -0700,True,,,,,,,,,,,,,,,2762,,,,,,,True,,False,False,True,False,,,0.85735,,94.9109,,0:57.03,0:01.10,,,30.754277067,"851320 OP, 308.23 GOPS","379384 OP, 137.36 GOPS","678904 OP, 245.80 GOPS",,"172416 OP, 62.42 GOPS","379384 OP, 137.36 GOPS",,7,10,7,11,40,40,200,200,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,2.51kHz
SGD_0,pirTest,Tst,1000000000.0,49c9fbb,bcde448,2019-10-21 22:48:45 -0700,True,,,,,,,,,,,,,,,18099,,,,,,,True,,False,False,True,False,,,1.83878,,0.00707221,,1:02.08,0:02.16,,,30.562838511,"1301144 OP, 71.89 GOPS","1260184 OP, 69.63 GOPS","215448 OP, 11.90 GOPS",,"1085696 OP, 59.99 GOPS","149912 OP, 8.28 GOPS",,3,8,8,8,40,40,200,200,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,8.38kHz
SGD_1,pirTest,Tst,1000000000.0,49c9fbb,bcde448,2019-10-21 22:48:45 -0700,True,,,,,,,,,,,,,,,9579,,,,,,,True,,False,False,True,False,,,3.47427,,0.0133626,,1:05.64,0:01.57,,,29.55140848,"887960 OP, 92.70 GOPS","838808 OP, 87.57 GOPS","221080 OP, 23.08 GOPS",,"666880 OP, 69.62 GOPS","139160 OP, 14.53 GOPS",,3,9,10,12,40,40,200,200,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,6.1kHz
SGD_2,pirTest,Tst,1000000000.0,49c9fbb,bcde448,2019-10-21 22:48:45 -0700,True,,,,,,,,,,,,,,,17924,,,,,,,True,,False,False,True,False,,,1.85673,,0.00714126,,1:08.05,0:02.87,,,33.740926124,"1378200 OP, 76.89 GOPS","164504 OP, 9.18 GOPS","246680 OP, 13.76 GOPS",,"1131520 OP, 63.13 GOPS","164504 OP, 9.18 GOPS",,3,14,9,12,40,40,200,200,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,6.25kHz
