VPMU-split,runp2p_rbw,genpir,runp2p_complete,VBB-split,PCU,runhybrid_complete,vcLimit,runhybrid_deadlock,OPS-Prog FU,OPS-Other,VAFG-split,genpir_err,runp2p_wbw,DAG,app,VMC-alloc,VPCU-split,time,PCU_Total,pattern,OPS-FU,VPCU,OPS-Fix,runhybrid_err,runproute_err,runhybrid_cycle,runhybrid_pass,OPS-All,runp2p_cycle,VDAG,runp2p_time,col,runp2p_success,runp2p_pass,simfreq,PMU,maketst_time,pir_sha,runhybrid_time,MC,PMU_Total,VMC-split,runhybrid_dram_power,gentst_time,VMC,slink,DAG_Total,maxActive,freq,project,gentst_err,notFit,mergeTime_ms,VAFG,succeeded,runhybrid_rbw,algo,runhybrid_wbw,runp2p_err,MC_Total,OPS-Flt,runproute_time,prtime,maketst_err,runp2p_deadlock,vlink,spatial_sha,VBB-alloc,runp2p_dram_power,VPMU,pirArgs,VPCU-alloc,VAFG-alloc,VDAG-split,VDAG-alloc,row,avgActive,runhybrid_success,VPMU-alloc,backend
,47.2137,True,True,,11,False,,False,,,1,,47.2137,1,DRAMMergeSort_5,10,66,2020-01-10 18:13:08 -0800,200,,,20,,,,,,,38866,0,0:09.97,20,True,,3.9kHz,8,4:14.99,b65b1a6c,,10,200,10,,18244.55989872,10,,40,42.15509699994854,1000000000.0,pirTest,,,18174528.026354,1,True,,,,,40,,,,,False,,7f5b887d,,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",61,1,0,0,20,8.287615180695292,False,,Tst
,54.3789,True,True,,4,False,,False,,,1,,54.3789,2,DRAMMergeSort_6,9,55,2020-01-10 18:13:08 -0800,200,,,18,,,,,,,62669,0,0:15.51,20,True,,4.04kHz,12,3:51.76,b65b1a6c,,9,200,9,,4823.822412729,9,,40,35.58378145494583,1000000000.0,pirTest,,,4747589.225972,1,True,,,,,40,,,,,False,,7f5b887d,,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",55,1,0,0,20,11.523595752640416,False,,Tst
,,True,False,,,False,,False,,,1,,,,DRAMMergeSort_7,25,162,2020-01-10 18:13:08 -0800,,,,,,,,,,,,,,20,False,,,,,b65b1a6c,,,,25,,,,,,,1000000000.0,pirTest,,,,,False,,,,,,,,,,False,,7f5b887d,,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",151,1,0,0,20,,False,,Tst
2,52.1783,True,True,,0,False,,False,,,1,,0.0,1,DotProduct_0,2,4,2020-01-10 18:13:08 -0800,200,,,2,,,,,,,157,0,0:00.47,20,True,True,0.33kHz,3,0:40.53,b65b1a6c,,2,200,2,,15.490800926,2,,40,40.76433121019108,1000000000.0,pirTest,,,1157.853284,1,True,,,,,40,,,,,False,,7f5b887d,,,2,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",4,1,0,0,20,32.90870488322717,False,2,Tst
2,7.32737,True,True,,0,False,,False,,,1,,0.0,2,DotProduct_1,2,4,2020-01-10 18:13:08 -0800,200,,,2,,,,,,,1118,0,0:00.53,20,True,True,2.11kHz,2,0:36.55,b65b1a6c,,2,200,2,,14.359487229,2,,40,91.59212880143113,1000000000.0,pirTest,,,1004.965312,1,True,,,,,40,,,,,False,,7f5b887d,,,2,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",4,1,0,0,20,59.50677229746998,False,2,Tst
4,13.4737,True,True,,2,False,,False,,,1,,0.0,1,DotProduct_2,4,7,2020-01-10 18:13:08 -0800,200,,,3,,,,,,,608,0,0:00.56,20,True,True,1.09kHz,3,0:51.68,b65b1a6c,,4,200,4,,21.058754788,4,,40,84.21052631578948,1000000000.0,pirTest,,,1565.492685,1,True,,,,,40,,,,,False,,7f5b887d,,,3,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",7,1,0,0,20,61.171052631578945,False,4,Tst
4,49.9512,True,True,,3,False,,False,,,1,,0.0,2,DotProduct_3,4,7,2020-01-10 18:13:08 -0800,200,,,5,,,,,,,164,0,0:00.41,20,True,True,0.4kHz,4,0:58.27,b65b1a6c,,4,200,4,,23.082089149,4,,40,19.51219512195122,1000000000.0,pirTest,,,1448.217141,1,True,,,,,40,,,,,False,,7f5b887d,,,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",7,1,0,0,20,16.888396156688838,False,4,Tst
16,61.594,True,True,,5,False,,False,,,1,,0.0,4,DotProduct_4,16,26,2020-01-10 18:13:08 -0800,200,,,15,,,,,,,133,0,0:00.50,20,True,True,0.27kHz,22,2:27.75,b65b1a6c,,16,200,16,,71.471491141,16,,40,6.015037593984962,1000000000.0,pirTest,,,7245.285557,1,True,,,,,40,,,,,False,,7f5b887d,,,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",25,1,0,0,20,5.493572641280621,False,16,Tst
6,49.9512,True,True,,1,False,,False,,,1,,0.0,1,DotProduct_5,6,14,2020-01-10 18:13:08 -0800,200,,,8,,,,,,,164,0,0:00.44,20,True,True,0.37kHz,12,1:22.71,b65b1a6c,,6,200,6,,37.460330608,6,,40,13.414634146341463,1000000000.0,pirTest,,,3227.020124,1,True,,,,,40,,,,,False,,7f5b887d,,,6,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",12,1,0,0,20,11.963414634146341,False,6,Tst
2,27.6757,True,True,,3,False,,False,,,1,,0.0,0,DotProduct_6,2,8,2020-01-10 18:13:08 -0800,200,,,4,,,,,,,296,0,0:00.49,20,True,True,0.6kHz,3,0:41.38,b65b1a6c,,2,200,2,,20.763133322,2,,40,75.67567567567568,1000000000.0,pirTest,,,1579.749917,1,True,,,,,40,,,,,False,,7f5b887d,,,2,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",6,1,0,0,20,58.41216216216216,False,2,Tst
6,45.7654,True,True,,8,False,,False,,,1,,0.0,0,DotProduct_7,6,24,2020-01-10 18:13:08 -0800,200,,,11,,,,,,,179,0,0:00.48,20,True,True,0.37kHz,9,1:40.98,b65b1a6c,,6,200,6,,64.715911548,6,,40,43.01675977653631,1000000000.0,pirTest,,,19172.002576,1,True,,,,,40,,,,,False,,7f5b887d,,,6,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",16,1,0,0,20,36.66459755845231,False,6,Tst
1,0.0,True,True,,2,False,,False,,,1,,1.45455,0,FIFOTest_0,1,12,2020-01-10 18:13:08 -0800,200,,,6,,,,,,,88,0,0:00.48,20,True,,0.18kHz,5,0:43.86,b65b1a6c,,1,200,1,,28.025971899,1,,40,36.36363636363637,1000000000.0,pirTest,,,2176.033705,1,True,,,,,40,,,,,False,,7f5b887d,,,1,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",5,1,0,0,20,12.032085561497325,False,1,Tst
2,0.0,True,True,,1,False,,False,,,1,,1.54217,0,FIFOTest_1,1,10,2020-01-10 18:13:08 -0800,200,,,4,,,,,,,83,0,0:00.43,20,True,,0.19kHz,5,0:48.53,b65b1a6c,,1,200,1,,30.193835076,1,,40,38.55421686746988,1000000000.0,pirTest,,,3037.685646,1,True,,,,,40,,,,,False,,7f5b887d,,,2,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",5,1,0,0,20,14.190093708165998,False,1,Tst
2,0.0,True,True,,4,False,,False,,,1,,1.37634,0,FIFOTest_2,1,15,2020-01-10 18:13:08 -0800,200,,,9,,,,,,,93,0,0:00.50,20,True,,0.19kHz,7,0:53.08,b65b1a6c,,1,200,1,,173.158448199,1,,40,34.40860215053763,1000000000.0,pirTest,,,135730.254285,1,True,,,,,40,,,,,False,,7f5b887d,,,2,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",7,1,0,0,20,12.903225806451612,False,1,Tst
