proute-opts,mem-tech,argout,dupra,merge,lrange,VDAG-split,retime-local,routing-algo,retime-glob,proute-algo,col,split-thread,succeeded,PMU_Total,VPCU-split,module,row,proute-seed,fifo-depth,constprop,waveform,OPS-Prog FU,pmu-sram-size,debug-print,mergeTime_ms,time,VBB,DAG,VMC,MC,proute-q,prtime,runp2p_deadlock,VPCU,pracc,psim-q,runhybrid_err,open,maketst_time,merge-algo,topo,retime-exout,genpir,routing-cost,VBB-alloc,runhybrid_rbw,VAFG,OPS-Fix,spatial_sha,VMC-alloc,debug,notFit,runhybrid_wbw,split-forward,runp2p_time,runp2p_success,tokenout,genpir_err,load,vdot,fast,OPS-FU,VDAG,sr,vcLimit,VAFG-split,dedicated-dag,reserve-pmu,runhybrid_cycle,OPS-Flt,runproute_time,argin,word,simulate,flit-width,VPMU-split,vec,retime-buffer-only,runp2p_dram_power,runhybrid_time,OPS-Other,save,VPMU,PCU,pir_sha,VDAG-alloc,arch,psim,runhybrid_complete,mdone,nn,simfreq,dot,runp2p_complete,OPS-All,PCU_Total,reserve-pcu,igraph,avgActive,run-tst,runhybrid_success,runp2p_rbw,clock,verbose,maketst_err,runproute_err,VAFG-alloc,start-id,algo,share-adctx,VPCU-alloc,gentst_time,PMU,split,runp2p_err,runhybrid_deadlock,ag-dce,VMC-split,link-prop,backend,name,vlink,slink,app,pcu-stage,vc,merge-forward,VPMU-alloc,rtelm,runp2p_pass,dag-stage,runp2p_wbw,runhybrid_pass,memelm,split-algo,runhybrid_dram_power,maxActive,pmu-stage,trace,mapping,bcread,codegen,run-proute,freq,gentst_err,net,runp2p_cycle,VBB-split,run-psim,pattern,tungsten,DAG_Total,pirArgs,rundot,scheduled,MC_Total,vfifo,time-out,stat,dag,project
-i100 -p100 -t1 -d100,DDR4,4,False,False,True,0,False,dor,False,route_min_directed_valient,20,1,True,200,15,False,20,0,16,True,True,,65536,True,,2020-03-11 20:28:05 -0700,,4,3,3,4,,False,15,True,1,,False,1:24.81,bfs,mesh,False,True,H-hop,,,1,,eb63c002,3,True,,,False,0:00.75,True,5,,False,True,True,,0,True,4,1,False,0,,,,6,32,False,512,3,16,False,,,,True,3,11,7a313b79,0,MyDesign,False,False,True,False,0.1kHz,True,True,,200,0,False,9.351851851851853,False,False,3.55556,1000000000,False,,,1,0,route_min_directed_valient,False,10,54.080632922,3,True,,False,True,3,db,Tst,AccelMain,2,4,UnalignLoad_1,6,4,False,3,True,True,6,0.0,,False,dfs,,11.11111111111111,6,False,True,True,True,False,1000000000.0,,hybrid,72,,False,checkerboard,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",True,False,40,4,100,True,True,pirTest
-i100 -p100 -t1 -d100,DDR4,4,False,False,True,0,False,dor,False,route_min_directed_valient,20,1,True,200,16,False,20,0,16,True,True,,65536,True,,2020-03-11 20:28:05 -0700,,6,3,3,4,,False,16,True,1,,False,3:20.46,bfs,mesh,False,True,H-hop,,,1,,eb63c002,3,True,,,False,0:02.16,True,5,,False,True,True,,0,True,4,1,False,0,,,,6,32,False,512,7,16,False,,,,True,7,10,7a313b79,0,MyDesign,False,False,True,False,0.13kHz,True,True,,200,0,False,33.077922077922075,False,False,0.0,1000000000,False,,,1,0,route_min_directed_valient,False,16,91.035297419,7,True,,False,True,3,db,Tst,AccelMain,2,4,UnalignParTest_0,6,4,False,7,True,True,6,58.5143,,False,dfs,,45.714285714285715,6,False,True,True,True,False,1000000000.0,,hybrid,280,,False,checkerboard,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",True,False,40,4,100,True,True,pirTest
-i100 -p100 -t1 -d100,DDR4,4,False,False,True,0,False,dor,False,route_min_directed_valient,20,1,True,200,11,False,20,0,16,True,True,,65536,True,,2020-03-11 20:28:05 -0700,,4,2,2,4,,False,11,True,1,,False,2:41.69,bfs,mesh,False,True,H-hop,,,1,,eb63c002,2,True,,,False,0:02.00,True,5,,False,True,True,,0,True,4,1,False,0,,,,6,32,False,512,5,16,False,,,,True,5,7,7a313b79,0,MyDesign,False,False,True,False,0.13kHz,True,True,,200,0,False,33.874239350912774,False,False,0.0,1000000000,False,,,1,0,route_min_directed_valient,False,11,68.490663062,5,True,,False,True,2,db,Tst,AccelMain,2,4,UnalignParTest_1,6,4,False,5,True,True,6,62.7739,,False,dfs,,49.04214559386973,6,False,True,True,True,False,1000000000.0,,hybrid,261,,False,checkerboard,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",True,False,40,4,100,True,True,pirTest
-i100 -p100 -t1 -d100,DDR4,4,False,False,True,0,False,dor,False,route_min_directed_valient,20,1,True,200,7,False,20,0,16,True,True,,65536,True,,2020-03-11 20:28:05 -0700,,2,1,1,4,,False,7,True,1,,False,1:39.05,bfs,mesh,False,True,H-hop,,,1,,eb63c002,1,True,,,False,0:02.65,True,5,,False,True,True,,0,True,4,1,False,0,,,,6,32,False,512,3,16,False,,,,True,3,5,7a313b79,0,MyDesign,False,False,True,False,0.41kHz,True,True,,200,0,False,27.81089584368273,False,False,0.0,1000000000,False,,,1,0,route_min_directed_valient,False,6,47.743836705,3,True,,False,True,1,db,Tst,AccelMain,2,4,UnalignParTest_2,6,4,False,3,True,True,6,14.9217,,False,dfs,,93.26047358834244,6,False,True,True,True,False,1000000000.0,,hybrid,1098,,False,checkerboard,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",True,False,40,4,100,True,True,pirTest
-i100 -p100 -t1 -d100,DDR4,4,False,False,True,0,False,dor,False,route_min_directed_valient,20,1,True,200,19,False,20,0,16,True,True,,65536,True,,2020-03-11 20:28:05 -0700,,6,3,3,4,,False,19,True,1,,False,4:00.35,bfs,mesh,False,True,H-hop,,,1,,eb63c002,3,True,,,False,0:03.09,True,5,,False,True,True,,0,True,4,1,False,0,,,,6,32,False,512,7,16,False,,,,True,7,13,7a313b79,0,MyDesign,False,False,True,False,0.19kHz,True,True,,200,0,False,30.26477832512315,False,False,0.0,1000000000,False,,,1,0,route_min_directed_valient,False,16,111.566599476,7,True,,False,True,3,db,Tst,AccelMain,2,4,UnalignParTest_3,6,4,False,7,True,True,6,28.2483,,False,dfs,,88.27586206896552,6,False,True,True,True,False,1000000000.0,,hybrid,580,,False,checkerboard,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",True,False,40,4,100,True,True,pirTest
-i100 -p100 -t1 -d100,DDR4,4,False,False,True,0,False,dor,False,route_min_directed_valient,20,1,True,200,12,False,20,0,16,True,True,,65536,True,,2020-03-11 20:28:05 -0700,,1,,0,4,,False,12,True,1,,False,1:47.49,bfs,mesh,False,True,H-hop,,,1,,eb63c002,,True,,,False,0:02.77,True,5,,False,True,True,,0,True,4,1,False,0,,,,6,32,False,512,3,16,False,,,,True,3,11,7a313b79,0,MyDesign,False,False,True,False,0.02kHz,True,True,,200,0,False,16.4983164983165,False,False,0.0,1000000000,False,,,1,0,route_min_directed_valient,False,7,66.738159637,3,True,,False,True,,db,Tst,AccelMain,2,4,UnalignReduce_0,6,4,False,3,True,True,6,0.0,,False,dfs,,18.181818181818183,6,False,True,True,True,False,1000000000.0,,hybrid,44,,False,checkerboard,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",True,False,40,4,100,True,True,pirTest
-i100 -p100 -t1 -d100,DDR4,4,False,False,True,0,False,dor,False,route_min_directed_valient,20,1,True,200,7,False,20,0,16,True,True,,65536,True,,2020-03-11 20:28:05 -0700,,1,,0,4,,False,7,True,1,,False,1:02.74,bfs,mesh,False,True,H-hop,,,1,,eb63c002,,True,,,False,0:02.16,True,5,,False,True,True,,0,True,4,1,False,0,,,,6,32,False,512,3,16,False,,,,True,3,6,7a313b79,0,MyDesign,False,False,True,False,0.02kHz,True,True,,200,0,False,5.485714285714286,False,False,0.0,1000000000,False,,,1,0,route_min_directed_valient,False,7,40.493601416,3,True,,False,True,,db,Tst,AccelMain,2,4,UnalignReduce_1,6,4,False,3,True,True,6,0.0,,False,dfs,,5.714285714285714,6,False,True,True,True,False,1000000000.0,,hybrid,35,,False,checkerboard,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",True,False,40,4,100,True,True,pirTest
-i100 -p100 -t1 -d100,DDR4,4,False,False,True,0,False,dor,False,route_min_directed_valient,20,1,True,200,5,False,20,0,16,True,True,,65536,True,,2020-03-11 20:28:05 -0700,,2,1,1,4,,False,5,True,1,,False,0:44.79,bfs,mesh,False,True,H-hop,,,1,,eb63c002,1,True,,,False,0:01.47,True,5,,False,True,True,,0,True,4,1,False,0,,,,6,32,False,512,1,16,False,,,,True,1,3,7a313b79,0,MyDesign,False,False,True,False,0.04kHz,True,True,,200,0,False,21.69811320754717,False,False,0.0,1000000000,False,,,1,0,route_min_directed_valient,False,4,45.88402559,1,True,,False,True,1,db,Tst,AccelMain,2,4,UnalignStore_0,6,4,False,1,True,True,6,4.83019,,False,dfs,,30.18867924528302,6,False,True,True,True,False,1000000000.0,,hybrid,53,,False,checkerboard,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",True,False,40,4,100,True,True,pirTest
-i100 -p100 -t1 -d100,DDR4,4,False,False,True,0,False,dor,False,route_min_directed_valient,20,1,True,200,17,False,20,0,16,True,True,,65536,True,,2020-03-11 20:28:05 -0700,,6,3,3,4,,False,17,True,1,,False,2:17.13,bfs,mesh,False,True,H-hop,,,1,,eb63c002,3,True,,,False,0:01.50,True,5,,False,True,True,,0,True,4,1,False,0,,,,6,32,False,512,3,16,False,,,,True,3,11,7a313b79,0,MyDesign,False,False,True,False,0.03kHz,True,True,,200,0,False,13.411458333333334,False,False,0.0,1000000000,False,,,1,0,route_min_directed_valient,False,12,63.58552724,3,True,,False,True,3,db,Tst,AccelMain,2,4,UnalignStore_1,6,4,False,3,True,True,6,5.33333,,False,dfs,,16.666666666666668,6,False,True,True,True,False,1000000000.0,,hybrid,48,,False,checkerboard,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",True,False,40,4,100,True,True,pirTest
-i100 -p100 -t1 -d100,DDR4,4,False,False,True,0,False,dor,False,route_min_directed_valient,20,1,True,200,9,False,20,0,16,True,True,,65536,True,,2020-03-11 20:28:05 -0700,,0,1,1,4,,False,9,True,1,,False,1:17.50,bfs,mesh,False,True,H-hop,,,1,,eb63c002,1,True,,,False,0:00.90,True,5,,False,True,True,,0,True,4,1,False,0,,,,6,32,False,512,1,16,False,,,,True,1,9,7a313b79,0,MyDesign,False,False,True,False,0.12kHz,True,True,,200,0,False,9.81132075471698,False,False,0.603774,1000000000,False,,,1,0,route_min_directed_valient,False,8,63.02589948,1,True,,False,True,1,db,Tst,AccelMain,2,4,VarDeq_0,6,4,False,1,True,True,6,0.603774,,False,dfs,,15.09433962264151,6,False,True,True,True,False,1000000000.0,,hybrid,106,,False,checkerboard,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",True,False,40,4,100,True,True,pirTest
-i100 -p100 -t1 -d100,DDR4,4,False,False,True,0,False,dor,False,route_min_directed_valient,20,1,True,200,12,False,20,0,16,True,True,,65536,True,,2020-03-11 20:28:05 -0700,,3,2,2,4,,False,12,True,1,,False,1:20.10,bfs,mesh,False,True,H-hop,,,1,,eb63c002,2,True,,,False,0:01.17,True,5,,False,True,True,,0,True,4,1,False,0,,,,6,32,False,512,3,16,False,,,,True,3,9,7a313b79,0,MyDesign,False,False,True,False,0.23kHz,True,True,,200,0,False,18.911439114391143,False,False,0.472325,1000000000,False,,,1,0,route_min_directed_valient,False,6,77.728431431,3,True,,False,True,2,db,Tst,AccelMain,2,4,VecTest,6,4,False,3,True,True,6,15.1144,,False,dfs,,47.23247232472325,6,False,True,True,True,False,1000000000.0,,hybrid,271,,False,checkerboard,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",True,False,40,4,100,True,True,pirTest
