MC_Total,runhybrid_success,tokenout,proute-algo,col,dag-stage,proute-q,OPS-Flt,pirArgs,run-proute,prtime,fifo-depth,PCU,routing-algo,flit-width,runp2p_cycle,VMC-alloc,split-algo,mdone,runp2p_rbw,simulate,VBB-alloc,runp2p_dram_power,fast,backend,waveform,runproute_time,topo,runp2p_wbw,runhybrid_complete,mergeTime_ms,argin,runp2p_pass,save,maketst_time,notFit,DAG_Total,runhybrid_pass,stat,spatial_sha,time,merge,trace,verbose,genpir_err,runhybrid_dram_power,debug,freq,VAFG-split,runhybrid_wbw,runproute_err,psim-q,mem-tech,constprop,pattern,VDAG-alloc,argout,runhybrid_deadlock,igraph,runp2p_time,simfreq,runhybrid_err,link-prop,psim,rtelm,run-psim,PMU,VAFG,runhybrid_rbw,retime-glob,vfifo,vcLimit,succeeded,VDAG-split,VBB-split,runhybrid_time,bcread,vc,reserve-pcu,runp2p_success,proute-opts,vdot,OPS-All,name,maketst_err,sr,OPS-Fix,proute-seed,OPS-FU,pracc,row,runp2p_complete,net,lrange,pmu-sram-size,VBB,split-forward,PCU_Total,memelm,PMU_Total,routing-cost,VPCU-split,avgActive,runp2p_err,MC,VPCU-alloc,reserve-pmu,VPMU,VAFG-alloc,load,module,OPS-Other,dedicated-dag,rundot,merge-algo,merge-forward,VPMU-split,debug-tst,retime-exout,pir_sha,algo,VMC,slink,nn,time-out,start-id,retime-local,run-tst,mapping,word,retime-buffer-only,OPS-Prog FU,maxActive,pmu-stage,genpir,gentst_time,clock,gentst_err,vlink,scheduled,split-thread,arch,pcu-stage,vec,VPMU-alloc,dupra,VDAG,VMC-split,dot,runhybrid_cycle,split,DAG,app,tungsten,ag-dce,runp2p_deadlock,dag,open,project,VPCU,codegen
40,False,5,route_min_directed_valient,20,6,4,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",False,,16,28,dor,512,9068,4,dfs,True,1.36921,False,,,True,Tst,True,,mesh,0.451698,False,,6,True,False,2:21.74,,40,,True,368fc703,2020-02-06 21:17:35 -0800,False,False,False,,,True,1000000000.0,1,,,1,DDR4,True,checkerboard,0,4,False,False,0:01.88,4.82kHz,,db,False,True,False,6,1,,False,4,4,True,0,,,True,4,0,True,-i100 -p100 -t1 -d100,True,,AccelMain,,True,,0,,True,20,True,hybrid,True,65536,,False,200,False,200,H-hop,28,28.3323618375449,,4,17,0,6,1,False,False,,False,True,bfs,False,6,False,False,adba6db5,route_min_directed_valient,4,4,False,100,0,False,False,True,32,False,,90.33965593295103,6,True,80.059225329,1000000000,,2,False,1,MyDesign,6,16,6,False,0,4,True,,True,0,GEMM_10,True,True,False,True,False,pirTest,28,True
40,False,5,route_min_directed_valient,20,6,4,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",False,,16,30,dor,512,9821,7,dfs,True,0.957947,False,,,True,Tst,True,,mesh,0.417065,False,,6,True,False,1:27.38,,40,,True,368fc703,2020-02-06 21:17:35 -0800,False,False,False,,,True,1000000000.0,1,,,1,DDR4,True,checkerboard,0,4,False,False,0:02.34,4.2kHz,,db,False,True,False,9,1,,False,4,4,True,0,,,True,4,0,True,-i100 -p100 -t1 -d100,True,,AccelMain,,True,,0,,True,20,True,hybrid,True,65536,,False,200,False,200,H-hop,30,25.2703956374662,,7,22,0,9,1,False,False,,False,True,bfs,False,9,False,False,adba6db5,route_min_directed_valient,7,4,False,100,0,False,False,True,32,False,,83.41309438957336,6,True,95.043551848,1000000000,,2,False,1,MyDesign,6,16,9,False,0,7,True,,True,0,GEMM_11,True,True,False,True,False,pirTest,30,True
40,False,5,route_min_directed_valient,20,6,4,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",False,,16,32,dor,512,9828,5,dfs,True,1.04843,False,,,True,Tst,True,,mesh,0.416768,False,,6,True,False,2:04.05,,40,,True,368fc703,2020-02-06 21:17:35 -0800,False,False,False,,,True,1000000000.0,1,,,1,DDR4,True,checkerboard,0,4,False,False,0:03.81,2.58kHz,,db,False,True,False,7,1,,False,4,4,True,0,,,True,4,0,True,-i100 -p100 -t1 -d100,True,,AccelMain,,True,,0,,True,20,True,hybrid,True,65536,,False,200,False,200,H-hop,32,26.63653550750325,,5,18,0,7,1,False,False,,False,True,bfs,False,7,False,False,adba6db5,route_min_directed_valient,5,4,False,100,0,False,False,True,32,False,,83.35368335368335,6,True,102.697066708,1000000000,,2,False,1,MyDesign,6,16,7,False,0,5,True,,True,0,GEMM_12,True,True,False,True,False,pirTest,32,True
40,False,5,route_min_directed_valient,20,6,4,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",False,,16,36,dor,512,9043,12,dfs,True,0.905894,False,,,True,Tst,True,,mesh,0.452947,False,,6,True,False,3:43.92,,40,,True,368fc703,2020-02-06 21:17:35 -0800,False,False,False,,,True,1000000000.0,1,,,1,DDR4,True,checkerboard,0,4,False,False,0:08.51,1.06kHz,,db,False,True,False,20,1,,False,4,4,True,0,,,True,4,0,True,-i100 -p100 -t1 -d100,True,,AccelMain,,True,,0,,True,20,True,hybrid,True,65536,,False,200,False,200,H-hop,36,18.49807389049882,,12,36,0,20,1,False,False,,False,True,bfs,False,20,False,False,adba6db5,route_min_directed_valient,12,4,False,100,0,False,False,True,32,False,,90.58940617051863,6,True,122.700849201,1000000000,,2,False,1,MyDesign,6,16,20,False,0,12,True,,True,0,GEMM_13,True,True,False,True,False,pirTest,36,True
40,False,5,route_min_directed_valient,20,6,4,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",False,,16,28,dor,512,9303,10,dfs,True,0.908094,False,,,True,Tst,True,,mesh,0.440288,False,,6,True,False,2:11.91,,40,,True,368fc703,2020-02-06 21:17:35 -0800,False,False,False,,,True,1000000000.0,1,,,1,DDR4,True,checkerboard,0,4,False,False,0:04.26,2.18kHz,,db,False,True,False,14,1,,False,4,4,True,0,,,True,4,0,True,-i100 -p100 -t1 -d100,True,,AccelMain,,True,,0,,True,20,True,hybrid,True,65536,,False,200,False,200,H-hop,28,23.3126258723601,,10,28,0,14,1,False,False,,False,True,bfs,False,14,False,False,adba6db5,route_min_directed_valient,10,4,False,100,0,False,False,True,32,False,,88.05761582285284,6,True,177.087656739,1000000000,,2,False,1,MyDesign,6,16,14,False,0,10,True,,True,0,GEMM_14,True,True,False,True,False,pirTest,28,True
40,False,5,route_min_directed_valient,20,6,4,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",False,,16,52,dor,512,5741,7,dfs,True,1.63874,False,,,True,Tst,True,,mesh,0.713465,False,,6,True,False,2:04.18,,40,,True,368fc703,2020-02-06 21:17:35 -0800,False,False,False,,,True,1000000000.0,1,,,1,DDR4,True,checkerboard,0,4,False,False,0:03.19,1.8kHz,,db,False,True,False,9,1,,False,4,4,True,0,,,True,4,0,True,-i100 -p100 -t1 -d100,True,,AccelMain,,True,,0,,True,20,True,hybrid,True,65536,,False,200,False,200,H-hop,52,25.07073874083106,,7,30,0,9,1,False,False,,False,True,bfs,False,9,False,False,adba6db5,route_min_directed_valient,7,4,False,100,0,False,False,True,32,False,,71.34645532137259,6,True,138.034477854,1000000000,,2,False,1,MyDesign,6,16,9,False,0,7,True,,True,0,GEMM_15,True,True,False,True,False,pirTest,52,True
40,False,5,route_min_directed_valient,20,6,4,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",False,,16,56,dor,512,4948,20,dfs,True,1.65562,False,,,True,Tst,True,,mesh,0.827809,False,,6,True,False,3:40.83,,40,,True,368fc703,2020-02-06 21:17:35 -0800,False,False,False,,,True,1000000000.0,1,,,1,DDR4,True,checkerboard,0,4,False,False,0:04.00,1.24kHz,,db,False,True,False,28,1,,False,4,4,True,0,,,True,4,0,True,-i100 -p100 -t1 -d100,True,,AccelMain,,True,,0,,True,20,True,hybrid,True,65536,,False,200,False,200,H-hop,56,22.124379258574894,,20,56,0,28,1,False,False,,False,True,bfs,False,28,False,False,adba6db5,route_min_directed_valient,20,4,False,100,0,False,False,True,32,False,,82.78092158447858,6,True,186.115904103,1000000000,,2,False,1,MyDesign,6,16,28,False,0,20,True,,True,0,GEMM_16,True,True,False,True,False,pirTest,56,True
40,False,5,route_min_directed_valient,20,6,4,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",False,,16,27,dor,512,2769,7,dfs,True,22.8588,False,,,True,Tst,True,,mesh,5.91694,False,,6,True,False,2:12.54,,40,,True,368fc703,2020-02-06 21:17:35 -0800,False,False,False,,,True,1000000000.0,1,,,1,DDR4,True,checkerboard,0,4,False,False,0:01.91,1.45kHz,,db,False,True,False,11,1,,False,4,4,True,0,,,True,4,0,True,-i100 -p100 -t1 -d100,True,,AccelMain,,True,,0,,True,20,True,hybrid,True,65536,,False,200,False,200,H-hop,57,35.13247316064218,,7,30,0,11,1,False,False,,False,True,bfs,False,11,False,False,adba6db5,route_min_directed_valient,7,4,False,100,0,False,False,True,32,False,,73.96171903214157,6,True,205.652456432,1000000000,,2,False,1,MyDesign,6,16,9,False,0,7,True,,True,30,GEMM_17,True,True,False,True,False,pirTest,57,True
40,False,5,route_min_directed_valient,20,6,4,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",False,,16,44,dor,512,2654,20,dfs,True,12.3466,False,,,True,Tst,True,,mesh,6.17332,False,,6,True,False,6:18.40,,40,,True,368fc703,2020-02-06 21:17:35 -0800,False,False,False,,,True,1000000000.0,1,,,1,DDR4,True,checkerboard,0,4,False,False,0:04.11,0.65kHz,,db,False,True,False,28,1,,False,4,4,True,0,,,True,4,0,True,-i100 -p100 -t1 -d100,True,,AccelMain,,True,,0,,True,20,True,hybrid,True,65536,,False,200,False,200,H-hop,84,25.864782495615234,,20,56,0,28,1,False,False,,False,True,bfs,False,28,False,False,adba6db5,route_min_directed_valient,20,4,False,100,0,False,False,True,32,False,,77.1665410700829,6,True,238.14173898,1000000000,,2,False,1,MyDesign,6,16,28,False,0,20,True,,True,40,GEMM_18,True,True,False,True,False,pirTest,84,True
40,False,5,route_min_directed_valient,20,6,4,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",False,,16,15,dor,512,46072,5,dfs,True,5.68988,False,,,True,Tst,True,,mesh,1.42247,False,,6,True,False,1:09.34,,40,,True,368fc703,2020-02-06 21:17:35 -0800,False,False,False,,,True,1000000000.0,1,,,1,DDR4,True,checkerboard,0,4,False,False,0:09.89,4.66kHz,,db,False,True,False,7,1,,False,4,4,True,0,,,True,4,0,True,-i100 -p100 -t1 -d100,True,,AccelMain,,True,,0,,True,20,True,hybrid,True,65536,,False,200,False,200,H-hop,30,27.443933909466118,,5,19,0,7,1,False,False,,False,True,bfs,False,7,False,False,adba6db5,route_min_directed_valient,5,4,False,100,0,False,False,True,32,False,,97.79475603403368,6,True,106.161393259,1000000000,,2,False,1,MyDesign,6,16,7,False,0,5,True,,True,15,GEMM_19,True,True,False,True,False,pirTest,30,True
