name,run-proute,pmu-stage,PMU,memelm,retime-exout,proute-q,pcu-stage,share-adctx,dedicated-dag,VBB-split,fifo-depth,time,vc,net,pracc,psim,word,reserve-pmu,runp2p_err,runp2p_pass,merge-forward,dot,OPS-All,VPCU-split,freq,argin,MC,runhybrid_deadlock,debug,merge-algo,pattern,lrange,mem-tech,runp2p_wbw,PCU,col,vfifo,OPS-FU,pirArgs,module,maketst_time,topo,runp2p_dram_power,VPCU-alloc,runproute_err,OPS-Prog FU,proute-algo,tokenout,mapping,runhybrid_pass,VMC,scheduled,runp2p_success,runhybrid_wbw,run-tst,gentst_err,runhybrid_time,split-forward,runp2p_deadlock,VMC-split,maketst_err,proute-seed,retime-local,start-id,save,waveform,DAG_Total,time-out,vec,runhybrid_success,slink,prtime,rundot,runhybrid_cycle,gentst_time,OPS-Other,simulate,runproute_time,vdot,split,project,runhybrid_err,VAFG-alloc,run-psim,tungsten,reserve-pcu,argout,routing-cost,trace,row,clock,genpir_err,runhybrid_rbw,MC_Total,dag-stage,runp2p_time,verbose,VDAG-split,VPMU-alloc,runp2p_cycle,stat,constprop,app,VBB-alloc,nn,notFit,PCU_Total,vlink,VPMU,VDAG,runp2p_complete,OPS-Flt,algo,fast,VAFG,flit-width,igraph,simfreq,arch,succeeded,split-algo,OPS-Fix,genpir,pmu-sram-size,PMU_Total,runp2p_rbw,bcread,avgActive,spatial_sha,DAG,open,backend,proute-opts,vcLimit,psim-q,codegen,routing-algo,runhybrid_complete,dupra,maxActive,dag,VBB,retime-buffer-only,debug-print,VMC-alloc,pir_sha,VPCU,VDAG-alloc,split-thread,retime-glob,VPMU-split,load,mergeTime_ms,merge,rtelm,sr,link-prop,ag-dce,runhybrid_dram_power,VAFG-split,mdone
AccelMain,False,6,3,False,False,4,6,False,False,,16,2020-03-11 17:57:12 -0700,4,hybrid,True,False,32,0,,True,False,True,,23,1000000000.0,6,6,False,True,bfs,checkerboard,True,DDR4,2.0898,0,20,4,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",False,1:36.32,mesh,,23,,,route_min_directed_valient,5,True,,6,False,True,,False,,,False,False,6,,0,False,0,True,True,40,100,16,False,4,,True,,47.289530795,,False,,True,True,pirTest,,1,False,True,0,4,H-hop,False,20,1000000000,,,40,6,0:01.58,False,0,,490,True,True,DRAMDoubleBuffer2_3,,False,,200,2,,0,True,,route_min_directed_valient,True,1,512,False,0.31kHz,MyDesign,True,dfs,,True,65536,200,2.0898,True,9.355102040816327,d860f9fb,20,False,Tst,-i100 -p100 -t1 -d100,4,1,True,dor,False,False,26.122448979591837,True,,False,True,6,5c5954a6,23,0,1,False,,False,,False,True,True,db,True,,1,True
AccelMain,False,6,11,False,False,4,6,False,False,,16,2020-03-11 17:57:12 -0700,4,hybrid,True,False,32,0,,True,False,True,,23,1000000000.0,6,6,False,True,bfs,checkerboard,True,DDR4,2.76757,0,20,4,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",False,0:44.49,mesh,,23,,,route_min_directed_valient,5,True,,6,False,True,,False,,,False,False,6,,0,False,0,True,True,40,100,16,False,4,,True,,34.502783828,,False,,True,True,pirTest,,1,False,True,0,4,H-hop,False,20,1000000000,,,40,6,0:01.05,False,0,,370,True,True,DRAMDoubleBuffer2_4,,False,,200,2,,0,True,,route_min_directed_valient,True,1,512,False,0.35kHz,MyDesign,True,dfs,,True,65536,200,2.76757,True,2.0108108108108107,d860f9fb,12,False,Tst,-i100 -p100 -t1 -d100,4,1,True,dor,False,False,2.1621621621621623,True,,False,True,6,5c5954a6,23,0,1,False,,False,,False,True,True,db,True,,1,True
AccelMain,False,6,13,False,False,4,6,False,False,,16,2020-03-11 17:57:12 -0700,4,hybrid,True,False,32,0,,True,False,True,,13,1000000000.0,6,4,False,True,bfs,checkerboard,True,DDR4,2.24561,0,20,4,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",False,0:54.52,mesh,,13,,,route_min_directed_valient,5,True,,4,False,True,,False,,,False,False,4,,0,False,0,True,True,40,100,16,False,4,,True,,27.298405696,,False,,True,True,pirTest,,1,False,True,0,4,H-hop,False,20,1000000000,,,40,6,0:01.06,False,0,,456,True,True,DRAMDoubleBuffer_0,,False,,200,2,,0,True,,route_min_directed_valient,True,1,512,False,0.43kHz,MyDesign,True,dfs,,True,65536,200,2.24561,True,15.935672514619883,d860f9fb,0,False,Tst,-i100 -p100 -t1 -d100,4,1,True,dor,False,False,56.14035087719298,True,,False,True,4,5c5954a6,13,0,1,False,,False,,False,True,True,db,True,,1,True
AccelMain,False,6,4,False,False,4,6,False,False,,16,2020-03-11 17:57:12 -0700,4,hybrid,True,False,32,0,,True,False,True,,11,1000000000.0,6,4,False,True,bfs,checkerboard,True,DDR4,4.04743,0,20,4,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",False,1:13.91,mesh,,11,,,route_min_directed_valient,5,True,,4,False,True,,False,,,False,False,4,,0,False,0,True,True,40,100,16,False,4,,True,,37.590863667,,False,,True,True,pirTest,,1,False,True,0,4,H-hop,False,20,1000000000,,,40,6,0:01.77,False,0,,253,True,True,DRAMDoubleBuffer_1,,False,,200,2,,0,True,,route_min_directed_valient,True,1,512,False,0.14kHz,MyDesign,True,dfs,,True,65536,200,4.04743,True,3.4660991182730316,d860f9fb,7,False,Tst,-i100 -p100 -t1 -d100,4,1,True,dor,False,False,6.324110671936759,True,,False,True,4,5c5954a6,11,0,1,False,,False,,False,True,True,db,True,,1,True
AccelMain,False,6,8,False,False,4,6,False,False,,16,2020-03-11 17:57:12 -0700,4,hybrid,True,False,32,0,,True,False,True,,22,1000000000.0,6,8,False,True,bfs,checkerboard,True,DDR4,4.33898,0,20,4,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",False,1:23.07,mesh,,22,,,route_min_directed_valient,5,True,,8,False,True,,False,,,False,False,8,,0,False,0,True,True,40,100,16,False,4,,True,,57.480373682,,False,,True,True,pirTest,,1,False,True,0,4,H-hop,False,20,1000000000,,,40,6,0:00.62,False,0,,236,True,True,DRAMDoubleBuffer_2,,False,,200,2,,0,True,,route_min_directed_valient,True,1,512,False,0.38kHz,MyDesign,True,dfs,,True,65536,200,4.33898,True,2.01271186440678,d860f9fb,14,False,Tst,-i100 -p100 -t1 -d100,4,1,True,dor,False,False,3.389830508474576,True,,False,True,8,5c5954a6,22,0,1,False,,False,,False,True,True,db,True,,1,True
AccelMain,False,6,28,False,False,4,6,False,False,,16,2020-03-11 17:57:12 -0700,4,hybrid,True,False,32,0,,True,False,True,,37,1000000000.0,6,12,False,True,bfs,checkerboard,True,DDR4,4.33898,0,20,4,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",False,1:38.89,mesh,,37,,,route_min_directed_valient,5,True,,12,False,True,,False,,,False,False,12,,0,False,0,True,True,40,100,16,False,4,,True,,63.204689603,,False,,True,True,pirTest,,1,False,True,0,4,H-hop,False,20,1000000000,,,40,6,0:00.79,False,0,,236,True,True,DRAMDoubleBuffer_3,,False,,200,2,,0,True,,route_min_directed_valient,True,1,512,False,0.3kHz,MyDesign,True,dfs,,True,65536,200,4.33898,True,2.0208604954367666,d860f9fb,9,False,Tst,-i100 -p100 -t1 -d100,4,1,True,dor,False,False,3.389830508474576,True,,False,True,12,5c5954a6,37,0,1,False,,False,,False,True,True,db,True,,1,True
AccelMain,False,6,2,False,False,4,6,False,False,,16,2020-03-11 17:57:12 -0700,4,hybrid,True,False,32,0,,,False,True,,19,1000000000.0,6,3,False,True,bfs,checkerboard,True,DDR4,43.545,11,20,4,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",False,3:07.75,mesh,,19,,,route_min_directed_valient,5,True,,3,False,True,,False,,,False,False,3,,0,False,0,True,True,40,100,16,False,4,,True,,87.483835641,,False,,True,True,pirTest,,1,False,True,0,4,H-hop,False,20,1000000000,,,40,6,0:43.39,False,0,,78261,True,True,DRAMMergeSort_0,,False,,200,2,,0,True,,route_min_directed_valient,True,1,512,False,1.8kHz,MyDesign,True,dfs,,True,65536,200,43.545,True,20.542926872899656,d860f9fb,6,False,Tst,-i100 -p100 -t1 -d100,4,1,True,dor,False,False,68.0389977127816,True,,False,True,3,5c5954a6,19,0,1,False,,False,,False,True,True,db,True,,1,True
AccelMain,False,6,2,False,False,4,6,False,False,,16,2020-03-11 17:57:12 -0700,4,hybrid,True,False,32,0,,,False,True,,19,1000000000.0,6,3,False,True,bfs,checkerboard,True,DDR4,43.7221,11,20,4,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",False,3:17.90,mesh,,19,,,route_min_directed_valient,5,True,,3,False,True,,False,,,False,False,3,,0,False,0,True,True,40,100,16,False,4,,True,,81.610503189,,False,,True,True,pirTest,,1,False,True,0,4,H-hop,False,20,1000000000,,,40,6,1:31.45,False,0,,77944,True,True,DRAMMergeSort_1,,False,,200,2,,0,True,,route_min_directed_valient,True,1,512,False,0.85kHz,MyDesign,True,dfs,,True,65536,200,43.7221,True,20.626475418249,d860f9fb,6,False,Tst,-i100 -p100 -t1 -d100,4,1,True,dor,False,False,68.31571384583803,True,,False,True,3,5c5954a6,19,0,1,False,,False,,False,True,True,db,True,,1,True
AccelMain,False,6,4,False,False,4,6,False,False,,16,2020-03-11 17:57:12 -0700,4,hybrid,True,False,32,0,,,False,True,,37,1000000000.0,6,6,False,True,bfs,checkerboard,True,DDR4,50.5874,22,20,4,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",False,2:40.48,mesh,,37,,,route_min_directed_valient,5,True,,6,False,True,,False,,,False,False,6,,0,False,0,True,True,40,100,16,False,4,,True,,88.263471063,,False,,True,True,pirTest,,1,False,True,0,4,H-hop,False,20,1000000000,,,40,6,1:12.40,False,0,,67366,True,True,DRAMMergeSort_2,,False,,200,2,,0,True,,route_min_directed_valient,True,1,512,False,0.93kHz,MyDesign,True,dfs,,True,65536,200,50.5874,True,13.722175995429566,d860f9fb,11,False,Tst,-i100 -p100 -t1 -d100,4,1,True,dor,False,False,42.56152955496838,True,,False,True,6,5c5954a6,37,0,1,False,,False,,False,True,True,db,True,,1,True
AccelMain,False,6,6,False,False,4,6,False,False,,16,2020-03-11 17:57:12 -0700,4,hybrid,True,False,32,0,,,False,True,,55,1000000000.0,6,9,False,True,bfs,checkerboard,True,DDR4,56.1059,33,20,4,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",False,3:08.90,mesh,,55,,,route_min_directed_valient,5,True,,9,False,True,,False,,,False,False,9,,0,False,0,True,True,40,100,16,False,4,,True,,126.726475234,,False,,True,True,pirTest,,1,False,True,0,4,H-hop,False,20,1000000000,,,40,6,1:31.49,False,0,,60740,True,True,DRAMMergeSort_3,,False,,200,2,,0,True,,route_min_directed_valient,True,1,512,False,0.66kHz,MyDesign,True,dfs,,True,65536,200,56.1059,True,11.889565726411298,d860f9fb,16,False,Tst,-i100 -p100 -t1 -d100,4,1,True,dor,False,False,36.71386236417517,True,,False,True,9,5c5954a6,55,0,1,False,,False,,False,True,True,db,True,,1,True
