runhybrid_wbw,constprop,VBB-alloc,VBB-split,VPMU,runp2p_time,VPCU-split,bcread,dag-stage,time,DAG_Total,algo,runhybrid_time,ag-dce,pcu-stage,runp2p_complete,merge,routing-cost,runhybrid_cycle,load,mergeTime_ms,gentst_time,proute-q,arch,time-out,VAFG-split,freq,gentst_err,link-prop,mdone,avgActive,PMU,maketst_time,reserve-pmu,genpir,OPS-Flt,psim,OPS-Prog FU,VMC,debug-tst,app,MC_Total,project,pattern,vfifo,topo,dedicated-dag,VAFG-alloc,pmu-stage,tungsten,VPMU-alloc,MC,simulate,runp2p_err,vcLimit,runhybrid_success,proute-algo,clock,VMC-split,trace,vc,merge-forward,backend,VPMU-split,split-forward,run-proute,scheduled,runp2p_rbw,vlink,dupra,split,psim-q,mapping,spatial_sha,mem-tech,runhybrid_rbw,tokenout,retime-buffer-only,OPS-Other,module,runproute_time,maketst_err,dag,net,waveform,runp2p_success,maxActive,nn,runhybrid_dram_power,split-algo,row,save,vec,runhybrid_complete,VDAG-split,VDAG-alloc,PMU_Total,succeeded,fast,runhybrid_err,run-tst,OPS-Fix,codegen,VDAG,lrange,pracc,argin,run-psim,merge-algo,flit-width,reserve-pcu,stat,pmu-sram-size,name,dot,debug,split-thread,proute-seed,simfreq,retime-glob,PCU,igraph,rtelm,fifo-depth,sr,argout,vdot,retime-local,DAG,memelm,PCU_Total,VPCU-alloc,retime-exout,pirArgs,prtime,genpir_err,OPS-FU,runp2p_dram_power,proute-opts,VMC-alloc,notFit,word,open,VAFG,start-id,slink,routing-algo,VBB,col,runproute_err,runp2p_deadlock,runp2p_cycle,VPCU,OPS-All,pir_sha,runhybrid_deadlock,verbose,runhybrid_pass,runp2p_wbw,runp2p_pass
,True,,,,0:00.59,23,True,6,2020-01-19 18:17:09 -0800,40,route_min_directed_valient,,True,6,True,False,H-hop,,False,,23.643265695,4,MyDesign,100,1,1000000000.0,,db,True,9.355102040816327,3,1:24.36,0,True,,False,,6,False,DRAMDoubleBuffer2_3,40,pirTest,checkerboard,4,mesh,False,1,6,True,,6,False,,4,False,route_min_directed_valient,1000000000,6,False,4,False,Tst,,False,False,False,2.0898,2,False,True,1,True,93b78c7b,DDR4,,5,False,,False,,,True,hybrid,True,True,26.122448979591837,False,,dfs,20,False,16,False,0,0,200,True,False,,False,,True,0,True,True,6,False,bfs,512,0,True,65536,AccelMain,False,False,1,0,0.83kHz,False,0,False,True,16,True,4,True,False,20,False,200,23,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/fluorine/spatial, --save=false, --dot=false, --debug=false",,,,,-i100 -p100 -t1 -d100,6,,32,False,1,0,4,dor,,20,,False,490,23,,2bf187f9,False,False,,2.0898,True
,True,,,,0:00.59,23,True,6,2020-01-19 18:17:09 -0800,40,route_min_directed_valient,,True,6,True,False,H-hop,,False,,26.509443624,4,MyDesign,100,1,1000000000.0,,db,True,2.0108108108108107,11,1:22.31,0,True,,False,,6,False,DRAMDoubleBuffer2_4,40,pirTest,checkerboard,4,mesh,False,1,6,True,,6,False,,4,False,route_min_directed_valient,1000000000,6,False,4,False,Tst,,False,False,False,2.76757,2,False,True,1,True,93b78c7b,DDR4,,5,False,,False,,,True,hybrid,True,True,2.1621621621621623,False,,dfs,20,False,16,False,0,0,200,True,False,,False,,True,0,True,True,6,False,bfs,512,0,True,65536,AccelMain,False,False,1,0,0.63kHz,False,0,False,True,16,True,4,True,False,12,False,200,23,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/fluorine/spatial, --save=false, --dot=false, --debug=false",,,,,-i100 -p100 -t1 -d100,6,,32,False,1,0,4,dor,,20,,False,370,23,,2bf187f9,False,False,,2.76757,True
,True,,,,0:00.52,13,True,6,2020-01-19 18:17:09 -0800,40,route_min_directed_valient,,True,6,True,False,H-hop,,False,,16.236063082,4,MyDesign,100,1,1000000000.0,,db,True,15.762834417932032,13,1:09.67,0,True,,False,,4,False,DRAMDoubleBuffer_0,40,pirTest,checkerboard,4,mesh,False,1,6,True,,4,False,,4,False,route_min_directed_valient,1000000000,4,False,4,False,Tst,,False,False,False,2.22126,2,False,True,1,True,93b78c7b,DDR4,,5,False,,False,,,True,hybrid,True,True,55.53145336225597,False,,dfs,20,False,16,False,0,0,200,True,False,,False,,True,0,True,True,6,False,bfs,512,0,True,65536,AccelMain,False,False,1,0,0.89kHz,False,0,False,True,16,True,4,True,False,0,False,200,13,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/fluorine/spatial, --save=false, --dot=false, --debug=false",,,,,-i100 -p100 -t1 -d100,4,,32,False,1,0,4,dor,,20,,False,461,13,,2bf187f9,False,False,,2.22126,True
,True,,,,0:00.54,11,True,6,2020-01-19 18:17:09 -0800,40,route_min_directed_valient,,True,6,True,False,H-hop,,False,,17.401342793,4,MyDesign,100,1,1000000000.0,,db,True,3.4660991182730316,4,1:04.61,0,True,,False,,4,False,DRAMDoubleBuffer_1,40,pirTest,checkerboard,4,mesh,False,1,6,True,,4,False,,4,False,route_min_directed_valient,1000000000,4,False,4,False,Tst,,False,False,False,4.04743,2,False,True,1,True,93b78c7b,DDR4,,5,False,,False,,,True,hybrid,True,True,6.324110671936759,False,,dfs,20,False,16,False,0,0,200,True,False,,False,,True,0,True,True,6,False,bfs,512,0,True,65536,AccelMain,False,False,1,0,0.47kHz,False,0,False,True,16,True,4,True,False,7,False,200,11,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/fluorine/spatial, --save=false, --dot=false, --debug=false",,,,,-i100 -p100 -t1 -d100,4,,32,False,1,0,4,dor,,20,,False,253,11,,2bf187f9,False,False,,4.04743,True
,True,,,,0:00.60,22,True,6,2020-01-19 18:17:09 -0800,40,route_min_directed_valient,,True,6,True,False,H-hop,,False,,25.520811199,4,MyDesign,100,1,1000000000.0,,db,True,2.01271186440678,8,1:32.98,0,True,,False,,8,False,DRAMDoubleBuffer_2,40,pirTest,checkerboard,4,mesh,False,1,6,True,,8,False,,4,False,route_min_directed_valient,1000000000,8,False,4,False,Tst,,False,False,False,4.33898,2,False,True,1,True,93b78c7b,DDR4,,5,False,,False,,,True,hybrid,True,True,3.389830508474576,False,,dfs,20,False,16,False,0,0,200,True,False,,False,,True,0,True,True,6,False,bfs,512,0,True,65536,AccelMain,False,False,1,0,0.39kHz,False,0,False,True,16,True,4,True,False,14,False,200,22,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/fluorine/spatial, --save=false, --dot=false, --debug=false",,,,,-i100 -p100 -t1 -d100,8,,32,False,1,0,4,dor,,20,,False,236,22,,2bf187f9,False,False,,4.33898,True
,True,,,,0:00.44,37,True,6,2020-01-19 18:17:09 -0800,40,route_min_directed_valient,,True,6,True,False,H-hop,,False,,33.338840684,4,MyDesign,100,1,1000000000.0,,db,True,2.0208604954367666,28,2:10.11,0,True,,False,,12,False,DRAMDoubleBuffer_3,40,pirTest,checkerboard,4,mesh,False,1,6,True,,12,False,,4,False,route_min_directed_valient,1000000000,12,False,4,False,Tst,,False,False,False,4.33898,2,False,True,1,True,93b78c7b,DDR4,,5,False,,False,,,True,hybrid,True,True,3.389830508474576,False,,dfs,20,False,16,False,0,0,200,True,False,,False,,True,0,True,True,6,False,bfs,512,0,True,65536,AccelMain,False,False,1,0,0.54kHz,False,0,False,True,16,True,4,True,False,9,False,200,37,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/fluorine/spatial, --save=false, --dot=false, --debug=false",,,,,-i100 -p100 -t1 -d100,12,,32,False,1,0,4,dor,,20,,False,236,37,,2bf187f9,False,False,,4.33898,True
,True,,,,0:09.99,19,True,6,2020-01-19 18:17:09 -0800,40,route_min_directed_valient,,True,6,True,False,H-hop,,False,,21.179854674,4,MyDesign,100,1,1000000000.0,,db,True,20.624094005362206,2,1:57.36,0,True,,False,,3,False,DRAMMergeSort_0,40,pirTest,checkerboard,4,mesh,False,1,6,True,,3,False,,4,False,route_min_directed_valient,1000000000,3,False,4,False,Tst,,False,False,False,43.717,2,False,True,1,True,93b78c7b,DDR4,,5,False,,False,,,True,hybrid,True,True,68.30782651084628,False,,dfs,20,False,16,False,0,0,200,True,False,,False,,True,0,True,True,6,False,bfs,512,0,True,65536,AccelMain,False,False,1,0,7.8kHz,False,11,False,True,16,True,4,True,False,6,False,200,19,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/fluorine/spatial, --save=false, --dot=false, --debug=false",,,,,-i100 -p100 -t1 -d100,3,,32,False,1,0,4,dor,,20,,False,77953,19,,2bf187f9,False,False,,43.717,
,True,,,,0:11.26,19,True,6,2020-01-19 18:17:09 -0800,40,route_min_directed_valient,,True,6,True,False,H-hop,,False,,18.004398522,4,MyDesign,100,1,1000000000.0,,db,True,20.478295205584143,2,1:51.03,0,True,,False,,3,False,DRAMMergeSort_1,40,pirTest,checkerboard,4,mesh,False,1,6,True,,3,False,,4,False,route_min_directed_valient,1000000000,3,False,4,False,Tst,,False,False,False,43.408,2,False,True,1,True,93b78c7b,DDR4,,5,False,,False,,,True,hybrid,True,True,67.82493503846742,False,,dfs,20,False,16,False,0,0,200,True,False,,False,,True,0,True,True,6,False,bfs,512,0,True,65536,AccelMain,False,False,1,0,6.97kHz,False,11,False,True,16,True,4,True,False,6,False,200,19,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/fluorine/spatial, --save=false, --dot=false, --debug=false",,,,,-i100 -p100 -t1 -d100,3,,32,False,1,0,4,dor,,20,,False,78508,19,,2bf187f9,False,False,,43.408,
,True,,,,0:12.39,37,True,6,2020-01-19 18:17:09 -0800,40,route_min_directed_valient,,True,6,True,False,H-hop,,False,,35.610353956,4,MyDesign,100,1,1000000000.0,,db,True,13.708541932111995,4,2:54.46,0,True,,False,,6,False,DRAMMergeSort_2,40,pirTest,checkerboard,4,mesh,False,1,6,True,,6,False,,4,False,route_min_directed_valient,1000000000,6,False,4,False,Tst,,False,False,False,50.5372,2,False,True,1,True,93b78c7b,DDR4,,5,False,,False,,,True,hybrid,True,True,42.51924132101493,False,,dfs,20,False,16,False,0,0,200,True,False,,False,,True,0,True,True,6,False,bfs,512,0,True,65536,AccelMain,False,False,1,0,5.44kHz,False,22,False,True,16,True,4,True,False,11,False,200,37,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/fluorine/spatial, --save=false, --dot=false, --debug=false",,,,,-i100 -p100 -t1 -d100,6,,32,False,1,0,4,dor,,20,,False,67433,37,,2bf187f9,False,False,,50.5372,
,True,,,,0:13.80,55,True,6,2020-01-19 18:17:09 -0800,40,route_min_directed_valient,,True,6,True,False,H-hop,,False,,47.88155824,4,MyDesign,100,1,1000000000.0,,db,True,12.04061859718934,6,3:56.23,0,True,,False,,9,False,DRAMMergeSort_3,40,pirTest,checkerboard,4,mesh,False,1,6,True,,9,False,,4,False,route_min_directed_valient,1000000000,9,False,4,False,Tst,,False,False,False,56.8187,2,False,True,1,True,93b78c7b,DDR4,,5,False,,False,,,True,hybrid,True,True,37.180299443129144,False,,dfs,20,False,16,False,0,0,200,True,False,,False,,True,0,True,True,6,False,bfs,512,0,True,65536,AccelMain,False,False,1,0,4.35kHz,False,33,False,True,16,True,4,True,False,16,False,200,55,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/fluorine/spatial, --save=false, --dot=false, --debug=false",,,,,-i100 -p100 -t1 -d100,9,,32,False,1,0,4,dor,,20,,False,59978,55,,2bf187f9,False,False,,56.8187,
