app,project,backend,freq,spatial_sha,pir_sha,time,genpir,genpir_err,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,runp2p_cycle,runhybrid_cycle,runp2p_err,runhybrid_err,maketst_err,runproute_err,gentst_err,runp2p_pass,runhybrid_pass,runp2p_deadlock,runhybrid_deadlock,runp2p_complete,runhybrid_complete,runp2p_dram_power,runhybrid_dram_power,runp2p_rbw,runhybrid_rbw,runp2p_wbw,runhybrid_wbw,maketst_time,runp2p_time,runhybrid_time,runproute_time,gentst_time,OPS-All,OPS-FU,OPS-Fix,OPS-Flt,OPS-Other,OPS-Prog FU,notFit,MC,DAG,PMU,PCU,MC_Total,DAG_Total,PMU_Total,PCU_Total,VMC,VDAG,VPMU,VPCU,row,col,pirArgs,algo,pattern,slink,vlink,prtime,vcLimit,maxActive,avgActive,runp2p_success,runhybrid_success,succeeded,simfreq
TPCHQ6_4,pirTest,Tst,1000000000.0,7c12204,60a4c49,2019-11-11 05:27:07 +0000,True,,,,,,,,,,,,,,,265,,,,,,,True,,False,False,True,False,,,61.8264,,0.0,,1:23.06,0:00.33,,,36.807864832,"20692 OP, 78.08 GOPS","20692 OP, 78.08 GOPS","15572 OP, 58.76 GOPS",,"5120 OP, 19.32 GOPS","19664 OP, 74.20 GOPS",,16,17,16,8,40,40,200,200,16,0,16,25,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,6.037735849056604,5.067385444743936,True,False,True,0.8kHz
TPCHQ6_5,pirTest,Tst,1000000000.0,7c12204,60a4c49,2019-11-11 05:27:07 +0000,True,,,,,,,,,,,,,,,228,,,,,,,True,,False,False,True,False,,,71.8596,,0.0,,2:03.36,0:00.45,,,68.399290953,"29436 OP, 129.11 GOPS","29436 OP, 129.11 GOPS","17520 OP, 76.84 GOPS",,"11916 OP, 52.26 GOPS","22134 OP, 97.08 GOPS",,12,13,12,22,40,40,200,200,12,0,12,35,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,10.526315789473685,8.931419457735247,True,False,True,0.51kHz
TiledPageRank_0,pirTest,Tst,1000000000.0,7c12204,60a4c49,2019-11-11 05:27:07 +0000,True,,,,,,,,,,,,,,,8576,,,,,,,True,,False,False,True,False,,,14.4478,,0.0597015,,2:56.41,0:02.48,,,61.237328711,"202232 OP, 23.58 GOPS","102053 OP, 11.90 GOPS","89903 OP, 10.48 GOPS",,"112329 OP, 13.10 GOPS","102053 OP, 11.90 GOPS",,8,23,11,12,40,40,200,200,8,0,6,40,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,85.07462686567165,15.986473880597014,True,False,True,3.46kHz
TiledPageRank_1,pirTest,Tst,1000000000.0,7c12204,60a4c49,2019-11-11 05:27:07 +0000,True,,,,,,,,,,,,,,,8286,,,,,,,True,,False,False,True,False,,,12.4123,,0.061791,,3:29.38,0:02.24,,,76.07247249,"595438 OP, 71.86 GOPS","160478 OP, 19.37 GOPS","147329 OP, 17.78 GOPS",,"448109 OP, 54.08 GOPS","160478 OP, 19.37 GOPS",,8,22,10,19,40,40,200,200,8,0,6,45,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,88.05213613323679,15.281333183751313,True,False,True,3.7kHz
TiledPageRank_2,pirTest,Tst,1000000000.0,7c12204,60a4c49,2019-11-11 05:27:07 +0000,True,,,,,,,,,,,,,,,4292,,,,,,,True,,False,False,True,False,,,20.9506,,0.119292,,6:29.83,0:02.49,,,132.542862573,"599630 OP, 139.71 GOPS","599498 OP, 139.68 GOPS","148417 OP, 34.58 GOPS",,"451213 OP, 105.13 GOPS","160542 OP, 37.40 GOPS",,11,36,17,37,40,40,200,200,11,0,9,81,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,85.36812674743709,17.981529389079924,True,False,True,1.72kHz
TiledPageRank_3,pirTest,Tst,1000000000.0,7c12204,60a4c49,2019-11-11 05:27:07 +0000,True,,,,,,,,,,,,,,,1718,,,,,,,True,,False,False,True,False,,,36.5076,,0.298021,,57:02.53,0:04.75,,,939.863500744,"868417 OP, 505.48 GOPS","243457 OP, 141.71 GOPS","225312 OP, 131.15 GOPS",,"643105 OP, 374.33 GOPS","243457 OP, 141.71 GOPS",,38,40,136,200,40,40,200,200,38,0,36,340,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,87.36903376018627,15.828433611843819,True,False,True,0.36kHz
TiledPageRank_4,pirTest,Tst,1000000000.0,7c12204,60a4c49,2019-11-11 05:27:07 +0000,True,,,,,,,,,,,,,,,16993,,,,,,,True,,False,False,True,False,,,14.5114,,0.0602601,,2:50.55,0:03.97,,,62.6094358,"404464 OP, 23.80 GOPS","404200 OP, 23.79 GOPS","179806 OP, 10.58 GOPS",,"224658 OP, 13.22 GOPS","204106 OP, 12.01 GOPS",,8,22,11,13,40,40,200,200,8,0,6,40,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,85.87065262166774,16.12650532089877,True,False,True,4.28kHz
UnalignLoad_0,pirTest,Tst,1000000000.0,7c12204,60a4c49,2019-11-11 05:27:07 +0000,True,,,,,,,,,,,,,,,80,,,,,,,True,,False,False,True,False,,,3.2,,0.0,,0:52.75,0:00.39,,,20.363008605,"580 OP, 7.25 GOPS","580 OP, 7.25 GOPS","260 OP, 3.25 GOPS",,"320 OP, 4.00 GOPS","176 OP, 2.20 GOPS",,1,2,1,3,40,40,200,200,1,0,1,5,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,20.0,13.25,True,False,True,0.21kHz
UnalignLoad_1,pirTest,Tst,1000000000.0,7c12204,60a4c49,2019-11-11 05:27:07 +0000,True,,,,,,,,,,,,,,,72,,,,,,,True,,False,False,True,False,,,3.55556,,0.0,,1:16.13,0:00.49,,,33.705771306,"1030 OP, 14.31 GOPS","1030 OP, 14.31 GOPS","386 OP, 5.36 GOPS",,"644 OP, 8.94 GOPS","268 OP, 3.72 GOPS",,3,4,3,11,40,40,200,200,3,0,3,15,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,11.11111111111111,8.912037037037038,True,False,True,0.15kHz
UnalignParTest_0,pirTest,Tst,1000000000.0,7c12204,60a4c49,2019-11-11 05:27:07 +0000,True,,,,,,,,,,,,,,,280,,,,,,,True,,False,False,True,False,,,0.0,,58.5143,,1:57.79,0:00.46,,,31.650618987,"35776 OP, 127.77 GOPS","14272 OP, 50.97 GOPS","15040 OP, 53.71 GOPS",,"20736 OP, 74.06 GOPS","14272 OP, 50.97 GOPS",,3,6,7,10,40,40,200,200,3,0,7,16,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,45.714285714285715,32.32142857142857,True,False,True,0.61kHz
UnalignParTest_1,pirTest,Tst,1000000000.0,7c12204,60a4c49,2019-11-11 05:27:07 +0000,True,,,,,,,,,,,,,,,279,,,,,,,True,,False,False,True,False,,,0.0,,58.724,,1:19.51,0:00.39,,,23.798238503,"18240 OP, 65.38 GOPS","17984 OP, 64.46 GOPS","12096 OP, 43.35 GOPS",,"6144 OP, 22.02 GOPS","11584 OP, 41.52 GOPS",,2,4,5,7,40,40,200,200,2,0,5,11,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,45.878136200716845,31.624572809869136,True,False,True,0.72kHz
UnalignParTest_2,pirTest,Tst,1000000000.0,7c12204,60a4c49,2019-11-11 05:27:07 +0000,True,,,,,,,,,,,,,,,1093,,,,,,,True,,False,False,True,False,,,0.0,,14.9899,,1:12.14,0:00.49,,,26.034363759,"78656 OP, 71.96 GOPS","78400 OP, 71.73 GOPS","38720 OP, 35.43 GOPS",,"39936 OP, 36.54 GOPS","38208 OP, 34.96 GOPS",,1,2,3,5,40,40,200,200,1,0,3,7,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,93.68709972552608,25.511999436976566,True,False,True,2.23kHz
UnalignParTest_3,pirTest,Tst,1000000000.0,7c12204,60a4c49,2019-11-11 05:27:07 +0000,True,,,,,,,,,,,,,,,580,,,,,,,True,,False,False,True,False,,,0.0,,28.2483,,1:55.89,0:00.46,,,44.323380404,"115136 OP, 198.51 GOPS","114752 OP, 197.85 GOPS","45760 OP, 78.90 GOPS",,"69376 OP, 119.61 GOPS","44992 OP, 77.57 GOPS",,3,6,7,13,40,40,200,200,3,0,7,19,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,88.27586206896552,30.555555555555557,True,False,True,1.26kHz
UnalignReduce_0,pirTest,Tst,1000000000.0,7c12204,60a4c49,2019-11-11 05:27:07 +0000,True,,,,,,,,,,,,,,,56,,,,,,,True,,False,False,True,False,,,0.0,,0.0,,0:55.26,0:00.26,,,34.627105771,"1254 OP, 22.39 GOPS","1254 OP, 22.39 GOPS","608 OP, 10.86 GOPS",,"646 OP, 11.54 GOPS","494 OP, 8.82 GOPS",,0,2,3,11,40,40,200,200,,0,3,13,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,14.285714285714286,12.175324675324676,True,False,True,0.22kHz
UnalignReduce_1,pirTest,Tst,1000000000.0,7c12204,60a4c49,2019-11-11 05:27:07 +0000,True,,,,,,,,,,,,,,,44,,,,,,,True,,False,False,True,False,,,0.0,,0.0,,0:54.05,0:00.39,,,22.20788743,"302 OP, 6.86 GOPS","206 OP, 4.68 GOPS","296 OP, 6.73 GOPS",,"6 OP, 0.14 GOPS","206 OP, 4.68 GOPS",,0,2,6,0,40,40,200,200,,0,,8,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,4.545454545454546,4.090909090909091,True,False,True,0.11kHz
UnalignStore_0,pirTest,Tst,1000000000.0,7c12204,60a4c49,2019-11-11 05:27:07 +0000,True,,,,,,,,,,,,,,,53,,,,,,,True,,False,False,True,False,,,0.0,,4.83019,,0:52.42,0:00.36,,,17.758281905,"572 OP, 10.79 GOPS","572 OP, 10.79 GOPS","252 OP, 4.75 GOPS",,"320 OP, 6.04 GOPS","252 OP, 4.75 GOPS",,1,2,1,3,40,40,200,200,1,0,1,5,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,30.18867924528302,20.0,True,False,True,0.15kHz
UnalignStore_1,pirTest,Tst,1000000000.0,7c12204,60a4c49,2019-11-11 05:27:07 +0000,True,,,,,,,,,,,,,,,48,,,,,,,True,,False,False,True,False,,,0.0,,5.33333,,1:25.81,0:00.41,,,24.888066803,"1018 OP, 21.21 GOPS","378 OP, 7.88 GOPS","378 OP, 7.88 GOPS",,"640 OP, 13.33 GOPS","378 OP, 7.88 GOPS",,3,6,3,11,40,40,200,200,3,0,3,17,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,16.666666666666668,12.660256410256409,True,False,True,0.12kHz
VarDeq_0,pirTest,Tst,1000000000.0,7c12204,60a4c49,2019-11-11 05:27:07 +0000,True,,,,,,,,,,,,,,,106,,,,,,,True,,False,False,True,False,,,0.603774,,0.603774,,0:55.55,0:00.45,,,20.503794317,"186 OP, 1.75 GOPS","186 OP, 1.75 GOPS","106 OP, 1.00 GOPS",,"80 OP, 0.75 GOPS","106 OP, 1.00 GOPS",,1,0,1,9,40,40,200,200,1,0,1,9,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,15.09433962264151,9.433962264150944,True,False,True,0.24kHz
VecTest,pirTest,Tst,1000000000.0,7c12204,60a4c49,2019-11-11 05:27:07 +0000,True,,,,,,,,,,,,,,,271,,,,,,,True,,False,False,True,False,,,0.472325,,15.1144,,1:04.21,0:00.28,,,23.902710483,"23328 OP, 86.08 GOPS","20256 OP, 74.75 GOPS","13472 OP, 49.71 GOPS",,"9856 OP, 36.37 GOPS","6304 OP, 23.26 GOPS",,2,3,3,9,40,40,200,200,2,0,3,12,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,47.23247232472325,20.118081180811807,True,False,True,0.97kHz
