spatial_sha,time,app,project,backend,freq,mappirlog,runpirlog,genpsimlog,gentracelog,runpsimlog,psimsh,runproutelog,proutesh,prouteSummary,AccelMain,logpath,gentst,maketst,runp2p,genpir,genpir_err,runpir_time,runpir_err,notFit,MC,DAG,PMU,PCU,row,col,p2p,asic,scheduled,fifo_depth,mappir_err,mappir_time,genpsim_err,gentrace_err,psimcycle,lbw,sbw,psim_deadlock,algo,pattern,slink,vlink,prtime,vcLimit,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,gentst_err,gentst_time,maketst_err,runp2p_cycle,runtst_err,runtst_pass,runp2p_deadlock,runp2p_complete,tst_dram_power,tst_rbw,tst_wbw,succeeded
d0d7f8d0,2019-06-05 00:35:30,Kmeans_8,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/Kmeans_8/log/mappir.log,../gen/MDTst_pirTest/Kmeans_8/log/runpir.log,../gen/MDTst_pirTest/Kmeans_8/log/genpsim.log,../gen/MDTst_pirTest/Kmeans_8/log/gentrace.log,../gen/MDTst_pirTest/Kmeans_8/log/runpsim.log,../gen/MDTst_pirTest/Kmeans_8/log/runpsim.sh,../gen/MDTst_pirTest/Kmeans_8/log/runproute.log,../gen/MDTst_pirTest/Kmeans_8/log/runproute.sh,../gen/MDTst_pirTest/Kmeans_8/plastisim/summary.csv,../gen/MDTst_pirTest/Kmeans_8/pir/AccelMain.scala,../gen/MDTst_pirTest/Kmeans_8/log/,../gen/MDTst_pirTest/Kmeans_8/log/gentst.log,../gen/MDTst_pirTest/Kmeans_8/log/maketst.log,../gen/MDTst_pirTest/Kmeans_8/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,95.731199222,"src/DUT.h:1:1: error: ‘DRAMController’ does not name a type
",,,,False,False,,,,False
d0d7f8d0,2019-06-05 00:35:30,LSTM_0,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/LSTM_0/log/mappir.log,../gen/MDTst_pirTest/LSTM_0/log/runpir.log,../gen/MDTst_pirTest/LSTM_0/log/genpsim.log,../gen/MDTst_pirTest/LSTM_0/log/gentrace.log,../gen/MDTst_pirTest/LSTM_0/log/runpsim.log,../gen/MDTst_pirTest/LSTM_0/log/runpsim.sh,../gen/MDTst_pirTest/LSTM_0/log/runproute.log,../gen/MDTst_pirTest/LSTM_0/log/runproute.sh,../gen/MDTst_pirTest/LSTM_0/plastisim/summary.csv,../gen/MDTst_pirTest/LSTM_0/pir/AccelMain.scala,../gen/MDTst_pirTest/LSTM_0/log/,../gen/MDTst_pirTest/LSTM_0/log/gentst.log,../gen/MDTst_pirTest/LSTM_0/log/maketst.log,../gen/MDTst_pirTest/LSTM_0/log/runtst.log,False,[error] //TODO: Plasticine does not support unbanked unrolled access at the moment. ,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,False
d0d7f8d0,2019-06-05 00:35:30,LSTM_1,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/LSTM_1/log/mappir.log,../gen/MDTst_pirTest/LSTM_1/log/runpir.log,../gen/MDTst_pirTest/LSTM_1/log/genpsim.log,../gen/MDTst_pirTest/LSTM_1/log/gentrace.log,../gen/MDTst_pirTest/LSTM_1/log/runpsim.log,../gen/MDTst_pirTest/LSTM_1/log/runpsim.sh,../gen/MDTst_pirTest/LSTM_1/log/runproute.log,../gen/MDTst_pirTest/LSTM_1/log/runproute.sh,../gen/MDTst_pirTest/LSTM_1/plastisim/summary.csv,../gen/MDTst_pirTest/LSTM_1/pir/AccelMain.scala,../gen/MDTst_pirTest/LSTM_1/log/,../gen/MDTst_pirTest/LSTM_1/log/gentst.log,../gen/MDTst_pirTest/LSTM_1/log/maketst.log,../gen/MDTst_pirTest/LSTM_1/log/runtst.log,False,[error] //TODO: Plasticine does not support unbanked unrolled access at the moment. ,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,False
d0d7f8d0,2019-06-05 00:35:30,LUTTest_0,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/LUTTest_0/log/mappir.log,../gen/MDTst_pirTest/LUTTest_0/log/runpir.log,../gen/MDTst_pirTest/LUTTest_0/log/genpsim.log,../gen/MDTst_pirTest/LUTTest_0/log/gentrace.log,../gen/MDTst_pirTest/LUTTest_0/log/runpsim.log,../gen/MDTst_pirTest/LUTTest_0/log/runpsim.sh,../gen/MDTst_pirTest/LUTTest_0/log/runproute.log,../gen/MDTst_pirTest/LUTTest_0/log/runproute.sh,../gen/MDTst_pirTest/LUTTest_0/plastisim/summary.csv,../gen/MDTst_pirTest/LUTTest_0/pir/AccelMain.scala,../gen/MDTst_pirTest/LUTTest_0/log/,../gen/MDTst_pirTest/LUTTest_0/log/gentst.log,../gen/MDTst_pirTest/LUTTest_0/log/maketst.log,../gen/MDTst_pirTest/LUTTest_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,5.715701127,"src/DUT.h:1:1: error: ‘DRAMController’ does not name a type
",,,,False,False,,,,False
d0d7f8d0,2019-06-05 00:35:30,LUTTest_1,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/LUTTest_1/log/mappir.log,../gen/MDTst_pirTest/LUTTest_1/log/runpir.log,../gen/MDTst_pirTest/LUTTest_1/log/genpsim.log,../gen/MDTst_pirTest/LUTTest_1/log/gentrace.log,../gen/MDTst_pirTest/LUTTest_1/log/runpsim.log,../gen/MDTst_pirTest/LUTTest_1/log/runpsim.sh,../gen/MDTst_pirTest/LUTTest_1/log/runproute.log,../gen/MDTst_pirTest/LUTTest_1/log/runproute.sh,../gen/MDTst_pirTest/LUTTest_1/plastisim/summary.csv,../gen/MDTst_pirTest/LUTTest_1/pir/AccelMain.scala,../gen/MDTst_pirTest/LUTTest_1/log/,../gen/MDTst_pirTest/LUTTest_1/log/gentst.log,../gen/MDTst_pirTest/LUTTest_1/log/maketst.log,../gen/MDTst_pirTest/LUTTest_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,5.434748483,"src/DUT.h:1:1: error: ‘DRAMController’ does not name a type
",,,,False,False,,,,False
d0d7f8d0,2019-06-05 00:35:30,LUTTest_2,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/LUTTest_2/log/mappir.log,../gen/MDTst_pirTest/LUTTest_2/log/runpir.log,../gen/MDTst_pirTest/LUTTest_2/log/genpsim.log,../gen/MDTst_pirTest/LUTTest_2/log/gentrace.log,../gen/MDTst_pirTest/LUTTest_2/log/runpsim.log,../gen/MDTst_pirTest/LUTTest_2/log/runpsim.sh,../gen/MDTst_pirTest/LUTTest_2/log/runproute.log,../gen/MDTst_pirTest/LUTTest_2/log/runproute.sh,../gen/MDTst_pirTest/LUTTest_2/plastisim/summary.csv,../gen/MDTst_pirTest/LUTTest_2/pir/AccelMain.scala,../gen/MDTst_pirTest/LUTTest_2/log/,../gen/MDTst_pirTest/LUTTest_2/log/gentst.log,../gen/MDTst_pirTest/LUTTest_2/log/maketst.log,../gen/MDTst_pirTest/LUTTest_2/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,8.667698678,"src/DUT.h:1:1: error: ‘DRAMController’ does not name a type
",,,,False,False,,,,False
d0d7f8d0,2019-06-05 00:35:30,LUTTest_3,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/LUTTest_3/log/mappir.log,../gen/MDTst_pirTest/LUTTest_3/log/runpir.log,../gen/MDTst_pirTest/LUTTest_3/log/genpsim.log,../gen/MDTst_pirTest/LUTTest_3/log/gentrace.log,../gen/MDTst_pirTest/LUTTest_3/log/runpsim.log,../gen/MDTst_pirTest/LUTTest_3/log/runpsim.sh,../gen/MDTst_pirTest/LUTTest_3/log/runproute.log,../gen/MDTst_pirTest/LUTTest_3/log/runproute.sh,../gen/MDTst_pirTest/LUTTest_3/plastisim/summary.csv,../gen/MDTst_pirTest/LUTTest_3/pir/AccelMain.scala,../gen/MDTst_pirTest/LUTTest_3/log/,../gen/MDTst_pirTest/LUTTest_3/log/gentst.log,../gen/MDTst_pirTest/LUTTest_3/log/maketst.log,../gen/MDTst_pirTest/LUTTest_3/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,10.372168073,"src/DUT.h:1:1: error: ‘DRAMController’ does not name a type
",,,,False,False,,,,False
d0d7f8d0,2019-06-05 00:35:30,LUTTest_4,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/LUTTest_4/log/mappir.log,../gen/MDTst_pirTest/LUTTest_4/log/runpir.log,../gen/MDTst_pirTest/LUTTest_4/log/genpsim.log,../gen/MDTst_pirTest/LUTTest_4/log/gentrace.log,../gen/MDTst_pirTest/LUTTest_4/log/runpsim.log,../gen/MDTst_pirTest/LUTTest_4/log/runpsim.sh,../gen/MDTst_pirTest/LUTTest_4/log/runproute.log,../gen/MDTst_pirTest/LUTTest_4/log/runproute.sh,../gen/MDTst_pirTest/LUTTest_4/plastisim/summary.csv,../gen/MDTst_pirTest/LUTTest_4/pir/AccelMain.scala,../gen/MDTst_pirTest/LUTTest_4/log/,../gen/MDTst_pirTest/LUTTest_4/log/gentst.log,../gen/MDTst_pirTest/LUTTest_4/log/maketst.log,../gen/MDTst_pirTest/LUTTest_4/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,5.900822413,"src/DUT.h:1:1: error: ‘DRAMController’ does not name a type
",,,,False,False,,,,False
d0d7f8d0,2019-06-05 00:35:30,LeNet_0,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/LeNet_0/log/mappir.log,../gen/MDTst_pirTest/LeNet_0/log/runpir.log,../gen/MDTst_pirTest/LeNet_0/log/genpsim.log,../gen/MDTst_pirTest/LeNet_0/log/gentrace.log,../gen/MDTst_pirTest/LeNet_0/log/runpsim.log,../gen/MDTst_pirTest/LeNet_0/log/runpsim.sh,../gen/MDTst_pirTest/LeNet_0/log/runproute.log,../gen/MDTst_pirTest/LeNet_0/log/runproute.sh,../gen/MDTst_pirTest/LeNet_0/plastisim/summary.csv,../gen/MDTst_pirTest/LeNet_0/pir/AccelMain.scala,../gen/MDTst_pirTest/LeNet_0/log/,../gen/MDTst_pirTest/LeNet_0/log/gentst.log,../gen/MDTst_pirTest/LeNet_0/log/maketst.log,../gen/MDTst_pirTest/LeNet_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,45.583108633,"src/DUT.h:1:1: error: ‘DRAMController’ does not name a type
",,,,False,False,,,,False
d0d7f8d0,2019-06-05 00:35:30,LeNet_4,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/LeNet_4/log/mappir.log,../gen/MDTst_pirTest/LeNet_4/log/runpir.log,../gen/MDTst_pirTest/LeNet_4/log/genpsim.log,../gen/MDTst_pirTest/LeNet_4/log/gentrace.log,../gen/MDTst_pirTest/LeNet_4/log/runpsim.log,../gen/MDTst_pirTest/LeNet_4/log/runpsim.sh,../gen/MDTst_pirTest/LeNet_4/log/runproute.log,../gen/MDTst_pirTest/LeNet_4/log/runproute.sh,../gen/MDTst_pirTest/LeNet_4/plastisim/summary.csv,../gen/MDTst_pirTest/LeNet_4/pir/AccelMain.scala,../gen/MDTst_pirTest/LeNet_4/log/,../gen/MDTst_pirTest/LeNet_4/log/gentst.log,../gen/MDTst_pirTest/LeNet_4/log/maketst.log,../gen/MDTst_pirTest/LeNet_4/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,109.340974034,"src/DUT.h:1:1: error: ‘DRAMController’ does not name a type
",,,,False,False,,,,False
