proute-opts,maxActive,project,spatial_sha,rtanal,vdot,routing-cost,runp2p_rbw,merge-algo,runp2p_time,runp2p_deadlock,split-forward,runhybrid_cycle,module,runhybrid_pass,runp2p_pass,algo,open,codegen,time-out,constprop,run-proute,runhybrid_wbw,prtime,save,DAG,share-adctx,pmu-sram-size,VPCU-alloc,merge-forward,nn,OPS-FU,simfreq,mem-tech,notFit,simulate,retime-exout,time,VPMU-split,runhybrid_time,rtelm,mdone,VMC-alloc,VBB,ag-dce,psim-q,retime-glob,VMC-split,VAFG-split,debug,runp2p_cycle,OPS-Flt,reserve-pcu,PMU_Total,rundot,verbose,MC,PCU_Total,reserve-pmu,VBB-alloc,runhybrid_dram_power,mapping,avgActive,debug-print,tokenout,igraph,VDAG-alloc,vlink,runhybrid_rbw,rtelm-unsafe,stat,OPS-All,VPCU,retime-local,reserve-dag,split-algo,pattern,split-thread,VPMU-alloc,tungsten,runhybrid_success,run-psim,pir_sha,dot,pracc,net,retime-buffer-only,memelm,backend,runhybrid_deadlock,pmu-stage,proute-algo,freq,VPMU,split,trace,link-prop,dupra,OPS-Fix,pcu-stage,name,VBB-split,arch,fifo-depth,bcread,OPS-Other,VDAG-split,word,routing-algo,VMC,runp2p_dram_power,MC_Total,gentst_err,load,flit-width,gentst_time,PCU,clock,topo,vfifo,runp2p_err,runhybrid_complete,row,argout,succeeded,col,fast,OPS-Prog FU,proute-q,VAFG-alloc,dag-stage,genpir_err,runp2p_complete,run-tst,pirArgs,slink,PMU,runp2p_wbw,genpir,runproute_time,vec,dedicated-dag,scheduled,vcLimit,start-id,proute-seed,mergeTime_ms,waveform,maketst_err,DAG_Total,VDAG,VAFG,app,vc,dag,lrange,runhybrid_err,psim,merge,runp2p_success,VPCU-split,maketst_time,runproute_err,sr,argin
-i100 -p100 -t1 -d100,27.23404255319149,pirTest,55a8709f,True,True,H-hop,2.17872,bfs,0:00.87,False,False,,False,,True,route_min_directed_valient,False,True,100,True,False,,,True,0,False,65536,14,False,False,,0.54kHz,DDR4,,False,False,2020-04-06 12:21:39 -0700,,,True,True,4,,True,1,False,4,1,True,470,,0,200,True,False,4,200,0,,,True,7.898936170212766,True,5,False,0,2,,False,True,,14,False,0,dfs,checkerboard,1,,True,False,False,751fb546,True,True,hybrid,False,False,Tst,False,6,route_min_directed_valient,1000000000.0,,True,False,db,False,,6,AccelMain,,MyDesign,16,True,,0,32,dor,4,,40,,False,512,45.765264263,0,1000000000,mesh,4,,False,20,4,True,20,True,,4,1,6,,True,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",4,14,2.17872,True,,16,False,False,4,0,0,,True,,40,0,1,DRAMDoubleBuffer2_2,4,True,True,,False,False,True,14,0:43.27,,True,6
-i100 -p100 -t1 -d100,27.23404255319149,pirTest,55a8709f,True,True,H-hop,2.17872,bfs,0:00.36,False,False,,False,,True,route_min_directed_valient,False,True,100,True,False,,,True,18,False,65536,21,False,False,,1.31kHz,DDR4,,False,False,2020-04-06 12:21:39 -0700,,,True,True,6,,True,1,False,6,1,True,470,,0,200,True,False,6,200,0,,,True,8.233117483811286,True,5,False,0,2,,False,True,,21,False,0,dfs,checkerboard,1,,True,False,False,751fb546,True,True,hybrid,False,False,Tst,False,6,route_min_directed_valient,1000000000.0,,True,False,db,False,,6,AccelMain,,MyDesign,16,True,,0,32,dor,6,,40,,False,512,37.848700237,0,1000000000,mesh,4,,False,20,4,True,20,True,,4,1,6,,True,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",4,3,2.17872,True,,16,False,False,4,0,0,,True,,40,0,1,DRAMDoubleBuffer2_3,4,True,True,,False,False,True,21,0:25.15,,True,6
-i100 -p100 -t1 -d100,2.2857142857142856,pirTest,55a8709f,True,True,H-hop,2.92571,bfs,0:00.62,False,False,,False,,True,route_min_directed_valient,False,True,100,True,False,,,True,12,False,65536,21,False,False,,0.56kHz,DDR4,,False,False,2020-04-06 12:21:39 -0700,,,True,True,6,,True,1,False,6,1,True,350,,0,200,True,False,6,200,0,,,True,2.111801242236025,True,5,False,0,2,,False,True,,21,False,0,dfs,checkerboard,1,,True,False,False,751fb546,True,True,hybrid,False,False,Tst,False,6,route_min_directed_valient,1000000000.0,,True,False,db,False,,6,AccelMain,,MyDesign,16,True,,0,32,dor,6,,40,,False,512,45.670244411,0,1000000000,mesh,4,,False,20,4,True,20,True,,4,1,6,,True,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",4,9,2.92571,True,,16,False,False,4,0,0,,True,,40,0,1,DRAMDoubleBuffer2_4,4,True,True,,False,False,True,21,0:58.27,,True,6
-i100 -p100 -t1 -d100,55.773420479302835,pirTest,55a8709f,True,True,H-hop,2.23094,bfs,0:00.37,False,False,,False,,True,route_min_directed_valient,False,True,100,True,False,,,True,12,False,65536,13,False,False,,1.24kHz,DDR4,,False,False,2020-04-06 12:21:39 -0700,,,True,True,4,,True,1,False,4,1,True,459,,0,200,True,False,4,200,0,,,True,15.831517792302106,True,5,False,0,2,,False,True,,13,False,0,dfs,checkerboard,1,,True,False,False,751fb546,True,True,hybrid,False,False,Tst,False,6,route_min_directed_valient,1000000000.0,,True,False,db,False,,6,AccelMain,,MyDesign,16,True,,0,32,dor,4,,40,,False,512,12.715528607,0,1000000000,mesh,4,,False,20,4,True,20,True,,4,1,6,,True,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",4,1,2.23094,True,,16,False,False,4,0,0,,True,,40,0,1,DRAMDoubleBuffer_0,4,True,True,,False,False,True,13,0:17.99,,True,6
-i100 -p100 -t1 -d100,6.324110671936759,pirTest,55a8709f,True,True,H-hop,4.04743,bfs,0:00.37,False,False,,False,,True,route_min_directed_valient,False,True,100,True,False,,,True,7,False,65536,11,False,False,,0.68kHz,DDR4,,False,False,2020-04-06 12:21:39 -0700,,,True,True,4,,True,1,False,4,1,True,253,,0,200,True,False,4,200,0,,,True,3.4660991182730316,True,5,False,0,2,,False,True,,11,False,0,dfs,checkerboard,1,,True,False,False,751fb546,True,True,hybrid,False,False,Tst,False,6,route_min_directed_valient,1000000000.0,,True,False,db,False,,6,AccelMain,,MyDesign,16,True,,0,32,dor,4,,40,,False,512,38.845907748,0,1000000000,mesh,4,,False,20,4,True,20,True,,4,1,6,,True,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",4,4,4.04743,True,,16,False,False,4,0,0,,True,,40,0,1,DRAMDoubleBuffer_1,4,True,True,,False,False,True,11,0:41.00,,True,6
-i100 -p100 -t1 -d100,3.389830508474576,pirTest,55a8709f,True,True,H-hop,4.33898,bfs,0:00.69,False,False,,False,,True,route_min_directed_valient,False,True,100,True,False,,,True,14,False,65536,22,False,False,,0.34kHz,DDR4,,False,False,2020-04-06 12:21:39 -0700,,,True,True,8,,True,1,False,8,1,True,236,,0,200,True,False,8,200,0,,,True,2.01271186440678,True,5,False,0,2,,False,True,,22,False,0,dfs,checkerboard,1,,True,False,False,751fb546,True,True,hybrid,False,False,Tst,False,6,route_min_directed_valient,1000000000.0,,True,False,db,False,,6,AccelMain,,MyDesign,16,True,,0,32,dor,8,,40,,False,512,35.849192862,0,1000000000,mesh,4,,False,20,4,True,20,True,,4,1,6,,True,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",4,8,4.33898,True,,16,False,False,4,0,0,,True,,40,0,1,DRAMDoubleBuffer_2,4,True,True,,False,False,True,22,0:34.54,,True,6
-i100 -p100 -t1 -d100,3.389830508474576,pirTest,55a8709f,True,True,H-hop,4.33898,bfs,0:00.80,False,False,,False,,True,route_min_directed_valient,False,True,100,True,False,,,True,9,False,65536,37,False,False,,0.29kHz,DDR4,,False,False,2020-04-06 12:21:39 -0700,,,True,True,12,,True,1,False,12,1,True,236,,0,200,True,False,12,200,0,,,True,2.0208604954367666,True,5,False,0,2,,False,True,,37,False,0,dfs,checkerboard,1,,True,False,False,751fb546,True,True,hybrid,False,False,Tst,False,6,route_min_directed_valient,1000000000.0,,True,False,db,False,,6,AccelMain,,MyDesign,16,True,,0,32,dor,12,,40,,False,512,48.616260024,0,1000000000,mesh,4,,False,20,4,True,20,True,,4,1,6,,True,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",4,28,4.33898,True,,16,False,False,4,0,0,,True,,40,0,1,DRAMDoubleBuffer_3,4,True,True,,False,False,True,37,1:14.53,,True,6
-i100 -p100 -t1 -d100,68.3095790945594,pirTest,55a8709f,True,True,H-hop,43.7181,bfs,0:13.57,False,False,,False,,,route_min_directed_valient,False,True,100,True,False,,,True,6,False,65536,19,False,False,,5.74kHz,DDR4,,False,False,2020-04-06 12:21:39 -0700,,,True,True,3,,True,1,False,3,1,True,77951,,0,200,True,False,3,200,0,,,True,20.624623160703518,True,5,False,0,2,,False,True,,19,False,0,dfs,checkerboard,1,,True,False,False,751fb546,True,True,hybrid,False,False,Tst,False,6,route_min_directed_valient,1000000000.0,,True,False,db,False,,6,AccelMain,,MyDesign,16,True,,0,32,dor,3,,40,,False,512,41.291238372,11,1000000000,mesh,4,,False,20,4,True,20,True,,4,1,6,,True,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",4,2,43.7181,True,,16,False,False,4,0,0,,True,,40,0,1,DRAMMergeSort_0,4,True,True,,False,False,True,19,1:02.36,,True,6
-i100 -p100 -t1 -d100,68.59734102854787,pirTest,55a8709f,True,True,H-hop,43.9023,bfs,0:29.24,False,False,,False,,,route_min_directed_valient,False,True,100,True,False,,,True,6,False,65536,19,False,False,,2.65kHz,DDR4,,False,False,2020-04-06 12:21:39 -0700,,,True,True,3,,True,1,False,3,1,True,77624,,0,200,True,False,3,200,0,,,True,20.71150675048954,True,5,False,0,2,,False,True,,19,False,0,dfs,checkerboard,1,,True,False,False,751fb546,True,True,hybrid,False,False,Tst,False,6,route_min_directed_valient,1000000000.0,,True,False,db,False,,6,AccelMain,,MyDesign,16,True,,0,32,dor,3,,40,,False,512,42.882735669,11,1000000000,mesh,4,,False,20,4,True,20,True,,4,1,6,,True,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",4,2,43.9023,True,,16,False,False,4,0,0,,True,,40,0,1,DRAMMergeSort_1,4,True,True,,False,False,True,19,2:01.14,,True,6
-i100 -p100 -t1 -d100,42.55268625704957,pirTest,55a8709f,True,True,H-hop,50.5769,bfs,0:31.04,False,False,,False,,,route_min_directed_valient,False,True,100,True,False,,,True,11,False,65536,37,False,False,,2.17kHz,DDR4,,False,False,2020-04-06 12:21:39 -0700,,,True,True,6,,True,1,False,6,1,True,67380,,0,200,True,False,6,200,0,,,True,13.719324845771864,True,5,False,0,2,,False,True,,37,False,0,dfs,checkerboard,1,,True,False,False,751fb546,True,True,hybrid,False,False,Tst,False,6,route_min_directed_valient,1000000000.0,,True,False,db,False,,6,AccelMain,,MyDesign,16,True,,0,32,dor,6,,40,,False,512,32.948362381,22,1000000000,mesh,4,,False,20,4,True,20,True,,4,1,6,,True,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",4,4,50.5769,True,,16,False,False,4,0,0,,True,,40,0,1,DRAMMergeSort_2,4,True,True,,False,False,True,37,1:31.56,,True,6
