spatial_sha,pir_sha,time,app,project,backend,freq,genpir,genpir_err,gentst_err,gentst_time,notFit,row,col,pirArgs,MC,DAG,PMU,PCU,MC_Total,DAG_Total,PMU_Total,PCU_Total,algo,pattern,slink,vlink,prtime,vcLimit,runproute_err,runproute_time,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,maketst_err,maketst_time,runp2p_cycle,runp2p_err,runp2p_pass,runp2p_deadlock,runp2p_complete,runp2p_dram_power,runp2p_rbw,runp2p_wbw,runp2p_time,runhybrid_cycle,runhybrid_err,runhybrid_pass,runhybrid_deadlock,runhybrid_complete,runhybrid_dram_power,runhybrid_rbw,runhybrid_wbw,runhybrid_time,OPS-All,OPS-FU,OPS-Fix,OPS-Flt,OPS-Other,OPS-Prog FU,runp2p_success,runhybrid_success,succeeded,simfreq
cf1bb43,abd177a,2019-10-11 15:35:42,BankEnable_0,pirTest,Tst,1000000000.0,True,,,11.034150383,,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",1,3,2,2,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:30.66,78,,True,False,True,,0.0,1.64103,0:00.39,,,,False,False,,,,,"704 OP, 9.03 GOPS","128 OP, 1.64 GOPS","128 OP, 1.64 GOPS",,"576 OP, 7.38 GOPS","128 OP, 1.64 GOPS",True,False,True,0.2kHz
cf1bb43,abd177a,2019-10-11 15:35:42,BlackScholes_0,pirTest,Tst,1000000000.0,True,,,27.754171452,,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",7,8,1,32,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,1:01.54,673,,True,False,True,,36.5171,6.08618,0:00.59,,,,False,False,,,,,"175440 OP, 260.68 GOPS","154960 OP, 230.25 GOPS","1360 OP, 2.02 GOPS","159744 OP, 237.36 GOPS","14336 OP, 21.30 GOPS","154960 OP, 230.25 GOPS",True,False,True,1.14kHz
cf1bb43,abd177a,2019-10-11 15:35:42,BlackScholes_1,pirTest,Tst,1000000000.0,True,,,15.809230922,,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",7,9,0,35,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:56.10,4683,,True,False,True,,5.24792,0.874653,0:01.03,,,,False,False,,,,,"175440 OP, 37.46 GOPS","154960 OP, 33.09 GOPS","1360 OP, 0.29 GOPS","159744 OP, 34.11 GOPS","14336 OP, 3.06 GOPS","154960 OP, 33.09 GOPS",True,False,True,4.55kHz
cf1bb43,abd177a,2019-10-11 15:35:42,BreakTest,pirTest,Tst,1000000000.0,True,,,4.909159751,,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",0,1,0,0,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:17.39,87,,True,False,True,,0.0,0.0,0:00.29,,,,False,False,,,,,"12 OP, 0.14 GOPS","12 OP, 0.14 GOPS","12 OP, 0.14 GOPS",,,"12 OP, 0.14 GOPS",True,False,True,0.3kHz
cf1bb43,abd177a,2019-10-11 15:35:42,BreakTest2,pirTest,Tst,1000000000.0,True,,,8.237742196,,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",0,2,0,0,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:24.88,23,,True,False,True,,0.0,0.0,0:00.38,,,,False,False,,,,,"10 OP, 0.43 GOPS","10 OP, 0.43 GOPS","10 OP, 0.43 GOPS",,,"10 OP, 0.43 GOPS",True,False,True,0.06kHz
cf1bb43,abd177a,2019-10-11 15:35:42,BroadcastTest,pirTest,Tst,1000000000.0,True,,,25.041306179,,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",2,3,2,9,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:36.09,271,,True,False,True,,0.472325,15.1144,0:00.58,,,,False,False,,,,,"21760 OP, 80.30 GOPS","4736 OP, 17.48 GOPS","11904 OP, 43.93 GOPS",,"9856 OP, 36.37 GOPS","4736 OP, 17.48 GOPS",True,False,True,0.47kHz
cf1bb43,abd177a,2019-10-11 15:35:42,CountZero_0,pirTest,Tst,1000000000.0,True,,,10.459393848,,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",1,5,1,0,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:24.30,139,,True,False,True,,0.460432,1.38129,0:00.33,,,,False,False,,,,,"432 OP, 3.11 GOPS","288 OP, 2.07 GOPS","192 OP, 1.38 GOPS",,"240 OP, 1.73 GOPS","288 OP, 2.07 GOPS",True,False,True,0.42kHz
cf1bb43,abd177a,2019-10-11 15:35:42,DRAMDoubleBuffer2_0,pirTest,Tst,1000000000.0,True,,,10.616243236,,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",2,7,0,0,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:31.14,930,,True,False,True,,1.10108,1.10108,0:00.55,,,,False,False,,,,,"720 OP, 0.77 GOPS","656 OP, 0.71 GOPS","720 OP, 0.77 GOPS",,,"656 OP, 0.71 GOPS",True,False,True,1.69kHz
cf1bb43,abd177a,2019-10-11 15:35:42,DRAMDoubleBuffer2_1,pirTest,Tst,1000000000.0,True,,,12.051683698,,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",2,7,0,0,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:30.36,930,,True,False,True,,1.10108,1.10108,0:00.53,,,,False,False,,,,,"720 OP, 0.77 GOPS","656 OP, 0.71 GOPS","720 OP, 0.77 GOPS",,,"656 OP, 0.71 GOPS",True,False,True,1.75kHz
cf1bb43,abd177a,2019-10-11 15:35:42,DRAMDoubleBuffer2_2,pirTest,Tst,1000000000.0,True,,,14.478754768,,20,20,"--dot=false, --tungsten-home=/home/yaqiz/pldi20/spatial/pir/tungsten, --psim-home=/home/yaqiz/pldi20/spatial/pir/plastisim, --debug=false, --proute-home=/home/yaqiz/pldi20/spatial/pir/plastiroute, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",4,14,0,0,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:31.70,470,,True,False,True,,2.17872,2.17872,0:00.37,,,,False,False,,,,,"720 OP, 1.53 GOPS","656 OP, 1.40 GOPS","720 OP, 1.53 GOPS",,,"656 OP, 1.40 GOPS",True,False,True,1.27kHz
