runhybrid_time,runhybrid_complete,MC_Total,VAFG,mem-tech,proute-opts,pmu-stage,runproute_err,proute-seed,pirArgs,dedicated-dag,pracc,VPCU,VBB,reserve-pmu,time,fifo-depth,waveform,rundot,freq,vlink,debug,vec,retime-local,lrange,word,name,run-psim,memelm,trace,runhybrid_success,scheduled,row,arch,proute-algo,runhybrid_dram_power,dag-stage,igraph,stat,runp2p_complete,OPS-Prog FU,flit-width,psim,maxActive,runhybrid_rbw,runp2p_success,vc,VMC-alloc,merge-forward,runp2p_pass,runhybrid_err,runhybrid_pass,OPS-Other,mergeTime_ms,VAFG-alloc,runhybrid_wbw,proute-q,clock,runp2p_err,pattern,share-adctx,dag,time-out,link-prop,project,constprop,load,debug-print,VDAG,VMC,runproute_time,algo,argin,runp2p_time,PMU_Total,VDAG-split,ag-dce,rtelm,VPCU-alloc,runp2p_deadlock,sr,runp2p_cycle,runhybrid_cycle,split-thread,merge-algo,VPCU-split,psim-q,DAG_Total,avgActive,gentst_err,runhybrid_deadlock,runp2p_dram_power,maketst_err,codegen,pmu-sram-size,fast,merge,OPS-Flt,runp2p_wbw,retime-buffer-only,split,split-algo,VBB-split,tokenout,retime-glob,succeeded,PCU_Total,PCU,MC,run-tst,VAFG-split,col,pcu-stage,module,VDAG-alloc,OPS-FU,pir_sha,split-forward,spatial_sha,nn,topo,VPMU,PMU,run-proute,net,OPS-All,routing-cost,maketst_time,dupra,open,start-id,genpir,tungsten,VPMU-split,vfifo,backend,VMC-split,vcLimit,save,bcread,verbose,gentst_time,simulate,slink,DAG,genpir_err,runp2p_rbw,routing-algo,simfreq,app,mapping,notFit,mdone,VBB-alloc,argout,prtime,vdot,reserve-pcu,OPS-Fix,retime-exout,dot,VPMU-alloc
,False,40,1,DDR4,-i100 -p100 -t1 -d100,6,,0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",False,True,4,,0,2020-03-19 19:25:44 -0700,16,True,True,1000000000.0,2,True,16,False,True,32,AccelMain,False,False,False,False,False,20,MyDesign,route_min_directed_valient,,6,False,True,True,,512,False,41.02564102564103,,True,4,1,False,True,,,,,1,,4,1000000000,,checkerboard,False,True,100,db,pirTest,True,False,True,0,1,,route_min_directed_valient,6,0:00.72,200,0,True,True,4,False,True,78,,1,bfs,4,1,40,14.003944773175544,,False,,,True,65536,True,False,,1.64103,False,True,dfs,,5,False,True,200,2,1,False,1,20,6,False,0,,82af46cc,False,4a29262f,False,mesh,2,2,False,hybrid,,H-hop,0:45.42,False,False,0,True,True,2,4,Tst,1,4,True,True,False,38.797557655,False,4,3,,0.0,dor,0.11kHz,BankEnable_0,True,,True,,4,,True,0,,False,True,2
,False,40,1,DDR4,-i100 -p100 -t1 -d100,6,,0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",False,True,25,,0,2020-03-19 19:25:44 -0700,16,True,True,1000000000.0,2,True,16,False,True,32,AccelMain,False,False,False,False,False,20,MyDesign,route_min_directed_valient,,6,False,True,True,,512,False,11.940298507462687,,True,4,1,False,,,,,,1,,4,1000000000,,checkerboard,False,True,100,db,pirTest,True,False,True,0,1,,route_min_directed_valient,6,0:01.10,200,0,True,True,13,False,True,134,,1,bfs,25,1,40,10.058403634003893,,False,,,True,65536,True,False,,0.955224,False,True,dfs,,5,False,True,200,15,1,False,1,20,6,False,0,,82af46cc,False,4a29262f,False,mesh,6,6,False,hybrid,,H-hop,3:39.32,False,False,0,True,True,6,4,Tst,1,4,True,True,False,109.982254912,False,4,10,,0.0,dor,0.12kHz,BankRange_0,True,,True,,4,,True,0,,False,True,6
,False,40,1,DDR4,-i100 -p100 -t1 -d100,6,,0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",False,True,42,,0,2020-03-19 19:25:44 -0700,16,True,True,1000000000.0,2,True,16,False,True,32,AccelMain,False,False,False,False,False,20,MyDesign,route_min_directed_valient,,6,False,True,True,,512,False,7.552318613441504,,True,4,7,False,True,,,,,1,,4,1000000000,,checkerboard,False,True,100,db,pirTest,True,False,True,0,7,,route_min_directed_valient,6,1:19.37,200,0,True,True,10,False,True,108470,,1,bfs,42,1,40,5.921746272534509,,False,,,True,65536,True,False,,4.83348,False,True,bfs,,5,False,True,200,33,7,False,1,20,6,False,0,,82af46cc,False,4a29262f,False,mesh,6,7,False,hybrid,,H-hop,4:54.79,False,False,0,True,True,6,4,Tst,7,4,True,True,False,106.24857147,False,4,8,,29.0009,dor,1.37kHz,BlackScholes_0,True,,True,,4,,True,0,,False,True,6
,False,40,1,DDR4,-i100 -p100 -t1 -d100,6,,0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",False,True,1,,0,2020-03-19 19:25:44 -0700,16,True,True,1000000000.0,2,True,16,False,True,32,AccelMain,False,False,False,False,False,20,MyDesign,route_min_directed_valient,,6,False,True,True,,512,False,13.793103448275861,,True,4,,False,True,,,,,1,,4,1000000000,,checkerboard,False,True,100,db,pirTest,True,False,True,0,,,route_min_directed_valient,6,0:00.53,200,0,True,True,1,False,True,87,,1,bfs,1,1,40,5.363984674329502,,False,,,True,65536,True,False,,0.0,False,True,dfs,,5,False,True,200,0,0,False,1,20,6,False,0,,82af46cc,False,4a29262f,False,mesh,,1,False,hybrid,,H-hop,0:12.67,False,False,0,True,True,,4,Tst,,4,True,True,False,24.625572982,False,4,0,,0.0,dor,0.16kHz,BreakTest,True,,True,,4,,True,0,,False,True,
,False,40,1,DDR4,-i100 -p100 -t1 -d100,6,,0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",False,True,2,,0,2020-03-19 19:25:44 -0700,16,True,True,1000000000.0,2,True,16,False,True,32,AccelMain,False,False,False,False,False,20,MyDesign,route_min_directed_valient,,6,False,True,True,,512,False,43.47826086956522,,True,4,,False,True,,,,,1,,4,1000000000,,checkerboard,False,True,100,db,pirTest,True,False,True,0,,,route_min_directed_valient,6,0:01.62,200,0,True,True,2,False,True,23,,1,bfs,2,1,40,23.91304347826087,,False,,,True,65536,True,False,,0.0,False,True,dfs,,5,False,True,200,0,0,False,1,20,6,False,0,,82af46cc,False,4a29262f,False,mesh,,2,False,hybrid,,H-hop,0:33.71,False,False,0,True,True,,4,Tst,,4,True,True,False,37.909737473,False,4,0,,0.0,dor,0.01kHz,BreakTest2,True,,True,,4,,True,0,,False,True,
,False,40,1,DDR4,-i100 -p100 -t1 -d100,6,,0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",False,True,12,,0,2020-03-19 19:25:44 -0700,16,True,True,1000000000.0,2,True,16,False,True,32,AccelMain,False,False,False,False,False,20,MyDesign,route_min_directed_valient,,6,False,True,True,,512,False,47.23247232472325,,True,4,2,False,True,,,,,1,,4,1000000000,,checkerboard,False,True,100,db,pirTest,True,False,True,0,2,,route_min_directed_valient,6,0:01.12,200,0,True,True,6,False,True,271,,1,bfs,12,1,40,20.647433747064742,,False,,,True,65536,True,False,,15.1144,False,True,dfs,,5,False,True,200,9,2,False,1,20,6,False,0,,82af46cc,False,4a29262f,False,mesh,2,2,False,hybrid,,H-hop,1:10.66,False,False,0,True,True,2,4,Tst,2,4,True,True,False,76.634167936,False,4,3,,0.472325,dor,0.24kHz,BroadcastTest,True,,True,,4,,True,0,,False,True,2
,False,40,1,DDR4,-i100 -p100 -t1 -d100,6,,0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",False,True,5,,0,2020-03-19 19:25:44 -0700,16,True,True,1000000000.0,2,True,16,False,True,32,AccelMain,False,False,False,False,False,20,MyDesign,route_min_directed_valient,,6,False,True,True,,512,False,33.56643356643357,,True,4,1,False,True,,,,,1,,4,1000000000,,checkerboard,False,True,100,db,pirTest,True,False,True,0,1,,route_min_directed_valient,6,0:00.60,200,0,True,True,4,False,True,143,,1,bfs,5,1,40,21.10616656071202,,False,,,True,65536,True,False,,1.34266,False,True,dfs,,5,False,True,200,5,1,False,1,20,6,False,0,,82af46cc,False,4a29262f,False,mesh,2,2,False,hybrid,,H-hop,0:31.41,False,False,0,True,True,2,4,Tst,1,4,True,True,False,30.624312701,False,4,0,,0.447552,dor,0.24kHz,CountZero_0,True,,True,,4,,True,0,,False,True,2
,False,40,1,DDR4,-i100 -p100 -t1 -d100,6,,0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",False,True,3,,0,2020-03-19 19:25:44 -0700,16,True,True,1000000000.0,2,True,16,False,True,32,AccelMain,False,False,False,False,False,20,MyDesign,route_min_directed_valient,,6,False,True,False,,512,False,,,False,4,1,False,,,,,,1,,4,1000000000,,checkerboard,False,True,100,db,pirTest,True,False,True,0,1,,route_min_directed_valient,6,,200,0,True,True,3,False,True,,,1,bfs,3,1,40,,,False,,"src//Top.h:71:3: error: ‘DecompressAG’ does not name a type
",True,65536,True,False,,,False,True,dfs,,5,False,False,200,1,1,False,1,20,6,False,0,,82af46cc,False,4a29262f,False,mesh,1,1,False,hybrid,,H-hop,0:11.58,False,False,0,True,True,1,4,Tst,1,4,True,True,False,26.337761329,False,4,2,,,dor,,DRAMCompression,True,,True,,4,,True,0,,False,True,1
,False,40,1,DDR4,-i100 -p100 -t1 -d100,6,,0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",False,True,7,,0,2020-03-19 19:25:44 -0700,16,True,True,1000000000.0,2,True,16,False,True,32,AccelMain,False,False,False,False,False,20,MyDesign,route_min_directed_valient,,6,False,True,True,,512,False,27.526881720430108,,True,4,2,False,True,,,,,1,,4,1000000000,,checkerboard,False,True,100,db,pirTest,True,False,True,0,2,,route_min_directed_valient,6,0:00.97,200,0,True,True,7,False,True,930,,1,bfs,7,1,40,7.096774193548387,,False,,,True,65536,True,False,,1.10108,False,True,dfs,,5,False,True,200,0,2,False,1,20,6,False,0,,82af46cc,False,4a29262f,False,mesh,,7,False,hybrid,,H-hop,0:37.56,False,False,0,True,True,,4,Tst,2,4,True,True,False,35.473964528,False,4,0,,1.10108,dor,0.96kHz,DRAMDoubleBuffer2_0,True,,True,,4,,True,0,,False,True,
,False,40,1,DDR4,-i100 -p100 -t1 -d100,6,,0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",False,True,7,,0,2020-03-19 19:25:44 -0700,16,True,True,1000000000.0,2,True,16,False,True,32,AccelMain,False,False,False,False,False,20,MyDesign,route_min_directed_valient,,6,False,True,True,,512,False,27.526881720430108,,True,4,2,False,True,,,,,1,,4,1000000000,,checkerboard,False,True,100,db,pirTest,True,False,True,0,2,,route_min_directed_valient,6,0:01.47,200,0,True,True,7,False,True,930,,1,bfs,7,1,40,7.096774193548387,,False,,,True,65536,True,False,,1.10108,False,True,dfs,,5,False,True,200,0,2,False,1,20,6,False,0,,82af46cc,False,4a29262f,False,mesh,,7,False,hybrid,,H-hop,0:43.54,False,False,0,True,True,,4,Tst,2,4,True,True,False,29.351557808,False,4,0,,1.10108,dor,0.63kHz,DRAMDoubleBuffer2_1,True,,True,,4,,True,0,,False,True,
