spatial_sha,pir_sha,time,app,project,backend,freq,runproute,proutesh,prouteSummary,AccelMain,logpath,gentst,maketst,runp2p,runhybrid,genpir,genpir_err,gentst_err,gentst_time,gentst_notFit,gentst_MC,gentst_DAG,gentst_PMU,gentst_PCU,gentst_row,gentst_col,proutesh_algo,proutesh_pattern,proutesh_slink,proutesh_vlink,proutesh_prtime,proutesh_vcLimit,runproute_err,runproute_time,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,maketst_err,maketst_time,runp2p_cycle,runp2p_err,runp2p_pass,runp2p_deadlock,runp2p_complete,runp2p_dram_power,runp2p_rbw,runp2p_wbw,runp2p_time,runhybrid_cycle,runhybrid_err,runhybrid_pass,runhybrid_deadlock,runhybrid_complete,runhybrid_dram_power,runhybrid_rbw,runhybrid_wbw,runhybrid_time,succeeded
93c7f3fb,9c1cdfea,2019-07-16 18:45:15,DotProduct_4,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_4/log/runproute.log,../gen/Tst_pirTest/DotProduct_4/log/runproute.sh,../gen/Tst_pirTest/DotProduct_4/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_4/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_4/log/,../gen/Tst_pirTest/DotProduct_4/log/gentst.log,../gen/Tst_pirTest/DotProduct_4/log/maketst.log,../gen/Tst_pirTest/DotProduct_4/log/runp2p.log,../gen/Tst_pirTest/DotProduct_4/log/runhybrid.log,True,,,39.574327858,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,8:57.10,82,0,476,1312,352.43,3,457,0.3750,0.8750,0.1250,17,42.86,0.1250,,1:07.03,259,,True,False,True,,31.6293,0.0,0:00.39,,"Assertion fail:
",True,False,False,,0.0,0.0,0:00.71,True
93c7f3fb,9c1cdfea,2019-07-16 18:45:15,DotProduct_5,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_5/log/runproute.log,../gen/Tst_pirTest/DotProduct_5/log/runproute.sh,../gen/Tst_pirTest/DotProduct_5/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_5/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_5/log/,../gen/Tst_pirTest/DotProduct_5/log/gentst.log,../gen/Tst_pirTest/DotProduct_5/log/maketst.log,../gen/Tst_pirTest/DotProduct_5/log/runp2p.log,../gen/Tst_pirTest/DotProduct_5/log/runhybrid.log,True,,,16.763697379,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,3:25.34,0,0,269,682,6.00,0,436,0.0000,0.0000,0.0000,12,-nan,0.0000,,0:40.28,246,,True,False,True,,34.3415,0.0,0:00.32,,"tungsten: /local/ssd/home/yaqiz/spatial/pir/tungsten/staticnetwork.h:298: void StaticNetworkD, L::Eval() [with int D = 4; int L = 4]: Assertion `!!credits[i] == readys[i]' failed.
",,False,False,,,,0:01.29,True
93c7f3fb,9c1cdfea,2019-07-16 18:45:15,GDA_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_0/log/runproute.log,../gen/Tst_pirTest/GDA_0/log/runproute.sh,../gen/Tst_pirTest/GDA_0/plastisim/summary.csv,../gen/Tst_pirTest/GDA_0/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_0/log/,../gen/Tst_pirTest/GDA_0/log/gentst.log,../gen/Tst_pirTest/GDA_0/log/maketst.log,../gen/Tst_pirTest/GDA_0/log/runp2p.log,../gen/Tst_pirTest/GDA_0/log/runhybrid.log,True,,,19.791827023,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,3:26.28,0,0,1975,3463280,5.50,0,1861550,0.0000,0.0000,0.0000,11,-nan,0.0000,,0:53.64,272407,,True,False,True,,0.488681,0.240581,1:06.31,,"tungsten: /local/ssd/home/yaqiz/spatial/pir/tungsten/staticnetwork.h:298: void StaticNetworkD, L::Eval() [with int D = 4; int L = 4]: Assertion `!!credits[i] == readys[i]' failed.
",,False,False,,,,0:00.76,True
93c7f3fb,9c1cdfea,2019-07-16 18:45:15,GDA_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_1/log/runproute.log,../gen/Tst_pirTest/GDA_1/log/runproute.sh,../gen/Tst_pirTest/GDA_1/plastisim/summary.csv,../gen/Tst_pirTest/GDA_1/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_1/log/,../gen/Tst_pirTest/GDA_1/log/gentst.log,../gen/Tst_pirTest/GDA_1/log/maketst.log,../gen/Tst_pirTest/GDA_1/log/runp2p.log,../gen/Tst_pirTest/GDA_1/log/runhybrid.log,True,,,17.722154122,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,3:10.69,0,0,343,56732,5.50,0,30518,0.0000,0.0000,0.0000,11,-nan,0.0000,,0:53.41,5880,,True,False,True,,1.48027,0.696599,0:01.75,,"tungsten: /local/ssd/home/yaqiz/spatial/pir/tungsten/staticnetwork.h:298: void StaticNetworkD, L::Eval() [with int D = 4; int L = 4]: Assertion `!!credits[i] == readys[i]' failed.
",,False,False,,,,0:00.70,True
93c7f3fb,9c1cdfea,2019-07-16 18:45:15,GDA_14,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_14/log/runproute.log,../gen/Tst_pirTest/GDA_14/log/runproute.sh,../gen/Tst_pirTest/GDA_14/plastisim/summary.csv,../gen/Tst_pirTest/GDA_14/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_14/log/,../gen/Tst_pirTest/GDA_14/log/gentst.log,../gen/Tst_pirTest/GDA_14/log/maketst.log,../gen/Tst_pirTest/GDA_14/log/runp2p.log,../gen/Tst_pirTest/GDA_14/log/runhybrid.log,True,,,43.56463648,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,5:13.05,0,0,1062207,8767552,6.00,0,5295022,0.0000,0.0000,0.0000,12,-nan,0.0000,,1:23.62,399459,,True,False,True,,0.333251,0.164062,3:54.24,,"tungsten: /local/ssd/home/yaqiz/spatial/pir/tungsten/staticnetwork.h:298: void StaticNetworkD, L::Eval() [with int D = 4; int L = 4]: Assertion `!!credits[i] == readys[i]' failed.
",,False,False,,,,0:00.58,True
93c7f3fb,9c1cdfea,2019-07-16 18:45:15,GDA_2,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_2/log/runproute.log,../gen/Tst_pirTest/GDA_2/log/runproute.sh,../gen/Tst_pirTest/GDA_2/plastisim/summary.csv,../gen/Tst_pirTest/GDA_2/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_2/log/,../gen/Tst_pirTest/GDA_2/log/gentst.log,../gen/Tst_pirTest/GDA_2/log/maketst.log,../gen/Tst_pirTest/GDA_2/log/runp2p.log,../gen/Tst_pirTest/GDA_2/log/runhybrid.log,True,,,24.99233393,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,4:09.96,0,0,1151,42768,6.00,0,25974,0.0000,0.0000,0.0000,12,-nan,0.0000,,1:09.18,3204,,True,False,True,,2.7166,1.2784,0:01.34,,"tungsten: /local/ssd/home/yaqiz/spatial/pir/tungsten/staticnetwork.h:298: void StaticNetworkD, L::Eval() [with int D = 4; int L = 4]: Assertion `!!credits[i] == readys[i]' failed.
",,False,False,,,,0:00.73,True
93c7f3fb,9c1cdfea,2019-07-16 18:45:15,GDA_3,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_3/log/runproute.log,../gen/Tst_pirTest/GDA_3/log/runproute.sh,../gen/Tst_pirTest/GDA_3/plastisim/summary.csv,../gen/Tst_pirTest/GDA_3/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_3/log/,../gen/Tst_pirTest/GDA_3/log/gentst.log,../gen/Tst_pirTest/GDA_3/log/maketst.log,../gen/Tst_pirTest/GDA_3/log/runp2p.log,../gen/Tst_pirTest/GDA_3/log/runhybrid.log,True,,,19.862851543,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,3:39.81,0,0,8385,126748,6.00,0,77622,0.0000,0.0000,0.0000,12,-nan,0.0000,,0:53.72,13548,,True,False,True,,0.642456,0.302332,0:03.84,,"tungsten: /local/ssd/home/yaqiz/spatial/pir/tungsten/staticnetwork.h:298: void StaticNetworkD, L::Eval() [with int D = 4; int L = 4]: Assertion `!!credits[i] == readys[i]' failed.
",,False,False,,,,0:00.60,True
93c7f3fb,9c1cdfea,2019-07-16 18:45:15,GDA_4,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_4/log/runproute.log,../gen/Tst_pirTest/GDA_4/log/runproute.sh,../gen/Tst_pirTest/GDA_4/plastisim/summary.csv,../gen/Tst_pirTest/GDA_4/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_4/log/,../gen/Tst_pirTest/GDA_4/log/gentst.log,../gen/Tst_pirTest/GDA_4/log/maketst.log,../gen/Tst_pirTest/GDA_4/log/runp2p.log,../gen/Tst_pirTest/GDA_4/log/runhybrid.log,True,,,45.21017209,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,5:29.91,0,0,17343,142480,6.00,0,85366,0.0000,0.0000,0.0000,12,-nan,0.0000,,1:23.22,6947,,True,False,True,,1.25291,0.589607,0:03.53,,"tungsten: /local/ssd/home/yaqiz/spatial/pir/tungsten/staticnetwork.h:298: void StaticNetworkD, L::Eval() [with int D = 4; int L = 4]: Assertion `!!credits[i] == readys[i]' failed.
",,False,False,,,,0:00.63,True
93c7f3fb,9c1cdfea,2019-07-16 18:45:15,GDA_5,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_5/log/runproute.log,../gen/Tst_pirTest/GDA_5/log/runproute.sh,../gen/Tst_pirTest/GDA_5/plastisim/summary.csv,../gen/Tst_pirTest/GDA_5/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_5/log/,../gen/Tst_pirTest/GDA_5/log/gentst.log,../gen/Tst_pirTest/GDA_5/log/maketst.log,../gen/Tst_pirTest/GDA_5/log/runp2p.log,../gen/Tst_pirTest/GDA_5/log/runhybrid.log,True,,,21.586152906,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,3:41.34,0,0,24799,197412,6.00,0,122238,0.0000,0.0000,0.0000,12,-nan,0.0000,,0:45.46,26269,,True,False,True,,0.331341,0.155925,0:06.61,,"tungsten: /local/ssd/home/yaqiz/spatial/pir/tungsten/staticnetwork.h:298: void StaticNetworkD, L::Eval() [with int D = 4; int L = 4]: Assertion `!!credits[i] == readys[i]' failed.
",,False,False,,,,0:00.54,True
93c7f3fb,9c1cdfea,2019-07-16 18:45:15,GDA_6,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_6/log/runproute.log,../gen/Tst_pirTest/GDA_6/log/runproute.sh,../gen/Tst_pirTest/GDA_6/plastisim/summary.csv,../gen/Tst_pirTest/GDA_6/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_6/log/,../gen/Tst_pirTest/GDA_6/log/gentst.log,../gen/Tst_pirTest/GDA_6/log/maketst.log,../gen/Tst_pirTest/GDA_6/log/runp2p.log,../gen/Tst_pirTest/GDA_6/log/runhybrid.log,True,,,31.902424331,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,8:06.93,0,0,3737528,26345600,6.50,0,12740526,0.0000,0.0000,0.0000,13,-nan,0.0000,,1:19.26,793134,,True,False,True,,0.16784,0.0826292,7:51.97,,"tungsten: /local/ssd/home/yaqiz/spatial/pir/tungsten/staticnetwork.h:298: void StaticNetworkD, L::Eval() [with int D = 4; int L = 4]: Assertion `!!credits[i] == readys[i]' failed.
",,False,False,,,,0:00.75,True
