argout,waveform,psim-q,runp2p_cycle,lrange,flit-width,retime-exout,DAG,start-id,proute-opts,dedicated-dag,runhybrid_cycle,run-psim,VBB,proute-q,stat,pmu-stage,PCU,simfreq,runhybrid_pass,PMU_Total,vdot,reserve-dag,time-out,rundot,mapping,runhybrid_wbw,merge-forward,mergeTime_ms,MC_Total,rtelm-unsafe,runp2p_err,sr,maketst_time,gentst_err,merge,split,merge-algo,split-algo,psim,VPCU-split,share-adctx,save,maketst_err,runhybrid_err,ag-dce,scheduled,retime-local,topo,runhybrid_rbw,link-prop,VPCU,runp2p_pass,verbose,notFit,codegen,constprop,runhybrid_complete,VPMU,trace,spatial_sha,runp2p_deadlock,nn,retime-glob,net,runhybrid_success,runhybrid_time,OPS-Other,pirArgs,dag-stage,proute-algo,OPS-Prog FU,dupra,routing-cost,runhybrid_deadlock,vc,OPS-FU,vec,row,tungsten,MC,run-tst,load,runp2p_complete,runproute_time,VDAG-alloc,pcu-stage,project,bcread,runp2p_success,open,rtanal,algo,VBB-alloc,VPMU-alloc,runp2p_time,retime-buffer-only,vfifo,word,DAG_Total,tokenout,pattern,runhybrid_dram_power,VAFG-split,genpir,clock,dag,VPMU-split,routing-algo,VDAG,runproute_err,pracc,split-thread,arch,PMU,proute-seed,time,run-proute,VMC-alloc,VMC,dot,succeeded,runp2p_dram_power,simulate,module,backend,runp2p_rbw,fifo-depth,memelm,maxActive,split-forward,freq,pmu-sram-size,VBB-split,mdone,prtime,vcLimit,debug,mem-tech,name,app,rtelm,OPS-Flt,OPS-All,pir_sha,fast,avgActive,VPCU-alloc,runp2p_wbw,col,gentst_time,VMC-split,reserve-pmu,reserve-pcu,PCU_Total,genpir_err,VDAG-split,argin,debug-print,slink,igraph,OPS-Fix,VAFG,VAFG-alloc,vlink
4,True,1,4499,True,512,False,15,0,-i100 -p100 -t1 -d100,False,,False,,4,True,6,22,0.24kHz,,200,True,0,100,True,True,,False,,40,False,,True,2:56.96,,False,True,bfs,dfs,False,38,False,True,,,True,False,False,mesh,,db,38,True,False,,True,True,False,40,False,02cc5bc3,False,False,False,hybrid,False,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,route_min_directed_valient,,False,H-hop,False,4,,16,20,True,2,False,False,True,,0,6,pirTest,True,True,False,True,route_min_directed_valient,,40,0:18.99,False,4,32,40,5,checkerboard,,1,True,1000000000,True,40,dor,0,,True,1,MyDesign,41,0,2020-04-02 17:30:36 -0700,False,2,2,True,True,,False,False,Tst,0.0,16,False,100.0,False,1000000000.0,65536,,True,,4,True,DDR4,AccelMain,StreamTrainMLP_0,True,,,53954827,True,4.208985644608655,23,0.0,20,300.422801124,2,0,0,200,,0,6,True,4,False,,1,1,2
4,True,1,33171,True,512,False,15,0,-i100 -p100 -t1 -d100,False,,False,,4,True,6,22,0.2kHz,,200,True,0,100,True,True,,False,,40,False,,True,3:52.90,,False,True,bfs,dfs,False,38,False,True,,,True,False,False,mesh,,db,38,True,False,,True,True,False,40,False,02cc5bc3,False,False,False,hybrid,False,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,route_min_directed_valient,,False,H-hop,False,4,,16,20,True,2,False,False,True,,0,6,pirTest,True,True,False,True,route_min_directed_valient,,40,2:44.50,False,4,32,40,5,checkerboard,,1,True,1000000000,True,40,dor,0,,True,1,MyDesign,41,0,2020-04-02 17:30:36 -0700,False,2,2,True,True,,False,False,Tst,0.0,16,False,33.70112447619909,False,1000000000.0,65536,,True,,4,True,DDR4,AccelMain,StreamTrainMLP_1,True,,,53954827,True,4.058819280082682,23,0.0,20,199.733340172,2,0,0,200,,0,6,True,4,False,,1,1,2
4,True,1,82,True,512,False,1,0,-i100 -p100 -t1 -d100,False,,False,,4,True,6,0,0.05kHz,,200,True,0,100,True,True,,False,,40,False,,True,0:18.25,,False,True,bfs,dfs,False,2,False,True,,,True,False,False,mesh,,db,2,True,False,,True,True,False,,False,02cc5bc3,False,False,False,hybrid,False,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,route_min_directed_valient,,False,H-hop,False,4,,16,20,True,0,False,False,True,,0,6,pirTest,True,True,False,True,route_min_directed_valient,,,0:01.54,False,4,32,40,5,checkerboard,,1,True,1000000000,True,,dor,0,,True,1,MyDesign,1,0,2020-04-02 17:30:36 -0700,False,,,True,True,,False,False,Tst,0.0,16,False,78.04878048780488,False,1000000000.0,65536,,True,,4,True,DDR4,AccelMain,SumSquare_0,True,,,53954827,True,29.878048780487806,2,0.0,20,24.488739647,,0,0,200,,0,6,True,4,False,,1,1,2
4,True,1,1042,True,512,False,0,0,-i100 -p100 -t1 -d100,False,,False,,4,True,6,0,0.3kHz,,200,True,0,100,True,True,,False,,40,False,,True,0:17.71,,False,True,bfs,dfs,False,2,False,True,,,True,False,False,mesh,,db,2,True,False,,True,True,False,,False,02cc5bc3,False,False,False,hybrid,False,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,route_min_directed_valient,,False,H-hop,False,4,,16,20,True,0,False,False,True,,0,6,pirTest,True,True,False,True,route_min_directed_valient,,,0:03.50,False,4,32,40,5,checkerboard,,1,True,1000000000,True,,dor,0,,True,1,MyDesign,2,0,2020-04-02 17:30:36 -0700,False,,,True,True,,False,False,Tst,0.0,16,False,98.2725527831094,False,1000000000.0,65536,,True,,4,True,DDR4,AccelMain,SumSquare_1,True,,,53954827,True,25.383877159309023,2,0.0,20,16.02954466,,0,0,200,,0,6,True,4,False,,1,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0m[[0m[31merror[0m] [0m[0mjava.nio.file.NoSuchFileException: /home/yaqiz/.ivy2/cache/org.scala-lang/scala-library/jars/scala-library-2.12.10.jar[0m
",,,,,,,,,,,,,,,,,,,,,,,False,,,02cc5bc3,False,,,,False,,,,,,,,,False,,,,,,,,,False,,,,pirTest,,False,,,,,,,,,,,,,,,True,,,,,,,,,,,,2020-04-02 17:30:36 -0700,,,,,False,,,,Tst,,,,,,1000000000.0,,,,,,,,,SumSquare_2,,,,53954827,,,,,,,,,,,,,,,,,,,,
4,True,1,530,True,512,False,0,0,-i100 -p100 -t1 -d100,False,,False,,4,True,6,0,0.22kHz,,200,True,0,100,True,True,,False,,40,False,,True,0:11.76,,False,True,bfs,dfs,False,3,False,True,,,True,False,False,mesh,,db,3,True,False,,True,True,False,,False,02cc5bc3,False,False,False,hybrid,False,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,route_min_directed_valient,,False,H-hop,False,4,,16,20,True,0,False,False,True,,0,6,pirTest,True,True,False,True,route_min_directed_valient,,,0:02.44,False,4,32,40,5,checkerboard,,1,True,1000000000,True,,dor,0,,True,1,MyDesign,3,0,2020-04-02 17:30:36 -0700,False,,,True,True,,False,False,Tst,0.0,16,False,96.60377358490567,False,1000000000.0,65536,,True,,4,True,DDR4,AccelMain,SumSquare_3,True,,,53954827,True,39.320754716981135,3,0.0,20,17.622632933,,0,0,200,,0,6,True,4,False,,1,1,2
4,True,1,194,True,512,False,1,0,-i100 -p100 -t1 -d100,False,,False,,4,True,6,0,0.16kHz,,200,True,0,100,True,True,,False,,40,False,,True,0:07.46,,False,True,bfs,dfs,False,3,False,True,,,True,False,False,mesh,,db,3,True,False,,True,True,False,,False,02cc5bc3,False,False,False,hybrid,False,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,route_min_directed_valient,,False,H-hop,False,4,,16,20,True,0,False,False,True,,0,6,pirTest,True,True,False,True,route_min_directed_valient,,,0:01.18,False,4,32,40,5,checkerboard,,1,True,1000000000,True,,dor,0,,True,1,MyDesign,2,0,2020-04-02 17:30:36 -0700,False,,,True,True,,False,False,Tst,0.0,16,False,90.72164948453609,False,1000000000.0,65536,,True,,4,True,DDR4,AccelMain,SumSquare_5,True,,,53954827,True,38.144329896907216,3,0.0,20,6.427592881,,0,0,200,,0,6,True,4,False,,1,1,2
4,True,1,254,True,512,False,5,0,-i100 -p100 -t1 -d100,False,,False,,4,True,6,2,0.1kHz,,200,True,0,100,True,True,,False,,40,False,,True,0:28.43,,False,True,bfs,dfs,False,7,False,True,,,True,False,False,mesh,,db,7,True,False,,True,True,False,4,False,02cc5bc3,False,False,False,hybrid,False,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,route_min_directed_valient,,False,H-hop,False,4,,16,20,True,4,False,False,True,,0,6,pirTest,True,True,False,True,route_min_directed_valient,,4,0:02.64,False,4,32,40,5,checkerboard,,1,True,1000000000,True,4,dor,0,,True,1,MyDesign,4,0,2020-04-02 17:30:36 -0700,False,4,4,True,True,,False,False,Tst,64.5039,16,False,25.19685039370079,False,1000000000.0,65536,,True,,4,True,DDR4,AccelMain,TPCHQ6_0,True,,,53954827,True,20.830350751610595,6,0.0,20,37.853422054,4,0,0,200,,0,6,True,4,False,,1,1,2
4,True,1,1155,True,512,False,6,0,-i100 -p100 -t1 -d100,False,,False,,4,True,6,1,0.39kHz,,200,True,0,100,True,True,,False,,40,False,,True,0:22.21,,False,True,bfs,dfs,False,7,False,True,,,True,False,False,mesh,,db,7,True,False,,True,True,False,4,False,02cc5bc3,False,False,False,hybrid,False,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,route_min_directed_valient,,False,H-hop,False,4,,16,20,True,4,False,False,True,,0,6,pirTest,True,True,False,True,route_min_directed_valient,,4,0:03.00,False,4,32,40,5,checkerboard,,1,True,1000000000,True,4,dor,0,,True,1,MyDesign,4,0,2020-04-02 17:30:36 -0700,False,4,4,True,True,,False,False,Tst,14.1853,16,False,88.65800865800865,False,1000000000.0,65536,,True,,4,True,DDR4,AccelMain,TPCHQ6_1,True,,,53954827,True,64.11774891774891,6,0.0,20,28.845989223,4,0,0,200,,0,6,True,4,False,,1,1,2
4,True,1,215,True,512,False,9,0,-i100 -p100 -t1 -d100,False,,False,,4,True,6,4,0.14kHz,,200,True,0,100,True,True,,False,,40,False,,True,0:33.71,,False,True,bfs,dfs,False,13,False,True,,,True,False,False,mesh,,db,13,True,False,,True,True,False,8,False,02cc5bc3,False,False,False,hybrid,False,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,route_min_directed_valient,,False,H-hop,False,4,,16,20,True,8,False,False,True,,0,6,pirTest,True,True,False,True,route_min_directed_valient,,8,0:01.56,False,4,32,40,5,checkerboard,,1,True,1000000000,True,8,dor,0,,True,1,MyDesign,8,0,2020-04-02 17:30:36 -0700,False,8,8,True,True,,False,False,Tst,76.2047,16,False,14.883720930232558,False,1000000000.0,65536,,True,,4,True,DDR4,AccelMain,TPCHQ6_2,True,,,53954827,True,12.831303063861204,11,0.0,20,26.615280802,8,0,0,200,,0,6,True,4,False,,1,1,2
