backend,MC_Total,maxActive,DAG_Total,VPCU-split,PMU,col,runp2p_cycle,rundot,proute-opts,link-prop,runp2p_err,prtime,mapping,mdone,VAFG,maketst_time,runp2p_time,pracc,psim,OPS-All,debug,stat,merge-forward,reserve-pcu,DAG,PCU,VDAG-split,verbose,runhybrid_wbw,merge,bcread,VAFG-alloc,rtelm-unsafe,row,vcLimit,runhybrid_success,gentst_time,VPMU-alloc,time,runhybrid_time,module,reserve-pmu,start-id,mergeTime_ms,succeeded,retime-local,load,runhybrid_pass,vec,pirArgs,fast,net,runp2p_pass,runp2p_success,runp2p_deadlock,proute-seed,VAFG-split,VMC-alloc,open,VPCU,vfifo,VPMU-split,retime-exout,psim-q,OPS-Prog FU,runproute_err,share-adctx,dupra,name,proute-q,run-tst,waveform,flit-width,runhybrid_dram_power,dag-stage,OPS-Fix,gentst_err,debug-print,tungsten_sha,runhybrid_err,VPCU-alloc,slink,dag,avgActive,PMU_Total,VMC-split,igraph,codegen,runhybrid_cycle,VMC,runp2p_rbw,OPS-Flt,MC,lrange,split-forward,mem-tech,argin,runp2p_complete,trace,topo,split-thread,runhybrid_complete,PCU_Total,pattern,merge-algo,simulate,word,ag-dce,simfreq,genpir,scheduled,pmu-stage,VBB,save,constprop,tungsten,spatial_sha,clock,sr,freq,run-psim,app,maketst_err,runp2p_dram_power,VDAG-alloc,runproute_time,OPS-Other,nn,argout,runhybrid_rbw,pcu-stage,algo,runhybrid_deadlock,retime-buffer-only,VBB-split,routing-cost,project,VPMU,dot,run-proute,vlink,notFit,arch,pmu-sram-size,runp2p_wbw,retime-glob,VDAG,routing-algo,genpir_err,vc,rtanal,vdot,reserve-dag,split,dedicated-dag,VBB-alloc,split-algo,memelm,fifo-depth,rtelm,time-out,OPS-FU,proute-algo,plastiroute_sha,tokenout,pir_sha
Tst,40,27.23404255319149,40,14,14,20,470,True,-i100 -p100 -t1 -d100,db,,,True,True,1,0:17.34,0:00.35,True,False,,True,True,False,0,0,0,0,False,,False,True,1,False,20,4,False,26.001186854,,2020-04-08 00:16:24 -0700,,False,0,0,,True,False,False,,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",True,hybrid,True,True,False,0,1,4,False,14,4,,False,1,,,False,False,AccelMain,4,False,True,512,,6,,,True,85f7a66,,14,4,True,7.898936170212766,200,4,False,True,,4,2.17872,,4,True,False,DDR4,6,True,False,mesh,1,False,200,checkerboard,bfs,False,32,True,1.34kHz,True,False,6,,True,True,True,be4d7499,1000000000,True,1000000000.0,False,DRAMDoubleBuffer2_2,,,0,,,False,4,,6,route_min_directed_valient,False,False,,H-hop,pirTest,,True,False,2,,MyDesign,65536,2.17872,False,0,dor,,4,True,True,0,True,False,,dfs,False,16,True,100,,route_min_directed_valient,88a079d,5,381b75e6
Tst,40,27.23404255319149,40,21,3,20,470,True,-i100 -p100 -t1 -d100,db,,,True,True,1,0:28.54,0:00.76,True,False,,True,True,False,0,18,0,0,False,,False,True,1,False,20,4,False,35.363146251,,2020-04-08 00:16:24 -0700,,False,0,0,,True,False,False,,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",True,hybrid,True,True,False,0,1,6,False,21,4,,False,1,,,False,False,AccelMain,4,False,True,512,,6,,,True,85f7a66,,21,4,True,8.233117483811286,200,6,False,True,,6,2.17872,,6,True,False,DDR4,6,True,False,mesh,1,False,200,checkerboard,bfs,False,32,True,0.62kHz,True,False,6,,True,True,True,be4d7499,1000000000,True,1000000000.0,False,DRAMDoubleBuffer2_3,,,0,,,False,4,,6,route_min_directed_valient,False,False,,H-hop,pirTest,,True,False,2,,MyDesign,65536,2.17872,False,0,dor,,4,True,True,0,True,False,,dfs,False,16,True,100,,route_min_directed_valient,88a079d,5,381b75e6
Tst,40,2.2857142857142856,40,21,9,20,350,True,-i100 -p100 -t1 -d100,db,,,True,True,1,0:19.58,0:00.26,True,False,,True,True,False,0,12,0,0,False,,False,True,1,False,20,4,False,27.119569481,,2020-04-08 00:16:24 -0700,,False,0,0,,True,False,False,,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",True,hybrid,True,True,False,0,1,6,False,21,4,,False,1,,,False,False,AccelMain,4,False,True,512,,6,,,True,85f7a66,,21,4,True,2.111801242236025,200,6,False,True,,6,2.92571,,6,True,False,DDR4,6,True,False,mesh,1,False,200,checkerboard,bfs,False,32,True,1.35kHz,True,False,6,,True,True,True,be4d7499,1000000000,True,1000000000.0,False,DRAMDoubleBuffer2_4,,,0,,,False,4,,6,route_min_directed_valient,False,False,,H-hop,pirTest,,True,False,2,,MyDesign,65536,2.92571,False,0,dor,,4,True,True,0,True,False,,dfs,False,16,True,100,,route_min_directed_valient,88a079d,5,381b75e6
Tst,40,55.773420479302835,40,13,1,20,459,True,-i100 -p100 -t1 -d100,db,,,True,True,1,0:18.65,0:00.31,True,False,,True,True,False,0,12,0,0,False,,False,True,1,False,20,4,False,24.084846452,,2020-04-08 00:16:24 -0700,,False,0,0,,True,False,False,,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",True,hybrid,True,True,False,0,1,4,False,13,4,,False,1,,,False,False,AccelMain,4,False,True,512,,6,,,True,85f7a66,,13,4,True,15.831517792302106,200,4,False,True,,4,2.23094,,4,True,False,DDR4,6,True,False,mesh,1,False,200,checkerboard,bfs,False,32,True,1.48kHz,True,False,6,,True,True,True,be4d7499,1000000000,True,1000000000.0,False,DRAMDoubleBuffer_0,,,0,,,False,4,,6,route_min_directed_valient,False,False,,H-hop,pirTest,,True,False,2,,MyDesign,65536,2.23094,False,0,dor,,4,True,True,0,True,False,,dfs,False,16,True,100,,route_min_directed_valient,88a079d,5,381b75e6
Tst,40,6.324110671936759,40,11,4,20,253,True,-i100 -p100 -t1 -d100,db,,,True,True,1,0:58.16,0:01.10,True,False,,True,True,False,0,7,0,0,False,,False,True,1,False,20,4,False,37.370281249,,2020-04-08 00:16:24 -0700,,False,0,0,,True,False,False,,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",True,hybrid,True,True,False,0,1,4,False,11,4,,False,1,,,False,False,AccelMain,4,False,True,512,,6,,,True,85f7a66,,11,4,True,3.4660991182730316,200,4,False,True,,4,4.04743,,4,True,False,DDR4,6,True,False,mesh,1,False,200,checkerboard,bfs,False,32,True,0.23kHz,True,False,6,,True,True,True,be4d7499,1000000000,True,1000000000.0,False,DRAMDoubleBuffer_1,,,0,,,False,4,,6,route_min_directed_valient,False,False,,H-hop,pirTest,,True,False,2,,MyDesign,65536,4.04743,False,0,dor,,4,True,True,0,True,False,,dfs,False,16,True,100,,route_min_directed_valient,88a079d,5,381b75e6
Tst,40,3.389830508474576,40,22,8,20,236,True,-i100 -p100 -t1 -d100,db,,,True,True,1,0:39.58,0:00.65,True,False,,True,True,False,0,14,0,0,False,,False,True,1,False,20,4,False,23.692768333,,2020-04-08 00:16:24 -0700,,False,0,0,,True,False,False,,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",True,hybrid,True,True,False,0,1,8,False,22,4,,False,1,,,False,False,AccelMain,4,False,True,512,,6,,,True,85f7a66,,22,4,True,2.01271186440678,200,8,False,True,,8,4.33898,,8,True,False,DDR4,6,True,False,mesh,1,False,200,checkerboard,bfs,False,32,True,0.36kHz,True,False,6,,True,True,True,be4d7499,1000000000,True,1000000000.0,False,DRAMDoubleBuffer_2,,,0,,,False,4,,6,route_min_directed_valient,False,False,,H-hop,pirTest,,True,False,2,,MyDesign,65536,4.33898,False,0,dor,,4,True,True,0,True,False,,dfs,False,16,True,100,,route_min_directed_valient,88a079d,5,381b75e6
Tst,40,3.389830508474576,40,37,28,20,236,True,-i100 -p100 -t1 -d100,db,,,True,True,1,1:27.36,0:00.29,True,False,,True,True,False,0,9,0,0,False,,False,True,1,False,20,4,False,85.947996198,,2020-04-08 00:16:24 -0700,,False,0,0,,True,False,False,,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",True,hybrid,True,True,False,0,1,12,False,37,4,,False,1,,,False,False,AccelMain,4,False,True,512,,6,,,True,85f7a66,,37,4,True,2.0208604954367666,200,12,False,True,,12,4.33898,,12,True,False,DDR4,6,True,False,mesh,1,False,200,checkerboard,bfs,False,32,True,0.81kHz,True,False,6,,True,True,True,be4d7499,1000000000,True,1000000000.0,False,DRAMDoubleBuffer_3,,,0,,,False,4,,6,route_min_directed_valient,False,False,,H-hop,pirTest,,True,False,2,,MyDesign,65536,4.33898,False,0,dor,,4,True,True,0,True,False,,dfs,False,16,True,100,,route_min_directed_valient,88a079d,5,381b75e6
Tst,40,68.39205209550843,40,19,2,20,77857,True,-i100 -p100 -t1 -d100,db,,,True,True,1,0:39.11,0:11.12,True,False,,True,True,False,0,6,11,0,False,,False,True,1,False,20,4,False,24.149550899,,2020-04-08 00:16:24 -0700,,False,0,0,,True,False,False,,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",True,hybrid,,True,False,0,1,3,False,19,4,,False,1,,,False,False,AccelMain,4,False,True,512,,6,,,True,85f7a66,,19,4,True,20.649524127567208,200,3,False,True,,3,43.7709,,3,True,False,DDR4,6,True,False,mesh,1,False,200,checkerboard,bfs,False,32,True,7.0kHz,True,False,6,,True,True,True,be4d7499,1000000000,True,1000000000.0,False,DRAMMergeSort_0,,,0,,,False,4,,6,route_min_directed_valient,False,False,,H-hop,pirTest,,True,False,2,,MyDesign,65536,43.7709,False,0,dor,,4,True,True,0,True,False,,dfs,False,16,True,100,,route_min_directed_valient,88a079d,5,381b75e6
Tst,40,68.39205209550843,40,19,2,20,77857,True,-i100 -p100 -t1 -d100,db,,,True,True,1,0:44.60,0:13.03,True,False,,True,True,False,0,6,11,0,False,,False,True,1,False,20,4,False,26.563547866,,2020-04-08 00:16:24 -0700,,False,0,0,,True,False,False,,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",True,hybrid,,True,False,0,1,3,False,19,4,,False,1,,,False,False,AccelMain,4,False,True,512,,6,,,True,85f7a66,,19,4,True,20.649524127567208,200,3,False,True,,3,43.7709,,3,True,False,DDR4,6,True,False,mesh,1,False,200,checkerboard,bfs,False,32,True,5.98kHz,True,False,6,,True,True,True,be4d7499,1000000000,True,1000000000.0,False,DRAMMergeSort_1,,,0,,,False,4,,6,route_min_directed_valient,False,False,,H-hop,pirTest,,True,False,2,,MyDesign,65536,43.7709,False,0,dor,,4,True,True,0,True,False,,dfs,False,16,True,100,,route_min_directed_valient,88a079d,5,381b75e6
Tst,40,42.07930963632628,40,37,4,20,68138,True,-i100 -p100 -t1 -d100,db,,,True,True,1,1:11.79,0:15.22,True,False,,True,True,False,0,11,22,0,False,,False,True,1,False,20,4,False,48.89031761,,2020-04-08 00:16:24 -0700,,False,0,0,,True,False,False,,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",True,hybrid,,True,False,0,1,6,False,37,4,,False,1,,,False,False,AccelMain,4,False,True,512,,6,,,True,85f7a66,,37,4,True,13.566704454314893,200,6,False,True,,6,50.0143,,6,True,False,DDR4,6,True,False,mesh,1,False,200,checkerboard,bfs,False,32,True,4.48kHz,True,False,6,,True,True,True,be4d7499,1000000000,True,1000000000.0,False,DRAMMergeSort_2,,,0,,,False,4,,6,route_min_directed_valient,False,False,,H-hop,pirTest,,True,False,2,,MyDesign,65536,50.0143,False,0,dor,,4,True,True,0,True,False,,dfs,False,16,True,100,,route_min_directed_valient,88a079d,5,381b75e6
