mdone,MC,runp2p_err,VMC,vfifo,rundot,runhybrid_cycle,app,runhybrid_complete,VAFG,VMC-alloc,dedicated-dag,mergeTime_ms,VPMU-alloc,gentst_time,trace,dag,OPS-Other,argout,backend,merge,pir_sha,VAFG-alloc,load,proute-q,scheduled,VDAG,igraph,VDAG-split,bcread,simulate,sr,runp2p_time,runhybrid_rbw,dupra,OPS-All,debug-print,simfreq,pracc,runproute_time,arch,runhybrid_time,algo,open,argin,vdot,col,routing-algo,word,DAG,mem-tech,waveform,runp2p_complete,split,runp2p_cycle,VMC-split,DAG_Total,name,OPS-Fix,PCU_Total,slink,prtime,pmu-stage,runhybrid_wbw,runhybrid_deadlock,tungsten,fast,run-proute,runhybrid_success,retime-buffer-only,VDAG-alloc,VPCU,proute-algo,rtelm,start-id,stat,time,row,MC_Total,VPMU,runp2p_dram_power,PMU,VAFG-split,verbose,retime-exout,mapping,split-algo,VPCU-split,avgActive,clock,runproute_err,reserve-pmu,codegen,lrange,maketst_time,module,runhybrid_dram_power,OPS-FU,proute-opts,VPCU-alloc,split-forward,link-prop,gentst_err,save,topo,tokenout,merge-algo,runhybrid_err,net,run-tst,spatial_sha,routing-cost,ag-dce,psim-q,vc,pmu-sram-size,retime-glob,maketst_err,nn,runhybrid_pass,runp2p_deadlock,genpir,vlink,time-out,flit-width,PMU_Total,retime-local,OPS-Prog FU,vcLimit,pirArgs,reserve-pcu,dag-stage,proute-seed,constprop,runp2p_rbw,debug,dot,freq,project,maxActive,genpir_err,PCU,VPMU-split,vec,fifo-depth,runp2p_pass,pattern,succeeded,split-thread,runp2p_success,psim,OPS-Flt,run-psim,runp2p_wbw,memelm,merge-forward,pcu-stage,notFit
True,1,,1,4,True,,BankEnable_0,False,1,1,False,,2,18.992375988,False,True,,4,Tst,False,70a4c50c,1,False,4,False,0,False,0,True,False,True,0:02.20,,False,,True,0.04kHz,True,,MyDesign,,route_min_directed_valient,False,6,True,20,dor,32,3,DDR4,True,True,True,78,1,40,AccelMain,,200,4,,6,,False,True,True,False,False,False,0,4,route_min_directed_valient,True,0,True,2020-02-12 23:25:22 -0800,20,40,2,,2,1,False,False,True,dfs,4,14.003944773175544,1000000000,,0,True,True,2:40.06,False,,,-i100 -p100 -t1 -d100,4,False,db,,True,mesh,5,bfs,,hybrid,False,b896c3c9,H-hop,True,1,4,65536,False,,False,,False,True,2,100,512,200,False,,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",0,6,0,True,0.0,True,True,1000000000.0,pirTest,41.02564102564103,,2,2,16,16,True,checkerboard,True,1,True,False,,False,1.64103,False,False,6,
True,1,,1,4,True,,BankRange_0,False,1,1,False,,6,89.260632958,False,True,,4,Tst,False,70a4c50c,1,False,4,False,0,False,0,True,False,True,0:00.41,,False,,True,0.33kHz,True,,MyDesign,,route_min_directed_valient,False,6,True,20,dor,32,10,DDR4,True,True,True,134,1,40,AccelMain,,200,4,,6,,False,True,True,False,False,False,0,25,route_min_directed_valient,True,0,True,2020-02-12 23:25:22 -0800,20,40,6,,6,1,False,False,True,dfs,25,10.058403634003893,1000000000,,0,True,True,2:09.49,False,,,-i100 -p100 -t1 -d100,13,False,db,,True,mesh,5,bfs,,hybrid,False,b896c3c9,H-hop,True,1,4,65536,False,,False,,False,True,2,100,512,200,False,,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",0,6,0,True,0.0,True,True,1000000000.0,pirTest,11.940298507462687,,15,6,16,16,,checkerboard,True,1,True,False,,False,0.955224,False,False,6,
True,7,,7,4,True,,BlackScholes_0,False,1,7,False,,,101.680090055,False,True,,4,Tst,False,70a4c50c,1,False,4,False,0,False,0,True,False,True,1:45.57,,False,,True,1.0kHz,True,,MyDesign,,route_min_directed_valient,False,6,True,20,dor,32,8,DDR4,True,True,True,105243,7,40,AccelMain,,200,4,,6,,False,True,True,False,False,False,0,42,route_min_directed_valient,True,0,True,2020-02-12 23:25:22 -0800,20,40,,,1,1,False,False,True,bfs,42,6.103321058710017,1000000000,,0,True,True,4:03.41,False,,,-i100 -p100 -t1 -d100,10,False,db,,True,mesh,5,bfs,,hybrid,False,b896c3c9,H-hop,True,1,4,65536,False,,False,,False,True,2,100,512,200,False,,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",0,6,0,True,29.8901,True,True,1000000000.0,pirTest,7.7838906150527825,,33,,16,16,True,checkerboard,True,1,True,False,,False,4.98169,False,False,6,
True,0,,,4,True,,BreakTest,False,1,,False,,,21.666910133,False,True,,4,Tst,False,70a4c50c,1,False,4,False,0,False,0,True,False,True,0:00.75,,False,,True,0.12kHz,True,,MyDesign,,route_min_directed_valient,False,6,True,20,dor,32,0,DDR4,True,True,True,87,,40,AccelMain,,200,4,,6,,False,True,True,False,False,False,0,1,route_min_directed_valient,True,0,True,2020-02-12 23:25:22 -0800,20,40,,,1,1,False,False,True,dfs,1,5.363984674329502,1000000000,,0,True,True,0:13.10,False,,,-i100 -p100 -t1 -d100,1,False,db,,True,mesh,5,bfs,,hybrid,False,b896c3c9,H-hop,True,1,4,65536,False,,False,,False,True,2,100,512,200,False,,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",0,6,0,True,0.0,True,True,1000000000.0,pirTest,13.793103448275861,,0,,16,16,True,checkerboard,True,1,True,False,,False,0.0,False,False,6,
True,0,,,4,True,,BreakTest2,False,1,,False,,,24.551161596,False,True,,4,Tst,False,70a4c50c,1,False,4,False,0,False,0,True,False,True,0:01.44,,False,,True,0.02kHz,True,,MyDesign,,route_min_directed_valient,False,6,True,20,dor,32,0,DDR4,True,True,True,23,,40,AccelMain,,200,4,,6,,False,True,True,False,False,False,0,2,route_min_directed_valient,True,0,True,2020-02-12 23:25:22 -0800,20,40,,,2,1,False,False,True,dfs,2,23.91304347826087,1000000000,,0,True,True,0:32.24,False,,,-i100 -p100 -t1 -d100,2,False,db,,True,mesh,5,bfs,,hybrid,False,b896c3c9,H-hop,True,1,4,65536,False,,False,,False,True,2,100,512,200,False,,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",0,6,0,True,0.0,True,True,1000000000.0,pirTest,43.47826086956522,,0,,16,16,True,checkerboard,True,1,True,False,,False,0.0,False,False,6,
True,2,,2,4,True,,BroadcastTest,False,1,2,False,,2,34.930106551,False,True,,4,Tst,False,70a4c50c,1,False,4,False,0,False,0,True,False,True,0:01.59,,False,,True,0.17kHz,True,,MyDesign,,route_min_directed_valient,False,6,True,20,dor,32,3,DDR4,True,True,True,271,2,40,AccelMain,,200,4,,6,,False,True,True,False,False,False,0,12,route_min_directed_valient,True,0,True,2020-02-12 23:25:22 -0800,20,40,2,,2,1,False,False,True,dfs,12,20.647433747064742,1000000000,,0,True,True,2:24.74,False,,,-i100 -p100 -t1 -d100,6,False,db,,True,mesh,5,bfs,,hybrid,False,b896c3c9,H-hop,True,1,4,65536,False,,False,,False,True,2,100,512,200,False,,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",0,6,0,True,0.472325,True,True,1000000000.0,pirTest,47.23247232472325,,9,2,16,16,True,checkerboard,True,1,True,False,,False,15.1144,False,False,6,
True,1,,1,4,True,,CountZero_0,False,1,1,False,,1,17.345204396,False,True,,4,Tst,False,70a4c50c,1,False,4,False,0,False,0,True,False,True,0:00.63,,False,,True,0.22kHz,True,,MyDesign,,route_min_directed_valient,False,6,True,20,dor,32,0,DDR4,True,True,True,139,1,40,AccelMain,,200,4,,6,,False,True,True,False,False,False,0,5,route_min_directed_valient,True,0,True,2020-02-12 23:25:22 -0800,20,40,1,,1,1,False,False,True,dfs,5,21.71353826030085,1000000000,,0,True,True,0:23.29,False,,,-i100 -p100 -t1 -d100,4,False,db,,True,mesh,5,bfs,,hybrid,False,b896c3c9,H-hop,True,1,4,65536,False,,False,,False,True,2,100,512,200,False,,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",0,6,0,True,0.460432,True,True,1000000000.0,pirTest,34.53237410071942,,5,1,16,16,True,checkerboard,True,1,True,False,,False,1.38129,False,False,6,
True,2,,2,4,True,,DRAMDoubleBuffer2_0,False,1,2,False,,,18.773520023,False,True,,4,Tst,False,70a4c50c,1,False,4,False,0,False,0,True,False,True,0:01.44,,False,,True,0.65kHz,True,,MyDesign,,route_min_directed_valient,False,6,True,20,dor,32,0,DDR4,True,True,True,930,2,40,AccelMain,,200,4,,6,,False,True,True,False,False,False,0,7,route_min_directed_valient,True,0,True,2020-02-12 23:25:22 -0800,20,40,,,7,1,False,False,True,dfs,7,7.096774193548387,1000000000,,0,True,True,0:47.01,False,,,-i100 -p100 -t1 -d100,7,False,db,,True,mesh,5,bfs,,hybrid,False,b896c3c9,H-hop,True,1,4,65536,False,,False,,False,True,2,100,512,200,False,,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",0,6,0,True,1.10108,True,True,1000000000.0,pirTest,27.526881720430108,,0,,16,16,True,checkerboard,True,1,True,False,,False,1.10108,False,False,6,
True,2,,2,4,True,,DRAMDoubleBuffer2_1,False,1,2,False,,,36.518086513,False,True,,4,Tst,False,70a4c50c,1,False,4,False,0,False,0,True,False,True,0:00.51,,False,,True,1.82kHz,True,,MyDesign,,route_min_directed_valient,False,6,True,20,dor,32,0,DDR4,True,True,True,930,2,40,AccelMain,,200,4,,6,,False,True,True,False,False,False,0,7,route_min_directed_valient,True,0,True,2020-02-12 23:25:22 -0800,20,40,,,7,1,False,False,True,dfs,7,7.096774193548387,1000000000,,0,True,True,0:27.17,False,,,-i100 -p100 -t1 -d100,7,False,db,,True,mesh,5,bfs,,hybrid,False,b896c3c9,H-hop,True,1,4,65536,False,,False,,False,True,2,100,512,200,False,,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",0,6,0,True,1.10108,True,True,1000000000.0,pirTest,27.526881720430108,,0,,16,16,True,checkerboard,True,1,True,False,,False,1.10108,False,False,6,
True,4,,4,4,True,,DRAMDoubleBuffer2_2,False,1,4,False,,,45.571353797,False,True,,4,Tst,False,70a4c50c,1,False,4,False,0,False,0,True,False,True,0:00.93,,False,,True,0.51kHz,True,,MyDesign,,route_min_directed_valient,False,6,True,20,dor,32,0,DDR4,True,True,True,470,4,40,AccelMain,,200,4,,6,,False,True,True,False,False,False,0,14,route_min_directed_valient,True,0,True,2020-02-12 23:25:22 -0800,20,40,,,14,1,False,False,True,dfs,14,7.898936170212766,1000000000,,0,True,True,1:11.89,False,,,-i100 -p100 -t1 -d100,14,False,db,,True,mesh,5,bfs,,hybrid,False,b896c3c9,H-hop,True,1,4,65536,False,,False,,False,True,2,100,512,200,False,,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",0,6,0,True,2.17872,True,True,1000000000.0,pirTest,27.23404255319149,,0,,16,16,True,checkerboard,True,1,True,False,,False,2.17872,False,False,6,
