runp2p_success,VDAG,run-tst,tungsten,OPS-Flt,nn,DAG,lrange,vc,runp2p_pass,start-id,PMU_Total,vdot,runp2p_rbw,OPS-Other,row,runhybrid_time,runhybrid_rbw,PMU,PCU,flit-width,pattern,vcLimit,runp2p_time,run-proute,debug-tst,codegen,pracc,runhybrid_dram_power,VDAG-alloc,arch,mergeTime_ms,VPCU-split,split,mem-tech,waveform,runp2p_dram_power,stat,merge-forward,pmu-sram-size,routing-cost,run-psim,genpir,fifo-depth,verbose,fast,merge-algo,reserve-pmu,scheduled,net,VAFG,time-out,argin,pcu-stage,bcread,simfreq,retime-buffer-only,prtime,mdone,debug,avgActive,runhybrid_pass,VMC-split,open,runhybrid_success,psim-q,col,genpir_err,gentst_time,pirArgs,save,runhybrid_err,VPCU-alloc,MC,vfifo,split-thread,gentst_err,routing-algo,VBB,retime-exout,link-prop,OPS-All,topo,dag-stage,runp2p_complete,pir_sha,freq,pmu-stage,merge,mapping,retime-local,succeeded,maxActive,reserve-pcu,argout,VPMU-alloc,proute-algo,simulate,VAFG-split,runhybrid_cycle,word,runproute_time,maketst_err,runp2p_deadlock,constprop,trace,runp2p_cycle,dedicated-dag,split-forward,split-algo,runhybrid_deadlock,OPS-Fix,proute-seed,proute-opts,app,notFit,project,igraph,runproute_err,PCU_Total,VBB-alloc,VMC-alloc,runp2p_err,algo,clock,VPMU-split,OPS-FU,dupra,name,VDAG-split,VMC,load,module,psim,MC_Total,spatial_sha,sr,maketst_time,DAG_Total,dag,dot,tokenout,runhybrid_complete,VAFG-alloc,retime-glob,OPS-Prog FU,backend,VPMU,rtelm,VPCU,VBB-split,time,runp2p_wbw,vlink,ag-dce,proute-q,runhybrid_wbw,vec,slink
True,0,False,True,,False,7,True,4,True,0,200,True,49.9512,,20,,,6,7,512,checkerboard,4,0:00.60,False,False,True,True,,0,MyDesign,,14,True,DDR4,True,,True,False,65536,H-hop,False,True,16,False,False,bfs,0,False,hybrid,1,100,6,6,True,0.27kHz,False,,True,False,11.963414634146341,,6,False,False,1,20,,34.148596125,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",False,,12,6,4,1,,dor,,False,db,,mesh,6,True,dc24f967,1000000000.0,6,False,True,False,True,13.414634146341463,0,4,6,route_min_directed_valient,False,1,,32,,,False,True,False,164,False,False,dfs,False,,0,-i100 -p100 -t1 -d100,DotProduct_5,,pirTest,False,,200,,6,,route_min_directed_valient,1000000000,6,,False,AccelMain,0,6,False,False,False,40,770be228,True,1:49.48,40,True,False,5,False,1,False,,Tst,6,True,14,,2020-01-16 15:53:24 -0800,0.0,2,True,4,,16,4
True,0,False,True,,False,3,True,4,True,0,200,True,27.4899,,20,,,2,5,512,checkerboard,4,0:00.64,False,False,True,True,,0,MyDesign,,8,True,DDR4,True,,True,False,65536,H-hop,False,True,16,False,False,bfs,0,False,hybrid,1,100,6,6,True,0.47kHz,False,,True,False,58.02013422818792,,2,False,False,1,20,,19.226676728,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",False,,6,2,4,1,,dor,,False,db,,mesh,6,True,dc24f967,1000000000.0,6,False,True,False,True,75.16778523489933,0,4,2,route_min_directed_valient,False,1,,32,,,False,True,False,298,False,False,dfs,False,,0,-i100 -p100 -t1 -d100,DotProduct_6,,pirTest,False,,200,,2,,route_min_directed_valient,1000000000,2,,False,AccelMain,0,2,False,False,False,40,770be228,True,0:55.83,40,True,False,5,False,1,False,,Tst,2,True,8,,2020-01-16 15:53:24 -0800,0.0,2,True,4,,16,4
True,0,False,True,,False,7,True,4,True,0,200,True,45.7654,,20,,,6,17,512,checkerboard,4,0:00.68,False,False,True,True,,0,MyDesign,,24,True,DDR4,True,,True,False,65536,H-hop,False,True,16,False,False,bfs,0,False,hybrid,1,100,6,6,True,0.26kHz,False,,True,False,36.66459755845231,,6,False,False,1,20,,46.678971101,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",False,,16,6,4,1,,dor,,False,db,,mesh,6,True,dc24f967,1000000000.0,6,False,True,False,True,43.01675977653631,0,4,6,route_min_directed_valient,False,1,,32,,,False,True,False,179,False,False,dfs,False,,0,-i100 -p100 -t1 -d100,DotProduct_7,,pirTest,False,,200,,6,,route_min_directed_valient,1000000000,6,,False,AccelMain,0,6,False,False,False,40,770be228,True,2:16.45,40,True,False,5,False,1,False,,Tst,6,True,24,,2020-01-16 15:53:24 -0800,0.0,2,True,4,,16,4
True,0,False,True,,False,4,True,4,,0,200,True,0.0,,20,,,1,6,512,checkerboard,4,0:00.62,False,False,True,True,,0,MyDesign,,10,True,DDR4,True,,True,False,65536,H-hop,False,True,16,False,False,bfs,0,False,hybrid,1,100,6,6,True,0.15kHz,False,,True,False,10.465949820788529,,1,False,False,1,20,,30.603796315,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",False,,5,1,4,1,,dor,,False,db,,mesh,6,True,dc24f967,1000000000.0,6,False,True,False,True,34.40860215053763,0,4,1,route_min_directed_valient,False,1,,32,,,False,True,False,93,False,False,dfs,False,,0,-i100 -p100 -t1 -d100,FIFOTest_0,,pirTest,False,,200,,1,,route_min_directed_valient,1000000000,1,,False,AccelMain,0,1,False,False,False,40,770be228,True,0:54.90,40,True,False,5,False,1,False,,Tst,1,True,10,,2020-01-16 15:53:24 -0800,1.37634,2,True,4,,16,4
True,0,False,True,,False,4,True,4,,0,200,True,0.0,,20,,,2,6,512,checkerboard,4,0:00.65,False,False,True,True,,0,MyDesign,,10,True,DDR4,True,,True,False,65536,H-hop,False,True,16,False,False,bfs,0,False,hybrid,1,100,6,6,True,0.13kHz,False,,True,False,14.190093708165998,,1,False,False,1,20,,30.494158946,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",False,,5,1,4,1,,dor,,False,db,,mesh,6,True,dc24f967,1000000000.0,6,False,True,False,True,38.55421686746988,0,4,1,route_min_directed_valient,False,1,,32,,,False,True,False,83,False,False,dfs,False,,0,-i100 -p100 -t1 -d100,FIFOTest_1,,pirTest,False,,200,,1,,route_min_directed_valient,1000000000,2,,False,AccelMain,0,1,False,False,False,40,770be228,True,1:10.20,40,True,False,5,False,1,False,,Tst,2,True,10,,2020-01-16 15:53:24 -0800,1.54217,2,True,4,,16,4
True,0,False,True,,False,4,True,4,,0,200,True,0.0,,20,,,2,10,512,checkerboard,4,0:00.55,False,False,True,True,,0,MyDesign,,14,True,DDR4,True,,True,False,65536,H-hop,False,True,16,False,False,bfs,0,False,hybrid,1,100,6,6,True,0.17kHz,False,,True,False,11.92570869990225,,1,False,False,1,20,,40.153402758,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",False,,7,1,4,1,,dor,,False,db,,mesh,6,True,dc24f967,1000000000.0,6,False,True,False,True,34.40860215053763,0,4,1,route_min_directed_valient,False,1,,32,,,False,True,False,93,False,False,dfs,False,,0,-i100 -p100 -t1 -d100,FIFOTest_2,,pirTest,False,,200,,1,,route_min_directed_valient,1000000000,2,,False,AccelMain,0,1,False,False,False,40,770be228,True,1:12.89,40,True,False,5,False,1,False,,Tst,2,True,14,,2020-01-16 15:53:24 -0800,1.37634,2,True,4,,16,4
True,0,False,True,,False,12,True,4,,0,200,True,0.335079,,20,,,2,16,512,checkerboard,4,0:00.70,False,False,True,True,,0,MyDesign,,28,True,DDR4,True,,True,False,65536,H-hop,False,True,16,False,False,bfs,0,False,hybrid,1,100,6,6,True,0.27kHz,False,,True,False,14.921465968586388,,1,False,False,1,20,,44.819344054,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",False,,18,1,4,1,,dor,,False,db,,mesh,6,True,dc24f967,1000000000.0,6,False,True,False,True,58.638743455497384,0,4,1,route_min_directed_valient,False,1,,32,,,False,True,False,191,False,False,dfs,False,,0,-i100 -p100 -t1 -d100,FIFOTest_3,,pirTest,False,,200,,1,,route_min_directed_valient,1000000000,2,,False,AccelMain,0,1,False,False,False,40,770be228,True,2:28.59,40,True,False,5,False,1,False,,Tst,2,True,28,,2020-01-16 15:53:24 -0800,2.34555,2,True,4,,16,4
True,0,False,True,,False,6,True,4,True,0,200,True,0.345667,,20,,,11,10,512,checkerboard,4,1:13.10,False,False,True,True,,0,MyDesign,,16,True,DDR4,True,,True,False,65536,H-hop,False,True,16,False,False,bfs,0,False,hybrid,1,100,6,6,True,5.27kHz,False,,True,False,19.45350945350945,,5,False,False,1,20,,44.830773066,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",False,,11,5,4,1,,dor,,False,db,,mesh,6,True,dc24f967,1000000000.0,6,False,True,False,True,68.06990210589183,0,4,11,route_min_directed_valient,False,1,,32,,,False,True,False,385110,False,False,dfs,False,,0,-i100 -p100 -t1 -d100,GDA_0,,pirTest,False,,200,,5,,route_min_directed_valient,1000000000,11,,False,AccelMain,0,5,False,False,False,40,770be228,True,2:27.92,40,True,False,5,False,1,False,,Tst,11,True,16,,2020-01-16 15:53:24 -0800,0.170175,2,True,4,,16,4
True,0,False,True,,False,6,True,4,True,0,200,True,1.20704,,20,,,11,10,512,checkerboard,4,0:02.19,False,False,True,True,,0,MyDesign,,16,True,DDR4,True,,True,False,65536,H-hop,False,True,16,False,False,bfs,0,False,hybrid,1,100,6,6,True,3.29kHz,False,,True,False,16.89121676640745,,5,False,False,1,20,,42.830114799,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",False,,11,5,4,1,,dor,,False,db,,mesh,6,True,dc24f967,1000000000.0,6,False,True,False,True,56.80210789072251,0,4,11,route_min_directed_valient,False,1,,32,,,False,True,False,7211,False,False,dfs,False,,0,-i100 -p100 -t1 -d100,GDA_1,,pirTest,False,,200,,5,,route_min_directed_valient,1000000000,11,,False,AccelMain,0,5,False,False,False,40,770be228,True,2:17.44,40,True,False,5,False,1,False,,Tst,11,True,16,,2020-01-16 15:53:24 -0800,0.568021,2,True,4,,16,4
False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,False,dc24f967,1000000000.0,,,,,False,,,,,,,,,,,,False,,,,,,,False,,,,GDA_2,,pirTest,,,,,,,,,,,,,,,,,,,770be228,,,,,,,False,,,,Tst,,,,,2020-01-16 15:53:24 -0800,,,,,,,
