split-thread,VBB-split,freq,VPCU-alloc,scheduled,maketst_time,time,VPMU-alloc,retime-buffer-only,net,vcLimit,VAFG-split,constprop,mapping,waveform,clock,arch,OPS-FU,runhybrid_time,vec,project,gentst_err,VMC-alloc,vc,argin,reserve-pmu,pattern,routing-algo,runproute_time,merge-algo,word,backend,runhybrid_rbw,pmu-stage,runhybrid_complete,retime-local,proute-seed,run-proute,psim,stat,avgActive,OPS-Flt,prtime,VBB,VMC,save,retime-glob,run-tst,dupra,split-forward,gentst_time,trace,open,run-psim,tokenout,PMU,spatial_sha,runhybrid_deadlock,link-prop,flit-width,mdone,VAFG,succeeded,col,bcread,OPS-All,name,igraph,module,VDAG-split,debug,verbose,retime-exout,vdot,DAG,MC,proute-opts,pcu-stage,maxActive,VMC-split,runp2p_deadlock,DAG_Total,dedicated-dag,routing-cost,runp2p_err,proute-algo,vlink,load,genpir_err,pracc,maketst_err,split-algo,PMU_Total,runproute_err,runhybrid_dram_power,pmu-sram-size,fifo-depth,VAFG-alloc,vfifo,merge,PCU_Total,runp2p_rbw,time-out,split,notFit,simulate,runp2p_wbw,OPS-Prog FU,row,mem-tech,pir_sha,dag,merge-forward,VPCU-split,psim-q,runp2p_pass,slink,dag-stage,debug-tst,pirArgs,runp2p_dram_power,PCU,VDAG,mergeTime_ms,proute-q,OPS-Fix,VPMU,runp2p_time,rundot,VDAG-alloc,rtelm,ag-dce,codegen,VPMU-split,runp2p_success,VPCU,runhybrid_cycle,start-id,VBB-alloc,tungsten,runp2p_complete,sr,reserve-pcu,nn,lrange,dot,runhybrid_success,runhybrid_err,argout,MC_Total,runhybrid_pass,algo,simfreq,app,runhybrid_wbw,runp2p_cycle,fast,genpir,memelm,OPS-Other,topo
1,,1000000000.0,4,False,0:17.86,2020-02-06 19:45:09 -0800,2,False,hybrid,4,1,True,True,True,1000000000,MyDesign,,,16,pirTest,,1,4,6,0,checkerboard,dor,,bfs,32,Tst,,6,False,False,0,False,False,True,14.003944773175544,,,,1,False,False,False,False,False,12.672486225,False,False,False,5,2,368fc703,False,db,512,True,1,True,20,True,,AccelMain,False,False,0,True,False,False,True,3,1,-i100 -p100 -t1 -d100,6,41.02564102564103,1,False,40,False,H-hop,,route_min_directed_valient,2,False,,True,,dfs,200,,,65536,16,1,4,False,200,0.0,100,True,,False,1.64103,,20,DDR4,b0db048f,True,False,4,1,True,4,6,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",,2,0,,4,,2,0:00.36,True,0,True,True,True,2,True,4,,0,,True,True,True,0,False,True,True,False,,4,40,,route_min_directed_valient,0.22kHz,BankEnable_0,,78,True,True,False,,mesh
1,,1000000000.0,13,False,2:12.81,2020-02-06 19:45:09 -0800,6,False,hybrid,4,1,True,True,True,1000000000,MyDesign,,,16,pirTest,,1,4,6,0,checkerboard,dor,,bfs,32,Tst,,6,False,False,0,False,False,True,10.058403634003893,,,,1,False,False,False,False,False,92.321479392,False,False,False,5,6,368fc703,False,db,512,True,1,True,20,True,,AccelMain,False,False,0,True,False,False,True,10,1,-i100 -p100 -t1 -d100,6,11.940298507462687,1,False,40,False,H-hop,,route_min_directed_valient,2,False,,True,,dfs,200,,,65536,16,1,4,False,200,0.0,100,True,,False,0.955224,,20,DDR4,b0db048f,True,False,25,1,,4,6,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",,15,0,,4,,6,0:01.08,True,0,True,True,True,6,True,25,,0,,True,True,True,0,False,True,True,False,,4,40,,route_min_directed_valient,0.12kHz,BankRange_0,,134,True,True,False,,mesh
1,,1000000000.0,10,False,2:19.51,2020-02-06 19:45:09 -0800,,False,hybrid,4,1,True,True,True,1000000000,MyDesign,,,16,pirTest,,7,4,6,0,checkerboard,dor,,bfs,32,Tst,,6,False,False,0,False,False,True,6.302708887440996,,,,7,False,False,False,False,False,57.303224099,False,False,False,5,1,368fc703,False,db,512,True,1,True,20,True,,AccelMain,False,False,0,True,False,False,True,8,7,-i100 -p100 -t1 -d100,6,8.089985285549224,7,False,40,False,H-hop,,route_min_directed_valient,2,False,,True,,bfs,200,,,65536,16,1,4,False,200,31.0655,100,True,,False,5.17759,,20,DDR4,b0db048f,True,False,41,1,True,4,6,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",,32,0,,4,,,0:48.27,True,0,True,True,True,,True,41,,0,,True,True,True,0,False,True,True,False,,4,40,,route_min_directed_valient,2.1kHz,BlackScholes_0,,101261,True,True,False,,mesh
1,,1000000000.0,1,False,0:09.18,2020-02-06 19:45:09 -0800,,False,hybrid,4,1,True,True,True,1000000000,MyDesign,,,16,pirTest,,,4,6,0,checkerboard,dor,,bfs,32,Tst,,6,False,False,0,False,False,True,5.363984674329502,,,,,False,False,False,False,False,11.363367803,False,False,False,5,1,368fc703,False,db,512,True,1,True,20,True,,AccelMain,False,False,0,True,False,False,True,0,0,-i100 -p100 -t1 -d100,6,13.793103448275861,,False,40,False,H-hop,,route_min_directed_valient,2,False,,True,,dfs,200,,,65536,16,1,4,False,200,0.0,100,True,,False,0.0,,20,DDR4,b0db048f,True,False,1,1,True,4,6,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",,0,0,,4,,,0:00.38,True,0,True,True,True,,True,1,,0,,True,True,True,0,False,True,True,False,,4,40,,route_min_directed_valient,0.23kHz,BreakTest,,87,True,True,False,,mesh
1,,1000000000.0,2,False,0:14.05,2020-02-06 19:45:09 -0800,,False,hybrid,4,1,True,True,True,1000000000,MyDesign,,,16,pirTest,,,4,6,0,checkerboard,dor,,bfs,32,Tst,,6,False,False,0,False,False,True,23.91304347826087,,,,,False,False,False,False,False,15.434382574,False,False,False,5,2,368fc703,False,db,512,True,1,True,20,True,,AccelMain,False,False,0,True,False,False,True,0,0,-i100 -p100 -t1 -d100,6,43.47826086956522,,False,40,False,H-hop,,route_min_directed_valient,2,False,,True,,dfs,200,,,65536,16,1,4,False,200,0.0,100,True,,False,0.0,,20,DDR4,b0db048f,True,False,2,1,True,4,6,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",,0,0,,4,,,0:00.38,True,0,True,True,True,,True,2,,0,,True,True,True,0,False,True,True,False,,4,40,,route_min_directed_valient,0.06kHz,BreakTest2,,23,True,True,False,,mesh
1,,1000000000.0,6,False,0:38.41,2020-02-06 19:45:09 -0800,2,False,hybrid,4,1,True,True,True,1000000000,MyDesign,,,16,pirTest,,2,4,6,0,checkerboard,dor,,bfs,32,Tst,,6,False,False,0,False,False,True,20.647433747064742,,,,2,False,False,False,False,False,42.852186933,False,False,False,5,2,368fc703,False,db,512,True,1,True,20,True,,AccelMain,False,False,0,True,False,False,True,3,2,-i100 -p100 -t1 -d100,6,47.23247232472325,2,False,40,False,H-hop,,route_min_directed_valient,2,False,,True,,dfs,200,,,65536,16,1,4,False,200,0.472325,100,True,,False,15.1144,,20,DDR4,b0db048f,True,False,12,1,True,4,6,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",,9,0,,4,,2,0:00.71,True,0,True,True,True,2,True,12,,0,,True,True,True,0,False,True,True,False,,4,40,,route_min_directed_valient,0.38kHz,BroadcastTest,,271,True,True,False,,mesh
1,,1000000000.0,4,False,0:17.88,2020-02-06 19:45:09 -0800,1,False,hybrid,4,1,True,True,True,1000000000,MyDesign,,,16,pirTest,,1,4,6,0,checkerboard,dor,,bfs,32,Tst,,6,False,False,0,False,False,True,21.71353826030085,,,,1,False,False,False,False,False,18.585535391,False,False,False,5,1,368fc703,False,db,512,True,1,True,20,True,,AccelMain,False,False,0,True,False,False,True,0,1,-i100 -p100 -t1 -d100,6,34.53237410071942,1,False,40,False,H-hop,,route_min_directed_valient,2,False,,True,,dfs,200,,,65536,16,1,4,False,200,0.460432,100,True,,False,1.38129,,20,DDR4,b0db048f,True,False,5,1,True,4,6,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",,5,0,,4,,1,0:00.52,True,0,True,True,True,1,True,5,,0,,True,True,True,0,False,True,True,False,,4,40,,route_min_directed_valient,0.27kHz,CountZero_0,,139,True,True,False,,mesh
1,,1000000000.0,7,False,0:26.05,2020-02-06 19:45:09 -0800,,False,hybrid,4,1,True,True,True,1000000000,MyDesign,,,16,pirTest,,2,4,6,0,checkerboard,dor,,bfs,32,Tst,,6,False,False,0,False,False,True,7.096774193548387,,,,2,False,False,False,False,False,29.561572475,False,False,False,5,7,368fc703,False,db,512,True,1,True,20,True,,AccelMain,False,False,0,True,False,False,True,0,2,-i100 -p100 -t1 -d100,6,27.526881720430108,2,False,40,False,H-hop,,route_min_directed_valient,2,False,,True,,dfs,200,,,65536,16,1,4,False,200,1.10108,100,True,,False,1.10108,,20,DDR4,b0db048f,True,False,7,1,True,4,6,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",,0,0,,4,,,0:00.80,True,0,True,True,True,,True,7,,0,,True,True,True,0,False,True,True,False,,4,40,,route_min_directed_valient,1.16kHz,DRAMDoubleBuffer2_0,,930,True,True,False,,mesh
1,,1000000000.0,7,False,0:32.69,2020-02-06 19:45:09 -0800,,False,hybrid,4,1,True,True,True,1000000000,MyDesign,,,16,pirTest,,2,4,6,0,checkerboard,dor,,bfs,32,Tst,,6,False,False,0,False,False,True,7.096774193548387,,,,2,False,False,False,False,False,34.026408206,False,False,False,5,7,368fc703,False,db,512,True,1,True,20,True,,AccelMain,False,False,0,True,False,False,True,0,2,-i100 -p100 -t1 -d100,6,27.526881720430108,2,False,40,False,H-hop,,route_min_directed_valient,2,False,,True,,dfs,200,,,65536,16,1,4,False,200,1.10108,100,True,,False,1.10108,,20,DDR4,b0db048f,True,False,7,1,True,4,6,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",,0,0,,4,,,0:00.89,True,0,True,True,True,,True,7,,0,,True,True,True,0,False,True,True,False,,4,40,,route_min_directed_valient,1.04kHz,DRAMDoubleBuffer2_1,,930,True,True,False,,mesh
1,,1000000000.0,14,False,0:41.93,2020-02-06 19:45:09 -0800,,False,hybrid,4,1,True,True,True,1000000000,MyDesign,,,16,pirTest,,4,4,6,0,checkerboard,dor,,bfs,32,Tst,,6,False,False,0,False,False,True,7.898936170212766,,,,4,False,False,False,False,False,30.614747339,False,False,False,5,14,368fc703,False,db,512,True,1,True,20,True,,AccelMain,False,False,0,True,False,False,True,0,4,-i100 -p100 -t1 -d100,6,27.23404255319149,4,False,40,False,H-hop,,route_min_directed_valient,2,False,,True,,dfs,200,,,65536,16,1,4,False,200,2.17872,100,True,,False,2.17872,,20,DDR4,b0db048f,True,False,14,1,True,4,6,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",,0,0,,4,,,0:00.76,True,0,True,True,True,,True,14,,0,,True,True,True,0,False,True,True,False,,4,40,,route_min_directed_valient,0.62kHz,DRAMDoubleBuffer2_2,,470,True,True,False,,mesh
