runhybrid_complete,runp2p_wbw,gentst_err,col,bcread,VMC,reserve-pmu,OPS-FU,row,slink,start-id,fifo-depth,run-psim,open,load,VAFG-alloc,reserve-pcu,fast,flit-width,vec,save,maketst_time,MC_Total,runhybrid_deadlock,VPMU-alloc,trace,igraph,dag,runhybrid_wbw,VAFG,mem-tech,runp2p_complete,runhybrid_cycle,spatial_sha,runp2p_err,DAG_Total,VMC-alloc,net,retime-buffer-only,tungsten,VPMU-split,clock,nn,pracc,verbose,psim,VDAG-alloc,argout,runhybrid_time,VAFG-split,runp2p_cycle,OPS-Flt,simulate,scheduled,lrange,run-tst,gentst_time,routing-cost,VPMU,dedicated-dag,succeeded,pattern,prtime,simfreq,memelm,argin,topo,runp2p_pass,pmu-stage,MC,ag-dce,merge-algo,dag-stage,module,runproute_time,VPCU-split,OPS-All,genpir_err,runhybrid_success,genpir,runp2p_rbw,PCU,sr,split-forward,runhybrid_dram_power,constprop,runp2p_dram_power,VPCU,psim-q,app,name,vcLimit,runhybrid_pass,OPS-Prog FU,rtelm,VDAG-split,mapping,retime-exout,vlink,notFit,mdone,tokenout,runp2p_success,DAG,word,PMU_Total,split,dupra,VPCU-alloc,split-algo,codegen,retime-local,runp2p_deadlock,retime-glob,pmu-sram-size,time-out,run-proute,project,backend,proute-q,OPS-Other,pcu-stage,rundot,link-prop,debug-print,proute-seed,waveform,avgActive,vdot,PMU,VDAG,maketst_err,time,runproute_err,dot,proute-algo,arch,vc,runhybrid_err,merge-forward,pir_sha,runp2p_time,pirArgs,proute-opts,routing-algo,mergeTime_ms,VMC-split,OPS-Fix,PCU_Total,split-thread,debug,vfifo,stat,merge,runhybrid_rbw,maxActive,algo,freq
False,0.0277537,,20,True,1,0,,20,4,0,16,False,False,False,1,0,True,512,16,True,0:47.07,40,False,2,False,False,True,,1,DDR4,True,,b896c3c9,,40,1,hybrid,False,True,2,1000000000,False,True,False,False,0,4,,1,2306,,False,False,True,False,30.736533432,H-hop,2,False,True,checkerboard,,2.18kHz,False,6,mesh,,6,1,True,bfs,6,False,,7,,,False,True,0.0277537,1,True,False,,True,,7,1,OuterLock_0,AccelMain,4,,,True,0,True,False,2,,True,5,True,4,32,200,True,False,7,dfs,True,False,False,False,65536,100,False,pirTest,Tst,4,,6,True,db,True,0,True,1.4686325527609134,True,4,0,,2020-02-12 23:25:22 -0800,,True,route_min_directed_valient,MyDesign,4,,False,70a4c50c,0:01.06,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",-i100 -p100 -t1 -d100,dor,,1,,200,1,True,4,True,False,,2.7753686036426712,route_min_directed_valient,1000000000.0
False,57.6521,,20,True,3,0,,20,4,0,16,False,False,False,1,0,True,512,16,True,0:38.61,40,False,3,False,False,True,,1,DDR4,True,,b896c3c9,,40,3,hybrid,False,True,3,1000000000,False,True,False,False,0,4,,1,4547,,False,False,True,False,30.860403613,H-hop,3,False,True,checkerboard,,4.17kHz,False,6,mesh,True,6,3,True,bfs,6,False,,7,,,False,True,1.06972,3,True,False,,True,,7,1,OuterProduct_0,AccelMain,4,,,True,0,True,False,2,,True,5,True,4,32,200,True,False,6,dfs,True,False,False,False,65536,100,False,pirTest,Tst,4,,6,True,db,True,0,True,52.20517331799496,True,3,0,,2020-02-12 23:25:22 -0800,,True,route_min_directed_valient,MyDesign,4,,False,70a4c50c,0:01.09,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",-i100 -p100 -t1 -d100,dor,,3,,200,1,True,4,True,False,,90.08137233340665,route_min_directed_valient,1000000000.0
False,3.98395,,20,True,3,0,,20,4,0,16,False,False,False,1,0,True,512,16,True,1:04.87,40,False,3,False,False,True,,1,DDR4,True,,b896c3c9,,40,3,hybrid,False,True,3,1000000000,False,True,False,False,0,4,,1,65800,,False,False,True,False,49.680754792,H-hop,3,False,True,checkerboard,,11.9kHz,False,6,mesh,True,6,3,True,bfs,6,False,,7,,,False,True,0.0622492,1,True,False,,True,,7,1,OuterProduct_1,AccelMain,4,,,True,0,True,False,2,,True,5,True,6,32,200,True,False,6,dfs,True,False,False,False,65536,100,False,pirTest,Tst,4,,6,True,db,True,0,True,19.42287234042553,True,3,0,,2020-02-12 23:25:22 -0800,,True,route_min_directed_valient,MyDesign,4,,False,70a4c50c,0:05.53,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",-i100 -p100 -t1 -d100,dor,,3,,200,1,True,4,True,False,,99.59878419452887,route_min_directed_valient,1000000000.0
False,91.3076,,20,True,9,0,,20,4,0,16,False,False,False,1,0,True,512,16,True,3:00.06,40,False,9,False,False,True,,1,DDR4,True,,b896c3c9,,40,9,hybrid,False,True,9,1000000000,False,True,False,False,0,4,,1,2871,,False,False,True,False,108.782721341,H-hop,9,False,True,checkerboard,,0.79kHz,False,6,mesh,True,6,9,True,bfs,6,False,,29,,,False,True,0.757924,17,True,False,,True,,29,1,OuterProduct_10,AccelMain,4,,,True,0,True,False,2,,True,5,True,12,32,200,True,False,22,dfs,True,False,False,False,65536,100,False,pirTest,Tst,4,,6,True,db,True,0,True,39.96418651591066,True,9,0,,2020-02-12 23:25:22 -0800,,True,route_min_directed_valient,MyDesign,4,,False,70a4c50c,0:03.63,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",-i100 -p100 -t1 -d100,dor,,9,,200,1,True,4,True,False,,71.33402995471961,route_min_directed_valient,1000000000.0
False,99.7884,,20,True,21,0,,20,4,0,16,False,False,False,1,0,True,512,16,True,4:04.04,40,False,21,False,False,True,,1,DDR4,True,,b896c3c9,,40,21,hybrid,False,True,21,1000000000,False,True,False,False,0,4,,1,2627,,False,False,True,False,268.996855628,H-hop,21,False,True,checkerboard,,1.21kHz,False,6,mesh,True,6,21,True,bfs,6,False,,77,,,False,True,0.779596,47,True,False,,True,,77,1,OuterProduct_11,AccelMain,4,,,True,0,True,False,2,,True,5,True,30,32,200,True,False,57,dfs,True,False,False,False,65536,100,False,pirTest,Tst,4,,6,True,db,True,0,True,18.432082634595005,True,21,0,,2020-02-12 23:25:22 -0800,,True,route_min_directed_valient,MyDesign,4,,False,70a4c50c,0:02.17,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",-i100 -p100 -t1 -d100,dor,,21,,200,1,True,4,True,False,,29.23486867148839,route_min_directed_valient,1000000000.0
False,7.93606,,20,True,5,0,,20,4,0,16,False,False,False,1,0,True,512,16,True,1:49.47,40,False,5,False,False,True,,1,DDR4,True,,b896c3c9,,40,5,hybrid,False,True,5,1000000000,False,True,False,False,0,4,,1,33032,,False,False,True,False,69.774793427,H-hop,5,False,True,checkerboard,,7.01kHz,False,6,mesh,True,6,5,True,bfs,6,False,,13,,,False,True,0.0852507,2,True,False,,True,,13,1,OuterProduct_2,AccelMain,4,,,True,0,True,False,2,,True,5,True,11,32,200,True,False,11,dfs,True,False,False,False,65536,100,False,pirTest,Tst,4,,6,True,db,True,0,True,22.34566333311674,True,5,0,,2020-02-12 23:25:22 -0800,,True,route_min_directed_valient,MyDesign,4,,False,70a4c50c,0:04.71,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",-i100 -p100 -t1 -d100,dor,,5,,200,1,True,4,True,False,,99.20077500605474,route_min_directed_valient,1000000000.0
False,7.93462,,20,True,6,0,,20,4,0,16,False,False,False,1,0,True,512,16,True,1:47.60,40,False,6,False,False,True,,1,DDR4,True,,b896c3c9,,40,6,hybrid,False,True,6,1000000000,False,True,False,False,0,4,,1,33038,,False,False,True,False,79.184053247,H-hop,6,False,True,checkerboard,,8.08kHz,False,6,mesh,True,6,6,True,bfs,6,False,,14,,,False,True,0.0658636,2,True,False,,True,,14,1,OuterProduct_3,AccelMain,4,,,True,0,True,False,2,,True,5,True,12,32,200,True,False,12,dfs,True,False,False,False,65536,100,False,pirTest,Tst,4,,6,True,db,True,0,True,20.182688182514468,True,6,0,,2020-02-12 23:25:22 -0800,,True,route_min_directed_valient,MyDesign,4,,False,70a4c50c,0:04.09,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",-i100 -p100 -t1 -d100,dor,,6,,200,1,True,4,True,False,,99.18275924692777,route_min_directed_valient,1000000000.0
False,15.7453,,20,True,10,0,,20,4,0,16,False,False,False,1,0,True,512,16,True,2:30.72,40,False,10,False,False,True,,1,DDR4,True,,b896c3c9,,40,10,hybrid,False,True,10,1000000000,False,True,False,False,0,4,,1,16649,,False,False,True,False,101.041006311,H-hop,10,False,True,checkerboard,,2.01kHz,False,6,mesh,True,6,10,True,bfs,6,False,,26,,,False,True,0.12301,4,True,False,,True,,26,1,OuterProduct_4,AccelMain,4,,,True,0,True,False,2,,True,5,True,22,32,200,True,False,22,dfs,True,False,False,False,65536,100,False,pirTest,Tst,4,,6,True,db,True,0,True,22.721334614691575,True,10,0,,2020-02-12 23:25:22 -0800,,True,route_min_directed_valient,MyDesign,4,,False,70a4c50c,0:08.27,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",-i100 -p100 -t1 -d100,dor,,10,,200,1,True,4,True,False,,98.40831281158027,route_min_directed_valient,1000000000.0
False,111.267,,20,True,10,0,,20,4,0,16,False,False,False,1,0,True,512,16,True,2:31.34,40,False,10,False,False,True,,1,DDR4,True,,b896c3c9,,40,10,hybrid,False,True,10,1000000000,False,True,False,False,0,4,,1,2356,,False,False,True,False,91.88747071,H-hop,10,False,True,checkerboard,,0.72kHz,False,6,mesh,True,6,10,True,bfs,6,False,,26,,,False,True,0.86927,12,True,False,,True,,26,1,OuterProduct_5,AccelMain,4,,,True,0,True,False,2,,True,5,True,14,32,200,True,False,22,dfs,True,False,False,False,65536,100,False,pirTest,Tst,4,,6,True,db,True,0,True,28.08129193952623,True,10,0,,2020-02-12 23:25:22 -0800,,True,route_min_directed_valient,MyDesign,4,,False,70a4c50c,0:03.25,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",-i100 -p100 -t1 -d100,dor,,10,,200,1,True,4,True,False,,43.463497453310694,route_min_directed_valient,1000000000.0
False,57.4625,,20,True,3,0,,20,4,0,16,False,False,False,1,0,True,512,16,True,0:44.46,40,False,3,False,False,True,,1,DDR4,True,,b896c3c9,,40,3,hybrid,False,True,3,1000000000,False,True,False,False,0,4,,1,4562,,False,False,True,False,36.082368091,H-hop,3,False,True,checkerboard,,2.78kHz,False,6,mesh,True,6,3,True,bfs,6,False,,8,,,False,True,0.897852,4,True,False,,True,,8,1,OuterProduct_6,AccelMain,4,,,True,0,True,False,2,,True,5,True,4,32,200,True,False,6,dfs,True,False,False,False,65536,100,False,pirTest,Tst,4,,6,True,db,True,0,True,52.03352106026372,True,3,0,,2020-02-12 23:25:22 -0800,,True,route_min_directed_valient,MyDesign,4,,False,70a4c50c,0:01.64,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",-i100 -p100 -t1 -d100,dor,,3,,200,1,True,4,True,False,,89.7851819377466,route_min_directed_valient,1000000000.0
